""	CD69	F2R	C1QBP	CD47	PTPRC	RIPK1	CD44	CD46	CXCR4	ITGAV	CD7	LPP	ITGB1	TFRC	SIGIRR	ABCA1	NRCAM	IGF2R	CANX	CD63	JMJD6	CD74	FGFR1	CAV1	CD82	TNFRSF12A	NCSTN	CD81	RACK1	SMAP1	ATP5F1B	RPSA	PTPRA	ERAP1	NCL	GPC1	APLP2	PTPRZ1	LAMP1
CD7	0.519711468347743	0.291658646613705	0.414695473373941	0.410384379596736	0.664433636584465	0.25759799364744	0.543538837933273	0.300503755471348	0.69090728413952	0.393313911937074	1	0.320200440137623	0.404288781370177	0.238968308018341	0.723542366865316	0.416633305071387	0.356780794154222	0.320306764009868	0.245988816972361	0.521820153872726	0.249544471785661	0.31375566437663	0.229761743510382	0.317939931531364	0.392767814038306	0.535767515110369	0.198663449580932	0.501912520540297	0.367770327395065	0.297179953415049	0.446502452460607	0.429652277700301	0.364105308320601	0.170068983934964	0.462795395019674	0.564762317992403	0.360807931851785	0.354816610829023	0.545485098479802
LPP	0.573770966039772	0.744215023708189	0.621015561487706	0.847535269180591	0.556607939507699	0.752425892409982	0.581918270244235	0.94260961355538	0.692778602877404	0.856538190088113	0.320200440137623	1	0.833852637997395	0.734607463827866	0.493760620876185	0.870548828047783	0.91289847164862	0.891632732982244	0.775921920889653	0.630187050704915	0.755822052875436	0.394408477346989	0.909834038004673	0.307311959092742	0.781809347962008	0.323369989594118	0.727852175151541	0.628099381766364	0.647123278768461	0.769458553263626	0.68005159499006	0.592649319631309	0.862043416551026	0.410166930514055	0.767838259590036	0.564491226480856	0.814119319015386	0.891936506301247	0.709557716254416
ITGB1	0.710622541670027	0.861491602263024	0.854252774721848	0.970660935128044	0.675857817255068	0.652685933373727	0.804649154621773	0.819378502032336	0.788069654253411	0.949153501972786	0.404288781370177	0.833852637997395	1	0.89816441428985	0.755939524097417	0.857337456638178	0.920906745619667	0.886907658988091	0.8923424909126	0.889604528616298	0.821647419281913	0.517726375920059	0.864941084141033	0.621815494098136	0.911472758069934	0.594881005619203	0.85569808913511	0.878472283367269	0.85680649370423	0.884742886893755	0.892165000733209	0.826653397870956	0.953963017169078	0.595606600849693	0.943427322117836	0.743688411783379	0.964088588832878	0.891765826713434	0.909860531823299
TFRC	0.5150486135972	0.86808584434604	0.815955442023878	0.864160647308707	0.484836098760898	0.590247880948746	0.651593123412598	0.73272669035073	0.614008916329323	0.832767249268897	0.238968308018341	0.734607463827866	0.89816441428985	1	0.562693332698138	0.765136813185567	0.85350606299301	0.85395643281244	0.923211630169897	0.772549665092743	0.862603980958174	0.448191944086492	0.837839317545332	0.505403550858699	0.841610697480072	0.469939032318452	0.875042926639234	0.759580157214459	0.846256569920824	0.875202544999816	0.832275327017969	0.794585582439894	0.879296101662508	0.634725904290201	0.866981703481008	0.562809093148541	0.922214878167082	0.832535305491348	0.790485880249417
SIGIRR	0.742259736041336	0.553331447801897	0.739909769665387	0.760267630395534	0.779472632611628	0.390229554765563	0.905945234642068	0.519980293804943	0.770906428833246	0.729676154556577	0.723542366865316	0.493760620876185	0.755939524097417	0.562693332698138	1	0.612999572346686	0.600076139288135	0.56019681023205	0.550608482313358	0.888856115811577	0.489229999285407	0.515627765200262	0.503446838448461	0.754046859725834	0.705840274772006	0.82277067595113	0.582989839956792	0.886901227747208	0.698658180540529	0.550161333772833	0.778884305922385	0.742638216074363	0.665917205093344	0.418426995041058	0.738774926811264	0.857785328532342	0.687328849771151	0.577830216391566	0.847885616975927
ABCA1	0.564230420754267	0.727898627200063	0.611807155111005	0.864597311722859	0.66240753997212	0.780179418919343	0.681676499131997	0.915207991192822	0.764434594137117	0.837809881425549	0.416633305071387	0.870548828047783	0.857337456638178	0.765136813185567	0.612999572346686	1	0.828881467625684	0.91710896318135	0.777101358318115	0.675611340199636	0.719467671012084	0.622713902150547	0.807988730810421	0.392340268878713	0.731365753738836	0.385787365822945	0.787865828989023	0.692640875978356	0.645033244328499	0.750136562047616	0.681993526448882	0.603142390742994	0.844341916650594	0.508242497457147	0.773444819088048	0.552899779062213	0.859409703482651	0.814769289931004	0.830114149478871
NRCAM	0.606598699003565	0.850836343703773	0.810022692795099	0.915322317011429	0.562538207629207	0.737608427497237	0.634261103209973	0.885695974142242	0.708239065188299	0.926552643095851	0.356780794154222	0.91289847164862	0.920906745619667	0.85350606299301	0.600076139288135	0.828881467625684	1	0.870003157664691	0.874893777835427	0.782557015414633	0.839514104130498	0.356261921486804	0.945189409417596	0.430880843127704	0.923639187186244	0.464477030289494	0.797639199884597	0.761163789060444	0.81794712145977	0.884987382207238	0.865668899720698	0.786356903308709	0.970510609597504	0.472346633858793	0.919167269120419	0.664787584241023	0.924233628956486	0.987695476609642	0.814695094584496
IGF2R	0.554380009480139	0.79193731878689	0.700253976434941	0.872641494229121	0.53976872300571	0.766682472088611	0.663393234079827	0.878180868746104	0.712656464440643	0.845006200955862	0.320306764009868	0.891632732982244	0.886907658988091	0.85395643281244	0.56019681023205	0.91710896318135	0.870003157664691	1	0.849951150311072	0.717591519984121	0.813511108344279	0.512460632198358	0.877215901573506	0.449142407841781	0.823515639016322	0.403909110125494	0.806272615456652	0.715287690912388	0.735967303978352	0.837265697348648	0.748508643798258	0.696098271276319	0.897639444271069	0.57962436303646	0.81534251757638	0.537659694186964	0.899184461539549	0.857497575073847	0.805986531919973
CANX	0.380804639567147	0.836892392354626	0.879325621431281	0.901880142398174	0.376927544329739	0.642962983854881	0.667992939738176	0.785505685211055	0.517237283376678	0.876687721074502	0.245988816972361	0.775921920889653	0.8923424909126	0.923211630169897	0.550608482313358	0.777101358318115	0.874893777835427	0.849951150311072	1	0.805242034330509	0.952353612431702	0.259535766968975	0.928300207850819	0.602255916096486	0.805329045540513	0.553856166322445	0.854321301889921	0.774341116530196	0.912048276472525	0.932894316049955	0.866616501918367	0.848630451433385	0.896632835193896	0.559296525850343	0.886974336488879	0.615573705066648	0.942729905709352	0.830650049982219	0.787602935404539
CD63	0.640185171409891	0.677176456591622	0.941513739492225	0.901400280554572	0.652407018529627	0.517101969381649	0.918791987799112	0.637753940455815	0.680201965711834	0.878733072817115	0.521820153872726	0.630187050704915	0.889604528616298	0.772549665092743	0.888856115811577	0.675611340199636	0.782557015414633	0.717591519984121	0.805242034330509	1	0.777188461614433	0.386653878760566	0.750565887430311	0.828902343314632	0.856884662576723	0.868149778860233	0.782055190360788	0.98876327063687	0.92991695416281	0.803829745312223	0.958110156747525	0.943419310634351	0.839258828201723	0.484071081738552	0.912542880403995	0.894790241939953	0.870023226728449	0.755115824323988	0.912559386706747
JMJD6	0.305642266174715	0.73065075926703	0.874345150502302	0.828266556020194	0.325797869242753	0.657805294098208	0.641696321219347	0.734295832559031	0.46758986342548	0.808668232402292	0.249544471785661	0.755822052875436	0.821647419281913	0.862603980958174	0.489229999285407	0.719467671012084	0.839514104130498	0.813511108344279	0.952353612431702	0.777188461614433	1	0.1409302430215	0.911076326085809	0.595920579523974	0.776248195760847	0.57633350659803	0.796762414082734	0.750731711710539	0.903291870322897	0.913582412980934	0.848059285605468	0.845431018953899	0.842481180804032	0.534522491581422	0.861514086817342	0.611774070885389	0.885779236037422	0.797171241758489	0.731759150743231
CD74	0.685969115240066	0.350335632940393	0.224371865331245	0.458699889372709	0.741836364707039	0.361493979083855	0.483265638915017	0.413248299791469	0.718984851314344	0.428967203944525	0.31375566437663	0.394408477346989	0.517726375920059	0.448191944086492	0.515627765200262	0.622713902150547	0.356261921486804	0.512460632198358	0.259535766968975	0.386653878760566	0.1409302430215	1	0.22438896223955	0.114631788631113	0.434898248725916	0.101385341441723	0.492506020371674	0.453578407549762	0.22183218716754	0.276951138019652	0.303174991050328	0.245781078415043	0.429825761228755	0.294543842462445	0.424856626710447	0.205690112653539	0.430315167672092	0.405016276316876	0.601369019037749
FGFR1	0.427409041275923	0.804015376653853	0.80666597766111	0.902679457289027	0.408758167109371	0.73641111201119	0.62235621316404	0.896157626487759	0.542462991550839	0.898754800908759	0.229761743510382	0.909834038004673	0.864941084141033	0.837839317545332	0.503446838448461	0.807988730810421	0.945189409417596	0.877215901573506	0.928300207850819	0.750565887430311	0.911076326085809	0.22438896223955	1	0.486606030751263	0.838110223100948	0.487126648508878	0.819374473464939	0.730186712211684	0.845137532541464	0.888586641671507	0.836529192314451	0.786733964328184	0.921468203229601	0.431379008619992	0.858865244362107	0.626082541081382	0.904956226707468	0.918633576503997	0.749585022336853
CAV1	0.317499370152956	0.41358625593676	0.761823157696623	0.643568256515849	0.323306786510337	0.318848657881698	0.829474894324572	0.386126489728838	0.343432410791815	0.607653182184083	0.317939931531364	0.307311959092742	0.621815494098136	0.505403550858699	0.754046859725834	0.392340268878713	0.430880843127704	0.449142407841781	0.602255916096486	0.828902343314632	0.595920579523974	0.114631788631113	0.486606030751263	1	0.523904293779899	0.914055636050324	0.581822743259517	0.823515016596841	0.748275583719793	0.561274636199892	0.725912843382763	0.745236487000191	0.520571401244609	0.411279710047065	0.59315542804484	0.788995872407111	0.622096522213383	0.359449054318916	0.653810231288249
CD82	0.706821155819823	0.821199048061145	0.849726312193295	0.880829462460016	0.609527939888139	0.592763912962675	0.678875026729235	0.718078936267415	0.758430603352563	0.866207312611379	0.392767814038306	0.781809347962008	0.911472758069934	0.841610697480072	0.705840274772006	0.731365753738836	0.923639187186244	0.823515639016322	0.805329045540513	0.856884662576723	0.776248195760847	0.434898248725916	0.838110223100948	0.523904293779899	1	0.543984270158858	0.781094516112004	0.843593717171958	0.854106779320115	0.869907806329479	0.920484804198887	0.859176333276399	0.953297905149734	0.466517877957467	0.936186154325757	0.677632666074126	0.902745976930583	0.935244235712261	0.836318854113835
TNFRSF12A	0.356909737470764	0.364714222913298	0.786053689438787	0.651436658165341	0.459691072814594	0.347472997995664	0.86884934577996	0.391221248136587	0.396369771598451	0.63613592802366	0.535767515110369	0.323369989594118	0.594881005619203	0.469939032318452	0.82277067595113	0.385787365822945	0.464477030289494	0.403909110125494	0.553856166322445	0.868149778860233	0.57633350659803	0.101385341441723	0.487126648508878	0.914055636050324	0.543984270158858	1	0.558961317999385	0.864268934886708	0.767286482635963	0.52847590637387	0.77147686378546	0.791058145513739	0.515762276358368	0.33303854078328	0.629389048649797	0.904658032535895	0.591014456760126	0.409142370212615	0.697256776810299
NCSTN	0.414377285681216	0.727017094922284	0.789597710117689	0.871873375678733	0.489185341880355	0.682235893609596	0.705381172879759	0.771853613305628	0.551718443113858	0.839004774486429	0.198663449580932	0.727852175151541	0.85569808913511	0.875042926639234	0.582989839956792	0.787865828989023	0.797639199884597	0.806272615456652	0.854321301889921	0.782055190360788	0.796762414082734	0.492506020371674	0.819374473464939	0.581822743259517	0.781094516112004	0.558961317999385	1	0.809947525983219	0.842925890396031	0.860586448961089	0.823185259912147	0.791190684175022	0.830691025793636	0.399767784353257	0.81899993767648	0.629438576582976	0.908791768085545	0.769858423542808	0.791683916339378
CD81	0.638451718622171	0.631228676095025	0.907610354866556	0.890982875259662	0.674781829362837	0.53558199313939	0.928839697864255	0.645042864789039	0.68241173668263	0.87568706690134	0.501912520540297	0.628099381766364	0.878472283367269	0.759580157214459	0.886901227747208	0.692640875978356	0.761163789060444	0.715287690912388	0.774341116530196	0.98876327063687	0.750731711710539	0.453578407549762	0.730186712211684	0.823515016596841	0.843593717171958	0.864268934886708	0.809947525983219	1	0.907673183337967	0.783239687730607	0.938982267104002	0.918541266659857	0.821681880059026	0.460583342298256	0.892855099924956	0.883932929055043	0.857736714386785	0.739178550280145	0.916827667843256
RACK1	0.429111141305157	0.717140210722677	0.981266890116597	0.879669203676348	0.446223818398241	0.537448565921567	0.76342026507867	0.637878728816507	0.522219083483114	0.856858725519729	0.367770327395065	0.647123278768461	0.85680649370423	0.846256569920824	0.698658180540529	0.645033244328499	0.81794712145977	0.735967303978352	0.912048276472525	0.92991695416281	0.903291870322897	0.22183218716754	0.845137532541464	0.748275583719793	0.854106779320115	0.767286482635963	0.842925890396031	0.907673183337967	1	0.918106617078555	0.974212452442524	0.983850916079978	0.860847011401676	0.419048229103425	0.928117336089542	0.768656104727556	0.910643889614741	0.787996071898126	0.819828635030362
SMAP1	0.41233986889083	0.775583536221163	0.885988241929695	0.876964513384127	0.41161484276754	0.640312612423731	0.61006024171895	0.73634117662569	0.581547549068112	0.857041303459891	0.297179953415049	0.769458553263626	0.884742886893755	0.875202544999816	0.550161333772833	0.750136562047616	0.884987382207238	0.837265697348648	0.932894316049955	0.803829745312223	0.913582412980934	0.276951138019652	0.888586641671507	0.561274636199892	0.869907806329479	0.52847590637387	0.860586448961089	0.783239687730607	0.918106617078555	1	0.896856453488662	0.873562977527934	0.916891406667281	0.443753624119725	0.923023755559103	0.596613302068363	0.948382188868829	0.857201716493893	0.783737091977569
ATP5F1B	0.561437260372833	0.744572441481349	0.971713469873911	0.90710374154396	0.563493142562956	0.554961627902829	0.794517959242438	0.672520697863969	0.634579819466889	0.893776441904555	0.446502452460607	0.68005159499006	0.892165000733209	0.832275327017969	0.778884305922385	0.681993526448882	0.865668899720698	0.748508643798258	0.866616501918367	0.958110156747525	0.848059285605468	0.303174991050328	0.836529192314451	0.725912843382763	0.920484804198887	0.77147686378546	0.823185259912147	0.938982267104002	0.974212452442524	0.896856453488662	1	0.979719307049762	0.907774715727369	0.423974018145881	0.957669106326624	0.819582561420003	0.918118096656339	0.850095350179987	0.872927155517744
RPSA	0.473505491797024	0.675581364624406	0.979743454660987	0.849087122552333	0.488085546818772	0.492256566886511	0.776427457487083	0.576318605348695	0.547600421005645	0.831131008332594	0.429652277700301	0.592649319631309	0.826653397870956	0.794585582439894	0.742638216074363	0.603142390742994	0.786356903308709	0.696098271276319	0.848630451433385	0.943419310634351	0.845431018953899	0.245781078415043	0.786733964328184	0.745236487000191	0.859176333276399	0.791058145513739	0.791190684175022	0.918541266659857	0.983850916079978	0.873562977527934	0.979719307049762	1	0.83972208245262	0.369554698648978	0.923736513369832	0.78706565181625	0.87227018027184	0.77061824837592	0.829035666939898
PTPRA	0.631339293203071	0.865315023116044	0.850203901751749	0.942774026391303	0.573006732764244	0.697629424479704	0.682647632011326	0.839226081753008	0.726270833346052	0.934878895230795	0.364105308320601	0.862043416551026	0.953963017169078	0.879296101662508	0.665917205093344	0.844341916650594	0.970510609597504	0.897639444271069	0.896632835193896	0.839258828201723	0.842481180804032	0.429825761228755	0.921468203229601	0.520571401244609	0.953297905149734	0.515762276358368	0.830691025793636	0.821681880059026	0.860847011401676	0.916891406667281	0.907774715727369	0.83972208245262	1	0.505974966654296	0.951092609820925	0.664282579041335	0.959965016339572	0.962906406635178	0.860371943386646
ERAP1	0.39293261657116	0.556415885928684	0.437291032686699	0.488065055264539	0.293475483177299	0.446227107525274	0.496221963918043	0.435694226335225	0.421926950104933	0.487102416580589	0.170068983934964	0.410166930514055	0.595606600849693	0.634725904290201	0.418426995041058	0.508242497457147	0.472346633858793	0.57962436303646	0.559296525850343	0.484071081738552	0.534522491581422	0.294543842462445	0.431379008619992	0.411279710047065	0.466517877957467	0.33303854078328	0.399767784353257	0.460583342298256	0.419048229103425	0.443753624119725	0.423974018145881	0.369554698648978	0.505974966654296	1	0.472240895185303	0.36375762079544	0.537308441151529	0.423024467601476	0.53417685769996
NCL	0.648869245350897	0.787083268286085	0.933542228453322	0.927521574839587	0.640066721876484	0.611638165493683	0.749438168671629	0.723004179330135	0.735873463650343	0.916429458501702	0.462795395019674	0.767838259590036	0.943427322117836	0.866981703481008	0.738774926811264	0.773444819088048	0.919167269120419	0.81534251757638	0.886974336488879	0.912542880403995	0.861514086817342	0.424856626710447	0.858865244362107	0.59315542804484	0.936186154325757	0.629389048649797	0.81899993767648	0.892855099924956	0.928117336089542	0.923023755559103	0.957669106326624	0.923736513369832	0.951092609820925	0.472240895185303	1	0.736074500672846	0.945890966512249	0.911220079027825	0.894340867214163
GPC1	0.563636528690667	0.527543987629887	0.79730400720607	0.788747834075736	0.638866869407931	0.43857103428933	0.898433728919806	0.594007633002484	0.576200472860448	0.800089604293956	0.564762317992403	0.564491226480856	0.743688411783379	0.562809093148541	0.857785328532342	0.552899779062213	0.664787584241023	0.537659694186964	0.615573705066648	0.894790241939953	0.611774070885389	0.205690112653539	0.626082541081382	0.788995872407111	0.677632666074126	0.904658032535895	0.629438576582976	0.883932929055043	0.768656104727556	0.596613302068363	0.819582561420003	0.78706565181625	0.664282579041335	0.36375762079544	0.736074500672846	1	0.696454764884886	0.610650587724316	0.776929641666688
APLP2	0.546602042762738	0.851222024724101	0.885883876319381	0.951801421465024	0.548275174443109	0.703085876754524	0.739144337729032	0.822721002229155	0.688720467356441	0.928872680631189	0.360807931851785	0.814119319015386	0.964088588832878	0.922214878167082	0.687328849771151	0.859409703482651	0.924233628956486	0.899184461539549	0.942729905709352	0.870023226728449	0.885779236037422	0.430315167672092	0.904956226707468	0.622096522213383	0.902745976930583	0.591014456760126	0.908791768085545	0.857736714386785	0.910643889614741	0.948382188868829	0.918118096656339	0.87227018027184	0.959965016339572	0.537308441151529	0.945890966512249	0.696454764884886	1	0.8952138910585	0.876621466608159
PTPRZ1	0.636128498036729	0.827894000988922	0.776003557369254	0.88656680447846	0.584841379886025	0.713870498650409	0.593353750370734	0.855003757090256	0.725125825214324	0.895233382669976	0.354816610829023	0.891936506301247	0.891765826713434	0.832535305491348	0.577830216391566	0.814769289931004	0.987695476609642	0.857497575073847	0.830650049982219	0.755115824323988	0.797171241758489	0.405016276316876	0.918633576503997	0.359449054318916	0.935244235712261	0.409142370212615	0.769858423542808	0.739178550280145	0.787996071898126	0.857201716493893	0.850095350179987	0.77061824837592	0.962906406635178	0.423024467601476	0.911220079027825	0.610650587724316	0.8952138910585	1	0.80783207389396
LAMP1	0.691178553675777	0.69137142707119	0.82215383989137	0.915211117432568	0.777111741454346	0.639169516058237	0.893415911140231	0.755299250153577	0.800535710910993	0.897608824291594	0.545485098479802	0.709557716254416	0.909860531823299	0.790485880249417	0.847885616975927	0.830114149478871	0.814695094584496	0.805986531919973	0.787602935404539	0.912559386706747	0.731759150743231	0.601369019037749	0.749585022336853	0.653810231288249	0.836318854113835	0.697256776810299	0.791683916339378	0.916827667843256	0.819828635030362	0.783737091977569	0.872927155517744	0.829035666939898	0.860371943386646	0.53417685769996	0.894340867214163	0.776929641666688	0.876621466608159	0.80783207389396	1
