""	CHL1	SDC2	C1QBP	EGFR	LRP1	NRCAM	THY1	MRC2	TFRC	TNFRSF11B	ITGA2	ITGB8	LRP6	LDLR	GPR37	GPR37L1	SORT1	ADORA1	CAV1	FZD3	TNFRSF1A	LRP4	FGFR1	TNFRSF12A	EDNRB	TSPAN5	RIPK1	CD81	LRP8	LSR	ITGA6	NOTCH1	SCARB1	LRP5	CD47	IGF1R	NOTCH4	MTTP	CD46	CADM1	CD9	COLEC12	VANGL2	NRP1	TSPAN12	PTPRK	CNR1	RAMP1	ITGB1	VASN	AQP1	CD44	FZD6	SLC16A1	NOTCH2	MYLK	RYK	FZD5	ABCA1	MCAM	PTK7	LPP	FZD8	FZD1	FZD7	ANTXR1	RACK1	SMAD3	TNFRSF10B	CXADR	TNFRSF19	KCNJ10	MCFD2	NCSTN	ITGB4	ATP5F1B	PLXNB1	SMAP1	APLP2	CANX	ITGB5	AMFR	RAMP2	ADCYAP1R1	ERBB4	NOTCH3	PLXNA2	GPC1	INSR	PLXNA3	APLP1	CAP1	CD82	NRP2	IGF2R	LIFR	SLC1A5	TRAF2	CD99L2	PLXNA1	PLXNB2	CD63	ITGAV	KCNN4	PTPRA	JMJD6	DAG1	F2R	STX4	EPHB3	LRP10	RPSA	PILRB	EPHB2	PLXND1	GPNMB	PTPRJ	SLC16A7	SIRPA	TSPAN14	TRADD	SORL1	PTPRS	ERAP1	ADGRE5	LAMP1	PTPRZ1	RXRA	PLXDC2	SDC3	TNFRSF14	NCL	CD74
CHL1	1	0.736508811413043	0.825737187141249	0.857629596470741	0.874934353838415	0.945925375798023	0.839232297043982	0.917294036078094	0.803698344587644	0.870570635709981	0.87674685789274	0.906623695732772	0.897407582646883	0.715861836318498	0.896759981279977	0.89356530858848	0.899574907058089	0.926387304901756	0.549864228243154	0.874248832549199	0.94164919222664	0.463499988331544	0.882194741227834	0.707618899939188	0.870688669545054	0.862822396002695	0.925855889929308	0.899992523363585	0.853713759204677	0.804668645206314	0.898553107628539	0.854248447853081	0.725458715358344	0.783359759090301	0.871410598799285	0.571667729546199	0.834506972088147	0.901640644345487	0.91005840593618	0.883568242677802	0.775913888368665	0.839845349848727	0.873237542598032	0.879176680764555	0.880189187446195	0.836903702075468	0.765417918239073	0.892572916019106	0.878143558631431	0.612221414909259	0.739282449283131	0.799367381849992	0.895617236303429	0.696660046267212	0.872109877442667	0.796408936177648	0.918168064742324	0.916486081794858	0.414034319731025	0.816077824889551	0.797941487182441	0.853493954346773	0.798234161915913	0.816941303071037	0.80451646281854	0.774216667319439	0.750027497970748	0.821128703275816	0.79737523012471	0.887100091167702	0.912004534907651	0.903485654929296	0.885471890045277	0.845536020883959	0.919134567359355	0.804804256780123	0.817324963681255	0.880749031842352	0.848934136369094	0.871887004265733	0.837675392980915	0.858122174967351	0.779506902671736	0.7667372633838	0.909829222387634	0.706372200231788	0.758417093765208	0.850186519131947	0.370082975331826	0.732518000123907	0.837916307379033	0.866504374912065	0.831630066145033	0.906345025410448	0.828108897799996	0.927849935566841	0.539275972716368	0.848198454541927	0.873734408180737	0.817367580016676	0.864640114082832	0.875646602243937	0.916792331958904	0.796238680693857	0.930419212854654	0.828320031126345	0.888383944861015	0.73458515849855	0.85605573192214	0.795824442329798	0.895356535898578	0.720182424322265	0.807073035368602	0.785842649232897	0.735813093305977	0.335564118582286	0.702971323934804	0.786371924774898	0.771678008075108	0.784969869920968	0.788991033305533	0.631275197005971	0.841547027396578	0.888374536511417	0.768139174514176	0.888594854548648	0.957385395077113	0.732809382341401	0.31947706605721	0.91447387330931	0.830367018835932	0.860582403934784	0.271227630221049
SDC2	0.736508811413043	1	0.748424631753442	0.812935809155665	0.869848575945005	0.858414348431226	0.841315263859918	0.880153205855668	0.883456882698809	0.865361455556933	0.867823159427187	0.900550007011797	0.865152312292834	0.844757694574383	0.878599123488888	0.693145063381098	0.827521120650397	0.733438748108445	0.798862495028303	0.904351724129634	0.857136337826454	0.721526160194376	0.93694643469417	0.879849025018899	0.862125420500268	0.907451340572687	0.856959707622812	0.872725199184607	0.77662450467287	0.776472280610611	0.819537463873431	0.88089561536132	0.890065811805447	0.826624640032022	0.890130959081611	0.801551971841767	0.768982978775859	0.873612325562027	0.716369036218099	0.894853760638454	0.876728490777865	0.811538398088691	0.868617632899931	0.862496399906821	0.84633599644618	0.727929601106585	0.897353937353826	0.773643865981114	0.884495417794059	0.674204998621502	0.905102833791951	0.885700463600309	0.87970922504025	0.905005877359692	0.906252810505934	0.859643124989669	0.868203782988024	0.871508237287475	0.618886096827477	0.859522486340176	0.796184990595152	0.882823811946642	0.815515968780423	0.906518816792207	0.896487947750157	0.901998259056364	0.827003799588944	0.842091546904781	0.923250785711619	0.809436545996465	0.821862627780726	0.83611372256622	0.900721723499343	0.919951147378443	0.755157565777455	0.784504410122257	0.763635918854519	0.856907501457224	0.927140094122549	0.931959483681829	0.8321995511591	0.900376631022032	0.74760431687756	0.759014989919214	0.829367438605573	0.896568750538999	0.815771600817888	0.808667592035363	0.458594029129656	0.888766284961557	0.8632367125832	0.821173462157382	0.75300195216464	0.840466568938309	0.797287171791711	0.86665086586627	0.769866798358954	0.756583779486202	0.897953069160744	0.812087857182237	0.873197778874398	0.859724416512458	0.870977752443165	0.80624212659543	0.877396097313535	0.827737023098165	0.866229362236987	0.868568872681334	0.806870983773771	0.814661631635654	0.915874500402189	0.796811977941687	0.78781970535789	0.830300449277664	0.76857754357636	0.593191164334024	0.755195140802296	0.866703302990936	0.930725627321636	0.774621849423329	0.778484358848185	0.632450237211337	0.765911351820417	0.692390757804175	0.869908673310917	0.883123292530323	0.711979437000576	0.741220384808828	0.347616757949464	0.817824079987097	0.627658933497685	0.893333812883276	0.259770700343324
C1QBP	0.825737187141249	0.748424631753442	1	0.830761729325746	0.76797095000224	0.78251346879168	0.906981980202731	0.818953409623044	0.806993679843276	0.878676443158168	0.784544133921802	0.838032349050477	0.760099896463114	0.623604124777032	0.780503156596367	0.877707683738445	0.804229527049695	0.892270718945652	0.684389605148629	0.837618163418201	0.889190901938567	0.487579377862428	0.829006217152359	0.819057514609652	0.864452805999841	0.872869858897687	0.876023088277534	0.940901879964295	0.885698259169985	0.889908851056313	0.806218358850617	0.783838838082697	0.782164701669277	0.791271255220638	0.896315046105172	0.47969565813222	0.794422103295278	0.821478194207816	0.727716225558943	0.859532657980046	0.857210188147529	0.652155179471262	0.77119072660944	0.763656246385368	0.870111889013477	0.642976325766558	0.699800610969769	0.947325846916023	0.876803647881138	0.639246345709096	0.641900507966674	0.659659742761455	0.795119832523109	0.72558411628407	0.789842505859615	0.739285424748306	0.862498112143314	0.825980777941471	0.319698055749322	0.827484941743846	0.742697956552083	0.765660885250823	0.673911569241201	0.813093968477908	0.760403040516999	0.756511733656957	0.919913336829782	0.760243352051806	0.758722341843964	0.855928654098785	0.8198450503912	0.834030076540817	0.919348924643341	0.851774741323209	0.728769148454235	0.974709976127937	0.791426488640376	0.947327956127855	0.781488337106765	0.825510812422983	0.773839673774612	0.88242405309886	0.935104793339278	0.75066733704157	0.810017395825124	0.712958868134403	0.664146942446561	0.860685849288034	0.307897289613689	0.697177172181972	0.880116224809362	0.923897983131665	0.867639206678987	0.81800346978704	0.637013967181745	0.826743835266334	0.654295826456482	0.932905903187528	0.78312856091082	0.754664926010934	0.773221755321083	0.96117625566154	0.80914133240954	0.855155243807998	0.868395830949165	0.917718289084085	0.846501494301602	0.694166655685291	0.940054581351084	0.804509014717688	0.849108395454571	0.959604058249288	0.677646825659062	0.775727825140611	0.653924005834707	0.228301748133133	0.569668042008255	0.792890450870329	0.704887880939913	0.788655824247612	0.906513139977734	0.520538670740552	0.737157466976707	0.648131471525514	0.769121606457473	0.890556985197983	0.798054296484425	0.757459756253145	0.206662355422388	0.838620668454716	0.697412184690775	0.931011452785914	0.185934418076886
EGFR	0.857629596470741	0.812935809155665	0.830761729325746	1	0.940670109821392	0.850070470708899	0.814451313424392	0.874622159859378	0.931850775021626	0.944182806754214	0.824908492557777	0.93817971411896	0.895477423783969	0.851627784410794	0.854166550941456	0.909788647985257	0.813942019068241	0.822366575124724	0.570077746755033	0.945309499985494	0.902015347242289	0.703113656460137	0.862732817022793	0.759835995775894	0.935456508282342	0.905719642256285	0.867930779050546	0.867648449531623	0.879861049741496	0.792125517738583	0.802688243864004	0.938408557885231	0.853229298225841	0.878603722123255	0.833285914805851	0.732235905947004	0.848977147646216	0.917260738302572	0.820148494160289	0.875581001487833	0.898577088759202	0.697719224006137	0.89135495078285	0.81881253939608	0.949036517614752	0.797645938441138	0.805327363844031	0.810952206395012	0.877282976736493	0.505992965645326	0.706024849046217	0.710002018929018	0.869647465609328	0.851781260713682	0.900276116523396	0.734165613444302	0.927605452945048	0.932530488434189	0.512602434930225	0.837077551562778	0.81172742255182	0.858056646495333	0.725598513237502	0.845264834265762	0.787148795818102	0.914064507243158	0.844497943510124	0.880434478371731	0.906387174650448	0.944540754077875	0.92748773525009	0.932936737136113	0.869626660080676	0.898212128792379	0.741409711836684	0.814784244890498	0.836814221850259	0.914454057811294	0.878721429699734	0.915966446570462	0.77422967235194	0.90846568938511	0.835357447255599	0.809212765205549	0.914437400781437	0.817146971592652	0.783114655593179	0.841149501833767	0.425289538259026	0.85624308743137	0.799055931679482	0.848484904233159	0.871491955589835	0.886108254183968	0.793800859384926	0.913175865610992	0.613458721739564	0.806737052543614	0.865330327889119	0.841058837101978	0.836471305912259	0.877486928771813	0.891722862474927	0.896318021257492	0.936287067725326	0.888318090159153	0.957880242119749	0.786470450915796	0.843300570823516	0.897442255569345	0.889341146371075	0.802257990920849	0.842035283858683	0.791299942404586	0.700547185772614	0.42440118257472	0.741153157918384	0.884346533463438	0.868407884776031	0.845093860708321	0.740773857654403	0.58173280058388	0.864285772356648	0.80513437561392	0.86080953506495	0.866272730145043	0.912503207510036	0.844644997547001	0.300834083197141	0.929240842156733	0.696095897188863	0.904240625229593	0.248397047004999
LRP1	0.874934353838415	0.869848575945005	0.76797095000224	0.940670109821392	1	0.899477274757943	0.823330634487195	0.938763916474893	0.953365470146418	0.927283843253308	0.863174915189803	0.945187616849109	0.928260111868916	0.887488689976973	0.914222237065606	0.857485922912534	0.821224002067059	0.828353482492849	0.605059695466897	0.954580341953337	0.919563983595833	0.733215105863729	0.909875121450029	0.796290900567398	0.923347731746264	0.896916819516535	0.891166516283122	0.870866772687975	0.869214269869886	0.744859918978019	0.845519945347851	0.93980775018256	0.873488711707221	0.873217804830981	0.846141296123351	0.811121540355321	0.856718378219273	0.91836800741046	0.84638729785132	0.880574838510614	0.881110880250725	0.820003961331369	0.911816233342095	0.874502789353981	0.937625161210508	0.837875452295567	0.878286267683791	0.789424378597481	0.905015428814478	0.491117549761188	0.82218539139191	0.827867058885085	0.892919506045047	0.867997061439168	0.935088735010898	0.822626614866722	0.921747532056683	0.937405043511164	0.608672276173447	0.855882045362888	0.849533251120567	0.910341800344397	0.798917904863165	0.877345501601359	0.846138904013446	0.939404979785665	0.799006621185928	0.902512167247367	0.92709499486788	0.91203946725454	0.908237528184273	0.92268629224083	0.870031114550866	0.914786793691741	0.810307195218441	0.750604263169629	0.825598819156175	0.886981478273774	0.937748404634497	0.957944390167562	0.862772021103312	0.909762647322903	0.786490438373191	0.823999961725729	0.923515650723744	0.869989339782162	0.85684944705675	0.835896091105757	0.503321225393567	0.906694141752902	0.818654720017594	0.820358070556425	0.811003724064469	0.923076394544738	0.872088985110386	0.92673377124171	0.672169859914845	0.781276549264019	0.909473584940812	0.889915593748304	0.894395825361728	0.866103545015173	0.943923876274947	0.876325558000333	0.936954094871473	0.837068534301646	0.959994722342252	0.849271130780229	0.815914002784163	0.862600574767147	0.928226749464245	0.748430837573695	0.84077556570357	0.838901178845738	0.787384303803386	0.535486301375177	0.822132545382701	0.909049030102001	0.927253767356266	0.828479418157878	0.723810607089519	0.680679801959372	0.870802286424229	0.850376212565342	0.853082574768306	0.881620793522802	0.910401868189002	0.834824511415726	0.390358826608954	0.924205570233258	0.74143047269113	0.901027914750254	0.312790987093408
NRCAM	0.945925375798023	0.858414348431226	0.78251346879168	0.850070470708899	0.899477274757943	1	0.852035180143025	0.949323362684341	0.847719159726829	0.86440624870141	0.946635784144068	0.947321374929689	0.943678917170638	0.77603077689755	0.922160537547185	0.823759113846881	0.946825322532706	0.870614751031595	0.66998952683519	0.907044746144248	0.930412886890772	0.534209786885096	0.95182136289815	0.778555963963351	0.882239938297649	0.913604155300512	0.945639543916539	0.899800408620049	0.841170870795549	0.818539076448321	0.917139087523384	0.901418588559906	0.788224065240669	0.815312933463805	0.917235963175798	0.676845842214385	0.845871258664083	0.92289846155267	0.900637720232865	0.923149219662755	0.795690520208978	0.896781977942805	0.909559327812787	0.948634951287151	0.877496105307902	0.861386903618893	0.857180232735441	0.864729317866948	0.926648001470188	0.689264944261838	0.839142835577793	0.899219965378959	0.961283287946469	0.782545208082888	0.9211077045272	0.87827689626064	0.940553907987787	0.938651242733829	0.53199881134546	0.888952235956099	0.831151957861754	0.920218794112328	0.852767194201056	0.885225264637585	0.872180999201734	0.830063100406903	0.758328212405376	0.87029519325392	0.872709058024515	0.884527428706809	0.915536424773572	0.895823916324238	0.922807191032205	0.903148835903085	0.937475640905886	0.792680952299485	0.834636991360203	0.884222004432682	0.927809367745004	0.931179549370752	0.873904492278542	0.896772404339078	0.75830003437835	0.739332013113216	0.919998067258974	0.785114885047135	0.844396963913394	0.868737765426798	0.456325299509839	0.813516367005258	0.885889792961456	0.879551431203601	0.849081670501959	0.924569414280368	0.906261875344334	0.941183987591244	0.634893882832766	0.827474527650792	0.940853996223893	0.847159033001571	0.933179080000728	0.870402077567591	0.950157802386557	0.787386240760383	0.950782479750007	0.836822037863415	0.904438824715096	0.816022306951845	0.848304328412483	0.831320327885096	0.934762392446564	0.722042814532255	0.8798018989099	0.837999595539861	0.81216621552008	0.484254561114481	0.77000220352677	0.847008439481312	0.857916340497111	0.823741839857665	0.788696654320388	0.699734730731396	0.86955602187991	0.879220486369108	0.845635189443961	0.919167060242969	0.906681653707069	0.751650261922608	0.397588355692234	0.908123187417084	0.826838254447517	0.896346580740469	0.33308473885796
THY1	0.839232297043982	0.841315263859918	0.906981980202731	0.814451313424392	0.823330634487195	0.852035180143025	1	0.915876293739211	0.806448621831551	0.867929786024508	0.840796641409672	0.886750283667414	0.791669248599558	0.768316885810316	0.886460558970874	0.865398138121071	0.863044076010351	0.89285191113079	0.646199871448622	0.882033670150604	0.890632135641355	0.456587126329725	0.897858789754699	0.80480070984129	0.89017510017092	0.911140332198971	0.889624932728795	0.943300293329466	0.895221561548563	0.83658238219221	0.890940595446808	0.84067827003598	0.801849523364811	0.809717952191921	0.930033207232703	0.55206702263854	0.774351798436292	0.86332539307441	0.694504170595357	0.925605679898345	0.813635395822779	0.754418991287888	0.800188260516077	0.820451091327995	0.896792547772168	0.644655912088968	0.770690393619366	0.940207749381122	0.903364691668315	0.67833764074324	0.766948737909197	0.810707539553715	0.832339793713947	0.69843571514956	0.844120632272729	0.877589676641257	0.851031288887367	0.847157006501884	0.298315305480947	0.873733099194396	0.733013908412577	0.832330873274406	0.711166066964125	0.881792413600628	0.804819087971187	0.805655852849061	0.820493688863906	0.795814351928666	0.821190411079457	0.807839808539257	0.815749908363371	0.882495139683208	0.925474106540649	0.881132294140115	0.79492052077608	0.90071212661873	0.826089583672962	0.915827706998738	0.899933936227617	0.895727416827416	0.875504099193993	0.899241838016533	0.873065047204333	0.826140319204471	0.847947418522832	0.744086073940176	0.743751478907378	0.856674867557933	0.328527424236688	0.740147504823367	0.9489281978469	0.852121578876509	0.837247546483706	0.874160036455787	0.692649477756433	0.880613508039712	0.603361536829847	0.897754485033955	0.879366446667181	0.805244529576896	0.82087957678655	0.952783973926859	0.890653992418216	0.867565320102953	0.877383160648058	0.85751183399636	0.880675036757802	0.799293778990944	0.848669647001841	0.823159548893931	0.901262972527094	0.878843817070412	0.694441964192731	0.893057969689832	0.765335643826343	0.279356851124341	0.730648160873811	0.843967860509604	0.771251739202605	0.790054242179815	0.849903150194906	0.613584674544636	0.735783628912551	0.68352189130651	0.849094088924378	0.937851789399327	0.795644473805335	0.705190430265134	0.258750830007366	0.900587325282172	0.687832816304329	0.921007011559609	0.210571935824448
MRC2	0.917294036078094	0.880153205855668	0.818953409623044	0.874622159859378	0.938763916474893	0.949323362684341	0.915876293739211	1	0.879582179446432	0.899489868395042	0.922084373540292	0.95025758643533	0.91831091285139	0.849145459706621	0.957397320382121	0.855912685197908	0.907876686333032	0.887447735207648	0.627219747091987	0.942515654647502	0.938882007268037	0.558689345138068	0.956320318254545	0.78506451318492	0.927948958919382	0.938055244951542	0.931364109223568	0.927586342139345	0.898637719194424	0.804487362307733	0.919867520154459	0.919680046288026	0.836979868278392	0.862432372776058	0.929224739236015	0.698982819401366	0.832034819384117	0.934219363700725	0.822211066117449	0.950673486705509	0.823129678215971	0.870649720192149	0.887601802739587	0.914155092126889	0.929939733081172	0.8050866982985	0.85748640444657	0.892192497815743	0.941951016150807	0.643557703877633	0.84772231242297	0.881462951651843	0.92460063670559	0.774106929618737	0.929142612425683	0.916216605474578	0.923421260894476	0.927243310926434	0.47073870948453	0.892375722598892	0.82857080525323	0.91521326197663	0.822498005279343	0.932465992107334	0.865237253787412	0.885158395315542	0.774710310990494	0.888799263114965	0.903213707934509	0.871790404528381	0.901075782497261	0.937724386363657	0.925441646948357	0.93104007230249	0.897219179767578	0.810289149581937	0.87785364764625	0.896008066692763	0.966539100471125	0.956843960538411	0.924829206971506	0.928523455429178	0.819035937653358	0.821544901548237	0.92453545854848	0.811598937139096	0.838484108006633	0.883436019417135	0.421133817683756	0.855964945335993	0.927228272342234	0.85144419526949	0.838754142227734	0.953446275096876	0.850078073096349	0.945957957453911	0.635120052276233	0.844973942988274	0.955421412490646	0.886370388383286	0.923299484970164	0.91639965012163	0.96759052443382	0.858852554730188	0.943323959495053	0.836029718531414	0.945132284978298	0.840499026158809	0.831617480247812	0.862018452577567	0.959301982833216	0.779480908957685	0.815602463627031	0.913947468912284	0.838347641423553	0.427656318266827	0.823691927896715	0.89382606927601	0.88033997831969	0.810812186841563	0.798897342956755	0.693768375602197	0.839642716165222	0.839320950684241	0.866289963235479	0.933644883756636	0.894809999463395	0.750802131558894	0.354374995710137	0.947559085945896	0.769711561274658	0.91895237572083	0.275430685233086
TFRC	0.803698344587644	0.883456882698809	0.806993679843276	0.931850775021626	0.953365470146418	0.847719159726829	0.806448621831551	0.879582179446432	1	0.927425809752518	0.826868572109662	0.915779299499644	0.902905356920578	0.832617774286455	0.857739134400856	0.824759154959303	0.76543849701606	0.789868095491828	0.702995982956837	0.938463063684461	0.898718059467802	0.804704941106644	0.894967117977072	0.875754313565787	0.913593292528681	0.885175742629417	0.881778957370746	0.857397626838664	0.865370869844196	0.757397168632654	0.790880290397505	0.910182222314548	0.921322505638428	0.880703374795068	0.840001138863899	0.826463723923958	0.856195238414961	0.877746931849565	0.821948753018678	0.845859512898352	0.923364920050069	0.738406715880725	0.894950033641966	0.837688214928621	0.919557868868345	0.795868612977511	0.884098574168332	0.765634249036272	0.908331199760276	0.496616849951092	0.798024546004579	0.782008489608006	0.874160945670841	0.92727608479299	0.903028398017979	0.781185512695443	0.916876073432338	0.92147012898499	0.645417246407507	0.861643142911968	0.844691331502507	0.883636824806648	0.785294994922713	0.873013458105794	0.83680502067249	0.93292460185163	0.855099727599051	0.880750167125277	0.932041611010207	0.925763519565219	0.883424337232941	0.87647341666555	0.880509893743282	0.913720733360959	0.728653775467572	0.783792534740482	0.809401816317067	0.903959980981134	0.898374795558166	0.937596663467026	0.807291990098232	0.915300203217381	0.818766522349751	0.787516769882549	0.881023587718448	0.91145969855115	0.840078692760948	0.843945032482983	0.510894448851074	0.91644322682493	0.804979914416337	0.845227533858677	0.811436051702257	0.888416030333473	0.835043916891671	0.879084634704016	0.777783327461804	0.788333038726963	0.866804168725052	0.87306498016309	0.869174730068605	0.864473800246487	0.892416642613974	0.875978911587644	0.917699085498825	0.879657096437055	0.941743112864162	0.852450537254329	0.846246965991718	0.843758603981002	0.900795352138561	0.805607123835808	0.814436779122086	0.810311008672903	0.743083024310029	0.558814112127492	0.752960937849423	0.922980042817747	0.922280635424021	0.826183530411253	0.758222721489849	0.637651868216442	0.852473228427447	0.777191077214512	0.844865611075147	0.870273052149871	0.854575613594434	0.861172904606433	0.355941165194257	0.863753167405776	0.691275769481615	0.924114594899967	0.287348933963313
TNFRSF11B	0.870570635709981	0.865361455556933	0.878676443158168	0.944182806754214	0.927283843253308	0.86440624870141	0.867929786024508	0.899489868395042	0.927425809752518	1	0.864276173136017	0.940044689517095	0.898450538723237	0.83997966477892	0.904158994889749	0.880770998015867	0.82363697379447	0.85776680302695	0.664333804524364	0.959053786553151	0.953092111104858	0.685526130782196	0.908804538819149	0.821567651417906	0.942875261457862	0.930823774532597	0.903811286196828	0.933411059987029	0.891892309887086	0.818579095220022	0.856536638316069	0.932621221692503	0.896564591138383	0.889951618801554	0.899779472417055	0.729519763822288	0.869375506857089	0.936453718363034	0.831119665379505	0.915321552586582	0.938554871815059	0.773201830365198	0.893833371751868	0.855953987816528	0.944838906858566	0.794480147994848	0.842467754355869	0.864738690081447	0.915249796810384	0.571010893325582	0.780282121070444	0.777419055229322	0.878752919267697	0.876673497857606	0.921272165656019	0.793531514489053	0.943319344876711	0.938145318120342	0.532109820837432	0.85993714422089	0.83577488944896	0.872487478420236	0.794208425804277	0.88618949533233	0.851349293830186	0.917691169919759	0.901588760009397	0.89133465615779	0.921246050069634	0.934244883231025	0.918844263195821	0.932346130821164	0.921333016426937	0.93208344706679	0.781023763135254	0.865148314964428	0.847328633600391	0.932601945546509	0.895384458058011	0.926642968151191	0.821470046571666	0.936638782378614	0.873909271200543	0.836415941422496	0.916180186252025	0.855758743477778	0.806562337719515	0.870459942398653	0.423580801627675	0.883177594994688	0.853031259166607	0.890398391697705	0.860881747274273	0.907581931265157	0.773201958077555	0.916837808649606	0.685456529180644	0.84867454905573	0.878680361057144	0.856686086878719	0.870770312449266	0.928753732985922	0.908204462242833	0.929952508694817	0.949791306698556	0.916095431738573	0.954117774948666	0.831363798111406	0.894772953957782	0.864046243817562	0.934846203559627	0.856848108810004	0.812568826903199	0.822697719815556	0.748516662670468	0.425938746169405	0.741112914881763	0.888712279035957	0.876617590510326	0.836311432640493	0.830528548846361	0.611899987142989	0.825032910987318	0.769836821646304	0.853688292099936	0.902553361187727	0.885491989169761	0.825667296577342	0.31221759458224	0.90900655548254	0.724584866851715	0.930739831821967	0.241878529915401
