""	SIGLEC10	CCRL2	FPR1	CCR1	LILRB1	ITGB2	TFRC	APLP2	CXCR4	VSIR	NOTCH4	PILRA	TLR2	TNFRSF1B	ITGB1	HAVCR2	CD9	TNFRSF1A	C5AR1	TLR4	CD40	CANX	SIRPA	CD4	ITGAM	ADRB2	ITGB5	PLXNB2	P2RY12	TREM2	CD74	CD81	KCNQ1	TNFRSF14	PTPRC	ENG	TLR1	SORT1	TLR7	ADGRE2	IGF2R	CD300LF	PLD1	LILRA4	TRPM2	UNC5B	ITGAL	KCNQ3	RXRA	SEMA4C	ADCY7	ABCA1	NRP1	LPP	SORL1	STAB1	SELL	SMAP1	INSR	LRP1	CD33	TRADD	ITGAV	SCARB1	MCFD2	CD93	LRP10	PTPRA	PTGER4	NOTCH2	NOTCH1	NCSTN	CD69	RPSA	C1QBP	NCL	SDC3	FGFR1	PTPRZ1
SIGLEC10	1	0.702270447497237	0.815003114491918	0.83821259080283	0.846548980793494	0.808334606721579	0.660257387334828	0.889728363415904	0.748395043557735	0.909793065109711	0.756906062019977	0.896676681651749	0.863298068726517	0.942395648799462	0.889829324085227	0.896298038681718	0.544427112046502	0.876324757506088	0.689587224712092	0.720270407550419	0.697881672816773	0.867404999487668	0.776532850306765	0.922635431931557	0.83752582682854	0.734580357519066	0.800720953672935	0.907571749587232	0.878912253732133	0.729952273709056	0.900447828539125	0.881689042553709	0.796372479779684	0.8877499709776	0.908491222762967	0.786702766078854	0.860299321349395	0.920953977996307	0.825856052409802	0.701021894504691	0.741356029474522	0.785454033636769	0.672460046657261	0.584851171211516	0.828052363678337	0.829886793440983	0.811568775525066	0.770486638158896	0.847523086602383	0.659699473566824	0.828608487626553	0.904767887580143	0.816963868812012	0.834647199466057	0.948036280836547	0.827330308634528	0.625107385498777	0.830555585017547	0.52418730356949	0.893685443783961	0.896687162122396	0.818362683933898	0.857512303604049	0.799844387799686	0.839686932783685	0.693473780073521	0.783975075812394	0.772011603324626	0.599696869996813	0.756146697471614	0.437041257655831	0.909433578477198	0.631355277531124	0.866171737245338	0.844063173381365	0.838409299815004	0.655718386155059	0.48101723558896	-0.00443700537102013
CCRL2	0.702270447497237	1	0.776706422030799	0.646110460919182	0.836795519500432	0.792924998446985	0.867082467276832	0.846997224356224	0.787787801758018	0.571756942358622	0.734065686178288	0.754889418137367	0.652937160014774	0.741466518785412	0.788420985351993	0.760769215445296	0.694102349414927	0.57909077603811	0.929021525939346	0.739992925051378	0.901762787308158	0.805388742909228	0.8021745054078	0.786387534619706	0.724041001883257	0.779839085091039	0.70964211996792	0.689362135463521	0.476553994576138	0.750131281779716	0.739233298549018	0.793671545375307	0.568892579545465	0.730593518813552	0.767410884315127	0.801117974845364	0.540203665823495	0.781098436556527	0.632570833065986	0.812638893083965	0.828947678850497	0.593251332223722	0.799513676529793	0.675063187084303	0.735521469003353	0.515718058292896	0.722982599117765	0.472999956298024	0.554878860264112	0.404920699485505	0.579967687637039	0.793746234552811	0.643481684007521	0.807850103419523	0.658375662798864	0.583922651235359	0.313323504685017	0.787721683183774	0.541126074637597	0.758565981392486	0.652387053307164	0.844079809848986	0.66959917795644	0.769680618157769	0.845332444829999	0.410683710303558	0.73477755973355	0.696134346525994	0.894361255690627	0.697945749103626	0.564973940914315	0.792043304644548	0.864520171532023	0.748568982606517	0.750576316432555	0.865534338343279	0.501990397898881	0.701186135573725	0.143328981413703
FPR1	0.815003114491918	0.776706422030799	1	0.839024139042535	0.896786842243479	0.880913164884393	0.710678628087236	0.857534620950381	0.73919033683798	0.768941384826591	0.760203376713417	0.858638073152777	0.757629724672844	0.892615872195952	0.909054627466437	0.908755569108326	0.745612524022052	0.815864297891325	0.748371642883604	0.769227854980376	0.74908146624883	0.871797311686916	0.924139713620656	0.90216636219326	0.714443630376007	0.725526429372861	0.866486692723871	0.717942158998961	0.659370498639314	0.894315384278902	0.849480530201456	0.896717578066489	0.73509840091814	0.782995716722451	0.86255173111855	0.875762063557393	0.741748234242041	0.88141419030282	0.772646042346991	0.744514593107644	0.791727272400846	0.654193992099242	0.818039596054499	0.723673945184584	0.798341836590783	0.712421921824951	0.786214831615861	0.725549633145809	0.627233376434962	0.469359800389032	0.714209259708758	0.843663053703443	0.663660000562596	0.869828911508042	0.841157803785289	0.745046250827866	0.533885044778338	0.791137503684382	0.482239856295982	0.809824248672561	0.850483007124444	0.8621660606919	0.706594794407101	0.781368873883557	0.886705528128918	0.428742929759047	0.879111947586539	0.744089242391231	0.670576426869437	0.710137005884534	0.383422428804079	0.803735371831916	0.711499877787248	0.824344273687981	0.827432667513991	0.796773074013459	0.508049372955651	0.489355867307779	0.00196136656728766
CCR1	0.83821259080283	0.646110460919182	0.839024139042535	1	0.821461305486037	0.786354000361869	0.613716503187276	0.845167340204536	0.720407392218332	0.840901670538518	0.693207056896585	0.843329529043447	0.756170155772393	0.867594619509439	0.844361369306937	0.874978698607811	0.565557672355006	0.84893887802254	0.662486385745051	0.672104761957917	0.715146797272925	0.819934314367194	0.763223119080531	0.859927224794847	0.780477293395735	0.681743587755789	0.783592131465988	0.735567585336357	0.755059768882804	0.748909842372438	0.869392416694683	0.843677504976599	0.767581646568077	0.835894283876507	0.838534642444919	0.790254057417086	0.72575022649421	0.818489405094254	0.808357201878546	0.730984279613117	0.684649581638612	0.724565610576922	0.63907236861669	0.602557959266147	0.770482556224682	0.711739265405428	0.790234441195967	0.738444489965336	0.74413047817232	0.59712108956203	0.660744076100176	0.842935440080546	0.682835787893284	0.801652801589296	0.873111210155165	0.758224847161654	0.72106935922794	0.785359069819831	0.472263909278085	0.819579498413121	0.837188025501314	0.76433197420346	0.72749257381953	0.705010319251874	0.80409158720497	0.572013241438406	0.803951699197256	0.704135618309049	0.565891931257064	0.690175325257721	0.406080172195071	0.754334067534249	0.584906820801388	0.834468011918497	0.805844542239888	0.765598181192152	0.599854573298428	0.405693979833663	-0.0262944530883871
LILRB1	0.846548980793494	0.836795519500432	0.896786842243479	0.821461305486037	1	0.894143290461931	0.707534209537925	0.889682684641925	0.701185590470208	0.735600378949978	0.78099109867429	0.832307141748632	0.738411539229571	0.880909135701033	0.892592534032416	0.87054781495812	0.754459635999324	0.77774585421981	0.78555843717774	0.716953744739644	0.812213779513302	0.906922835604755	0.908316050667631	0.914920341037693	0.759947425337964	0.695164139663185	0.876967431034048	0.777547669815281	0.679760186829049	0.862203280121878	0.831016108475151	0.909735383539621	0.67801337139951	0.809685315700035	0.875529321669976	0.892641719413784	0.74441946830438	0.895827160474461	0.769358386912341	0.774075012687753	0.873935570406129	0.702123341322931	0.821577165119195	0.73836791893047	0.821313211162717	0.73810155351428	0.790740013915592	0.706009742283305	0.664303621193741	0.553951116853283	0.745927810825922	0.833437506322422	0.726110663502953	0.89255675911498	0.842255547448232	0.782578058347137	0.514206578477511	0.8404395180283	0.541077299273178	0.8267925952312	0.796111770364572	0.860571861602761	0.755575589783539	0.788325934042169	0.914635782003266	0.484054919914998	0.866467406469734	0.76394563124925	0.742193861101819	0.757670270691392	0.458402726907785	0.84168070877356	0.711778614057835	0.846853027917683	0.835513302115295	0.841351372067887	0.58986271420968	0.536315422451689	0.0905004173732421
ITGB2	0.808334606721579	0.792924998446985	0.880913164884393	0.786354000361869	0.894143290461931	1	0.652245916079499	0.882683268515724	0.582768181409663	0.660248361456656	0.704819781095874	0.875173860491094	0.602629760831731	0.82648821338986	0.91155352931205	0.921864483499977	0.900086538952434	0.775767766755881	0.69256664444679	0.648297364166798	0.790389522998583	0.933057314239585	0.94650261267104	0.852922427814231	0.68192561737991	0.611397208036514	0.947067463192294	0.704764177297639	0.637352240082384	0.970671644188286	0.794144805089242	0.978293597592799	0.586031305060314	0.831755315168299	0.810548628530086	0.9316800399569	0.723022901872372	0.878215932840501	0.683803005067243	0.743336883522872	0.863878021788634	0.748971230240465	0.875574061851141	0.886647327638702	0.77019747107598	0.706594983290011	0.796574602698701	0.630807281635013	0.653376242293467	0.461700843941298	0.645616924974958	0.764819324194246	0.671183577999048	0.837720993084589	0.778197135805673	0.706608969517959	0.497507209700025	0.847678301582803	0.421653333131695	0.795689984303112	0.772936359565807	0.891695277229933	0.698238235337494	0.792964510350883	0.912585188326045	0.356026743042325	0.942190774405327	0.775604045941243	0.660953046838883	0.737651401765179	0.377481865221936	0.853611296992326	0.600971401272653	0.887175660906153	0.884092529128409	0.794181702069253	0.464046095512865	0.423575999962783	0.0902827735466505
TFRC	0.660257387334828	0.867082467276832	0.710678628087236	0.613716503187276	0.707534209537925	0.652245916079499	1	0.82123542970948	0.846865209705884	0.595093572024208	0.7596911827679	0.712080931911259	0.702400784461546	0.725795106899319	0.721043453628469	0.695798217176628	0.517627687784185	0.554856150581399	0.917556042483785	0.797957249607021	0.797583078187878	0.733818103240056	0.676325524824008	0.726564808758511	0.69165597708782	0.796451898576002	0.568126798621467	0.676767638886825	0.445420275076535	0.607426259314315	0.741664908643329	0.680827640649914	0.546485260628615	0.669896007624618	0.736126916871977	0.714626048604192	0.482453422949911	0.743308620713167	0.577329036670612	0.811955638576739	0.698597365667628	0.481847889825525	0.663509604153933	0.513935919557765	0.740196261859254	0.45687224133395	0.748071837103982	0.485551191875085	0.588817244492933	0.482538048374381	0.533637482263542	0.79980767089198	0.614143038386759	0.789410605177215	0.65842366753456	0.480604354233476	0.2865329950868	0.780543754075073	0.661961145565649	0.783862720417984	0.633400374741101	0.790371816968036	0.686862270579349	0.738022696381343	0.769503530281508	0.450514285317883	0.620295417498556	0.702335035570521	0.848647355537311	0.764995884233776	0.661015107043725	0.741645703264018	0.845422140313178	0.690975489823846	0.672591514539643	0.864306149069211	0.539647738812769	0.754573957706351	0.237458547178333
APLP2	0.889728363415904	0.846997224356224	0.857534620950381	0.845167340204536	0.889682684641925	0.882683268515724	0.82123542970948	1	0.792960385644223	0.781468003701277	0.818334227312664	0.913864979306668	0.801169829793102	0.92094004419652	0.944649855367409	0.911929381631249	0.701829557749592	0.820900954498786	0.833252821700372	0.767898345702162	0.847202535196439	0.954435163761272	0.857556278985062	0.898209713778857	0.836911280654543	0.780177676712563	0.832123452288917	0.825349780400108	0.738089826817203	0.82410233281916	0.886616747938032	0.92198551008058	0.680419161401299	0.8712022416396	0.926589214286101	0.880686383888566	0.774774704981102	0.941222412125412	0.807909801397019	0.855294350124086	0.865337667429861	0.725002543062768	0.797531850695885	0.689364707260922	0.842214101355644	0.726810385493403	0.888181533229878	0.728620319269915	0.784765010349284	0.649754843539963	0.732949508561852	0.919840825380997	0.765704407921813	0.928997072272467	0.888424396742667	0.703465263774852	0.561768505824543	0.937601554609676	0.620279502975436	0.936523867009343	0.831315329976904	0.909458772129546	0.861631319356999	0.891274318218944	0.929674095060417	0.557997995294228	0.855143843774618	0.880071039061719	0.751227991875312	0.848300685508376	0.642696708107613	0.910448202895446	0.713048265356321	0.905146291066418	0.896432228353867	0.948251532748257	0.685460632831371	0.650120355558447	0.232523400899595
CXCR4	0.748395043557735	0.787787801758018	0.73919033683798	0.720407392218332	0.701185590470208	0.582768181409663	0.846865209705884	0.792960385644223	1	0.803796879387799	0.767484345743391	0.772423697067587	0.835553419236548	0.804986604757108	0.743509194223724	0.740868410292237	0.352015013988307	0.674596449600615	0.85655449382486	0.761890972157499	0.752260779031767	0.683830323459398	0.60741562275026	0.763278381053277	0.83265940058491	0.903441472866179	0.520939293031458	0.724921044270006	0.587003209700884	0.512452737284658	0.859196870048737	0.662041087245774	0.776254693681242	0.734934985374846	0.799236758763828	0.655327171406069	0.566912795382681	0.744745936500805	0.721493768448774	0.735429819985226	0.585067436591705	0.623338927790516	0.571815914726125	0.406189905111364	0.674375393576643	0.467236626399882	0.71040150251001	0.570189031203556	0.652494108056388	0.537984840241111	0.583154058459893	0.884922253111715	0.613685049878492	0.762509375881212	0.755156876552538	0.542463774456892	0.490331479478846	0.728075298038866	0.652742820302459	0.807301263219344	0.74075643629694	0.763374956569456	0.657963183814213	0.718122505880246	0.696840306678026	0.571421113954384	0.599344216766361	0.636965240517828	0.763535851930971	0.668888396061496	0.552279043812201	0.730599852137336	0.867684418277749	0.735294344090812	0.683892975781138	0.849924442497071	0.591207793340018	0.606018487503973	0.0205608401739174
VSIR	0.909793065109711	0.571756942358622	0.768941384826591	0.840901670538518	0.735600378949978	0.660248361456656	0.595093572024208	0.781468003701277	0.803796879387799	1	0.690507473445092	0.864253020350761	0.868463315382368	0.900850562665938	0.80447920875641	0.840440400384738	0.33703698755509	0.891875942053195	0.612943117745388	0.675297771387139	0.611892113489104	0.732452196166548	0.638263121341228	0.867629868394041	0.846805198446196	0.748636593435757	0.676010595489829	0.842605052856828	0.874317776559679	0.591407302601112	0.926352676609158	0.769093336041865	0.885680024117517	0.843534926000182	0.827385241225928	0.651020227983405	0.74765704452596	0.803154952635307	0.844287684389674	0.611918668539843	0.549756471726556	0.769543546803067	0.490559390863002	0.433881763726822	0.735431399373897	0.723774680711773	0.743734231706946	0.738496351932398	0.808154185429188	0.656000816429961	0.730002453628583	0.878798875984653	0.712083236093663	0.73641157319551	0.930189276650261	0.787717290849112	0.707080648260076	0.721064413340695	0.482485625344848	0.843253695353358	0.908911602622236	0.722063361913815	0.737083596413955	0.705840926077394	0.713397568748474	0.692781511850836	0.692230967842612	0.679925514694212	0.500556284316266	0.663238318735209	0.353864161915779	0.789750000080734	0.597014679001715	0.82487356853799	0.788524545139577	0.745700877790892	0.630306767182282	0.367221945394487	-0.112339490901064
