""	CD2	CD3G	CD3D	CD247	CD8A	KLRD1	KLRB1	CD8B	KLRC1	CCR5	KLRF1	KLRK1	CXCR4	F2R	IGF2R	CD69	CD44	ADGRE5	ITGAL	PILRB	ITGA4	ITGB1	LAG3	KLRC2	S1PR4	PTPRC	TNFRSF14	FAS	SIRPG	CD47	PTGDR	PDCD1	CD226	ITGB2	PTPRA	RACK1	SMAP1	TSPAN5	CLEC2D	CD81	ADCY7	LPP	TSPAN14	CANX	HAVCR2	TFRC	PTGER4	STX4	IFITM1	SLC1A5	CD74	SORL1	SLC16A7	CD63	APLP2	LAMP1	CD46	C1QBP
CD2	1	0.938565492588981	0.937875475264227	0.687964422656643	0.682994590402217	0.549058930809607	0.80486682215542	0.930686184294947	0.42568278240663	0.551525064901067	0.534789574618592	0.924380447929042	0.886375685110744	0.297647153066712	-0.104472249291069	0.919941374939301	0.748910009470785	0.888663240795645	0.845339213452652	0.210333723910124	0.807759504899631	0.393896859888133	0.783459676953526	0.000630168415800955	0.823007842487523	0.89759841875122	0.656988545380844	0.623990913350628	0.531951326604802	0.214108438554002	0.597677597644725	0.822881119734243	0.826259965935097	0.224458098615258	0.109965704089704	0.2455462983832	-0.0636306505809943	0.198846397597966	0.815005310837854	0.0651375123945684	0.376037319995344	-0.0539255447801355	-0.0597038774625182	-0.392540406300488	0.066981322988166	-0.483430021642714	0.775139675114628	0.35040229978079	0.898249732941269	0.125032212012509	-0.133018941843895	-0.275614573809536	-0.443483360823204	0.0561704061235226	-0.409314385881609	-0.27528443343295	0.294115901721444	-0.05452267806661
CD3G	0.938565492588981	1	0.966734696095577	0.773581451776682	0.657661327044923	0.539426081197538	0.876803466710284	0.952191404300349	0.581080612642605	0.501403812214436	0.453482611287432	0.905559220220043	0.952600896166945	0.272640489441242	-0.241076715559865	0.985994465414649	0.709563469656297	0.968657177745721	0.827238558168267	0.165799645341382	0.780510421266516	0.396690606576348	0.808978652027402	0.0310206271409168	0.792564348015709	0.868169392899801	0.777278362985446	0.596792295309425	0.622172844389467	0.376603745007842	0.560790148463203	0.800566784583675	0.837849837974852	0.18422279507286	0.110670822758761	0.399995458423798	-0.0401502450267438	0.173544955672419	0.750121662499978	0.127420870194406	0.258756740602591	-0.0899346476574132	-0.164573797161308	-0.383648121464676	0.0466392648587886	-0.490578163398322	0.748736167239053	0.409508295059331	0.87685599630022	0.165960366221692	-0.0962908973414344	-0.340572590828603	-0.415876753114986	0.163838095643376	-0.427342804739291	-0.366947780440223	0.23483795154073	0.056611944030829
CD3D	0.937875475264227	0.966734696095577	1	0.793322563871709	0.574872304935479	0.570897229265723	0.874260906673055	0.934019270022387	0.644556961802652	0.445233527178903	0.450922538290399	0.83030838940827	0.893553466152883	0.256880460325669	-0.125091312154271	0.938889927598693	0.607635262781866	0.930653025690109	0.845446508705109	0.0341308387431289	0.789005829931862	0.43733598954979	0.747322897026866	0.0700161422065907	0.832469656353734	0.835521374525144	0.809417919631447	0.574272745355127	0.695287964636074	0.306199387137272	0.695407762763923	0.827434232271444	0.779896929926423	0.241311645666965	0.125059065012695	0.414242129637907	-0.0375956267171382	0.240182599823454	0.672224391281665	0.15820473395143	0.141423217284912	-0.0514463483057636	-0.119364873116644	-0.367617748761545	0.139808910899084	-0.473712862320802	0.641874324225615	0.382602022809673	0.918545822223184	0.208644150274088	-0.0419112353432124	-0.340884921375574	-0.431666556519169	0.217710798062713	-0.425973408520663	-0.349196071540094	0.209499035515008	0.0951684502282681
CD247	0.687964422656643	0.773581451776682	0.793322563871709	1	0.554743387675441	0.535498937060498	0.848266178188899	0.661428606343579	0.883666321967059	0.525792576723392	0.443013294137946	0.670482675739062	0.807044074745554	0.199939885627699	-0.3443946219413	0.799351379784895	0.49261915804239	0.747267208056089	0.69679427624774	0.0741369988598311	0.553659039371858	0.34036828680392	0.568991320883342	0.165697537609125	0.745044844107055	0.60865727453859	0.752407638967827	0.295604539152439	0.557970378488028	0.286508852702619	0.500297029181499	0.67209129172103	0.505443323379625	0.115118747752969	0.11606149884985	0.479134365327649	-0.0689190156937119	0.0271033777173781	0.430244303973901	0.190792663463711	-0.00660035444637232	-0.175560879481585	0.0946208790538008	-0.40468451146999	-0.0144840155489748	-0.511620858608235	0.420464746768553	0.241121846918833	0.790043579584514	0.138487040204606	0.0340168734418082	-0.42040859816885	-0.405656630908862	0.304650995220276	-0.417061460636821	-0.389135638830464	0.00227954258658575	0.166209160753826
CD8A	0.682994590402217	0.657661327044923	0.574872304935479	0.554743387675441	1	0.507197041924459	0.61297972563266	0.576692605184056	0.238102016157372	0.899210526665299	0.674405225814604	0.667533776960953	0.775415283794092	0.0573412537101541	-0.447496896632826	0.622679942999529	0.567964900429606	0.525478249321319	0.745367046996185	0.481038864783301	0.28832242875348	-0.175863536161281	0.787888247784028	0.0721025664930947	0.535833898043417	0.483756539071878	0.327610862677315	0.0356435857615366	-0.111467542807666	-0.026151923216043	-0.0126510041311444	0.403428704742404	0.460918077712814	-0.123237462781396	0.12027970204594	-0.0928775236629704	-0.285603730778014	-0.222107526298198	0.67957973762702	-0.311842728909022	0.471027565793591	-0.420381228152192	0.0779021755096463	-0.566762570206806	-0.38444699276707	-0.558244371430741	0.487558291757033	0.0114779336312308	0.594456940661084	0.0706378704583048	-0.423401900199962	-0.41074174078855	-0.331876447382853	-0.343537834001474	-0.562569816301929	-0.490395693257605	-0.150225852797287	-0.325782359646222
KLRD1	0.549058930809607	0.539426081197538	0.570897229265723	0.535498937060498	0.507197041924459	1	0.76210727591732	0.387643405958758	0.462484644056236	0.275832751761614	0.870060847383887	0.3487206974115	0.621737186367927	-0.348128583402747	-0.0968778333040261	0.524493847660482	0.232498977706691	0.457567159454173	0.829209364279877	-0.159247005569855	0.10333958044268	-0.232873185136891	0.331101766051264	0.438612609524728	0.755854840891293	0.234127118453954	0.356135122312186	-0.115653497148822	0.0897746532014174	-0.150241461063095	0.621099674372378	0.706955693181701	0.36420243868471	-0.00677706049609189	0.150682833422386	-0.0705402755569337	-0.434450995621226	-0.0556993729943608	0.0911359785396148	-0.437485028096484	-0.228239179487803	-0.568244449169154	-0.201170412756122	-0.565172666605608	-0.172962948090066	-0.623363558050268	0.154185907383552	-0.313222490738402	0.677403688561388	0.391517963880593	-0.431736944222685	-0.6288260294148	-0.40310634162377	-0.309613433208133	-0.733541215113308	-0.643689481675339	-0.379901655601863	-0.159737476050793
KLRB1	0.80486682215542	0.876803466710284	0.874260906673055	0.848266178188899	0.61297972563266	0.76210727591732	1	0.766897961207512	0.693596452401844	0.43135121172312	0.644230566824547	0.712423086410978	0.910518506102485	0.0353086371769337	-0.3021617840155	0.877876223999971	0.567455304630716	0.832500221720066	0.836187969598534	0.0331253583429486	0.50749104010387	0.172132760821909	0.617901219069049	0.255263002754015	0.825951355898671	0.652701524797729	0.668756844296302	0.288394022886684	0.456293618518879	0.246905432412958	0.634260777305855	0.852632746078101	0.713455441505277	0.109122112517556	0.118597885228678	0.335813581381377	-0.216783523456231	0.0400346009982015	0.475404685533708	-0.0393014087920649	0.00604767470322759	-0.344979503799156	-0.213771971995169	-0.522762705747135	-0.0573147253949035	-0.662270418989661	0.503277487034024	0.165602592539863	0.846533579175223	0.193314681098211	-0.164832883279472	-0.554540801765538	-0.474582529171677	0.0550851619419239	-0.617889959651668	-0.556146807821991	-0.0692208467537883	0.0346831461303085
CD8B	0.930686184294947	0.952191404300349	0.934019270022387	0.661428606343579	0.576692605184056	0.387643405958758	0.766897961207512	1	0.445896451234371	0.460851650927206	0.350513210475699	0.894563028933442	0.883227051020294	0.382036042845128	-0.179895844439553	0.925210381702079	0.752417490639042	0.938352866914753	0.737511015749587	0.175393502622928	0.872157726102515	0.514541956138982	0.763853193722369	-0.109011907650931	0.748768711638846	0.893804270294244	0.703083011524934	0.702125908421201	0.648960824195963	0.406562519245885	0.562460320021184	0.7254847979834	0.79812344008404	0.191874888548043	0.0651800162930108	0.402455445971941	0.0716904930413491	0.231518155361879	0.808415285918353	0.193224017319718	0.301825031445654	0.0502250231064091	-0.137825025847376	-0.293795909415045	0.109502486838639	-0.416681013865057	0.778209137181024	0.456054461077566	0.835310460132918	0.0547965683998113	-0.0355640852415431	-0.24199361481083	-0.379994197400552	0.218537238536406	-0.309553711582877	-0.244546807692309	0.353298055114476	0.0792821446879366
KLRC1	0.42568278240663	0.581080612642605	0.644556961802652	0.883666321967059	0.238102016157372	0.462484644056236	0.693596452401844	0.445896451234371	1	0.188082192475728	0.18940517225562	0.384736577662255	0.559830735697183	0.100725784533391	-0.219707208914326	0.599127686248672	0.0915552858619997	0.614574344652222	0.504901352216823	-0.207994415277843	0.370712194449283	0.335158567960219	0.406447335971889	0.320860395662879	0.534025817433586	0.342889498694914	0.801019562080513	0.138944647090509	0.646174890019576	0.256837913296231	0.555786683008209	0.542972313237489	0.297484451144776	0.119265501381507	0.152768053404194	0.596839266226781	-0.0155574307517861	0.159660156076515	0.0953043354439322	0.29520509492277	-0.351089352690636	-0.113993432257331	-0.0282162230306232	-0.231175340558607	0.0604866380360332	-0.336108501204764	0.10345313270536	0.197865212222979	0.64035003899664	0.320705298306307	0.151361601504437	-0.432820934150612	-0.257834401928528	0.482419998542139	-0.339865720658727	-0.329344672966466	-0.0742560526616428	0.358201108622119
CCR5	0.551525064901067	0.501403812214436	0.445233527178903	0.525792576723392	0.899210526665299	0.275832751761614	0.43135121172312	0.460851650927206	0.188082192475728	1	0.553145088656767	0.565978688623077	0.639584993949094	0.194810441531904	-0.356956696495887	0.478946801784783	0.540131117090855	0.365439436457584	0.588733660539071	0.561912064053264	0.28989019216095	-0.0739600687642535	0.657647164065145	-0.103334155045624	0.453402694399698	0.444843585288356	0.273031635056088	0.0554879615688391	-0.12524922554935	-0.0109350091838508	-0.161156927545482	0.177697808136352	0.286984489792607	-0.0296968550394466	0.0805763612127818	-0.110402201126708	-0.18886175546742	-0.306313201609228	0.6752325912214	-0.13779135759047	0.559798621129926	-0.212847735708158	0.369560540306522	-0.451339943693393	-0.200290105494735	-0.380518122152198	0.450593369983796	0.131288078531817	0.454359760646965	0.00999306692921083	-0.199760480248372	-0.153880353524808	-0.287017369120906	-0.243896940131876	-0.335908796824453	-0.299310261414064	-0.0644312797866778	-0.327433167802443
