""	CCR1	SIGLEC10	CANX	C5AR1	LILRB2	CD163	APLP2	LILRB1	IGF2R	TNFRSF1A	ITGB2	ADGRE2	CCR5	SDC4	CD4	PLXNB2	KCNQ3	ENG	ITGB1	NECTIN2	ITGAM	IL6R	TREM2	SIRPA	TLR2	ITGB5	HAVCR2	THBD	TREM1	TLR4	RXRA	KCNQ1	GPNMB	TFRC	LTBR	FPR1	PDE1B	SORL1	CD74	LPP	AXL	TSPAN14	KCNN4	CD44	INSR	RIPK1	KCNJ15	SDC2	STAB1	SIGLEC1	PILRA	TSPAN15	TLR7	LRP1	TNFRSF10D	TLR6	TNFRSF10A	TNFRSF14	CD9	PLD2	CXADR	ADCY7	ACKR3	TLR1	ASGR1	SCARF1	SORT1	TSPAN17	CD81	NOTCH1	UNC5B	NOTCH2	ADGRE5	CADM1	ITGAV	LAMP1	SMAP1	EDNRB	CMKLR1	CD99L2	NRP1	PTPRA	ERAP1	TNFRSF10B	CXCR4	S1PR1	PILRB	MCFD2	CD63	EPHB2	SLC16A7	PTPRC	SDC3	NRP2	PLAUR	NCL	CLEC2D	PTGER4	SLC16A1	ITGA6	PTPRZ1
CCR1	1	0.156055986355975	0.851119523308789	0.711789727463051	0.577635149377485	0.67735768552364	0.853267523808907	0.567182193930304	0.626287421055299	0.723371064330099	0.762553455320272	0.564671400358645	0.533848988210461	0.66753179278675	0.675380657996767	0.732035040477348	0.183802416502909	0.672857138947414	0.817986714491376	0.719984952337734	0.738121943473441	0.730098293085051	0.377956323544295	0.710634394048854	0.681158036888939	0.783718682877765	0.759280872275	0.807991825775088	0.824826424847191	0.66893381328729	0.730724420040798	0.643988857204487	0.47367713959119	0.645152040198081	0.718596263139249	0.629418093770776	0.300997281446183	0.137945098430259	0.298293288918209	0.452113261741922	0.10521894015307	0.411599566054088	0.672207957929711	0.830776941114081	-0.0342360898569919	0.62056080598399	0.615782735443794	0.62173116069085	0.369373600488601	0.166209670819762	0.319828514144317	0.685974408860535	0.0991289728122334	0.534760501311774	0.634940043808511	-0.115675194533654	0.66347545257876	0.65632700573696	0.672399988421598	0.567696575740345	0.564264948062415	0.255004139271449	0.682875884368696	0.490269334418325	0.567252161141336	0.225428484912879	0.307474716181311	0.647657950450252	0.6608241034656	0.436479782656603	0.255842640074197	0.592061374215868	0.358912356356653	0.123051677289121	0.550642002607118	0.817182646263688	0.769231752926716	0.626527839907208	-0.351635092859057	0.578792797472288	0.782561950434684	0.560340214045292	0.577009892945007	0.398879347188465	0.565036694854537	0.586338160741933	0.34637498530006	0.82689914403093	0.88793304246237	0.621066076489546	0.566588242448109	0.613201539713855	0.399197164129652	0.669779017536656	0.852536316696051	0.65648814900268	-0.217571232524066	0.512494148317043	0.29918860532098	0.202293181971979	-0.117495357897908
SIGLEC10	0.156055986355975	1	0.208444450916268	-0.336287585017473	0.708012586558452	0.614892732029688	0.0692131394194307	0.801931424144462	-0.238627081859553	0.578063555947043	0.583050437549817	0.614314256163817	0.572401348707266	-0.146724336324066	0.672548046547324	0.569832864825743	0.773700044796708	0.563820392308749	0.3258807873452	0.471494836454227	0.620851742878152	0.633780495357327	0.812345094222744	0.569452572767141	0.586614072077131	0.00743207287186612	0.510247193864518	-0.0426003157668719	0.0505532810302541	0.301956784912502	0.572083015633568	0.60497050565074	-0.614029325353478	-0.284949079822691	0.49159701571244	0.682865766313972	0.755173460703898	0.885958811388252	0.903463159317617	0.662232323438173	0.760079510841947	0.625915300918306	0.508892698075099	0.0903424177194849	-0.0297767001379117	0.536728305283745	0.606504183265265	-0.50476539056487	0.817114431848132	-0.0554977263592461	-0.487976947839611	0.586714281228851	0.887677249891672	0.161280392636507	0.338552712569998	0.384475351800184	0.538221809889597	-0.313671761530893	0.0770898788531964	0.63696291176064	-0.0991704284239828	0.861343672448744	0.0491344522992428	0.815392156677777	0.739638726909763	0.760942161970537	0.811569795652696	0.625759312057776	0.70449491357725	0.758150150418563	0.847555994947662	-0.0768288853258107	-0.00367232395143114	-0.206320368397112	0.700791272788746	-0.154060925865834	0.400877490416063	-0.32194653710495	0.293275523253991	0.546109117018777	0.223433213735063	0.628027596183501	0.736116049606497	0.304716676574791	0.102775446785617	0.146674271994463	0.357046420367659	0.25492898233955	0.126241760443072	0.530918153490608	0.628813227082244	0.675073213033728	-0.258839853509528	-0.294587385140569	0.084362654541239	0.602950979723619	0.45703227539023	0.563252163531391	0.178397535686894	0.587168852805279	-0.111208843610788
CANX	0.851119523308789	0.208444450916268	1	0.754812848909681	0.587390475947119	0.792024446234843	0.933250249446233	0.579902807541898	0.726109001021777	0.83488867324001	0.819158855390934	0.706857284409381	0.638411412628671	0.839472843380727	0.752364963474907	0.837808088429611	0.320617880409683	0.766784351433859	0.956572394043251	0.863061073164226	0.804594183605952	0.729613623634078	0.504928448905551	0.820639643166485	0.804839111909769	0.842312943304781	0.857164866916816	0.822504802893725	0.902917290592905	0.770188123100421	0.816065204856521	0.651081334458397	0.504424616202604	0.722100338593105	0.789159404262918	0.691373273549663	0.424412936752043	0.268299867391061	0.400177733858179	0.624888845944273	0.293202839636108	0.563883373922685	0.77363594490072	0.954383267187758	0.177170986494581	0.785728144371197	0.718834496319734	0.675694408353728	0.435170606526473	0.199151597636437	0.31697512287748	0.783284658351553	0.203159785317422	0.650656940902744	0.738910190940358	0.11255480730937	0.833557261007381	0.750121399411981	0.834409918458896	0.630351772154452	0.698460593454951	0.368140109388443	0.757080998025945	0.616668854615717	0.605760177377063	0.352151820948339	0.46300242317339	0.697669808348999	0.76411021442249	0.504190201212249	0.428756071678986	0.736670881399277	0.544708448294167	0.269857840323028	0.710119386618976	0.855217122681289	0.908229696489085	0.726447899748807	-0.252161396713548	0.692446597062454	0.89565428391471	0.718450136810319	0.703690835138964	0.574321426185193	0.673774259364528	0.70121907731575	0.544169156908835	0.947541771113513	0.949549487956872	0.714936275820696	0.643228226976251	0.731703705794725	0.526362546040603	0.794318558166255	0.938912271898933	0.785290769463756	-0.0980608560434695	0.64507318739421	0.51606758117953	0.410323133454076	0.0591363062581181
C5AR1	0.711789727463051	-0.336287585017473	0.754812848909681	1	0.195628110913159	0.425300163956393	0.827000161137853	0.0895403827301795	0.878219935575229	0.403675256965495	0.457466613050077	0.327925932175833	0.257577894520038	0.855638444573515	0.328727429794548	0.446845428457757	-0.0752994235109489	0.387740474184915	0.68131213377225	0.529106120517136	0.425582362287485	0.382327372371377	0.0449818322337902	0.448959002266737	0.43786986489307	0.828577029543624	0.521992209867023	0.760587165784879	0.820681708556876	0.654986739337349	0.415191379218858	0.303039659594631	0.859086735108091	0.835168179732305	0.484459550752433	0.268845262702994	-0.0263838983486582	-0.257184842260587	-0.133415423947514	0.201396068059164	-0.126709164177545	0.233312515119187	0.317076706559946	0.788774316765955	0.123422507079561	0.353791525239343	0.223250446990269	0.925109164806593	-0.0141715302648643	0.34391076837366	0.606323094751346	0.398712938650846	-0.295791845689593	0.635161150484592	0.568318582243068	-0.0699498635464883	0.373874624922135	0.876577426941134	0.718638834832342	0.258104271779278	0.726051115015343	-0.182150889449085	0.785618045541252	0.133597151491964	0.124520021564361	-0.0833464221882438	0.0127286991519679	0.256547817631695	0.301798416157457	0.0330288427120964	-0.0962445711704847	0.738297341094923	0.416013888258963	0.44937821557689	0.258560793786554	0.889410336847902	0.564838732947176	0.927633648268203	-0.318415615432648	0.2924328056493	0.745104859460038	0.235419194435949	0.197499637416003	0.275354868516983	0.576404535866513	0.608508790092386	0.195337215132737	0.649980401691494	0.805739561160529	0.378112575815836	0.147947717304161	0.270370847821646	0.684506911955281	0.89807714035628	0.838085199335198	0.290970189257984	-0.366662114835627	0.254692856654563	0.240711521532557	0.0392070849048771	0.0144377035572668
LILRB2	0.577635149377485	0.708012586558452	0.587390475947119	0.195628110913159	1	0.877073298842199	0.463234555535363	0.884787807998246	0.105831830176799	0.834834148431053	0.888061113440744	0.867656339069884	0.855481513839461	0.336884329141782	0.904128476754387	0.830863492177525	0.700007329790519	0.913798697569277	0.671680709336007	0.818235875427365	0.864296576400106	0.853817549702569	0.828647445250583	0.908970094716227	0.880275497871889	0.402174662902258	0.869806798817265	0.454288723924196	0.584959785714151	0.512477553699346	0.789613119981209	0.817741160536744	-0.261196474018488	0.108210415915315	0.790624001166135	0.928791077495333	0.722983523829251	0.671647357553165	0.820308429080107	0.705615051328319	0.492664355782956	0.558137207747858	0.79814184117289	0.581617175024689	-0.0376861058118378	0.785613790650766	0.841652135139515	-0.0562075404460497	0.809462143042629	-0.112049622310782	-0.354335884773615	0.793552501629772	0.684726342153422	0.373846325194862	0.62253048376551	0.112032777347509	0.748327671331427	0.100428300312077	0.432212695684677	0.838617421158327	0.257862745410671	0.692264621056178	0.570753285072365	0.822574879966813	0.909779554643958	0.740975301135978	0.753612214062115	0.830371355819062	0.840374940771344	0.756849743639594	0.756413199501325	0.184113877998953	0.188495948484779	-0.29509397290799	0.86426226246965	0.234658735201323	0.681873317217937	0.0679633495753666	-0.202166082267638	0.820637426054553	0.659773600456389	0.817505023565104	0.856104429920473	0.568386077271691	0.293769492966959	0.559543943322116	0.355821643316795	0.610625474099834	0.548670674897444	0.646517600872342	0.80528214445469	0.903105552877337	-0.0301409274853655	0.0929341740351423	0.557471942850536	0.839837816511053	0.0243771905120959	0.811892909181888	0.385923597535438	0.436877674101131	-0.0472067979019043
CD163	0.67735768552364	0.614892732029688	0.792024446234843	0.425300163956393	0.877073298842199	1	0.710852109202164	0.873270013065183	0.440723463756321	0.926683234514746	0.951177427378475	0.95862555680216	0.815587634055694	0.587636325871433	0.958995666523288	0.949447646755334	0.719116977556497	0.94440387596775	0.868117026223502	0.927350181501945	0.958905626774843	0.873154930122717	0.863412349331069	0.949645805405158	0.954495741350249	0.670828664259044	0.955818403592966	0.569429633927797	0.756021973264306	0.771169274212025	0.919696047692172	0.842843756484486	0.00949711893656078	0.379840981615007	0.868571412160577	0.935001905029382	0.741155521897814	0.652055695885056	0.76307682505636	0.845112639259181	0.559531694448482	0.726746671825885	0.848278080207634	0.742421481405135	0.0711092674263885	0.877212639839584	0.831178357500961	0.198461416767738	0.856662576279904	0.219402694128898	-0.128982063561423	0.911003126246903	0.636456289293784	0.668978150617086	0.723783904934002	0.303699881958562	0.826069911443021	0.307736404438592	0.646624078080196	0.870488589222945	0.530640662329102	0.703906535125244	0.697723654189941	0.877203850720954	0.818263056655517	0.707975334034606	0.744497468591463	0.80974100202544	0.906551878067529	0.763769599476422	0.755917100482063	0.424786528752522	0.356538226778434	0.0388734185464313	0.951516379282709	0.503630972430401	0.819727048580571	0.354072609932156	-0.100229089849555	0.887565079341141	0.879349396803161	0.865396156456583	0.88661723082409	0.566822899705885	0.476870844792238	0.710351955228817	0.491397331015401	0.750097883875144	0.728219739981696	0.823868376914832	0.779991395649177	0.93218938577079	0.290797054032009	0.390311006736238	0.748767774296006	0.874996247327475	0.128098850051159	0.830526945016043	0.451714369997857	0.580780701529923	-0.0167002438023392
APLP2	0.853267523808907	0.0692131394194307	0.933250249446233	0.827000161137853	0.463234555535363	0.710852109202164	1	0.492839190192953	0.805628275021946	0.756652810937248	0.764749749319817	0.599252104992779	0.503937734959048	0.84609971460604	0.670789711044325	0.758493359005701	0.197917507248966	0.66606848288889	0.931717329965693	0.762941970491592	0.732624604836436	0.650728331370282	0.392428810123526	0.715924941632761	0.681650568563257	0.94325203852261	0.75997163074771	0.812895320945328	0.922917481753684	0.776765312790404	0.728787012785721	0.613751857126292	0.630163002865498	0.85633391931541	0.684686785287825	0.570794123981526	0.269344419838073	0.12107349086011	0.2520995330993	0.535959128577814	0.212793787016985	0.517238925735633	0.660228132154263	0.908619161014425	0.111706409616761	0.662168156165298	0.567123708565078	0.779609427443796	0.351083327646516	0.371023096010298	0.42722419727626	0.705977954931272	0.0540211084644729	0.709748771190164	0.694608203084036	0.0145214443049075	0.694196432503726	0.772766656613994	0.851973396128171	0.519254172729474	0.778666120284352	0.227899741217882	0.806081772856197	0.485764132397338	0.464599738083054	0.227800928439694	0.325820783866004	0.580338689440072	0.693621167344091	0.413425911664629	0.299779943256624	0.729300543459773	0.475361309093028	0.438803261980546	0.598429528873821	0.949027082800302	0.872271189426929	0.793765413117336	-0.23301075201841	0.610471885408336	0.877346300049712	0.593759746540563	0.551150668049302	0.476217835871034	0.723431930774916	0.650350989630573	0.483465321423268	0.896822240441263	0.96681342765586	0.674649766647535	0.497369812084805	0.620573532036668	0.650839422692905	0.851192795344991	0.963212661206338	0.652945108840985	-0.110819459989481	0.562243637205699	0.437981216628258	0.327845376578715	0.0366825275887547
LILRB1	0.567182193930304	0.801931424144462	0.579902807541898	0.0895403827301795	0.884787807998246	0.873270013065183	0.492839190192953	1	0.0907860429829923	0.861132845982461	0.879766074705842	0.843534656165842	0.793654628886504	0.244862101268627	0.908530778225675	0.837070180521449	0.738958612188899	0.86256209283789	0.679564809574051	0.776439359866652	0.880808462276056	0.874329944799469	0.855220164431616	0.840117709513848	0.837261306138601	0.408698846841172	0.814716928712199	0.366970533662285	0.505329801538174	0.575437542492859	0.857684391016942	0.847955969912616	-0.305069995045041	0.101930798259454	0.737256559738253	0.910051738166138	0.731280119337374	0.764588219945275	0.873329306042115	0.79335084845676	0.620654136282488	0.672690047599616	0.803367255245066	0.516272583393681	-0.0759894637781862	0.780903015904682	0.828759184888122	-0.110276232091633	0.903261188471755	0.103421740685761	-0.336332903165069	0.831084580652279	0.778511757281717	0.400573013616949	0.595748336502496	0.207455151183256	0.753653324570177	0.014124210669475	0.381389143772405	0.804471537142278	0.250457093067666	0.829637362758051	0.447462740231336	0.885778205845545	0.870644287602835	0.798699233917985	0.774527242222117	0.846447548301203	0.876747038311753	0.831615744145898	0.822488192533658	0.184074077000084	0.157453484425521	-0.173154102194642	0.88748545572418	0.269378191359906	0.708820337025282	0.0283184774659189	-0.0411905045075919	0.803330116934454	0.620386047418937	0.814731585099113	0.867652442741683	0.490293922195915	0.32029364001597	0.451367487337356	0.425008185466632	0.601952348020412	0.533988178770123	0.730990498488795	0.800075355729647	0.902004882327258	-0.016362272013972	0.086130041174044	0.525230828037002	0.844661101614514	0.219077171742257	0.833156062560574	0.32810531314417	0.565112666686102	-0.102760065072227
IGF2R	0.626287421055299	-0.238627081859553	0.726109001021777	0.878219935575229	0.105831830176799	0.440723463756321	0.805628275021946	0.0907860429829923	1	0.392067901652084	0.408705687031275	0.360663866741587	0.201820283550466	0.838271355585117	0.32130844092148	0.459832002634227	0.0562170816362424	0.323858380877224	0.689556101637594	0.477813429621196	0.44006547238649	0.355980200089688	0.147133248738104	0.38966241386149	0.396642806090756	0.813980480370255	0.485406485462571	0.570530055546877	0.715325337814112	0.752319258392492	0.427813123091082	0.23537344871472	0.82737488878542	0.808986372627909	0.486585159112692	0.21345246832334	0.108258485446236	-0.117626032279513	-0.0604098141476036	0.353457067523912	0.0457412205236824	0.438273634731578	0.264158564906773	0.687569952527863	0.287508881277257	0.367873939996397	0.147008774274452	0.845784343364941	0.0779569120275651	0.5275704138095	0.650533546114142	0.403150537271886	-0.173522481143913	0.795519292195893	0.525730318516977	0.194240745588867	0.363452561037292	0.802886306074007	0.775795195949571	0.257404382694369	0.773211148024925	-0.0105936661175937	0.635427474168723	0.224771694609006	0.081987860732247	-0.00472572475690302	0.141863590268204	0.193107125802139	0.334545912812137	0.0801328421499939	0.0222367897462351	0.801143917714045	0.510415316471713	0.673924368329525	0.31289460866003	0.852667957612528	0.518877219385797	0.887175336530592	-0.0313776520859307	0.289521385382236	0.743575261805246	0.260645011882864	0.192971013300146	0.263058225814703	0.603842792604582	0.60305507526873	0.321366057011786	0.59514879989806	0.754937256317507	0.413752397651913	0.0729696573836834	0.249108696531659	0.781488140097001	0.904973246001203	0.744561159584169	0.24029811917437	-0.0313819658656837	0.172022993649057	0.273703856758686	0.277002348387559	0.0891977704330151
TNFRSF1A	0.723371064330099	0.578063555947043	0.83488867324001	0.403675256965495	0.834834148431053	0.926683234514746	0.756652810937248	0.861132845982461	0.392067901652084	1	0.941461445113055	0.873928735355918	0.807439591823551	0.610939005054365	0.933185203116873	0.93649479052692	0.608035472608585	0.941180138204134	0.898019703230857	0.940385592127694	0.934752039262233	0.881365770501938	0.762692613144524	0.944417456566848	0.911470787409297	0.678717574445649	0.93349775169761	0.618737378994277	0.767856353110067	0.676461144657824	0.920014273055852	0.852692325482858	0.020652600882599	0.443294185105659	0.860903007487011	0.910926064566874	0.636181352381394	0.584032258837148	0.721814445003466	0.796276867724241	0.472903440918469	0.635075866500392	0.918101057766362	0.817139855365554	0.119111067872194	0.939098935794082	0.910262755408192	0.25638290015178	0.762306128484128	0.0726440761149862	-0.159041587899341	0.894357583168714	0.560330733561823	0.531711835120881	0.718741412000851	0.159641351934202	0.8916904050202	0.337036468861616	0.708552666464137	0.777375499990625	0.579454666969825	0.671807331642529	0.675015354452477	0.824918925776622	0.825642637286705	0.635159426221737	0.696428962668376	0.855232215006112	0.924561399497138	0.827380079822649	0.73061769158674	0.442901413728551	0.376024033905732	-0.00873037125683554	0.919839164614927	0.557736859111974	0.914723592116896	0.35501624201235	-0.223162587654823	0.910832287585884	0.84027482381033	0.938600715803485	0.907783056969613	0.687975226717497	0.494285980763055	0.651358889503808	0.593454656444386	0.853785941756691	0.790441160080895	0.802188835713243	0.873502167736753	0.93679011853445	0.288367515587034	0.434338112898594	0.784896637680855	0.945832669259431	0.0553894150104379	0.865552394035321	0.618687158484294	0.579285401915575	0.160503512303494
