""	RPSA	NCL	CD44	GPR171	ITGA4	CXCR4	CD2	CLEC2D	ITGB1	CD47	CD6	PTPRA	CD46	CD3G	CD3D	CD69	ACTR2	PDCD1	LAG3	LRP10	DIP2A	PTPRC	TNFRSF14	ADRB2	PILRB	ITGA1	CRTAM	TNFRSF1B	CD96	TIGIT	ITGB2	TRADD	CD8B	CD8A	CD226	CD247	KLRD1	TFRC	HLA.DPB1	ITGA6	SORL1	CD74	CXCR3	FAS	S1PR4	VSIR	RACK1	JMJD6	CCR5	IGF2R	TNFRSF25	LAMP1	TSPAN5	F2R	STX4	TSPAN14	ITGAL	CD63	SLC16A7	CD81	PTGER4	APLP2	SMAP1	KLRK1	SIGIRR	CANX	C1QBP
RPSA	1	0.676915169196973	0.672869401397489	0.775783996114122	0.34326010909823	0.575923803227561	0.340697026989107	0.64172518304882	0.581038567521064	0.70337811645019	0.61322177086959	0.227238381212936	0.385257729682328	0.503888050521949	0.590473344223328	0.698995094443688	0.542267454895731	-0.135610956831114	0.166587894338406	0.625781955458218	-0.205249569145127	0.307429482220419	0.706919670663835	-0.148213928168353	-0.261262650598442	-0.00308768807166242	-0.0797156762400332	0.23246244652293	0.420105490440697	0.132121786798717	0.282095369097891	0.932362370279457	0.345779549898083	-0.064963158183546	0.550546267205303	0.0159251820145087	-0.539173164408446	0.376086158230364	0.390688585513899	0.689011626334395	-0.0068042819871871	0.355648415217201	0.161675806142371	-0.00189945606480799	0.649974987717682	0.431123757731286	0.985849226019876	0.41890228147466	-0.304576143026769	-0.236941672910165	0.759117944977223	0.243890789101155	0.0844605055725848	-0.0785675578639601	0.441009408100804	0.248645859586322	-0.21617007895876	0.480312841814983	-0.0246875278480498	0.421181776394029	0.761283597637537	0.148399989983923	0.721194494647374	-0.0882289643104422	0.599120475448157	0.525657785922179	0.945503901036518
NCL	0.676915169196973	1	0.806392074983748	0.561106481058393	0.620113666681757	0.735308642160624	0.324973928329488	0.658124560003765	0.812469653964236	0.695981213025272	0.464183145442454	0.650477417135129	0.537518206786181	0.447611416901377	0.380737119532527	0.838005107440721	0.816346610259324	-0.0695462159140962	0.0561796656415516	0.725814265171723	0.113650378458949	0.648564917231636	0.504925701622383	0.280184920417384	-0.120481549902921	0.0936839381898609	0.227520758193271	0.584161105663958	0.368586416599043	0.247457271316637	0.317270438743595	0.697715568035764	0.193944438840522	-0.0760225003465049	0.649675858837164	0.241342809855044	-0.240800929180176	0.736460771259887	0.465411567964183	0.705138902954013	0.330105083872867	0.519725421210254	-0.0397164087234854	0.443973793562221	0.378702199034783	0.494678192705729	0.677855929295085	0.729401274092889	-0.19905831127757	0.0914869739656542	0.684171303091145	0.484084277524775	0.253868021782628	0.317769535496495	0.657742137160396	0.58063116064764	0.123965749311889	0.571618014167412	0.289816010171202	0.57976529888764	0.816600381239981	0.434431815959263	0.72778831753948	0.100601896512085	0.381531489323632	0.596074491764944	0.729071739866293
CD44	0.672869401397489	0.806392074983748	1	0.675732565188306	0.702949392435368	0.78396723651002	0.643465410463056	0.635684507515856	0.804539764547853	0.684823320844893	0.695992156127297	0.512962407238443	0.373851031742618	0.756625033201436	0.715103778020666	0.761028067263714	0.739392265534404	0.241545821230608	0.308074119563854	0.571692599833024	0.00567271244779825	0.759477332357418	0.641187792078262	0.332777392392153	-0.144951595509901	0.21333772370626	0.431176423860983	0.636654841186537	0.635516031486058	0.471955824472107	0.482309768113075	0.727686841887408	0.374854448249249	0.192996020448188	0.590254317841594	0.413082456324795	-0.295251522665572	0.480289337504384	0.464545403303229	0.501688896993793	0.196613936425822	0.447954569382633	0.304247408595106	0.550996277369846	0.577289211795003	0.437253180231338	0.700021677526245	0.760025690283516	0.0942202591479385	0.0370067857798974	0.624745022522218	0.284319462329524	0.439439647878851	0.4302534644982	0.530835842742864	0.387783310302987	0.192401700268725	0.4231766590547	-0.0124201619641799	0.511204205656621	0.762702965294717	0.208294114722692	0.742030853363422	0.121344700479658	0.518886082063143	0.474739058966932	0.657666144965597
GPR171	0.775783996114122	0.561106481058393	0.675732565188306	1	0.347033841484205	0.615096935379458	0.375652305653274	0.525029731474259	0.402111448057095	0.591374387065858	0.65561293795024	0.168923996475275	0.201553913958829	0.515822522111336	0.551530838331902	0.626178915739563	0.436694586096936	-0.0490251290977333	0.0864550234528045	0.41454113696948	-0.214446343919573	0.361815598392008	0.500233041523867	0.0472622739321865	-0.350507475949156	0.0489744035847026	0.0749853599805061	0.20189652396011	0.448541561810219	0.121457005987005	0.180013603451229	0.765946738902502	0.184591171561089	-0.0209727161080989	0.510224720564501	0.0790557616039053	-0.369501088765706	0.291889094883816	0.192838226617415	0.450952388068286	-0.0404497650577162	0.169516676659689	0.143928692379529	0.126797470866535	0.488257580203594	0.199485617934085	0.765170630598851	0.500888052466455	-0.231203879952965	-0.296540913069654	0.690706165380806	0.0533728117588287	0.127573134635324	-0.0158330967166936	0.258686643367456	0.017828801820491	-0.0927051331304612	0.295341139563268	-0.0975781905904741	0.267717113586952	0.660717272078652	0.0204507792199592	0.583065534793962	-0.0966611267924132	0.471731483767655	0.334602284826918	0.71234932727319
ITGA4	0.34326010909823	0.620113666681757	0.702949392435368	0.347033841484205	1	0.546700947213423	0.61556105814824	0.553615002174383	0.656024722659476	0.556734642966009	0.507459486946829	0.506632715054823	0.309324040113367	0.633966456122452	0.490224946980369	0.568775435778393	0.581382147909043	0.292134149779492	0.203254324870513	0.50363266581919	0.292304841873344	0.81799278311562	0.334560514190009	0.369381846726742	0.181500324769494	0.290974431683933	0.462562388152006	0.545246353209397	0.49465048122964	0.407926092138873	0.309195293352841	0.415404457395664	0.369299721508965	0.208051421503447	0.485891180006892	0.541509901038242	0.102416945295576	0.368303636668432	0.233142370847021	0.371155464187783	0.161053971872173	0.228107044970398	0.186181152528482	0.599434212250153	0.402245214483839	0.204439332831057	0.336719494840705	0.63406203797786	0.203573688586269	0.113701560462466	0.395044550801496	0.209186202281035	0.371263891958067	0.602609497962261	0.352381027761741	0.348063849729895	0.387040495831821	0.204201291774127	-0.0308554477032871	0.252248549769185	0.50249162342971	0.0337770302277755	0.517501057727147	0.354797876756772	0.349039913228959	0.181339314679913	0.33936607299604
CXCR4	0.575923803227561	0.735308642160624	0.78396723651002	0.615096935379458	0.546700947213423	1	0.353184490449634	0.502619936473936	0.575237673979482	0.482071846024615	0.661083972451079	0.28763265290627	0.00320310202408551	0.522918117584379	0.572371453782642	0.916454548461272	0.501098402508347	0.165799312170608	0.248747107297259	0.329802506356495	-0.151564446146427	0.50919430507592	0.469374027730127	0.41393277973607	-0.268531940830382	0.137770871954007	0.578353526208269	0.455698637399846	0.39027755563751	0.43470856177604	0.312982374922075	0.618110872844508	0.478107469415433	0.25969253627768	0.32778328515082	0.24216868776584	-0.302679475942754	0.532120639083631	0.346475037744212	0.350342699463622	-0.0271102806836758	0.328036554178775	0.128566329099014	0.489161270308879	0.340081379622776	0.203955644987896	0.571418676995139	0.842323587941495	-0.090888909797167	-0.260358367885214	0.481436432432098	0.0577085407537157	0.267230556174437	0.21196559342913	0.332730385438092	0.129177534082434	0.236405989347613	0.2152083632158	-0.109691854204635	0.31323622493102	0.863968207132207	0.0815124269514877	0.531903594792836	0.0420613296418083	0.343608479426378	0.203065285655306	0.511265159252409
CD2	0.340697026989107	0.324973928329488	0.643465410463056	0.375652305653274	0.61556105814824	0.353184490449634	1	0.543253690800225	0.585255172597562	0.573463888234975	0.647823890052615	0.400918157436117	0.244567670551513	0.920178937343261	0.830879815429643	0.258953468419477	0.439287351390231	0.510412384410762	0.524935031279695	0.259602492792627	-0.00594618676673101	0.772676627227131	0.587308981780695	0.145450819029571	0.057981278895518	0.428174054954223	0.392197280681864	0.424404246281753	0.830261671764747	0.595794547601736	0.406145046810895	0.474426587825097	0.443403902780501	0.476198272315421	0.362531112020315	0.648314685960979	-0.10335411473814	-0.0427783906969624	0.180563342392103	0.170741595192047	-0.124546608620834	0.054442617838032	0.593617830583117	0.478361579567842	0.709034159778968	0.17474292237091	0.375147380853903	0.324677628018367	0.505249084831722	0.0224199907808631	0.377628310650354	0.0683352075282712	0.560670561978066	0.612335890001046	0.205549261337552	0.114013998841419	0.307135509052782	0.0967481024004208	-0.190125094512476	0.260547313271537	0.250787391437919	-0.161093643879121	0.461503247583874	0.221590872606624	0.555488224835244	0.182897001526005	0.298604541763888
CLEC2D	0.64172518304882	0.658124560003765	0.635684507515856	0.525029731474259	0.553615002174383	0.502619936473936	0.543253690800225	1	0.601096583428358	0.710569405205515	0.597991778283213	0.431909421215326	0.469759006272826	0.582675111375313	0.532896157226232	0.580649393323082	0.559389978225478	0.0572176797665077	0.307217656782362	0.499590499978502	0.161362638964218	0.617500358829189	0.5024270442136	0.133179277285921	-0.014333119774955	0.15002440274565	0.0516453754961259	0.345345799711675	0.62720613027758	0.354391202293036	0.268361632500388	0.683241994606225	0.294676217163361	0.0492255347383293	0.613935466110107	0.225225979356367	-0.165151262123076	0.396162882204586	0.251398012023315	0.503284101666605	0.0548782205189293	0.219184687605959	0.160933163404716	0.220287641546915	0.615950998517768	0.235324045652122	0.610192538384735	0.453678300908206	-0.0303663510678874	-0.04247569482871	0.700793495713006	0.21328172237756	0.129687908496235	0.321105808290701	0.40007657626164	0.355543402080452	0.132056140944586	0.237512561700774	0.0288694337667756	0.3126469181021	0.648822789576627	0.037295315437581	0.577075160414964	0.253335551451602	0.559387074186864	0.373031818723987	0.614925672574521
ITGB1	0.581038567521064	0.812469653964236	0.804539764547853	0.402111448057095	0.656024722659476	0.575237673979482	0.585255172597562	0.601096583428358	1	0.662459475940834	0.488810424633617	0.631717671050673	0.544378975751714	0.624393373164085	0.583761121968576	0.62155793102591	0.837867252945254	0.257031549368935	0.368633121729444	0.726213044021192	0.137813469058801	0.705192405592084	0.64605217334281	0.253804043094668	0.0234264473450016	0.423053152533782	0.294039562144099	0.625085074917198	0.543571934321462	0.496617896584413	0.545188997696107	0.621777446452562	0.373187173081544	0.183094174974207	0.505727878224797	0.435758336261718	-0.19740795345409	0.516436044001195	0.52806370946535	0.682435820246426	0.284114601030075	0.533882101488547	0.297795635873942	0.594215971699993	0.55664304555757	0.580606226808371	0.628284310679113	0.648998248806718	0.148484393616559	0.154175323412311	0.474680664070761	0.54393334993295	0.49227990782483	0.619004465801377	0.625198754649959	0.574399085615205	0.211079528550516	0.654611354673977	0.197787061006554	0.710086146343662	0.611377506250992	0.445635319318203	0.744071807348991	0.19737232541041	0.561601387221037	0.647705354244823	0.664323630583519
CD47	0.70337811645019	0.695981213025272	0.684823320844893	0.591374387065858	0.556734642966009	0.482071846024615	0.573463888234975	0.710569405205515	0.662459475940834	1	0.465431969820255	0.500549616100973	0.596128690468001	0.623186222742229	0.557655659887867	0.55937840233096	0.673312269373506	0.0284972893010918	0.208177358358082	0.622599881556422	0.0428614097258053	0.628160099091461	0.574880392653308	0.180430061155198	-0.0482516583600822	0.0753735766986105	0.0107623212223483	0.431135256974461	0.543465361862678	0.314205944122742	0.290074192033576	0.746747401177429	0.197011976650047	-0.0944043435609169	0.704303400621967	0.311753398700019	-0.212935852481863	0.372044466443515	0.272276212550978	0.580254164032805	0.133177124178277	0.270144713089476	0.159391287770816	0.272047058778455	0.681344410592226	0.433143745854062	0.698950291133738	0.450585982591104	-0.0633372004537434	0.0310257659425885	0.744981602148544	0.32953523623985	0.190421230487173	0.286092159249946	0.422619176122916	0.337738146476938	0.165361086026304	0.378463110501263	0.110451506760225	0.412138412721244	0.627791656864868	0.157311487146529	0.691255942895353	0.08898697228596	0.546446089865248	0.507819441278199	0.697690948304428
CD6	0.61322177086959	0.464183145442454	0.695992156127297	0.65561293795024	0.507459486946829	0.661083972451079	0.647823890052615	0.597991778283213	0.488810424633617	0.465431969820255	1	0.219377762728305	0.0748596007416826	0.742556207014987	0.803114821293403	0.596111318317948	0.393543189368181	0.278099454135049	0.436158864018195	0.261774189650363	-0.138698901800129	0.522168030746417	0.606532850431782	0.112067962134466	-0.242627276308175	0.23583852078809	0.352529592642743	0.374668118125501	0.679357436268573	0.47605828791224	0.400461532513305	0.688618567472193	0.473036530846919	0.330475059825203	0.3331013752282	0.20880738997887	-0.425470984607097	0.222340109345878	0.306340430156112	0.22313059349532	-0.168676750092438	0.201542875930257	0.458673721063111	0.310451959396241	0.602884513648236	0.124196319269627	0.619533942307889	0.490097203479135	0.15801111075426	-0.226173018842549	0.519965797718772	-0.0277709433976905	0.350412062389636	0.256870657393	0.288140274382964	0.055580478482688	0.103936114969457	0.173372627294075	-0.223854099278039	0.30728126080924	0.617560063838843	-0.0861022800949694	0.451329800695593	-0.0493915646278044	0.515871520493324	0.192426265682679	0.519489748268881
