""	CD74	CD93	C5AR1	PLAUR	SIRPA	PTPRC	NRP1	ITGB2	HAVCR2	ITGB5	TLR2	CD163	SDC2	FPR1	SORL1	ENG	STAB1	LAMP1	LILRB1	ITGA4	TNFRSF14	NRP2	APLP2	CD44	PILRA	LRP1	ADCY7	ITGAM	TLR4	TREM2	FPR2	CCR1	IL6R	KCNQ3	PLXNB2	LILRB2	TREM1	HLA.DPA1	EPHB2	ITGB1	RXRA	ABCA1	CXCR4	THBD	AXL	EDNRB	TNFRSF1B	TGFBR2	CD33	MERTK	ACTR2	ITGA9	GPNMB	DYSF	KCNQ1	LILRA1	CSF3R	TNFRSF21	LRP10	SCARF1	NOTCH2	NCSTN	CD63	PLXND1	TFRC	JAML	NCL	CD46	FPR3	ADORA3	ITGA5	IGF2R	P2RY12	TLR1	HFE	LY96	ITGAX	CSF2RA	RHBDF2	TLR7	TSPAN14	PECAM1	TSPAN15	KCNN4	FLT1	SCARB1	SLC16A7	PILRB	PTGER4	SORT1	GPR84	CD81	SDC3	CANX	P2RY6	DIP2A	ITGAV	SDC4	KREMEN1	FZD5	ACVR1B	PLXNA1	CD4	MCFD2	C3AR1	CD68	STX3	SMAP1	ASGR1	LEPR	NECTIN2	LPP	SLC16A1	UNC5B	PTPRA	CADM1	NOTCH1	BMPR2	CD47	CD151	S1PR1	ACVRL1	CD226	C5AR2	ALOX5	STX4	RPSA	LRP8	RACK1	IL2RA	CAV1	FGFR1	SPN	ITGA3	ERAP1	PTPRZ1	DCBLD2	TLR6	AMFR	TNFRSF1A	NRCAM	GPC1	JMJD6	RYK	RAMP1	TNFRSF12A	RIPK1	ITGB8	C1QBP
CD74	1	0.977226681449102	0.955990216208292	0.974353962926263	0.984553775373691	0.992926615912745	0.985794677173135	0.994303331571989	0.992486758127646	0.935201271058073	0.960813382853844	0.978876015924272	0.811151534281239	0.994761325123799	0.976595796892408	0.984027590492266	0.973826972275745	0.914976558674808	0.974971781799488	0.976655415809233	0.865412765735134	0.863482134816958	0.925437821253424	0.842381548922063	0.894057490975843	0.940068223247549	0.946187135970026	0.993470227188101	0.946843733918482	0.989851897976228	0.946869872320791	0.95827310111792	0.93044632578394	0.976490883443181	0.872576249721831	0.938287102721512	0.795428451025007	0.987181369310608	0.920323458907911	0.857875756073119	0.978253084334003	0.929269012275468	0.850677149331118	0.989798411822744	0.988791623667495	0.924843786521591	0.99570288425652	0.98189344366386	0.925729335364327	0.988117543363873	0.971601243196353	0.98601270872208	0.889702593601037	0.981380488465284	0.915415489485292	0.961575074581762	0.970650833787281	0.820097315552631	0.806229395427149	0.965386376369184	0.540910591961442	0.779005037536572	0.803647319545147	0.952476469209159	0.951687097913595	0.863440030644475	0.782054326648511	0.713237040779636	0.978235160647904	0.993611476019569	0.848636354911695	0.942876039191347	0.91468252160586	0.973767943130346	0.912487243947743	0.91551262754762	0.925507290816173	0.956942473558532	0.985360012605668	0.988302095238887	0.971070015497812	0.804073248264896	0.946640328855801	0.885713063944636	0.800373322416793	0.955992459700247	0.581673563009158	0.566728084553673	0.969116734287787	0.377859389916876	0.857875669503986	0.941358610190889	0.728313689832575	0.77080028028187	0.776877278067278	0.594805714619407	0.687295070807925	0.450111444989599	0.649530811598553	0.876681201074432	0.890037953825514	0.959685167657022	0.981219145819376	0.656501577185531	0.989962847781626	0.935782804061526	0.677103078349393	0.748787892376926	0.99080307566943	0.808659207716578	0.920724372147072	0.830360921463232	0.3021629146576	0.565721635817632	0.375924832034942	0.713809469054445	0.73855351993539	0.760883310692809	0.453702578714273	0.608840367014132	0.650892179287733	0.951402191227764	0.990057255218291	0.900633320617908	0.979112252291353	0.918774320305949	0.750844661208984	0.533390112054434	0.63765129274668	0.980812821185835	-0.19869266426078	-0.00404431619100251	0.981452943208654	0.274876339010706	0.89504902705663	-0.0365540254109691	0.0680212239485259	0.978996207760239	0.727031344615068	0.955644308645668	-0.0245178011526997	0.0171068155367484	0.524327288490911	0.510338620314364	0.222100813660576	0.0281581598838567	0.70896394662979	0.061972662140958	0.472501431143478
CD93	0.977226681449102	1	0.907985332992743	0.931708253400089	0.937334588788205	0.968838925933976	0.98200543060946	0.977017024338999	0.95086521959973	0.937025363356121	0.962407929926981	0.995561951427601	0.75824348669779	0.983421516974797	0.932822151100666	0.994991674852166	0.981938226005262	0.869329176730987	0.98266761306311	0.991381356521188	0.786952407071257	0.854527237420314	0.915441176975471	0.805912827060454	0.812170467357106	0.94047256912811	0.95593652451325	0.970185287683469	0.892596188951701	0.953828291885333	0.961903171277956	0.907461395762875	0.887108217221232	0.952732128005505	0.925367567330985	0.96309157088543	0.765069198360788	0.939198843733043	0.949307189479588	0.859037781798613	0.968348148330736	0.911688827741909	0.753275365627998	0.964006242446406	0.979276018908814	0.881332052816498	0.972537457562591	0.945329810848212	0.926714318308822	0.988791435512958	0.982521298767727	0.975566329387924	0.798420309177445	0.942311155695079	0.871779099097725	0.959450934710299	0.973680950695992	0.869743467372793	0.833687203592241	0.969661369677684	0.610373743101729	0.815735862412819	0.787572876190788	0.982403240951413	0.922606307894851	0.823386335552597	0.819498860687848	0.765361614944823	0.980562076605122	0.961491349223212	0.845004523383413	0.937160323840057	0.859327860061998	0.931364261749163	0.946628102137615	0.832789311622791	0.858536814678496	0.903077522165592	0.973986028101168	0.984454416032273	0.964318371159601	0.815219348927097	0.961329441148063	0.919347862536381	0.800353845014855	0.923645827720675	0.702643397271664	0.653115413709463	0.927930184424893	0.506507067826729	0.804006716075914	0.930904712253846	0.816233226015975	0.780475528025845	0.854855875976355	0.673045882175284	0.76934367292811	0.453688053034958	0.682347710742524	0.897279684898687	0.914106921558157	0.964982427398812	0.985825513312133	0.640727240204114	0.953526526046036	0.864532292864516	0.592288761654282	0.729115698262783	0.968972834251703	0.801108023261724	0.943995895243834	0.853784620226798	0.346138558197418	0.605167306900707	0.475989783582643	0.715615423128966	0.810555534655106	0.816796333839612	0.533413826953959	0.665632779052791	0.772595943731021	0.966899134469546	0.985162798211107	0.886685604662265	0.965911720586389	0.905129028726033	0.758728179340763	0.5983454640247	0.639253346280269	0.983035273653254	-0.157266961238084	0.0790291922891448	0.964851642016693	0.387573534937468	0.911579490129832	0.102622818776217	0.16101755482321	0.987173425014913	0.77292875463111	0.960519303773638	0.100921605875977	0.138091258772729	0.548101190624755	0.578283079692392	0.320840953654301	0.0592129693883834	0.728901403008586	0.183148860763229	0.542268058415331
C5AR1	0.955990216208292	0.907985332992743	1	0.965359914812093	0.984611670226728	0.973689016784581	0.943736622017411	0.948249315035384	0.964895335319259	0.942369981312367	0.954769053517232	0.915190071769152	0.884727277199696	0.95267529528442	0.982678493553778	0.911566211055643	0.927922840038562	0.964340763547258	0.908755534271783	0.912727560993624	0.951116342121724	0.89180718713052	0.936140134428263	0.914920961180606	0.908207170897135	0.91251258697272	0.941098233703107	0.94174917021287	0.988843103474963	0.935425724484764	0.902083619994809	0.981520147774828	0.979524792080353	0.91704889302479	0.822803883784363	0.868862968322016	0.840390406020964	0.981046655921346	0.87742657869473	0.856224600458645	0.952843554458424	0.941156078862691	0.950511042896806	0.963073204143328	0.932959497307801	0.956120032157506	0.970189885973125	0.970337407623831	0.862702884097303	0.94250835090861	0.930666175676496	0.952537578167886	0.947622669002206	0.95664624164455	0.87298308531653	0.87735157482396	0.920459641042305	0.765823923529055	0.818946965586001	0.94124200766962	0.585749685785213	0.768600030103671	0.856492235736918	0.902858919588908	0.91057088796187	0.893401410709522	0.780261967425469	0.69293507524468	0.903087121070907	0.946468956990608	0.8602038405657	0.945776373021882	0.852081185859071	0.958752242383377	0.839068671021806	0.955302020043931	0.972486321948681	0.984180773539715	0.943464106337494	0.940227438228181	0.95176874036702	0.771611101084519	0.919518642561357	0.846873376019776	0.778008029348082	0.976484726310266	0.468431720863666	0.540280284140792	0.936906472255886	0.325378886871377	0.922683298278653	0.922828430944825	0.649385121938342	0.805541484481096	0.686999110794508	0.566020081673858	0.62280708382302	0.507981357765909	0.707561567059301	0.872699152368883	0.875142680226219	0.931572122254252	0.924258834578406	0.702147713100753	0.94745938016622	0.982322996293384	0.828724561681698	0.797924028621069	0.946713008393354	0.835770829148754	0.832497914655936	0.795551135851817	0.30281280769717	0.571495592161811	0.348050088779674	0.75505294632679	0.657754318484486	0.713008948742582	0.463354504713818	0.572777993162646	0.551057968473688	0.891483591981196	0.934269043432404	0.906621689047613	0.935244309028745	0.92997844878139	0.787981842681136	0.539698447364113	0.70599346842712	0.90339015105135	-0.150635416917871	0.00178832041729892	0.901875099680354	0.223979185587578	0.892186190369878	-0.109432577955793	0.0505200964506824	0.923018771367724	0.734705971475469	0.927799310126042	-0.0699408023752345	-0.0180255277037081	0.588615923901785	0.510519550104101	0.21612728803488	0.0992352628967195	0.724511792701191	0.0203130497810815	0.471143390070698
PLAUR	0.974353962926263	0.931708253400089	0.965359914812093	1	0.981482151764537	0.969873469892944	0.958210572731671	0.982921993018761	0.985998418883939	0.905055092576594	0.945878231830449	0.928129540082429	0.874695191963592	0.962728232948165	0.976136895199521	0.939096085688189	0.913808074081052	0.940359959281437	0.912307907124764	0.921612397053182	0.908177412256363	0.884200546599586	0.933289512455943	0.883196316423882	0.949126827402337	0.944429801656879	0.898623015738759	0.964759216710544	0.963459129391754	0.979402297379541	0.909146334860325	0.955163187427171	0.932145053948959	0.977953977331582	0.829850295431376	0.85754783708192	0.872334427970305	0.97291123283363	0.894882510692708	0.881688140632257	0.975007292925733	0.950360120259402	0.895568250138032	0.987948592282973	0.94129990494895	0.940410366291197	0.98103279135654	0.984792979220335	0.845078009160872	0.95059422786652	0.941393138470553	0.947530523685158	0.941211479720777	0.977396009976787	0.844298979549683	0.928293677396296	0.958748110468605	0.804264461036824	0.793764730725228	0.925251920042597	0.54422682350064	0.746267609255369	0.859893514765587	0.914036719646394	0.977100187025054	0.812957330445322	0.792752580416773	0.70012152506465	0.962299397271966	0.983727139611698	0.87543434123748	0.931918818586185	0.871126197929027	0.990083916671852	0.883225265546293	0.955737129576803	0.93798400741317	0.938541828744565	0.97052950720184	0.966633141134641	0.959694466210199	0.706965767828653	0.910644340606797	0.862764080610682	0.790724246793801	0.948660738852947	0.508985710040525	0.572649623950824	0.992228538951137	0.34428300607604	0.886949183250287	0.958673191644275	0.687802720937295	0.806880215023729	0.646192254795715	0.586722741678277	0.657368921702589	0.535014700866585	0.643530641424485	0.877404999409143	0.849597500747865	0.939849542150294	0.949365785089081	0.730732889291744	0.974574234826057	0.96199510781484	0.723131117442941	0.802762158664443	0.975024711634752	0.845419357515844	0.909192716697521	0.837573326735524	0.35142302165867	0.535125163573371	0.379482070817236	0.761082287651171	0.725987509077486	0.735315786006569	0.464118146985665	0.654994441456761	0.554768909578763	0.917987851756601	0.961092483507074	0.913318958344128	0.942054064109615	0.951796597283904	0.789826133009203	0.521152958299551	0.693375481903856	0.954206573588461	-0.121377870772895	0.0382324688721954	0.954094325265562	0.285349050868951	0.848022154797833	-0.0606410651555634	0.101841050762795	0.940745078005746	0.750775505940418	0.94786217331201	-0.019191658695673	0.0318114930078883	0.584257248543301	0.50835729900595	0.268981547382481	0.11597325842053	0.635604723782899	0.0655212298965175	0.499936183420993
SIRPA	0.984553775373691	0.937334588788205	0.984611670226728	0.981482151764537	1	0.989460465152999	0.967365718179058	0.977095217255308	0.992224929806272	0.934248066350964	0.953159426580347	0.942617626558555	0.86313553706556	0.977096880144013	0.988378510712341	0.947767137288649	0.947172491363569	0.949968974137811	0.941704607919353	0.942467394970002	0.92238467948405	0.878844599421401	0.934828710739896	0.885309343179115	0.926831085729929	0.92804928674839	0.933214590541725	0.976881769135578	0.97825078329554	0.975571249196726	0.916826759268593	0.981501369271618	0.9605421507874	0.957476795150272	0.8329493022303	0.895611861308219	0.821539662309185	0.99512276450192	0.895615239721306	0.863135767689168	0.967420500991692	0.939585196223808	0.920814173284961	0.981898214269946	0.963172770320648	0.946820887774358	0.988821860723958	0.987082515264964	0.897944048113414	0.962825707777133	0.950190154030889	0.971509733088317	0.941678777341159	0.982319247799898	0.912073330631922	0.926011892876635	0.942677919064421	0.784847642496565	0.802385988709748	0.946936355493623	0.545168424742942	0.768099460929378	0.83488569494064	0.919652052290482	0.947070916129386	0.885609977697271	0.772751782307861	0.696125332542749	0.941973176810877	0.982248503504886	0.857843845112757	0.943314927166942	0.905373389922075	0.976373848356933	0.870635786862976	0.960993754872398	0.964055636314102	0.980602107183838	0.969145593975394	0.962945014345921	0.962081831073766	0.787055497963002	0.93121278353126	0.857515857102515	0.794989530456747	0.971116681411233	0.499148156972813	0.534176682885399	0.966983462975839	0.328532686408657	0.896360833891265	0.938352387030072	0.669443475822837	0.787661032087661	0.714134433206356	0.564561633937632	0.640330208824215	0.486254463432137	0.6652592385213	0.865740432671755	0.879018632425811	0.945453178248001	0.951769148646429	0.691851822064621	0.982559022186318	0.975051931074996	0.768246166665507	0.784001580426141	0.97989173865465	0.824307076433419	0.880013619769149	0.813939926153552	0.303440842703937	0.571870832646592	0.341837005712701	0.737687575925574	0.692799727578354	0.729221553865043	0.44004840949677	0.582732850537165	0.571777493043602	0.918219178937992	0.966192475223312	0.904036287702328	0.959530287036872	0.927500528864438	0.7695247611133	0.522000640341879	0.671444247561309	0.943170767425905	-0.174657492008158	-0.0114596166401407	0.950020475417433	0.227426420584501	0.885925566955894	-0.101041253317887	0.0513024740105496	0.949665379664053	0.718790509630207	0.943533978674323	-0.0688247882273133	-0.0212438745611903	0.551879713666905	0.495367367313887	0.200032631482736	0.0570869961832448	0.712112058521292	0.0201022102787661	0.460546485685724
PTPRC	0.992926615912745	0.968838925933976	0.973689016784581	0.969873469892944	0.989460465152999	1	0.978529536325587	0.982377508897736	0.988447357811661	0.939750917753499	0.965865980665358	0.969381941637981	0.814210533949754	0.987734839704279	0.985143315154305	0.973684462880475	0.970978920701837	0.924795570146348	0.971509807944008	0.972471715842545	0.881369770330296	0.86096336816017	0.926643461777372	0.852692609909287	0.89551801198862	0.928835019395688	0.954351256362766	0.987081019707879	0.957560629222715	0.975339500651717	0.954602654587416	0.962941657668461	0.943123281518336	0.961625440397599	0.859701127495044	0.936382867664911	0.798569818205225	0.98900775538092	0.91569208626273	0.856414410758765	0.969705196752552	0.92681730584243	0.877016803631725	0.982559417483571	0.984608644036263	0.923978528324744	0.992992578911084	0.976684747953123	0.937742951314266	0.979846916476127	0.966536398401989	0.988196880968462	0.896571370450244	0.980602917755095	0.916937169124666	0.954935585352151	0.957209677934649	0.798819159893891	0.804461059308986	0.964218848099771	0.566054999601492	0.769431421711486	0.811968967095127	0.947737811805937	0.937637510475437	0.896037051623714	0.775188260706319	0.717040903764242	0.956254752354631	0.98252354030356	0.843023971862184	0.94240300998973	0.913989957483678	0.962919607642623	0.890456509533214	0.918632276652543	0.936026177288253	0.972260669437288	0.982709095560087	0.976484699501614	0.967550183742663	0.839059596353595	0.948255857462057	0.869554501447538	0.813672923195878	0.961171013291754	0.557009240348652	0.55250051183347	0.958139125606402	0.373498147260511	0.860776534678837	0.93345637660532	0.7053115411835	0.774942016573616	0.781990476477425	0.583412641217526	0.668762987890362	0.447818521368562	0.655507863998853	0.867643698148733	0.892772123663589	0.957050140530736	0.964655377038368	0.656403074921311	0.987140680815178	0.942941092549649	0.710185751006672	0.750469218079384	0.98586267761549	0.806606500810418	0.894459021261673	0.815479652003239	0.287782871659676	0.584775709469523	0.365754047594462	0.710590403552467	0.725440060952635	0.756460686490531	0.44693358900515	0.594999950666967	0.641802096761008	0.941191291770954	0.983642991454921	0.889435482291107	0.982858358403038	0.918420394078646	0.755071669151506	0.531233479801263	0.647429285831995	0.964133044792581	-0.196435931062088	-0.0153550480257189	0.964417578854376	0.253894985646793	0.915822991704665	-0.0607587203888008	0.0529208064301761	0.97351393418374	0.749594644037576	0.948694815748722	-0.0443635472701667	0.000917695343635734	0.533008403593062	0.505737035210573	0.21592969003993	0.0380507113075037	0.7235114887079	0.0400387762473677	0.475267002793442
NRP1	0.985794677173135	0.98200543060946	0.943736622017411	0.958210572731671	0.967365718179058	0.978529536325587	1	0.989010852577512	0.973742370584626	0.96467681659369	0.979026964808436	0.988741243182493	0.848401139996718	0.987146323705542	0.96117655114018	0.987389861376533	0.98199854831866	0.92606466729264	0.969029371337487	0.984365552265363	0.862008176542372	0.905984698629234	0.957362058340151	0.87652098331705	0.854809792004298	0.971342449419593	0.966220977409351	0.976747126284444	0.943989949737516	0.962573109140315	0.934681942145945	0.954600622889442	0.937558761309832	0.966270216505843	0.927139931461872	0.941888172420797	0.824552870778711	0.965543198843574	0.959277411558259	0.909640216103149	0.986769879000151	0.955765304861955	0.828948503977811	0.983609235009894	0.978809654698824	0.938034942224095	0.988265592422722	0.982115980898419	0.90924968105589	0.992138094260113	0.992401569509155	0.985665308059143	0.866521740972316	0.968829396610105	0.881532046849678	0.945839530255151	0.973875015826867	0.865651847070517	0.868921361912808	0.98336531495358	0.636287166849365	0.853829393575417	0.846044259135868	0.978931487811541	0.948063280714878	0.832321711311328	0.847204947417996	0.794076542081624	0.978265425947191	0.973286607596879	0.901633977545018	0.972067936408846	0.860739928207407	0.961621846373363	0.957013835783966	0.897883402258037	0.919674073645941	0.945055923267461	0.98556372430075	0.991715995401376	0.987008965193897	0.793151223205665	0.966895038989559	0.937652987270862	0.810271591502958	0.968545369121905	0.660797781410388	0.660063327372656	0.950588741202008	0.480300708419733	0.876281959200071	0.96034077661312	0.797263459284029	0.835412517603898	0.806996787787297	0.683742720850382	0.769767760952949	0.545884703793794	0.736244121766894	0.91539758438589	0.942360677930144	0.979230264978076	0.991129228033103	0.722100011802502	0.963871782136934	0.921114358978309	0.702370310968728	0.807801508125236	0.973377695450128	0.86319232274049	0.949170881266186	0.890004969098241	0.413667638653463	0.639733067564969	0.486180123610743	0.788208300310884	0.790179470391132	0.827343393143861	0.558899669461584	0.688570792032072	0.728456736610526	0.98035472312299	0.983523572033534	0.928516958957054	0.957692715137072	0.941060833361311	0.806803698626012	0.613888298489644	0.709856904504059	0.981520313882792	-0.0846373454457788	0.122346667089803	0.955320049789196	0.383398868301349	0.922510525020943	0.0646981223703589	0.196110653471697	0.990587655696989	0.777714549542912	0.978632175199777	0.0958715640413799	0.129642783092153	0.618205358374019	0.618431822279151	0.318525357707697	0.131623467223658	0.754699078580348	0.188418702575952	0.562069741649569
ITGB2	0.994303331571989	0.977017024338999	0.948249315035384	0.982921993018761	0.977095217255308	0.982377508897736	0.989010852577512	1	0.988929708888844	0.934472570729265	0.964549488845669	0.977003467431751	0.836946721364404	0.989647739008547	0.969856579441108	0.982614485088288	0.963537184560805	0.920294034064101	0.961606854079485	0.970696755540154	0.865633708755173	0.883864084363224	0.938409561908457	0.858040162058954	0.898043864060661	0.960737437106996	0.937387393840495	0.986838244163472	0.944924490194116	0.987945108322327	0.938303375022575	0.952305391838692	0.926658758421742	0.986309578335196	0.888062071471996	0.922173112868613	0.827120267959936	0.974980248108497	0.933344171086405	0.883755685392985	0.989156093285122	0.947857145871764	0.840118133453931	0.994970931502167	0.977333816310354	0.93257617202794	0.99428069372636	0.986787744985959	0.894506108596501	0.986637420070364	0.976258597908535	0.977817095415864	0.891768133687368	0.981010807816056	0.878090814861992	0.958284461693536	0.98160829022667	0.845130987193812	0.823783366148861	0.963250740279277	0.564567279618278	0.794612672973204	0.829956565431221	0.957993553665846	0.969141605166835	0.823447959865882	0.813063045835463	0.739562558733052	0.990885749417466	0.993094342906193	0.875180063745585	0.950664346887421	0.882946929997231	0.982739816333393	0.935459861691036	0.9161607637858	0.918951661872399	0.939113730525072	0.987064737560846	0.993794690314505	0.978738835396564	0.760513495074232	0.946311469703281	0.907199100908548	0.80215812662612	0.954507700385002	0.608086417995658	0.611539494635227	0.979772752068903	0.412636517604864	0.868003000458075	0.958805191213553	0.757441008415027	0.802296205314133	0.750303162687863	0.633376559795246	0.71748235658168	0.50298557341553	0.673156588007769	0.899053087031201	0.895778597311638	0.965378949464166	0.987053282932658	0.698305206911155	0.982075997565625	0.933440086273298	0.672242329645908	0.782459792245574	0.987992550840181	0.837704919307484	0.944485088626011	0.862560482700477	0.361525792295167	0.571020289608637	0.423913608522109	0.753175992106073	0.770706563381846	0.784932838069661	0.496754526730365	0.6606961518723	0.661004458209384	0.96164203863662	0.987540312112136	0.919595262358358	0.964958307818113	0.941304766274869	0.779417601656328	0.561396328621523	0.671075438123158	0.98822189131742	-0.14633591370394	0.0579535377525668	0.978723389699433	0.328276592644804	0.882873782782689	0.00967601586236189	0.125029808690836	0.978384097506722	0.750338608742163	0.967226069965045	0.030459135663973	0.0675027297610135	0.570137871622091	0.549919223005549	0.277980660161402	0.0774420027507741	0.691608563013373	0.118015721942999	0.513292174331535
HAVCR2	0.992486758127646	0.95086521959973	0.964895335319259	0.985998418883939	0.992224929806272	0.988447357811661	0.973742370584626	0.988929708888844	1	0.916123572719189	0.950819354354966	0.952373359835035	0.835237250535098	0.980013799314754	0.984491756778413	0.962630682526052	0.947210943613114	0.929655277102867	0.94945853532891	0.951204435661558	0.895078541210478	0.862097193107489	0.920842168423808	0.853713586917272	0.935147599324559	0.933428035461909	0.920596885451491	0.987013933322374	0.962303808081511	0.990721984698604	0.925926641871446	0.967925445150076	0.936183099206185	0.98158843704016	0.833294904056032	0.898560275929187	0.809528754277247	0.98984776103069	0.901389540355398	0.857407213003006	0.970044138795175	0.931010066183094	0.888634000896163	0.990487195202373	0.971326108471347	0.934430076297186	0.990497162469292	0.988035125070392	0.903960956658949	0.968322164534408	0.951770703704061	0.975326434509673	0.927786423054935	0.992963660867592	0.904679445015806	0.952925252259729	0.959499889159054	0.787441449222215	0.784288055444086	0.945793922911931	0.509331367215042	0.745730498722837	0.808639539146665	0.924852287857223	0.961696461481623	0.854853720541769	0.759499111191805	0.700624910558868	0.965007191666833	0.994985237415067	0.845466953527619	0.931834639663377	0.919665108261665	0.982641216694286	0.888371245156336	0.942007880085507	0.946637274265124	0.964223609851835	0.978129078948595	0.974840563930865	0.964390581037798	0.782505095972156	0.926842732746018	0.860258460925125	0.81220960093401	0.955067956037373	0.521563881646905	0.532457244394743	0.983446262981957	0.325617336286091	0.874123032425697	0.937663072624991	0.680206040338372	0.765049021317021	0.712875620694854	0.565185192675893	0.643373410534228	0.461363779437361	0.621393532706749	0.857811154039396	0.866544803013312	0.945864618189961	0.961826495333827	0.670098743418048	0.992644148078064	0.956144059610999	0.709443867727357	0.763124567516437	0.987589624210903	0.814221228403183	0.904897717979711	0.821035230166391	0.299214234289709	0.541266697962295	0.339405252459033	0.718420361580924	0.715442969810484	0.737402067061573	0.417459803709334	0.591093932236252	0.584150993451981	0.937751317180477	0.978399139956355	0.900020329912161	0.96570528170114	0.921896852589425	0.739007529360742	0.506190954655902	0.633515878548595	0.967726702750382	-0.200662234002074	-0.0201876665826744	0.970935443850918	0.237439149101037	0.867698319246852	-0.0842756778679315	0.0412301785832723	0.959327017191152	0.709709110174614	0.941528097306965	-0.0624860654988803	-0.0250623763909765	0.521983056864403	0.483916543289066	0.192310018122508	0.0266323265507416	0.668810878583474	0.0221135350722861	0.440918927548466
ITGB5	0.935201271058073	0.937025363356121	0.942369981312367	0.905055092576594	0.934248066350964	0.939750917753499	0.96467681659369	0.934472570729265	0.916123572719189	1	0.972672636324532	0.956059764871171	0.879428924155019	0.954763306485592	0.928550245263529	0.931040284035815	0.964627048192231	0.950573229779734	0.921431699763849	0.940571228376064	0.894333911164623	0.950267254194944	0.969082210390381	0.932751639059164	0.786128505814383	0.951460384010302	0.98774576578452	0.909237803189346	0.946382534737295	0.889109153663109	0.873854153866643	0.955987757107509	0.968563193905976	0.880527041919323	0.948971206934163	0.906255986949687	0.809113392521	0.936141343270509	0.94866520567738	0.901790961421998	0.959904279803527	0.956824135966529	0.848246670302551	0.938769817729129	0.923168972922434	0.956779624403338	0.947744760823589	0.948560056867578	0.847394289999362	0.965000844147715	0.971457786695754	0.95151905771038	0.854905054288042	0.906001431673397	0.833803257777687	0.841387709786252	0.925499310164194	0.888148095012537	0.938756433356176	0.978112926325617	0.719915051698591	0.915537479350761	0.878469329057884	0.964989416675459	0.876970141286741	0.821262259568009	0.892108011355398	0.806403108438736	0.912035462489292	0.90697423962711	0.920348641366693	0.987458447235699	0.758571910904219	0.919849687538308	0.923597133024938	0.876849938280547	0.926292006638886	0.939263442727023	0.927431740929532	0.951564896970764	0.972131812591875	0.745641137759026	0.976144156694115	0.954567853857324	0.75333033538666	0.981200937828779	0.673381651087678	0.717898730503912	0.87672953572674	0.540106166781425	0.924398821071063	0.937195890720483	0.822048594237685	0.872619266308042	0.809071966639525	0.737596434441025	0.800246457112313	0.598227536482822	0.859882904004757	0.950374464252601	0.961992050193817	0.968000190992506	0.960905004841565	0.732613189657926	0.889362012461687	0.921022020082649	0.798663569831966	0.843479441852573	0.914631707278544	0.890757346844763	0.886394746545531	0.882097651808868	0.42995848409808	0.665667088955175	0.539892990542404	0.837784190079269	0.764389082452755	0.823750235342299	0.65339920234314	0.674815695852095	0.748878066690981	0.928994799698509	0.93217525946409	0.951054144855498	0.895502613168905	0.934693100925075	0.848993381552648	0.703641618160987	0.773332365426747	0.904155890252929	-0.0340675033665486	0.188641191647324	0.865948422338684	0.436996043417195	0.932305816026004	0.129764531695584	0.258250920929876	0.947421208181393	0.773672923629804	0.967331058225546	0.164738368677891	0.210989839910629	0.688284615268049	0.683249224996167	0.384111231213023	0.199014165676872	0.824579376459717	0.262873811959506	0.596344333113384
