""	FPR1	SIGLEC10	LILRB1	PILRA	CXCR4	KCNQ3	C5AR1	HAVCR2	APLP2	TFRC	TLR4	TREM1	TLR2	TNFRSF1A	CANX	INSR	CD81	SIRPA	ENG	ITGAM	LILRA4	PLXNB2	UNC5B	ADCY7	ADRB2	CD4	ITGB2	P2RY12	TLR7	LPP	C5AR2	RXRA	CD44	LRP1	PTPRC	ITGAX	C3AR1	ITGB1	CD69	ITGAV	SORT1	TREM2	SORL1	ABCA1	PTPRA	PTGER4	CD46	C1QBP
FPR1	1	0.556412102997223	0.714894991819748	0.768598280805289	0.803413668246531	0.550458134622725	0.752566015746234	0.552858317245288	0.744438384602626	0.571932601016992	0.532633149308303	0.492243325817577	0.460745654312556	0.716587712698125	0.737300935575492	0.494953650056118	0.775012559050458	0.558623893457532	0.52998264226364	0.482723333195085	0.699044137964876	0.466314750814857	0.629138020777515	0.465713867176026	0.509019808957318	0.659298638081289	0.768692605359163	0.623195577692296	0.638460032693267	0.604581517424549	0.508019375243572	0.60672812933051	0.538409159832583	0.763988757413613	0.696226629830601	0.623618484065407	0.672594747208754	0.747023308652073	0.484642645723157	0.655027085797953	0.726239133759822	0.698622863755213	0.812621710279905	0.636373777965978	0.588667572317194	0.547425459517087	0.489165286512351	0.64027022109092
SIGLEC10	0.556412102997223	1	0.514428036314491	0.597711481612013	0.676431626202609	0.468240259468846	0.557297943321951	0.505783918516366	0.62243270649015	0.435377726571338	0.573174341271065	0.40026596866474	0.45180379074751	0.591370714115921	0.615794926736632	0.365131687468329	0.651783540848671	0.569145158556046	0.494723239144114	0.590420306675999	0.600353417417657	0.463038251330292	0.4818746568881	0.450040849909761	0.547661309004702	0.471172917118108	0.602983216871596	0.630765850518935	0.628030652324066	0.659941396087796	0.278847852741136	0.432340179022362	0.369623612482282	0.582718582062333	0.622908468422559	0.505229590473386	0.485077561929137	0.525795336279114	0.562195435592363	0.484757266091955	0.572385293488916	0.565556844795963	0.674544216759608	0.612597637799521	0.585594916555978	0.547544282487839	0.279191669277691	0.577827763934066
LILRB1	0.714894991819748	0.514428036314491	1	0.731847048107671	0.696691493513267	0.500465852022351	0.684455536468694	0.519882210711487	0.642005893032676	0.488648451321225	0.436002008063072	0.410428661428592	0.451109992586476	0.678619781853211	0.725957564745838	0.519578670507968	0.753428332409427	0.504472364885192	0.38489012877974	0.394864132448671	0.622149941981098	0.364833176871703	0.597797823541695	0.457927914568249	0.577632479187964	0.671232874349462	0.683952731574506	0.587895545551136	0.615494349096846	0.55610427689676	0.345780641265486	0.555452398836265	0.457078905057249	0.644948780751952	0.69225926953668	0.614715652735232	0.594714143085064	0.710572697683265	0.445678871942183	0.537991139149098	0.636431068343045	0.668293176654881	0.762598998681683	0.620897393379181	0.595521878403539	0.509169988430192	0.374414156898316	0.581476313977221
PILRA	0.768598280805289	0.597711481612013	0.731847048107671	1	0.683488548686594	0.439370460874115	0.730371158652828	0.49645492124444	0.726537605683384	0.479335933054826	0.537582658937162	0.395522434276149	0.480641920498812	0.689720542058152	0.824260215012706	0.419116594047147	0.847259053657225	0.662878043486781	0.379542124797949	0.503695860141694	0.807359971411299	0.480809244220753	0.638650194324946	0.359284834087356	0.560713526941266	0.679036431274841	0.861544847656123	0.673598267680196	0.631710039487462	0.528349264120532	0.338497762364867	0.618448458940268	0.609785215621405	0.711089963086181	0.66925888146259	0.619041693792247	0.637363822099738	0.746077478946252	0.475822937247325	0.570404015968665	0.774448586145959	0.813047643484421	0.783339402261648	0.698490822248459	0.62033137625748	0.581530142480396	0.441256905864317	0.71384311531286
CXCR4	0.803413668246531	0.676431626202609	0.696691493513267	0.683488548686594	1	0.690221166237509	0.825618151451564	0.731869836671573	0.82796773934649	0.641274266302801	0.470731177345513	0.670746521847859	0.547886150789335	0.753532294920723	0.722094800771608	0.642193636421769	0.786800272496847	0.615184220995234	0.603134256332329	0.528924897960407	0.666038201591069	0.581328472686987	0.73755038529394	0.634815751669815	0.515508000733331	0.623453795442848	0.731446134449771	0.692803291492561	0.755525680648742	0.760050051539464	0.602775559228204	0.600647549413894	0.539240972097846	0.763797137050684	0.781848263102436	0.71011820585699	0.703618849762366	0.787367038878304	0.688470614642585	0.786326824840537	0.746260723262997	0.697548784748415	0.887536410805061	0.718016666015862	0.694582644011034	0.706764680342778	0.524580761922429	0.585767677303525
KCNQ3	0.550458134622725	0.468240259468846	0.500465852022351	0.439370460874115	0.690221166237509	1	0.568600789404538	0.624573883315465	0.563369403345921	0.384215908473962	0.334604347248525	0.562523479172398	0.39149877725806	0.54339055833719	0.512935495319705	0.443821627314331	0.547862048601369	0.45777227476692	0.408198684373874	0.339869401884263	0.461650340215965	0.383450441438562	0.551174431989117	0.430411630511282	0.416234050702942	0.465203870611455	0.542958176915884	0.404128107548735	0.604348850704238	0.604925366856316	0.409040030578514	0.419863433837707	0.429535805010303	0.640887652111687	0.619410832500717	0.601713097679144	0.619187730274137	0.644774164370122	0.606456251593391	0.596856832843527	0.459350747771926	0.548098779294478	0.639783583555406	0.531065123610054	0.518044004295313	0.547411674802802	0.394676481594984	0.385769869596122
C5AR1	0.752566015746234	0.557297943321951	0.684455536468694	0.730371158652828	0.825618151451564	0.568600789404538	1	0.689860549244071	0.87245161519999	0.663221390208608	0.517490773631007	0.595760162972372	0.578908225397638	0.670263476752978	0.746193514011215	0.689405466286084	0.840996163862221	0.640449484325774	0.474766329075732	0.46293186439531	0.692802666315611	0.504127319340598	0.782927791994043	0.488826130601439	0.438912357827019	0.627129322259313	0.771170703650197	0.681703679040764	0.728794893884735	0.680577286551597	0.531216367733521	0.585590545229447	0.719575160776691	0.7875683426557	0.759816857546209	0.765321437864816	0.732203369001479	0.785847104235266	0.590417546238242	0.758979469313605	0.755759871583726	0.779292208000018	0.846688508546007	0.700958321091882	0.666963435212798	0.765287527977429	0.528696793848546	0.64486122727683
HAVCR2	0.552858317245288	0.505783918516366	0.519882210711487	0.49645492124444	0.731869836671573	0.624573883315465	0.689860549244071	1	0.697973370536429	0.57992122713483	0.346197113187108	0.582165377947488	0.635296508393384	0.520609253530774	0.570145226299413	0.526633080334978	0.658337041585255	0.479007211598078	0.362366458488857	0.428397338919882	0.527883079982742	0.524780275971338	0.736957809238894	0.632899949460927	0.309216517545573	0.528200863581129	0.56100603951813	0.595476209716712	0.711114256790405	0.694415304751529	0.535597577982803	0.473513063767934	0.557693279549526	0.644351835341821	0.666732840324647	0.694816809248814	0.663976294878543	0.696344137978204	0.693361426748161	0.703833333210572	0.545237859165759	0.60649576794115	0.69359401974409	0.610017602566758	0.624061712177683	0.763924360716074	0.426787076142272	0.520216427793438
APLP2	0.744438384602626	0.62243270649015	0.642005893032676	0.726537605683384	0.82796773934649	0.563369403345921	0.87245161519999	0.697973370536429	1	0.685383517805611	0.535226369368987	0.601080319721048	0.616640529324139	0.658575556900232	0.739841319670291	0.626741402365189	0.847349546602136	0.650931297019641	0.448705928694111	0.527972208685205	0.714631298352626	0.577698020082877	0.803914653301	0.527217765737537	0.46311425699244	0.613344910792659	0.776264156441065	0.676942280080444	0.760803291273956	0.721620387873139	0.460482479682386	0.654261549557275	0.724862825581325	0.824185559565567	0.7836945928949	0.74516794416968	0.747837155263204	0.821539883533708	0.668716646976472	0.748662571746129	0.715183289503991	0.773157794463616	0.848186106248438	0.74595094512061	0.695360162752106	0.773802805623327	0.546340972958627	0.712149350523886
TFRC	0.571932601016992	0.435377726571338	0.488648451321225	0.479335933054826	0.641274266302801	0.384215908473962	0.663221390208608	0.57992122713483	0.685383517805611	1	0.319889453685573	0.499786723317367	0.385568317912329	0.494312263813413	0.547178253749632	0.56031451839061	0.684100492285585	0.443794123235984	0.337900617522361	0.246899804753996	0.490415549699822	0.564498870547338	0.633092787934271	0.390115146911895	0.251599547917932	0.435084357971118	0.556299869993872	0.507434674669251	0.554112776143339	0.630964375424716	0.44709183815492	0.458855754770446	0.617074076198671	0.674963252541557	0.559537295042538	0.634174589263627	0.529874731582425	0.616053770707515	0.473305383614632	0.658214636898393	0.468492147954028	0.555374020451748	0.616570326501455	0.544739907154034	0.538980436181324	0.607083767137698	0.564432526825829	0.585130242178973
