""	NRCAM	THY1	EGFR	LRP6	ITGB8	LRP4	LDLR	VLDLR	LRP8	SCARB1	TNFRSF21	GPR37L1	LRP1	NOTCH1	C1QBP	CHRNA4	IL1RAPL1	IGF1R	ITGAV	LRP5	CD47	KLRC2	SDC3	CADM1	PTPRK	CD46	FZD3	KCNJ10	CD99L2	TSPAN5	PDGFRA	GPC1	CANX	TYRO3	ITGB1	INSR	ADCY9	APLP2	VANGL2	ANTXR1	RAMP1	RYK	PTPRS	PILRB	MCAM	F2R	RAMP2	CD81	TFRC	ATP5F1B	KCND2	LIFR	LPP	PTK7	CELSR2	NOTCH4	CD82	FGFR1	TSPAN15	SMAP1	IGF2R	SEMA4C	CELSR3	KLRK1	ADCYAP1R1	ITGA6	NCSTN	SORL1	CALCRL	ABCA1	SORT1	MCFD2	PODXL	ERBB4	LINGO1	RTN4R	ASGR1	CRHR1	TSPAN17	NOTCH2	PRTG	CD63	EPHB2	S1PR2	TRPC3	PLXNB1	CACNA1C	AMFR	RIPK1	RXRA	PLPP6	RACK1	SLC16A7	SIRPA	CHL1	PTPRA	TRADD	APLP1	PLXNB2	CD9	KCNQ3	STX4	EPHB3	TNFRSF10B	LAMP1	JMJD6	SLC16A1	NRP2	ERBB3	TSPAN14	RPSA	ERAP1	HLA.DPB1	CXCR4	CLEC2D	CD74	HLA.DPA1
NRCAM	1	0.860162940444378	0.394125438473818	0.974799322541564	0.963995455179222	0.938587043118971	0.944564611448405	0.881665218152618	0.968802411512351	0.874096790343169	0.879299277568036	0.85981760725411	0.95639459133757	0.961139611294294	0.844189095606839	0.877096860267213	0.912985764676064	0.973842657573568	0.953527693606944	0.868909719462255	0.957895082738624	0.90630104695556	0.903723840123903	0.904740579730086	0.949031264813876	0.960637678032981	0.960196758353605	0.953439109056442	0.864087171948404	0.933122044629173	0.802481437649614	0.892800302031034	0.970401261608569	0.893994890375711	0.932208881639882	0.950493763661969	0.946853091197518	0.965857045432025	0.938507722812934	0.91878287015385	0.532946413155441	0.963182967314087	0.889003377682856	0.889075412216301	0.871443384997175	0.939150402228776	0.83344258426608	0.924259110705319	0.916289881896524	0.862481325253228	0.608831738869394	0.621788154972062	0.86638867417051	0.811069534185684	0.912361252897091	0.699984724940502	0.666265067045914	0.920177750304696	0.847919070455342	0.912518249180411	0.952028366720659	0.891265861021453	0.953440340259284	0.764651683227541	0.807283183119141	0.916673424092125	0.903409506682973	0.237643935024944	0.601717033459495	0.393632064104435	0.829513669866572	0.946491736360397	0.921613902363576	0.95295630059068	0.869100224892378	0.844711169912551	0.492612482574442	0.804896594102635	0.880864482974852	0.756382467893926	0.903894032818534	0.931955927173595	0.891129425512111	0.837773196142788	0.897222976930489	0.935702236031177	0.830010201239822	0.890245287572042	0.848055508246022	0.647635708562016	0.869871133980029	0.87087778705532	0.909064879235751	0.919495723952843	0.935107102145141	0.970081266986575	0.840460814620141	0.868197700302091	0.875698976964576	0.86497347396564	0.687151298655596	0.926371129929094	0.877196755523562	0.903798387124862	0.935301448514907	0.873746351986755	0.90940245144698	0.634600826281966	0.855598849385208	0.832946246628225	0.880983215252506	0.911099172717685	0.407538514715782	-0.00150037923616448	0.75980409647499	0.399011670142327	0.378143536663591
THY1	0.860162940444378	1	0.0489605014500789	0.865265440443333	0.785408990338607	0.793526761802347	0.90353855196471	0.873370369226478	0.854699011880486	0.957330856250941	0.971647285407367	0.974142142958582	0.943816862737726	0.94526108668737	0.980723219409189	0.942292088633457	0.735312538797331	0.803371547290656	0.743037452595143	0.835110093423606	0.803905859637111	0.824111934033877	0.917939104883839	0.871775865893598	0.826910227966487	0.834396607496733	0.781304862813731	0.910436988927284	0.840245429269092	0.886222117026233	0.600930441975212	0.974081395222168	0.903116325828376	0.895583653134132	0.846522777825567	0.839521834230566	0.811003451137561	0.839513720860824	0.909567356221096	0.835204619254244	0.408516482261771	0.877796906981922	0.664392000384461	0.766848754242568	0.8134842409776	0.843039313753919	0.953779673927546	0.932457492490899	0.742089751587345	0.97144105297449	0.439320705703563	0.284556290983775	0.637631916160491	0.831880838689932	0.890245992933894	0.694746500443098	0.607076399506417	0.867351832779418	0.903425665524901	0.959810559060221	0.849431497442997	0.920470099133706	0.878357279033608	0.557052526849052	0.66403406274007	0.818925684856671	0.91440850886529	-0.0276749047063811	0.405136025665792	0.0378783410429762	0.601906999145802	0.864718657334044	0.898532067836213	0.88131946114997	0.809303491363431	0.947013857010418	0.28926434788455	0.862523535388513	0.913071107051531	0.529109602726461	0.758262938673926	0.948011784859997	0.900336501131215	0.885770313085347	0.719802630418766	0.908934972257516	0.787117656606546	0.90379289691069	0.588354474244946	0.399524477251819	0.829164241019116	0.959728016904736	0.697715553054065	0.779195807680298	0.750747775502646	0.872369880369714	0.918906055725928	0.905778060770522	0.853737464547867	0.738767127603279	0.381604235134637	0.863195951272646	0.914163716834234	0.896687116701708	0.898988473048675	0.756425331808642	0.873795121286414	0.308297457465546	0.865326047757775	0.731486174097038	0.975518743467834	0.755025181386405	0.190915874276767	-0.162593534210975	0.533904097062309	0.200844954716511	0.195831246154214
EGFR	0.394125438473818	0.0489605014500789	1	0.339975105328504	0.477967850770852	0.490151869261626	0.261508696054979	0.165027314891494	0.354820645630418	0.0655481739071964	0.0296709565894208	0.0755082402619287	0.278203380258322	0.239236145913289	0.0793617750328895	0.167398368664506	0.456528696906267	0.485926922591083	0.498649351045402	0.260712541340539	0.409090946312688	0.510111806103769	0.247052066968102	0.188328020380552	0.311107226175138	0.355446900652367	0.466802578693189	0.258547722455583	0.198559984247702	0.388238560486108	0.675740432178738	0.154247013717674	0.271892328627917	0.285181083770541	0.244953960939805	0.363533187535804	0.419833465454626	0.317186781833279	0.313767223817396	0.464383406256438	0.764145717973468	0.339984717813813	0.533445850825002	0.427911064563047	0.198498112880572	0.332353387022565	0.192576172500446	0.305923657896255	0.477050526593742	0.176872205919959	0.631137859689293	0.85539387000072	0.572433313127845	0.225468933182052	0.28340069558425	0.243354027869073	0.591674461750948	0.367785002831597	0.0570790343427277	0.226106084436767	0.23726016840507	0.180508978176324	0.355360320041839	0.565278151349198	0.632826371130778	0.26116094687782	0.242206313132099	0.413599380574185	0.636394874617928	0.599582157510204	0.417416647116926	0.412206851709784	0.277662976767844	0.309356564365988	0.493079226335906	0.137840581961418	0.586245328566088	0.112880894359856	0.181274851471665	0.574591588537906	0.307339590036759	0.240629888379173	0.218304729614221	0.216608900249495	0.452811333382813	0.228817670883891	0.235349387777629	0.166479190824139	0.451743061913255	0.659598213512329	0.189461394398922	0.189463995322135	0.423250887679592	0.310507358853673	0.556745282165153	0.335059212505523	0.0367696548129393	0.0886599757292704	0.308366343387965	0.310440021958	0.634816931600335	0.3526318730045	0.234849748806848	0.161096272831055	0.220272145691508	0.529990590659948	0.247090767070945	0.498904375251058	0.0750555412270349	0.359892479532906	0.171486947909884	0.336014307726676	0.185568232112286	0.0828803350487812	0.404806303437611	0.207338512996612	0.170167307597398
LRP6	0.974799322541564	0.865265440443333	0.339975105328504	1	0.962183724981828	0.952409547207225	0.969414220767211	0.904755773468357	0.972115834105025	0.911164131228357	0.89916095902459	0.879717217031639	0.957473181218626	0.966061982672952	0.852697193114117	0.898214145031139	0.932372410646571	0.97237911893533	0.958469958915359	0.898127687142227	0.963331054708541	0.879065141000692	0.901819201544075	0.936354729442802	0.967215958043167	0.964151334866921	0.968071240945334	0.967925740283766	0.88908626762367	0.935860373030167	0.732821169147481	0.905859844303544	0.980026387789201	0.908925812735177	0.962783924418394	0.964075431996168	0.95235406887982	0.981755162279084	0.924867665271377	0.895612827119844	0.485343887223919	0.970544165522444	0.857018006340597	0.902110898539728	0.895588605435532	0.960167343979793	0.84001788746101	0.942787173490831	0.922990904093782	0.873905490378139	0.574668293453801	0.588797891891647	0.866858642736108	0.803487579912748	0.920775933354143	0.733660494722381	0.657956202398873	0.914444367600295	0.874970859128395	0.915628981128186	0.965774640945135	0.910334446967853	0.960177116285399	0.75362155633465	0.788637296585405	0.944716937150113	0.908154216751049	0.250430424106915	0.610983274118594	0.394688869091841	0.865242470797975	0.9333026939773	0.908598745825734	0.962868442697611	0.847442046811979	0.861703739042464	0.513751200225885	0.820752966637867	0.882550347870993	0.740100158163536	0.885231283804093	0.949714278327051	0.923543373882438	0.860830112647883	0.886680312981893	0.962216047988459	0.823464035121282	0.882474905658101	0.846360338725067	0.645288087855492	0.85864514721843	0.87254520129112	0.896846508178209	0.922907940576774	0.9046380900136	0.976532067395294	0.873883915450106	0.911314292988363	0.89782706041445	0.896161848737906	0.708432533755148	0.935495080651856	0.889149851835077	0.918212939380959	0.964222300741101	0.865114778686014	0.905564461132822	0.642556985387647	0.887838047323356	0.855849306488406	0.884342407492517	0.932057322860253	0.424368507086784	0.00435193082564609	0.78394607869598	0.41104710034893	0.382034894732504
ITGB8	0.963995455179222	0.785408990338607	0.477967850770852	0.962183724981828	1	0.956868233225894	0.917312216986219	0.85286615347391	0.955866892385749	0.824221902304226	0.821440507335061	0.790340373073313	0.913549382875136	0.912764977057808	0.776655185959834	0.838839728161348	0.917827611012143	0.971798394254057	0.974506331331503	0.8658878792642	0.965618568099429	0.881876485105491	0.86078102007987	0.892712100233981	0.955599630499269	0.952993504372351	0.964247383686138	0.917615635041622	0.867677818389435	0.918902931124467	0.80671205765016	0.836657891535845	0.950412597388187	0.884431113397032	0.932475438911788	0.935468053439909	0.946172298009299	0.96956738140563	0.899600967998493	0.903809396840041	0.576446308758812	0.937117348242747	0.895231375471407	0.900034083600671	0.850228879221579	0.932445863551406	0.782023582110802	0.896714188373443	0.932198491757986	0.812823803829881	0.666201771350666	0.712414829726653	0.886170612860155	0.768192308833978	0.905854620831142	0.740877617588273	0.686086970132059	0.870136390741286	0.803494914696646	0.864873666236283	0.930118857551792	0.852704124124064	0.932414320799707	0.737801678469485	0.80022057468549	0.898840192388077	0.87701593278737	0.292902524018283	0.6693916582617	0.507861368744976	0.874799282482088	0.907324090097826	0.867520074610833	0.922608577694665	0.848724511246747	0.775545689787387	0.584687237471811	0.742947179920688	0.8354345674422	0.811292879332704	0.879102514952171	0.908586751808111	0.869053088291341	0.808603566020622	0.911154900108065	0.919443822831605	0.770333920400522	0.844048204304921	0.886186388010624	0.65016744892986	0.833908422312163	0.818801121770761	0.941006181872465	0.913690339142987	0.950079666831668	0.959520703959648	0.811703791781149	0.84151368664596	0.858924896812356	0.883791134617116	0.771595242044661	0.931958140143136	0.830994545015136	0.868441120857078	0.917392152961714	0.879481403908213	0.884829851609717	0.70152485385547	0.828033630569963	0.837098921246239	0.823265388009278	0.892469327371949	0.420470655546638	0.00388615849448022	0.774694497881949	0.404294579979574	0.371451948049233
LRP4	0.938587043118971	0.793526761802347	0.490151869261626	0.952409547207225	0.956868233225894	1	0.925558827144157	0.857052418254319	0.934345973986499	0.842812079022665	0.822408427493301	0.827106091287712	0.915339716771972	0.910764527089241	0.777523666975398	0.857218522107738	0.933278754309825	0.962593403189714	0.957205164838699	0.906477967102914	0.938941655590757	0.904734850009896	0.851724000402046	0.893080508594733	0.928577327445866	0.917081473348144	0.955119361145793	0.933859400240264	0.856962191206585	0.914798645230445	0.784455909117125	0.840347638365378	0.928720078074134	0.8936660053767	0.907801607439821	0.926395360678981	0.942617067104024	0.943503370253462	0.887722799876066	0.877821266747496	0.612027972187964	0.929439922576896	0.818643399186996	0.8847303082421	0.829006578416858	0.91346517925883	0.801843233264803	0.917017971528949	0.901327631887773	0.822516510048953	0.680107094172965	0.711279443439122	0.894980814795299	0.749033162819756	0.890298115409124	0.709289601014963	0.738387359892348	0.887955605483952	0.820571012694554	0.870195995937355	0.895931213879742	0.833425417803316	0.928624383914651	0.769205829129545	0.826548455053394	0.896301855792927	0.862597984035848	0.261836561501288	0.67376830291946	0.434002744081359	0.848104107713851	0.903275017682355	0.858794535170102	0.932628933480163	0.855499556950792	0.801720539449177	0.590933495030944	0.751973944808837	0.845531149098006	0.786099322797976	0.86403306810557	0.908320407537387	0.882468853106692	0.826902043752584	0.855432819055758	0.922353942810369	0.736320776126601	0.793361750141118	0.843988244172332	0.711490808534146	0.817134954957909	0.817267621968922	0.860770079161343	0.883866886339947	0.912764801398606	0.927313927654763	0.793811517789424	0.855708681645471	0.879929465592872	0.867150677409425	0.774895760349657	0.915178220569687	0.814995576392034	0.854915839325498	0.913557694806104	0.874309545356933	0.825950129017438	0.641708312058552	0.82182706807581	0.828069672129083	0.826417919948642	0.880884329469187	0.370934580366817	-0.0407343704984526	0.770216964377488	0.358966493302397	0.333018708895019
LDLR	0.944564611448405	0.90353855196471	0.261508696054979	0.969414220767211	0.917312216986219	0.925558827144157	1	0.930987549308359	0.945853638238802	0.94857395437937	0.938515005816941	0.924638945040205	0.956522975999856	0.965767953730999	0.87625736625655	0.945571293587079	0.912708911904699	0.938727074743182	0.901441969102012	0.880509072169816	0.937407523864492	0.86261703393121	0.909793989241676	0.959029795300119	0.93802423068529	0.936156368573825	0.924882628482417	0.969452349933934	0.875458859921207	0.927180003250243	0.67546618522345	0.925981301282985	0.971246988677349	0.923888829827559	0.949802516484313	0.943845581227577	0.911097660162335	0.949682532964421	0.916422957234053	0.858215114774998	0.445125147825357	0.942660141168283	0.785896714781788	0.878324462137675	0.904303978340387	0.932990568844102	0.866381877171283	0.954804180455738	0.884403512220636	0.896709744781104	0.521768754893111	0.535548308953427	0.821739203193726	0.801453013372618	0.928802300947773	0.709087792194062	0.626860855848635	0.909007933345585	0.898813108636979	0.931727565893105	0.936413020247798	0.914242307314341	0.960691192859018	0.704703269426798	0.795214025123136	0.943251153501125	0.91276931958094	0.193143003450703	0.554342182896931	0.289467169830365	0.80357567797554	0.925378872718581	0.922113575104236	0.959875489362856	0.817668491226922	0.907592011486582	0.441084896047482	0.856518001226576	0.91441911629758	0.681969408017714	0.848079687883006	0.954483683009715	0.9431324127259	0.836927410558909	0.835251735570774	0.970510592044909	0.79466191958429	0.871309114746563	0.798002143053808	0.590690086728053	0.878528863668516	0.880520549845811	0.834604683822659	0.884685318349588	0.856570899484276	0.948700038138574	0.87323182068687	0.940980169019339	0.880258526638794	0.902407144427428	0.609843611966982	0.922178910323626	0.889435804673837	0.910209665101018	0.975191797492268	0.861358741801584	0.879958250083331	0.562219184698695	0.922505230202625	0.808744853556908	0.896658541798204	0.905458516023953	0.337548738786841	-0.0491015880545438	0.711816053577991	0.338752106735101	0.315805371844749
VLDLR	0.881665218152618	0.873370369226478	0.165027314891494	0.904755773468357	0.85286615347391	0.857052418254319	0.930987549308359	1	0.901427832891632	0.919848483743118	0.937297397817568	0.892626936643178	0.90129359004109	0.919300918710505	0.840547607717209	0.908300982409937	0.880481806601099	0.880887164702704	0.820193670446382	0.795962758649864	0.884399202691404	0.785003083786648	0.882417804562076	0.954681986682285	0.893996245628881	0.894733553951355	0.853403637290264	0.937921765659553	0.865134621906957	0.884121694460132	0.54356370427692	0.89172771631618	0.925334652490273	0.872433376572954	0.927494661702408	0.910554913430375	0.85561149727427	0.905453635113989	0.842809577262837	0.804639282182519	0.343767591052105	0.890158974217334	0.734215340748116	0.831508701387267	0.896491292462085	0.882207994610977	0.814557508964283	0.916686323277939	0.820484251243318	0.849685509764329	0.413092992141601	0.47063069746706	0.764194702011234	0.793490181494867	0.87802147688522	0.605824964621595	0.520926541567665	0.814011357830719	0.927552151582178	0.877835538755281	0.917932933098839	0.876777464650816	0.915000206120643	0.592913844419664	0.727886703127637	0.911747194311283	0.895169566057924	0.176701656624284	0.447761892626001	0.259995566089185	0.74607941329466	0.857934856657205	0.885621212093043	0.90697527539199	0.707440978234223	0.849464285439182	0.351348354154778	0.88414417785323	0.876500890713022	0.592804614932386	0.848970036713908	0.913412886705747	0.91768602610794	0.777097194963829	0.735409691436348	0.926544326950154	0.76136742110989	0.82308255146158	0.730579343040523	0.583030411366912	0.878005524861754	0.828189003671521	0.772285621411042	0.848646704381289	0.768497740275914	0.900733448851914	0.84199112324171	0.950527788032785	0.818341259327973	0.892300914012972	0.519650206639307	0.878367928585639	0.804543710353175	0.875478786102923	0.945755833868306	0.776095145534829	0.804493074327046	0.527167430122993	0.934811755257955	0.789461082739758	0.847465636660128	0.878566313459885	0.31944525285151	-0.031523532122191	0.62172362835518	0.320691003828695	0.301531835766048
LRP8	0.968802411512351	0.854699011880486	0.354820645630418	0.972115834105025	0.955866892385749	0.934345973986499	0.945853638238802	0.901427832891632	1	0.886024293953613	0.888777053964887	0.86278572345197	0.943095848177667	0.94786616420852	0.831053232917959	0.889430959062645	0.912590916061708	0.961383849771103	0.940807918243136	0.862836010356591	0.952645285568374	0.866229499740516	0.878820339458184	0.921440397319702	0.953237996450456	0.961581466137441	0.947060091025875	0.942217870842206	0.866939618278022	0.924143742842329	0.732289601867079	0.883321468473123	0.96422535332187	0.885193960518094	0.943179530868447	0.953739292308116	0.945971525904266	0.964361905572915	0.901731579688814	0.881649898989463	0.452315884377637	0.963336749072046	0.867293020624584	0.869819705138912	0.905093181057143	0.928887972991397	0.81203118383938	0.921473902721166	0.923335002640722	0.851331490355251	0.543828161117337	0.598222585460237	0.869842097827838	0.791528646854276	0.902583101504288	0.723191804608835	0.641451656007797	0.893931587983109	0.849018070221945	0.886950268902271	0.951094901402707	0.902357628013279	0.945918460585361	0.716725242626798	0.777311951972336	0.916421288153392	0.897407613532368	0.250784170368383	0.568349282390076	0.397791103826901	0.83682900137274	0.920224170291071	0.901601744937837	0.946558547402706	0.815636636437209	0.831548619772456	0.457455366784866	0.797068908773066	0.870795512380078	0.694702883707367	0.889696168096535	0.929081115100006	0.915310810812891	0.829919102559319	0.87007277927975	0.9376855811476	0.844364379006152	0.871091299773402	0.84523937532697	0.627246342824361	0.848833613395748	0.843535070190359	0.880979322299608	0.897299017002371	0.903455413892711	0.955263641548364	0.849286942189589	0.89550622464347	0.872324480979801	0.884487072257044	0.668767347928116	0.929930966774273	0.876256824948504	0.90152355629436	0.945009726292597	0.853658716199529	0.893922011315203	0.660255269460446	0.858704798763825	0.848641983801001	0.855837231778604	0.909732386171362	0.390676891257865	0.0143522789981394	0.762617464662823	0.386307366118907	0.362327334952559
SCARB1	0.874096790343169	0.957330856250941	0.0655481739071964	0.911164131228357	0.824221902304226	0.842812079022665	0.94857395437937	0.919848483743118	0.886024293953613	1	0.97481796175319	0.966079265636306	0.941922946841305	0.946814224060015	0.938369856475777	0.939883774721047	0.824487815735158	0.847584592986814	0.793483613878005	0.870445244684037	0.850430934678494	0.79069931290649	0.907014716963608	0.940841570091364	0.883398920161712	0.868889013690237	0.835964395667583	0.950745231464235	0.870448945366788	0.88456578075226	0.535649409615312	0.953156595238939	0.938131093016603	0.903406284656622	0.899952552862498	0.896619596054798	0.857136492786797	0.892142463954746	0.89485231961922	0.809214390804792	0.342015822997242	0.895977138393197	0.665059134554071	0.809044216368388	0.883265023080053	0.878569682768066	0.905468858406726	0.946056298979375	0.780668306041733	0.937537891330275	0.413328447425203	0.323708273857076	0.718233918881834	0.774738256882429	0.906962847957247	0.687387599985461	0.567675739344857	0.85900717750341	0.938247681580432	0.936909852860738	0.894740078444398	0.925124173262465	0.911179798384173	0.581843691106274	0.690344518457365	0.897900156215143	0.925582489583158	0.0660588663001454	0.395429472153177	0.110244754505534	0.704227930899276	0.863369934336002	0.894017517707981	0.915878077439271	0.753388142036098	0.937040210282027	0.311214748002496	0.876013109940458	0.905311865344657	0.575740232706543	0.810231149716139	0.95580206827524	0.941555024124928	0.865759713826264	0.776464526385433	0.947620159372741	0.764234090390828	0.866593480667729	0.676094911874863	0.472561513856494	0.832793707132314	0.908425325974781	0.721071292389709	0.818825366662606	0.752757147544611	0.894836709948608	0.925517304352995	0.965231580551733	0.871782554898079	0.842922393093969	0.464183376233656	0.89265046203891	0.889137517099926	0.923823648143054	0.957062550703411	0.756346985734739	0.848516995249737	0.412152887732817	0.92339080131664	0.780127689171729	0.927705685617728	0.840673718896941	0.27821195986343	-0.104363885502038	0.608225466365769	0.271748888921753	0.261856918407412
