""	EGFR	ERBB2	CHRM3	TNFRSF1A	F2R	CD9	PTPRA	ITGB8	LRP6	CANX	CADM1	APLP2	SDC4	INSR	SMAP1	EDNRB	ACKR3	LPP	MET	IGF2R	CXADR	NECTIN2	AR	CD99L2	ADGRE5	ITGA3	TNFRSF21	PILRB	PLXNB1	SIRPA	CAV1	PODXL	KCND2	ITGB1	NOTCH1	LRP1	KCNJ10	PLXNB2	NOTCH2	THY1	CNR1	SDC2	ADORA1	CELSR2	MTTP	IGF1R	PDGFRB	LRP4	ERAP1	TNFRSF10B	AMFR	FGFR2	RXRA	NOTCH3	SDC3	GPR37L1	GPR37	NGFR	TNFRSF19	ITGAV	SLC16A1	MCFD2	CD81	SLC16A7	SORT1	MCAM	C1QBP	TFRC	ABCA1	CD63	SCARB1	CD44	ITGB2	NRP1	CD46	CD74	CXCR4	SORL1	TREM2
EGFR	1	0.452073184850548	0.543285990009447	0.531997979036103	0.573690948575995	0.629711659859261	0.659155341228986	0.745461827556136	0.719558584957204	0.613900900697159	0.732505507167739	0.596843994801192	0.254768981493782	0.614458906274706	0.660058765117006	0.611612969558343	0.546676422714176	0.514849379587476	0.345946997245281	0.471838337730557	0.615986285953156	0.518562582308161	0.698996668825559	0.456063694145154	0.697819972879996	0.332935111239488	0.623397653946337	0.651930300997793	0.585824634397313	0.5265925871767	0.221717042622617	0.466344719450953	0.6022839999326	0.422799060459891	0.621208278269112	0.646254083447891	0.56765155441389	0.477016480016549	0.649199873332877	0.436666334473042	0.493511075831015	0.4963199227766	0.505131069534256	0.619406382264273	0.543367198688958	0.525748828234865	0.378991662090122	0.703920636987986	0.563779334693895	0.415978677397065	0.462848474359898	0.514006487928248	0.565777457158213	0.431055319940357	0.508800265586838	0.83164015596397	0.611614469902199	0.494663322015121	0.58364389411364	0.556996311256905	0.563688730364401	0.567045051624722	0.504737481603164	0.598148195804294	0.578225496143733	0.461833099274351	0.562491400737054	0.081981888451788	0.574687062468633	0.524701826267645	0.304633715596486	0.295647601297295	0.0459184959121133	0.336977125773617	0.487971571853607	0.0198314034508585	0.0139241378131493	0.15575153341592	-0.0185566911869201
ERBB2	0.452073184850548	1	0.649271556601623	0.792341914159145	0.655859451729457	0.717086783374782	0.80508023577845	0.809893793630776	0.621916646701034	0.795675749226518	0.756283207067326	0.759639044066141	0.690358449619529	0.57952862204106	0.734789385250181	0.430832310426903	0.779671799229758	0.677691876345604	0.75582667674446	0.456554548924508	0.739685216151523	0.700609269675208	0.737050672929203	0.7949906745452	0.701823904487686	0.823256827219012	0.815408539981044	0.745914634135786	0.616983856912028	0.673697331811423	0.616130611253732	0.592227501956954	0.332384909443362	0.589673608541144	0.741974031712605	0.763084793316045	0.342794587280905	0.733682988743499	0.660214480797858	0.51969409842983	0.744630380267284	0.696111957352837	0.830438151768464	0.790128906854644	0.705722581392891	0.71022598145179	0.488467229893889	0.618583112512805	0.631694423157726	0.707642116950558	0.780731121902398	0.536794418174954	0.556159974304879	0.539824778262545	0.83504675177137	0.592643366933009	0.703345433770983	0.34077407590951	0.562796072963942	0.777642196926562	0.679198028649802	0.680330824557354	0.710458052840207	0.802577097728251	0.691707380854775	0.562629572555902	0.732485370842172	0.273055076564227	0.773660738688529	0.761995059614913	0.632334126944514	0.797956883122109	0.180213981855669	0.687170403131694	0.683989980226842	0.190851063748211	0.259268137613786	0.355345330831793	0.0770505782786478
CHRM3	0.543285990009447	0.649271556601623	1	0.791306898679826	0.735726063779127	0.635759733724352	0.840936492084347	0.848900553265774	0.816433609607004	0.781658320779062	0.814020850341515	0.788460706727213	0.494835884228701	0.703610272593026	0.705198624905144	0.275624807500361	0.695379401892334	0.786599206739706	0.794430276122466	0.760291411185244	0.852940412656324	0.708758552168994	0.714624874021066	0.757161519350263	0.696211558203715	0.642244971647744	0.778053026832526	0.791436009992669	0.637425524472249	0.829162073318841	0.530830960827886	0.609495605539791	0.138979126473067	0.670905257811286	0.650426040472925	0.860639309544432	0.30331878909784	0.883089876275387	0.774391926142958	0.566960117784246	0.806389422812418	0.677753124685782	0.625421948262266	0.742034963315882	0.645469467393808	0.842575608118611	0.671552342740753	0.600694245833902	0.738124858065754	0.730251236823353	0.757270677333601	0.656778327400382	0.701217663817552	0.614189422212732	0.648432017968485	0.560996859751514	0.862722411113176	0.0220866649769317	0.723171689868924	0.79038686498512	0.627332832423315	0.829873799277693	0.75085806036688	0.825424064870786	0.818901959335957	0.591554997076169	0.692509605035112	0.375184119539647	0.791895885045434	0.72817667207759	0.73436078530843	0.64013160316088	0.31712918990619	0.660515418876313	0.770351345706295	0.268208104717285	0.251640176874068	0.443049274511465	0.186386383148565
TNFRSF1A	0.531997979036103	0.792341914159145	0.791306898679826	1	0.895567485386935	0.868650706958055	0.961758018319155	0.83479821814561	0.833954580515262	0.971823813035228	0.918155961990993	0.973672347964306	0.783566591509587	0.817554114724608	0.943749609141613	0.36440681315181	0.782999100367213	0.899535889376478	0.838346095697355	0.769446966733152	0.958079035099549	0.915131685042117	0.831415881571363	0.922409490480308	0.86916797205125	0.881379984468919	0.957449054480439	0.864250233639752	0.667701192779385	0.892754148730436	0.772042155207013	0.792732963265472	0.287234048003298	0.842875384572256	0.830266971984892	0.887123420869444	0.25780430091304	0.884216798519765	0.860781562248628	0.754944552745537	0.905138434602085	0.896904227814146	0.808063505631652	0.839352782330011	0.831545157075943	0.901461074151886	0.677648775526692	0.589094030724467	0.840084677234508	0.902620555247018	0.931743173880404	0.575037363441043	0.774732719134472	0.744166834725084	0.782244530253963	0.550653644702097	0.904546575401311	0.18148655507303	0.687425481261642	0.963226442864882	0.793094089167985	0.926757162476529	0.909763212405742	0.934591749257511	0.906907474523079	0.714514552784357	0.944631647408305	0.43244337516924	0.959674883335666	0.970360218315814	0.828547067582991	0.918118406718528	0.428002951972343	0.881614523176865	0.915101939479324	0.411404330874605	0.468677081386291	0.584464868535935	0.298979313745677
F2R	0.573690948575995	0.655859451729457	0.735726063779127	0.895567485386935	1	0.752887208748112	0.892981138315989	0.720767336325569	0.873223603379995	0.896842118558604	0.874790792753221	0.928891096420901	0.643630035510731	0.933069278733937	0.889651445223103	0.244888987286701	0.608981395601627	0.955912964969783	0.720993605902575	0.873786291610753	0.914713184018681	0.935472235962754	0.759183141387309	0.807712088164887	0.840360001903708	0.768006359779111	0.862288137570498	0.842604592534395	0.640805626787218	0.872462517392482	0.785051099253826	0.874026333661933	0.217131034591714	0.939131315086264	0.776857119919854	0.824824127633737	0.207572014841622	0.898359465246622	0.909973903745281	0.89097030261934	0.816813999638139	0.912693357872053	0.601423800478709	0.750273159138386	0.755519453329975	0.868539183990094	0.846328674111238	0.482260875741668	0.843757412701985	0.90100362051138	0.893000895917397	0.550181338059229	0.87486699819076	0.897869094877322	0.597266410326657	0.498252073951948	0.899929894073421	0.0884665729098369	0.705852255903294	0.877974006969069	0.701928834488389	0.945077775930165	0.902024716871523	0.839034644366995	0.936731920698819	0.87792706155111	0.876962516752574	0.431194213911905	0.896784106052592	0.902962019082548	0.788201235343423	0.796706130727286	0.409276972495372	0.877130067215609	0.92026577123875	0.393653801806592	0.434743123191983	0.560453814246779	0.260662264259106
CD9	0.629711659859261	0.717086783374782	0.635759733724352	0.868650706958055	0.752887208748112	1	0.875633500837653	0.829113699250347	0.768762689810055	0.909220907014915	0.859346182721339	0.885283492532861	0.759862857996918	0.720590722457978	0.921618451775195	0.538168302672523	0.725877041333065	0.717221579602745	0.719730334163699	0.589541720733362	0.831851699720336	0.833360823352329	0.744090957906708	0.836735030436397	0.915226224663665	0.788454824367072	0.869674338491249	0.763701667401085	0.564449609270432	0.689875193356558	0.678352862532433	0.63367671680434	0.481246868052721	0.697887731306911	0.720870727834315	0.735566279155938	0.291227139941468	0.679644488283288	0.76920350306193	0.626518704358607	0.762966332647215	0.739890303891305	0.736749314133668	0.748213548470894	0.657566759022581	0.769870964641524	0.50779761284928	0.542404667687841	0.677668037496408	0.749597560420021	0.799459209781106	0.416242827077041	0.594072640038269	0.587555868076024	0.80092104082847	0.587092910378075	0.729742539478082	0.396809752384939	0.601502373260106	0.839268581246573	0.889895865128459	0.791574629902439	0.720647765745189	0.78938646362001	0.750784152772783	0.577232259645949	0.923163843404843	0.189052526236553	0.831309706599779	0.899975728009827	0.64177348063093	0.754806385050602	0.234152858595363	0.751706768343139	0.775357477454764	0.236479471893451	0.348781564465448	0.364043566517514	0.149478206263282
PTPRA	0.659155341228986	0.80508023577845	0.840936492084347	0.961758018319155	0.892981138315989	0.875633500837653	1	0.914327787473885	0.897992736224517	0.965644305716253	0.956987301449105	0.956158385517504	0.706003234213775	0.833166359965704	0.938876450575058	0.476182368514789	0.838582537630096	0.896797294035287	0.833181716059758	0.771809146468156	0.967251028889353	0.875580699613034	0.88685933474932	0.911916816241289	0.886810262342829	0.805798115140484	0.967381205511727	0.918932790021733	0.747431476954092	0.891693232761103	0.68420230846004	0.744844954321724	0.4308252712225	0.800078463396049	0.849187352464354	0.939074093620684	0.410265956208963	0.889136117765287	0.874148681797666	0.716013270882615	0.886649465881684	0.884564738611817	0.80531818882081	0.869464212285122	0.850607332135659	0.899190703278198	0.694339013950571	0.686263321526006	0.887296529910808	0.855334949542077	0.877475836593929	0.670456401499655	0.771063100441656	0.73957632179225	0.804229959691864	0.674932313210795	0.932793925708263	0.23724081390492	0.773028544094642	0.947917841142134	0.817947077029937	0.907870030827122	0.890656897969981	0.948669380701083	0.910900317769441	0.721244482442357	0.92201705616357	0.39135806795171	0.954014140088766	0.923061061174024	0.772815147779562	0.838187124435862	0.348711291733142	0.799766673057649	0.889591682176855	0.33021803659702	0.389290038054631	0.512809679285247	0.220797135007062
ITGB8	0.745461827556136	0.809893793630776	0.848900553265774	0.83479821814561	0.720767336325569	0.829113699250347	0.914327787473885	1	0.818659241178011	0.860018939732073	0.900036489764777	0.840275925732607	0.580274655535335	0.698985730473388	0.828680149812265	0.628818875276384	0.853240025899716	0.72359938055212	0.774426365027018	0.618127253845992	0.854162597198969	0.741366381255796	0.863911533533664	0.807026289734259	0.821137133285611	0.703587003199347	0.891438032565241	0.845274513953145	0.777022773955744	0.774574612749585	0.494365704361573	0.602896638727283	0.467687619651812	0.608136049643353	0.805966421123047	0.901069837763191	0.548340735769622	0.792646113657861	0.794402933082548	0.547796043137129	0.787061734346882	0.699895214692362	0.814760935901467	0.852269775715678	0.729557489423661	0.776838170518899	0.549630984624951	0.781854449234076	0.745310856700377	0.693392806133481	0.762831945368475	0.671108928488407	0.639861106411812	0.565298881939455	0.830101002102818	0.815885128160562	0.818792021637136	0.383203733436081	0.728024435688236	0.839269427196201	0.75372412590722	0.77953076459489	0.752970024925811	0.862267512414523	0.796683379720076	0.580346212628405	0.781995253312488	0.268031826281527	0.843112845792191	0.788965706612146	0.649125320367519	0.675964154573133	0.194329267620878	0.626626955140178	0.721566567594264	0.165898964903516	0.207520933735839	0.354262590360201	0.0853275538021996
LRP6	0.719558584957204	0.621916646701034	0.816433609607004	0.833954580515262	0.873223603379995	0.768762689810055	0.897992736224517	0.818659241178011	1	0.870923594028703	0.905625262583683	0.888687794399377	0.583392731050875	0.864144186276674	0.850024317500826	0.338812537914326	0.634010991935568	0.878163032239912	0.725814711603839	0.843916452862601	0.895950409501322	0.826343035956087	0.757581043101646	0.804070105103493	0.859476422853689	0.673268143546817	0.841647250719364	0.854715063097406	0.645566902553354	0.856468541575475	0.625489958277069	0.732485612776992	0.309017047590256	0.806499460676857	0.75211664436587	0.845826042043449	0.329702196564766	0.847574821843933	0.863250582294491	0.739258634988802	0.82398973040205	0.812519039111026	0.577539207378191	0.766209742110743	0.73325689889292	0.876608055903617	0.748439078934148	0.623183702892736	0.823496649982336	0.7925214191111	0.805909485917643	0.588816922222401	0.817769008421347	0.765924025333029	0.671332061290942	0.646566669874357	0.896806426437982	0.159464441710101	0.751529092645227	0.833584815791886	0.731880758549803	0.884578834738217	0.824812565394629	0.827679610850705	0.919502951839122	0.744103336434161	0.816042854752805	0.370258656478388	0.868294674084446	0.824636712083605	0.749320327479403	0.684957075556674	0.329224474631585	0.748288408397337	0.84405933600665	0.298466145413093	0.322859531573358	0.480299813265898	0.200234439048548
CANX	0.613900900697159	0.795675749226518	0.781658320779062	0.971823813035228	0.896842118558604	0.909220907014915	0.965644305716253	0.860018939732073	0.870923594028703	1	0.942670075337837	0.977250447894261	0.801323267214433	0.843308194041351	0.964663854075605	0.405108653434883	0.784910182607964	0.89449406165796	0.828406831225768	0.766115732799668	0.947855064984979	0.924486893559956	0.828873259577781	0.920704768593498	0.915979977169761	0.865074684009078	0.956816346945354	0.888952137771468	0.667025911520336	0.862496744657372	0.786948692411664	0.792633503754291	0.370482315830931	0.842244766499771	0.854090769052283	0.87487908532249	0.295013920750831	0.865110086323487	0.88967619478513	0.76293612153225	0.890577021763117	0.887402822816839	0.776937982916149	0.833586753259452	0.824553241988696	0.907262345624524	0.685008637928989	0.595422801269217	0.850491617506541	0.889375921979311	0.924860719493849	0.57346079507075	0.768533597373731	0.751608392529788	0.792103534586361	0.592969370042243	0.890944636052493	0.225902266557165	0.70468295863799	0.946465518662377	0.872710622647057	0.929741127375856	0.882431108727136	0.918252521642859	0.906955471076621	0.728119308287952	0.94502361275683	0.385002922973714	0.95105960688209	0.961413788827806	0.813081807460418	0.882939475913062	0.371667018473584	0.875325058096199	0.918986653292546	0.363817065267192	0.456784717787834	0.53083802319384	0.239953659209201
