""	NCL	CD3D	CXCR4	CD3G	RPSA	TIGIT	GPR171	CLEC2D	CD2	CD74	CD69	HMMR	TRAF2	CD63	IL2RG	PDCD1	ACTR2	PTPRC	LRP10	ADCY7	CD47	CD247	S1PR4	ITGA4	ITGB2	SELL	KCNN4	ITGB1	TNFRSF14	FAS	RACK1	TSPAN14	SIRPG	SPN	CD44	TSPAN5	NOTCH1	CD96	CCR4	TRADD	ITGA6	SLC16A1	CD6	IFITM1	PILRB	CD4	CXCR3	ATP5F1B	S1PR1	LDLR	IL2RA	MCFD2	CXCR6	TNFRSF1B	PLXNA3	TMEM67	DIP2A	CD226	STX4	MET	PTPRA	PTGER4	JMJD6	ITGAV	TNFRSF25	PLSCR1	APP	LAMP1	LY96	F2R	NRP2	CAV1	HAVCR2	ITGAL	SORT1	APLP2	SMAP1	CANX	CD81	TFRC	SIGIRR	LRP1	GPNMB	CD82	ALOX5	RAMP1	PTPRZ1	C1QBP	LPP	CD9	RIPK1	TNFRSF1A	CD68
NCL	1	0.0688829107313233	-0.026425406901039	0.211541239469052	0.967397096421407	-0.181825914021108	-0.298955549477225	-0.0501159041818051	-0.170380041079305	0.635160428848384	-0.264339828167373	0.987476225029829	0.822234149581514	0.615230689871731	0.0231763911014733	-0.0660183081867757	0.940764301149781	0.745351942034613	0.513602727115928	0.820623418217231	0.929974681821119	0.0219242330209766	0.531539080709378	0.700098675297974	0.92473230294566	0.292855826990415	0.99328882832748	0.92639561027815	0.373985405103295	0.311891367308136	0.948621758335228	0.457250144601014	-0.189598357660954	0.0729791035476452	0.632836077770237	0.454237994682783	0.525715265356704	-0.127710768180793	-0.00716976162316902	0.723586928854907	0.803073423764536	0.510748765516209	0.269629206617716	0.805406816802859	0.681316973270037	0.947664364204635	0.242925550090762	0.977312825507383	0.389388935193993	0.553429091080385	-0.332083384688378	0.708583044048105	-0.27789260602192	0.183804902027084	0.344250132739556	0.687140757838635	0.847712200548143	-0.0604573743341722	0.846999874398479	-0.0826348466961976	0.630567460992174	0.629014096265378	0.724446230295772	0.958396465363881	0.231275607142196	0.607933711082557	0.762093876072912	0.63734553777237	0.570260478370379	0.79665986248383	0.858582042518664	0.445499641186062	0.693190202710557	0.124461991598552	0.657618129603776	0.775005501106806	0.849490959403673	0.755365654208936	0.890238508249026	0.725141803665016	0.843955037634024	0.496835506262507	0.104809846488535	0.782186815893434	0.657464125146729	0.033534021999369	0.0155222979772894	0.990443897655294	0.613662983262408	0.223786861057827	0.867520727363627	0.65341349670946	0.540459544680097
CD3D	0.0688829107313233	1	0.947919320341571	0.971734311219612	0.128605332512973	0.877008523819565	0.491553661211717	0.918917387724603	0.899288193104595	0.354756759804396	0.815777041211575	0.176695697777525	0.386714073851756	-0.260208148541316	0.974434780291858	0.957981301245426	0.0393083131046886	0.67203138474706	0.359485930095769	0.0252827325073485	0.213778208550381	0.971082278833646	0.767760718844861	0.609789992777125	0.0355403266192852	0.758418473142052	0.0410667909751147	0.0286285741947596	0.469850468995265	0.512083895591052	-0.0273117029285734	0.677635678246995	0.849426256284417	0.933612614511528	-0.284675644981499	0.445142710894682	0.241970997815737	0.915080940680184	0.784758432319599	0.618360957530072	0.0450518083707416	-0.45180298557845	0.816737237651491	0.150408830850831	-0.106694507311929	0.119141703931285	0.939341815007511	0.0523399591741169	0.341864044234485	0.434183971459476	0.650269392701775	-0.288868756273446	0.671068342720289	0.908076644811504	-0.1799360337329	-0.391782960239361	0.30272282914182	0.476336017506248	-0.0919512610298982	-0.534055370964396	-0.213585421039705	0.503430304006294	0.351441473969749	-0.130662995766378	0.85977633785591	-0.176269126963021	-0.330824258930106	-0.368662168450412	-0.426023140383635	0.359179405225031	-0.353384125923933	-0.410197333161322	0.371468127917417	0.881188521425351	-0.101347717078355	-0.388522985451827	-0.033162765447507	-0.443368408668271	-0.143466622838157	-0.291925506194474	0.199370544810985	-0.562445995113376	-0.540070740619375	-0.282922570751361	-0.351349401908501	-0.055832677488383	-0.058716559295491	0.0429542047251938	-0.10520064125564	-0.34571553238392	-0.0856089057137801	-0.262659347812101	-0.410282502525901
CXCR4	-0.026425406901039	0.947919320341571	1	0.921875675752886	0.0271485733624362	0.909216943606019	0.619256162471828	0.943618045252106	0.914542476780793	0.349303151164506	0.893028488764584	0.0792647220971963	0.251667796057117	-0.323980825049346	0.965686852876397	0.923126807999953	-0.0557368037793712	0.617975673989319	0.340448646167864	0.00335120210653099	0.101658529654613	0.940707773186239	0.665842180860526	0.494140698001743	-0.0517981720567934	0.753946469160407	-0.0617065727538098	-0.0261856339033967	0.482425819472568	0.520422719723397	-0.113949040600809	0.694635054746457	0.869033116976928	0.908381928241166	-0.362982924607497	0.410707725936286	0.130859878435706	0.929038563690192	0.724787071564286	0.583656069703026	0.0293692335812566	-0.472356757583014	0.720277472828035	0.119408197224429	-0.134307339980837	0.0275523536516677	0.884141581148906	-0.0500530287835091	0.212580401229705	0.378560157902961	0.690309710753559	-0.333967571866609	0.784747963319592	0.866486395834507	-0.11426875866193	-0.390503082088879	0.294101104651539	0.562358974768117	-0.128357895576438	-0.510809905911869	-0.22244801681423	0.52861709066438	0.263503687682154	-0.211248706013834	0.859788706660867	-0.218418289873948	-0.371747877242832	-0.442926915078965	-0.492364211563078	0.294427034057704	-0.40773646381699	-0.400972565295375	0.373632995709761	0.860335698571725	-0.138470141956233	-0.44693652505289	-0.0524990656773919	-0.514052865597385	-0.213639194960731	-0.314224268009622	0.190598720255861	-0.606432805038838	-0.551512755311589	-0.326686872105096	-0.379126253756001	-0.0635476524260017	-0.0268066897089785	-0.0646303137284922	-0.0759290060425766	-0.370489406765887	-0.108849221238377	-0.30423753651266	-0.481142992377805
CD3G	0.211541239469052	0.971734311219612	0.921875675752886	1	0.247104803124983	0.858912537282848	0.392157536908243	0.878338555282266	0.868817070298546	0.408045025355503	0.760118768335028	0.316805192994985	0.464886073998816	-0.190017407721862	0.961433941852929	0.92868681393885	0.168742250214892	0.762828425985647	0.409548304247784	0.154355407624205	0.328352971821304	0.93453022101317	0.798183567536917	0.663695104302679	0.17738205911152	0.745469838586738	0.179552081761967	0.156503111258811	0.535958400232483	0.565669174710995	0.0881922822471812	0.768899093295637	0.851305726393701	0.904834508609136	-0.178213246987924	0.470519136213566	0.298964981863127	0.895459366067607	0.702676661989943	0.694477946414612	0.127569325842388	-0.390875483053689	0.786524731311406	0.235076067813852	-0.0398900300252003	0.26486968330833	0.918993953513077	0.181670096360944	0.274184776641815	0.500099402339692	0.571500590811451	-0.20373589958799	0.638778237240107	0.91652557785669	-0.133353453078432	-0.301990941660935	0.415131168408506	0.467778394511809	0.0387087238334363	-0.557348694910458	-0.150259832436316	0.58366538836515	0.450742675169817	0.00714946126673786	0.845824084392032	-0.0910831324545501	-0.241272078958086	-0.257251110708408	-0.339346449802945	0.438143287368999	-0.230161053875204	-0.362597388375732	0.451299969782608	0.928639802019522	-0.0196602830303635	-0.266703956392935	0.0876698888130951	-0.331816225087202	-0.0160905577259224	-0.195389829840702	0.277789257674444	-0.488234508310118	-0.477566126077954	-0.133026805016719	-0.240739706547582	-0.0693828654569929	-0.0678999110345455	0.174585967368601	-0.0333434699165726	-0.335742784750609	0.0145074054536233	-0.185366105048572	-0.300032517097622
RPSA	0.967397096421407	0.128605332512973	0.0271485733624362	0.247104803124983	1	-0.159617899844983	-0.243661575744646	-0.0165606436248307	-0.183561436435561	0.761688581425227	-0.237320673867026	0.952530988024263	0.909083587722576	0.704852495094783	0.0988686180130687	-0.0300014466902963	0.96213514825733	0.74380426317523	0.651761993037055	0.773970035683606	0.978550245529107	0.0589063765318981	0.635913152343706	0.801590346726642	0.897224674625931	0.432198464303473	0.94438114031543	0.921321939908953	0.341616914434807	0.328544506563285	0.974518929134751	0.439297547022193	-0.200567241860973	0.193506311494981	0.623674219336283	0.579972392058747	0.673095287249047	-0.121684766868149	0.0967766912686714	0.760326746934287	0.852002896055498	0.457657591638859	0.398680002189509	0.839993940764416	0.711570576149805	0.915087643998826	0.333379110241435	0.987777768453538	0.452797313435271	0.656084315005687	-0.339593239700426	0.72514258576606	-0.289723364411938	0.222721539865783	0.367956898579578	0.669942427451076	0.833609231782731	0.0773715137465988	0.835971378171569	-0.0945593466876656	0.682326499539181	0.699547469011806	0.689323117761216	0.941121454902999	0.257200856325594	0.674878051115643	0.798740488695857	0.636887666664018	0.609543807193679	0.802667025328	0.829332660349883	0.417283294711796	0.795871783468507	0.0972359213603417	0.747612421804102	0.781937007464368	0.853047298292733	0.750766901000266	0.900605990779879	0.751588778542143	0.861316896709179	0.533147381923312	0.017721312126454	0.685118159726059	0.637791001694519	0.170193218320923	0.13215191212831	0.984600557222082	0.680017862592043	0.304324714595807	0.889346064006479	0.732893786575547	0.496584771236001
TIGIT	-0.181825914021108	0.877008523819565	0.909216943606019	0.858912537282848	-0.159617899844983	1	0.608944171656408	0.902421409885916	0.935453005363836	0.0744878137854381	0.909723275086423	-0.100506725152286	0.0632091281634594	-0.460224257545623	0.920615537900564	0.842251069593322	-0.254530775079051	0.434728695628718	0.218035406624011	-0.131468960881684	-0.0938269576950886	0.90266560923172	0.473947050790526	0.289810811092912	-0.231096404536378	0.599891975589189	-0.215714964068716	-0.177186961275938	0.353239510111016	0.509766085463365	-0.293926452488349	0.559342814937473	0.945341461900158	0.774948215661574	-0.531666018028453	0.27820129834082	-0.019327094588433	0.918662981194729	0.653906834835978	0.422487113419374	-0.151949973939865	-0.49373829518821	0.524696292061654	-0.0358629305405449	-0.237641891561929	-0.117845191019474	0.734417199085218	-0.2225711279585	0.0558352956793358	0.1777152596986	0.808015487727874	-0.464145158264359	0.890970387493252	0.798860396187052	-0.312966590121208	-0.497398417967661	0.129201660649991	0.416088490698752	-0.299588964171214	-0.454196701642005	-0.334697420318214	0.273609845851585	0.111847089948303	-0.366659338882647	0.702512045268642	-0.410165677077163	-0.519039607333128	-0.569306898414385	-0.628241339784988	0.14062839023353	-0.558847407571376	-0.418088545386442	0.11732240610974	0.81841528938631	-0.253429891710714	-0.594657664810998	-0.203912181363613	-0.627892835373123	-0.399571736701372	-0.523910327550316	-0.0386792909714666	-0.705744165772991	-0.54751463161303	-0.379206651748279	-0.540010563097837	-0.121099824930229	-0.0644253051891277	-0.228585740250313	-0.206946906489426	-0.399896980869988	-0.295534042674845	-0.486357512348354	-0.570742225522866
GPR171	-0.298955549477225	0.491553661211717	0.619256162471828	0.392157536908243	-0.243661575744646	0.608944171656408	1	0.628633306302573	0.613695904429548	-0.109757461407608	0.816108648595221	-0.274594928852966	-0.189988931351245	-0.340805678688742	0.531822538833006	0.444161620996355	-0.394570462789738	0.117086385959575	0.0796681963379974	-0.297699572141631	-0.271981045840833	0.52075740147486	0.0966465927323019	-0.0123315473956401	-0.400887868325547	0.476924396263087	-0.317965968942882	-0.183529349753618	0.0866579847690714	0.26692827253935	-0.326059045302118	0.229166102551104	0.541596571658748	0.434759853958961	-0.63885396184704	0.214751752876852	-0.26535988746876	0.621720938892103	0.318991760477023	0.260385579156337	-0.0958246146674646	-0.374582933988577	0.163877432220813	0.0456648650335477	-0.277780027335156	-0.258620556572513	0.329419594888257	-0.30700962477943	0.051744292068471	-0.097000960430832	0.562743046920584	-0.436838719335979	0.739365395159879	0.346424114379591	-0.378512994000538	-0.339343122357468	0.0200413162394625	0.13943608923251	-0.359296223252152	-0.23437843197098	-0.175282877256824	0.032418242758398	-0.22855710211002	-0.371892783899619	0.493048952796176	-0.473416518186768	-0.374675295666259	-0.633622626184317	-0.645471834235937	0.053749899833152	-0.474956595136585	-0.223405444871072	-0.0916674411593755	0.330590575847566	-0.183867205747059	-0.561075421789213	-0.325520134638311	-0.597955215139006	-0.444577838888711	-0.540904631133681	-0.0892130717166282	-0.551973687034479	-0.573008296790277	-0.383857176717087	-0.592508369332239	0.00644412697691877	0.0517616661072708	-0.30892712139083	-0.138465946947092	-0.239572536964345	-0.249868311418634	-0.403126626790289	-0.626728500882976
CLEC2D	-0.0501159041818051	0.918917387724603	0.943618045252106	0.878338555282266	-0.0165606436248307	0.902421409885916	0.628633306302573	1	0.932155166241039	0.210323753455486	0.856346236091273	0.0500935187320086	0.181150152951489	-0.372614795346774	0.913237518172911	0.897717817751022	-0.117649295672232	0.57216183478597	0.282318534596855	-0.0700868138603136	0.0323261215776673	0.965770846396111	0.570395715661931	0.416812309024675	-0.0955660216701305	0.617675366696517	-0.0751755226216097	-0.02839317895639	0.429549876206866	0.635140860030852	-0.131704767801124	0.604727508347246	0.911356225892766	0.799262649823958	-0.426363497578547	0.367317250079369	0.0689304551511379	0.93256339021604	0.656757487984175	0.564697288374911	0.0172432568844322	-0.35502361953604	0.663923066239866	0.167641985359272	-0.111206167271385	-0.0232948493022483	0.830944857277325	-0.0865140986267352	0.178661095815218	0.363719938942567	0.701787854111511	-0.30168567471711	0.81294710558679	0.780654160754414	-0.0791863838779852	-0.358936794335879	0.324049047485031	0.363329165059064	-0.148186026442755	-0.40437232764057	-0.19842874301586	0.426094363470102	0.348354019342879	-0.220706589807389	0.894159012909335	-0.304218711179207	-0.363617069691653	-0.506354527573758	-0.553046271555311	0.339601084271183	-0.405158176533709	-0.264377754896363	0.245496403803168	0.863699224854437	-0.180975056874905	-0.493291646052091	-0.0666855443603961	-0.499077831213805	-0.247297227214339	-0.361529808955933	0.188016369823049	-0.601064854677799	-0.572312157823764	-0.340744893302561	-0.445859086429874	-0.148772220402448	-0.0925509659431058	-0.0997178933676472	-0.0627442188505733	-0.351219865793305	-0.110721770046176	-0.363838259217272	-0.526135359956285
CD2	-0.170380041079305	0.899288193104595	0.914542476780793	0.868817070298546	-0.183561436435561	0.935453005363836	0.613695904429548	0.932155166241039	1	-0.00716753406243669	0.923629910237234	-0.0653522251151953	-0.00103917412813739	-0.523528380480544	0.885635238973553	0.924471382103808	-0.274785790409296	0.476112875465978	0.0983081167208134	-0.158445311314768	-0.131908845307593	0.927134374262767	0.431512587666335	0.243105082689712	-0.206066670581593	0.495600903186527	-0.184338714832297	-0.17732883000247	0.446376677864297	0.4709929580289	-0.319423269639777	0.597199970869259	0.965239644061062	0.748725934554419	-0.502578145168905	0.217046497327971	-0.111572297245214	0.983677628154457	0.602926107357492	0.420591133523068	-0.185565177428138	-0.506134140722305	0.511783333676744	-0.0410816306641104	-0.333887745865426	-0.101134048753968	0.727278673221195	-0.236675848722681	0.104510040156685	0.167374130126364	0.770495705334287	-0.494446055828087	0.825028367016894	0.795608649725482	-0.288162507310665	-0.520170806271306	0.144686770339239	0.306352892098188	-0.276059062374162	-0.476875611756674	-0.38744449951702	0.247182703533384	0.177488324974444	-0.356926288259582	0.811172505167895	-0.46201199937377	-0.55784373243703	-0.577202078521133	-0.674886471719542	0.187344773344852	-0.537157633462886	-0.438836934668981	0.0400844725076452	0.904321974931681	-0.34942044725504	-0.613165755526333	-0.263794378725106	-0.656507795386054	-0.402038411599729	-0.546073017532769	-0.0336782169319975	-0.726919234124344	-0.497812341179116	-0.347687839722964	-0.556861028442916	-0.199502855770901	-0.153115000887114	-0.232758757892399	-0.286921265310672	-0.476597174692243	-0.323025136442287	-0.532265613359869	-0.54693246966289
CD74	0.635160428848384	0.354756759804396	0.349303151164506	0.408045025355503	0.761688581425227	0.0744878137854381	-0.109757461407608	0.210323753455486	-0.00716753406243669	1	-4.91851938350931e-05	0.66412217317961	0.856384654236658	0.517557469002445	0.375471085859331	0.214843462764384	0.774767662326328	0.708149468803609	0.719766753932606	0.634801443626953	0.821236139629729	0.271505788643438	0.797845227365374	0.871018399137646	0.675492481339826	0.696082377794648	0.590531661959736	0.62754414000714	0.429123270752899	0.284217791585614	0.70957307463999	0.516772218572706	-0.0381682955662285	0.55402768692994	0.507482741715588	0.584616776832717	0.72355726532927	0.0591752404204647	0.463202537778982	0.680688405283303	0.669751073787114	0.112519878158253	0.684075732573604	0.618772353229108	0.551483944687288	0.633747623020804	0.606520169022568	0.69708251520196	0.482837809032204	0.723192810963749	-0.0808894458810125	0.483775844892822	-0.0859082548577265	0.447716480098758	0.474589912361879	0.382990968739981	0.633878731007048	0.6294736251952	0.619791456861927	-0.262555328288893	0.45340702481724	0.903186824186202	0.557175286090493	0.597461063235272	0.397388754383379	0.71029890314663	0.528953300568512	0.476649856660178	0.523603871800137	0.577110159449181	0.487380667595147	0.108384075416724	0.980577870488275	0.195796595842523	0.582468437706401	0.528246237176944	0.660563401728709	0.4502316266508	0.680510787668802	0.682609781415891	0.788173900133093	0.320895177466309	-0.0736435791383328	0.27993134364544	0.539715204346753	0.218171385572297	0.185213749799386	0.66556927357645	0.592522855429358	0.153641454709378	0.665230768930993	0.594400948204393	0.322047032346977
