""	CD163	LILRB2	LILRB1	LILRA1	CCRL2	CCR1	C5AR1	ITGAM	TNFRSF1A	APLP2	CD40	SDC4	SIGLEC10	TREM1	HLA.DPA1	TLR4	SIRPA	THBD	TLR2	FPR1	CD86	CD53	HAVCR2	CANX	PILRA	ITGB2	KCNN4	TFRC	VSIR	CCR5	ADGRE2	INSR	TNFRSF1B	ENG	ITGB1	PLXNB2	CD4	RXRA	CD81	NECTIN2	IGF2R	CD47	PVR	ITGA5	LDLR	ITGAL	CD44	ADRB2	CD9	TNFRSF10D	LRP1	SELL	CD74	SORL1	ADCY7	PECAM1	NOTCH1	FLT3	SDC2	GPNMB	IL6R	FFAR2	CXCR4	STAB1	MCFD2	PILRB	STX4	TMIGD3	TNFRSF21	TRPM2	SORT1	NOTCH2	TNFRSF10B	LTBR	TRADD	CADM1	TRAF3	TLR6	TNFRSF10A	ADORA3	CR1	CD300LF	CLEC12A	SCARF1	TREM2	RIPK1	TLR1	ITGA4	ERAP1	ASGR1	SCARB1	SMAD3	ADGRE5	TNFRSF14	AXL	STX3	ITGAV	LPP	NRP1	SMAP1	TSPAN14	NCSTN	ABCA1	CD226	CD36	TSPAN17	CD68	AMFR	RHBDF2	PTPRA	CD8A	SLC16A7	JMJD6	RACK1	SLC16A1	LAMP1	CD2	S1PR4	PTGER4	PTPRC	CD3D	CD63	CD3G	CD69	SIGIRR	CLEC2D
CD163	1	0.580842938001133	0.629538207938362	0.0716726616847707	0.451755937258599	0.725028816443082	0.814405495532701	0.451029555898915	0.863832443983885	0.899264487435068	0.19126376781345	0.250084025422332	0.706676910044175	0.208944319893884	0.142674974112413	0.896302340812946	0.776952193204689	0.280122871402361	0.588003994797514	0.53440554235426	0.413883196604497	0.711135598827458	0.773346186853424	0.826345891691375	0.873673414792517	0.694201093450601	0.298799023941028	0.825498779927236	0.474428505478579	0.641492605704314	0.587405647028784	0.173731192775476	0.613309870980782	0.767530162582642	0.740397056976069	0.767175864575527	0.785413932932672	0.535578473801167	0.829622822821917	0.475507019882174	0.793510637121055	0.576551548959879	0.508918555341826	0.384283277513511	0.0897623993209501	0.546696003625596	0.444603388892845	0.772989086276071	0.771421378117604	0.328626138036851	0.901179278526913	-0.0709654790917965	0.347352898464878	0.822732702456692	0.636185789491285	0.621699478996554	0.544502961990971	-0.155973620431235	0.504833744871863	0.768569234630394	0.64742249607858	-0.0835091099422938	0.261906260580554	0.828908204689903	0.720542163742049	0.615382140809301	0.745934106162729	0.906333900809454	0.802962129635886	0.78841880121096	0.816891662161337	0.71740399045293	0.400968964825557	0.837759253801099	0.335373512843439	0.620253809657765	0.459738642472958	0.653922511654886	0.244107939387589	0.823877165239827	0.753726164449907	0.688135447879044	0.258827756814052	0.0917916088838513	0.771423180559662	0.619768811372051	0.806135203056767	0.399912768727623	0.767987723692281	0.785953165177526	0.742989900395641	-0.0567152620204412	0.208164357734867	0.716736066197607	0.58636542824928	0.637535559027802	0.797102254994952	0.613899012171691	0.796382210197958	0.721823558634615	0.886398035510036	0.852532193874889	0.853983175608649	0.10626445298669	0.686839336564825	0.763581578424319	0.89193068141138	0.773500060826297	0.72793499258574	0.718726152830023	0.424218291635546	0.414010474164474	0.53415610216743	0.480946904346247	0.728974199921356	0.860650384696123	0.259357648308533	0.225126946349312	0.465494493994189	0.499672962478035	0.28819215241637	0.814439449748749	0.28861941712183	0.232762073775039	0.371243442046184	0.290154276594791
LILRB2	0.580842938001133	1	0.895977242439353	0.628942212309051	0.677392442436183	0.451462500862461	0.770313522463645	0.374203100853878	0.579919191352372	0.481776026785976	0.317195580224738	0.48974030563922	0.379767797451165	0.364413472050351	0.122590828059149	0.653932874169482	0.566742322311594	0.369305836491335	0.745725445062512	0.866472720999182	0.325343276403685	0.672856348347099	0.511487828658157	0.531447579231443	0.595731062137322	0.414987969308535	0.414329697103349	0.539487574410427	0.54750050998763	0.589844898495087	0.776894972858672	0.280742718718578	0.761776638995135	0.503883724924488	0.433464584686687	0.505533230650568	0.346454376452518	0.669053297633996	0.322798575348503	0.431852287947481	0.316663345222984	0.605455328038314	0.642614722713241	0.486502314641858	0.469197400926993	0.461606144533784	0.616761728749386	0.398910099178598	0.297205642834625	0.44572849791683	0.308031747157913	0.321126609914462	0.181269549372663	0.332128586125912	0.43576803479402	0.360397615143878	0.522973549956317	0.0374117339882382	0.166286870517947	0.186472893770033	0.669958468798893	0.209129197708373	0.514404463788098	0.249565404465935	0.425106126686524	0.368101724353452	0.560345283880556	0.340337583045608	0.332129474052665	0.245114623593734	0.43730261055753	0.451545247240567	0.591682921864062	0.43987086228651	0.357565591733209	0.0849604631259192	0.657044096889278	0.473397278892463	0.521100534398845	0.196915421778475	0.280722864420541	0.592460228523582	0.275673313219376	0.229650021531457	0.170644379747917	0.36592658818994	0.355483800413964	0.416321257087021	0.530693866689688	0.779349176392907	0.171168062761699	0.414571029644996	0.592220884560137	0.513476993605849	0.145214031780762	0.425528043542955	0.328514108149177	0.324175470129776	0.269078176049802	0.534444220929751	0.591811078462278	0.443313468885349	0.340838381876945	0.0693113943251326	0.2244099841582	0.476081249354157	0.336087243331539	0.309427698961077	0.464914438600301	0.456522416241492	0.368569186127398	0.548740392881128	0.611342235939776	0.536144960382951	0.428863693347463	0.35522692233641	0.333925354179225	0.472332180631802	0.350950262349053	0.526519965062122	0.324764091237499	0.42090645562055	0.315337225195166	0.334364567258203	0.575462703385053	0.320271411899582
LILRB1	0.629538207938362	0.895977242439353	1	0.713542321120899	0.795363227387562	0.614478279376658	0.850948045172213	0.573530134871749	0.553409196689173	0.560439394879641	0.272953181324402	0.632872417360014	0.280921425785597	0.548206787226868	-0.023664497163328	0.671452360602054	0.682298598254108	0.597261989461973	0.850128885553283	0.815625091294899	0.336941271198041	0.722564465235073	0.452735455201038	0.548656149474694	0.601895301590634	0.406523082457725	0.540585674999122	0.534663925342751	0.439004468166569	0.589656652025492	0.84844960987407	0.131063172065547	0.756510703425002	0.53765981461804	0.515444647690076	0.489106721237155	0.293809172323096	0.82571971879891	0.329734982046315	0.335491872775123	0.369240012401233	0.621639865997234	0.708904713147735	0.64170753020651	0.463758142092874	0.474577958949055	0.786720394348989	0.421341226256518	0.316314938766792	0.601244445073254	0.334498469316614	0.197512179948065	0.0518514683276384	0.302892070414137	0.33477428050779	0.326798760811103	0.47000588675859	-0.0881769940867568	0.333830808479009	0.21874483866272	0.732560016097533	0.335277888688537	0.377785642908371	0.234384723641155	0.426997057609015	0.330422771747439	0.568365403953078	0.370863560101653	0.36117305633793	0.232342531884716	0.518383321750157	0.439814112066063	0.513419648770933	0.379572270383406	0.239602355686793	0.0464159497745751	0.705156744453943	0.403195971783842	0.648524168273138	0.198082987576577	0.314403784799494	0.598308613685716	0.27271696961757	0.260234752797016	0.166020862622765	0.312011084532665	0.317011659700583	0.292066373094687	0.532764124445556	0.761966681065954	0.145106439473758	0.300539316252843	0.681962921111006	0.439811459072945	0.07263158257181	0.395974329654409	0.324833543530096	0.378883409472356	0.29427914910416	0.512157543722095	0.624360662534122	0.458108387857482	0.42120014987721	0.0364722224122709	0.266305663552188	0.500758695724081	0.372270874626771	0.2900144888418	0.46083285906339	0.444156861619804	0.372583861863255	0.574506979078911	0.589227281664764	0.471088379536215	0.498115001676874	0.400892335428628	0.283186412454547	0.428022401629395	0.240864115629116	0.435422971165262	0.292833959320748	0.476864467511849	0.29146809546785	0.263583224954069	0.564407461865704	0.277399071878856
LILRA1	0.0716726616847707	0.628942212309051	0.713542321120899	1	0.702961743804757	0.233622457089585	0.548370778349787	0.271380598134989	-0.0289776084023156	0.0813700163073451	-0.0317839653471443	0.507579684546212	-0.296389738610136	0.465340768345213	-0.328062836993778	0.234493459316411	0.204854064089401	0.490493829970665	0.571017639407582	0.537235155484584	-0.128673459575491	0.227475648255884	-0.103344761928709	-0.0524675478968427	0.0903445067063507	-0.184070724018469	0.308165766814455	-0.0304155751301238	0.0844217446580464	0.083616536677749	0.496997722630154	-0.160702253002472	0.370654077829515	-0.0347894045240013	-0.0159885442732913	-0.128581766687062	-0.35011839918132	0.72549611865522	-0.308946130869454	-0.169875580294087	-0.102968146724701	0.183065251006629	0.399852650763413	0.42594882592766	0.526596069133184	0.0357990473303171	0.599788814098741	-0.178532163917078	-0.313688319657561	0.421357004559876	-0.233757515828226	0.256829165229925	-0.396473470027028	-0.323018662747124	-0.203114195010306	-0.0879849755503161	0.0707702788236382	-0.111286953540796	0.0420019479594312	-0.220759679778067	0.336634524833205	0.620119496460048	0.0514913597036494	-0.382979675434874	-0.0994443067079493	-0.217394982384937	-0.019305266781476	-0.155447067773561	-0.172417081650482	-0.386247484586521	-0.0161369811480536	-0.0605473526339537	0.140293739621468	-0.227256318964264	-0.150959139606346	-0.504735733567918	0.392157406571077	-0.0818596504859275	0.584258970402085	-0.353517989584528	-0.0798758076330627	0.354055083252554	0.0290219178769074	0.0573882400267177	-0.447160235730927	-0.229108721922286	-0.289525079341047	-0.155145165411358	-0.0333998568390838	0.366367844290217	-0.379380974715181	0.305876773622017	0.56646413646344	-0.11665588128524	-0.493480481945482	-0.0739150076831019	-0.283136858537678	-0.136588057963994	-0.310278444745263	-0.0205719741017117	0.0855127300479984	-0.149312167970587	-0.071016784217273	-0.156275078027124	-0.0541963984671709	-0.0152953757184146	-0.175342970777254	-0.296570917807067	-0.160727715837917	-0.117419862095004	-0.0151903210050081	0.414780687248885	0.150839240138955	0.0613229474643973	-0.0578752193288659	-0.0958549157545088	-0.0308877597495099	0.214604935181895	-0.285977753757191	-0.00303273360451561	-0.021408061638456	-0.0703950021368251	-0.0101679387379606	-0.0509857757867004	0.243896811285734	-0.043715478346579
CCRL2	0.451755937258599	0.677392442436183	0.795363227387562	0.702961743804757	1	0.579510119971982	0.777787445098312	0.537558863527027	0.305162206604616	0.475592375910207	0.213437879870147	0.705909644348261	0.00173451023855167	0.655622777443842	-0.169525864748715	0.524756080150646	0.611142669647816	0.646889662973348	0.751965108668074	0.568440182476524	0.210556060631422	0.549374298089624	0.2798829317204	0.375496739799223	0.492059417724661	0.1921646538114	0.479363518912964	0.419985965088162	0.123952967498672	0.465559290460459	0.673218269029779	-0.0749617430746175	0.563712861579446	0.328039800092111	0.409928759051807	0.24744139239188	0.0401192530720727	0.825170920386878	0.162208184064726	0.134370812279843	0.356426910277911	0.490436830140285	0.579095662937686	0.585150858406603	0.397395856890257	0.333500919790657	0.786969594715726	0.207544337529141	0.151229795108868	0.586085006785222	0.214109608356961	0.0240924754216007	-0.146205183035293	0.048443925992925	0.0826507945271451	0.159575987965158	0.259580523319269	-0.103455973773957	0.475427574762398	0.203549179508011	0.60217452824627	0.481655889664626	0.184018327185307	0.00200664477254122	0.285356622222019	0.130404491464723	0.413050741746297	0.255134558601128	0.272931492349983	0.0148968318246047	0.399327106953627	0.355421639349339	0.305679877142232	0.161791926253171	0.0653988056694995	-0.136341262328131	0.599907261203659	0.179160223181109	0.6179705645036	0.0670022193240109	0.267407655750153	0.482854055635927	0.193484968438124	0.23350192513564	-0.046048167616755	0.135929181767592	0.0872172507359719	0.0552206466503187	0.32961824634602	0.617015395484686	0.046809338987578	0.217120952897468	0.678319753893183	0.277874546570203	-0.162852345864614	0.274826388314789	0.0822317373839715	0.298383526602359	0.129400500500305	0.362206880916087	0.497146374010143	0.273562729771787	0.412363474128261	0.00905799669827341	0.289057618198428	0.359725396787878	0.2974730654716	0.127527025491582	0.211881534300325	0.246788293605716	0.234988881170141	0.409814097847013	0.4013306225293	0.274170821408856	0.333154978206601	0.338667955807467	0.1274073987061	0.317374864469059	0.0106364191411342	0.225106768200114	0.152602548849041	0.40884049755362	0.163499647576564	0.101409585625475	0.366740439767848	0.152815167741987
CCR1	0.725028816443082	0.451462500862461	0.614478279376658	0.233622457089585	0.579510119971982	1	0.682021411491367	0.820969510936357	0.541553006260464	0.786333374668926	0.361090138598005	0.654121667928015	0.264784751834495	0.664789912632498	-0.045529864115901	0.616920093446701	0.87024028605459	0.681384735292403	0.618505203140819	0.407243148430238	0.48560509196628	0.740503782492629	0.530176088640322	0.748637328886449	0.740363655070307	0.662241377343629	0.752289466212038	0.731671259432729	0.192301757831387	0.625836234147062	0.553438125343702	0.0852657020562026	0.547055716330149	0.617527593551143	0.746606887116793	0.51878096448861	0.49738676121438	0.683154539524058	0.598635744863306	0.371878142321623	0.742301351465349	0.631299828071593	0.668605517130985	0.727803835555774	0.148100909213594	0.577579354342517	0.742552001571274	0.566474859384429	0.61047967309373	0.599403242704828	0.635697741508099	-0.0190200204800598	0.0833639164824122	0.396802251996665	0.278768049151327	0.311877380769287	0.308197731860589	-0.181652805541461	0.838698083664521	0.608039495539058	0.65312167368356	0.114090242030558	0.168373823625665	0.435950123090047	0.686486911798806	0.459894407973412	0.622603952901784	0.606390855092079	0.714556708337766	0.401206694030786	0.825992387600917	0.663227669323837	0.316137820734058	0.515634097854434	0.247416859232671	0.229820521476073	0.606733907660467	0.421530478134074	0.505552368645659	0.452738084035437	0.651240547668375	0.633857530843063	0.480397847165579	0.336131948302843	0.410840808140697	0.430633128267151	0.42940604403849	0.190013619676285	0.639946647782548	0.579029831334359	0.444456892070354	-0.0620037629551851	0.5240799549368	0.543010160583161	0.172802707488825	0.476123662971707	0.396183774713931	0.680064238118922	0.702156332761001	0.599744454640391	0.724702226526511	0.683899084552036	0.699807420055202	0.19611440684485	0.610387946402676	0.684914968278766	0.719588639474185	0.565590128433918	0.524092225827003	0.575564564522356	0.501459549445391	0.418571004299606	0.531124362357299	0.455214048431693	0.765261001354715	0.745438720142276	0.264759152784066	0.318294492453239	0.220402962258221	0.344669940707821	0.286436012932351	0.810329521023226	0.294458205458981	0.221811336680859	0.44412154202058	0.256559699178863
C5AR1	0.814405495532701	0.770313522463645	0.850948045172213	0.548370778349787	0.777787445098312	0.682021411491367	1	0.464306308502081	0.635596887050879	0.727921924104475	0.0936080627142361	0.453665478344971	0.37809089567582	0.386297072104248	-0.118250617740764	0.860363975029535	0.677940675917361	0.447843171648792	0.762358318415623	0.657544761450718	0.190219910693799	0.619798430142341	0.522630619340005	0.578822530949352	0.719003223423639	0.395275569929461	0.354405196731635	0.636978561549488	0.399565914860483	0.534947340586427	0.730516096288786	0.0118291607989474	0.692321799141932	0.545051789865452	0.551576260445716	0.489379354124034	0.402485531521334	0.821055841160831	0.460032496150959	0.233936727722294	0.565644096717024	0.505222456298965	0.59104623008494	0.485900578152199	0.423036132271657	0.457704983029301	0.652204208597015	0.500703933426218	0.431827208945591	0.440330649628194	0.567017503853675	0.00450642591691054	0.0119512575764751	0.465929365930102	0.348138868377054	0.444316631227796	0.470327090656094	-0.206788287724274	0.403319999391261	0.47042948011124	0.672152094938446	0.277868257375854	0.189771197655458	0.42772873967957	0.462571185465432	0.35126182332346	0.570244906165082	0.603687675184759	0.502767671640822	0.39483690262186	0.624454563801318	0.50419399161921	0.345639550165338	0.503085624996667	0.135047699263408	0.210834488284325	0.55366618520893	0.431447422575137	0.498905131474275	0.443275626701554	0.535603878596115	0.701951251287491	0.233667449432707	0.0412379901781783	0.355013918865455	0.34435588823105	0.446311061843616	0.189547130048695	0.553557014800232	0.790026174848983	0.355779614248423	0.0981088759253607	0.438820512381416	0.494625201572335	0.163839362650926	0.457522046241112	0.47773089951349	0.390927080579155	0.428205058791383	0.517532340302244	0.721708943194236	0.552126621938858	0.615199952098527	-0.0342234723510165	0.496958229106444	0.549493520789074	0.588919828142567	0.419971964236376	0.464978421198308	0.464034112775042	0.320961501193892	0.573008490223085	0.465683910965216	0.352534726044247	0.50708097275375	0.60461040278494	0.181772344643358	0.249605015300486	0.175421904779316	0.372523616543167	0.218748877996106	0.570003891139267	0.227181480857462	0.138904344320618	0.366175975453849	0.214037754513899
ITGAM	0.451029555898915	0.374203100853878	0.573530134871749	0.271380598134989	0.537558863527027	0.820969510936357	0.464306308502081	1	0.340998137696069	0.475685192345878	0.470988704553552	0.831876438706526	0.119048209099967	0.871636445947352	-0.0472995950774012	0.295798354279346	0.81718844328482	0.890932276540014	0.699254966533524	0.392796063141186	0.588958495180386	0.718206460054866	0.29871438553433	0.593941056986332	0.49641311142618	0.560202260008055	0.890794768209484	0.513536488982996	0.119267696572919	0.593947580436366	0.609754320164934	0.0515489759353792	0.475413838699915	0.566911000620318	0.640052401111374	0.468732121159769	0.308405125952172	0.627528520610215	0.414055209429268	0.351804791161903	0.395906444850082	0.62194019193312	0.7089518679646	0.845468380819009	0.0723759247190335	0.504633873883399	0.834438986589669	0.445804743923387	0.453285827641952	0.763478134183463	0.32272636887777	-0.0866206526717021	0.061938895369898	0.206619793100143	0.16434746513995	0.113528757334335	0.246854650161912	-0.178302630808634	0.742252632572922	0.212623938959641	0.604476818046511	0.173840789306321	0.175308812979022	0.260989461648991	0.48358929983975	0.334672939814559	0.561167382745593	0.311536638196874	0.411443217971342	0.273558248188716	0.622185269392085	0.442500350905146	0.340558897283254	0.277076444984254	0.185285306956961	0.0894787649176876	0.666117081339589	0.255608652626491	0.551104466606301	0.143751655040783	0.275063847473176	0.283442630084418	0.432658052707587	0.501032091361902	0.230631737962724	0.277097913800487	0.213814325312375	0.141175053941419	0.498079951746401	0.407301212468092	0.135879044006946	-0.0475775290414769	0.685204915098218	0.352686180309754	0.0591523392894824	0.304400629770925	0.282869089591659	0.614799835110506	0.498385325085414	0.421721312792904	0.499694176011842	0.467088729488547	0.426083600627034	0.17663206070355	0.185390354150862	0.448154465009648	0.398466310534078	0.356852932225904	0.546852644055575	0.395518669020445	0.443295375404249	0.265904346201613	0.528861509512884	0.39204060200392	0.688018804106912	0.400905394519284	0.257179803408319	0.340829394256067	0.185813638679261	0.236900966470577	0.269906278710922	0.624224393748773	0.263890503601659	0.219449178447784	0.482116633929661	0.240888465394162
TNFRSF1A	0.863832443983885	0.579919191352372	0.553409196689173	-0.0289776084023156	0.305162206604616	0.541553006260464	0.635596887050879	0.340998137696069	1	0.805500075965859	0.417150787729738	0.192661318957544	0.857132748785349	0.110844002631704	0.478216818735705	0.785497225233965	0.683963765601677	0.17500513187945	0.502319869944714	0.635048170049894	0.63087692643853	0.783009834240083	0.896076230465141	0.88326388356632	0.813170747742904	0.82435176594811	0.2725634626472	0.806366671188308	0.730716241758813	0.714822233638949	0.62449401534145	0.534293430897827	0.725349386651337	0.85370988437076	0.804005582175126	0.913264040704923	0.88657291680549	0.352770691206614	0.883765479151612	0.739299358773346	0.72258432844475	0.707695752685222	0.554383374615912	0.386662454059233	0.159565602708341	0.662279511757415	0.334023395851872	0.830881532888866	0.820554069083296	0.323890285836246	0.825768446038855	0.194113904577987	0.647451341146082	0.877179315234656	0.853716617253137	0.763346244887147	0.764970526237142	0.150942280055179	0.375945813847694	0.665987030871351	0.717523143279749	-0.261638312500909	0.582834703610575	0.811787841623386	0.822328689087211	0.81597163170782	0.854981103530953	0.768660688529709	0.77792424939453	0.816778899312197	0.78757816911377	0.805715540742407	0.665803491623515	0.930114828026423	0.648492674122567	0.744218868507723	0.526292853855628	0.818810465179172	0.23235309148245	0.803548609270651	0.580441545224635	0.639888710119157	0.410127727183296	0.331818455677234	0.792072005496398	0.841771229584381	0.893343425370725	0.721755484842791	0.846711801133917	0.757437260779536	0.776316945301952	0.2359534306658	0.283350344771478	0.841935966304583	0.756268338355204	0.770047451637372	0.848071164706014	0.734704193671401	0.789947415356568	0.861769414394912	0.887138253920356	0.88803903982448	0.746484372996286	0.310742917733821	0.574756724118959	0.834584441696127	0.789183136848285	0.841053571592311	0.824392389289007	0.875962804886896	0.527465072158921	0.450080907144464	0.72911158602603	0.734981505071234	0.767613917384359	0.766097829932573	0.461419475961893	0.465184685677144	0.754685640263718	0.753239780444032	0.466050270672592	0.787406435788722	0.450712538371194	0.494563400102316	0.589560665346036	0.483124473758078
APLP2	0.899264487435068	0.481776026785976	0.560439394879641	0.0813700163073451	0.475592375910207	0.786333374668926	0.727921924104475	0.475685192345878	0.805500075965859	1	0.287892862498561	0.337647935964802	0.552603518259821	0.319986678899195	0.164142991744462	0.817208985982099	0.818590294634797	0.374466501750115	0.474886463526804	0.449678084468492	0.474792127803443	0.750135028445841	0.760283631822131	0.85697309298601	0.893765297259552	0.709644203100724	0.370441209156197	0.82536410415911	0.357622066918794	0.643467523349616	0.494993394983317	0.236437606065462	0.552290454338725	0.749530374522158	0.838368154070884	0.691401435579145	0.703818003105288	0.544908660152313	0.82028164961418	0.498326075394998	0.931125523436645	0.639640148463168	0.52015578638979	0.488161445891132	0.0931729501380852	0.564914942488734	0.509310037336893	0.701627673555068	0.748653921057593	0.425676679493139	0.908836610591545	0.0403164351825459	0.312696152097402	0.686989570351743	0.556596818691181	0.63148068745554	0.503959214586718	-0.0632281989020201	0.714969756885948	0.894405548752394	0.659752933172885	-0.0316295201415879	0.290791660901042	0.677983162526549	0.835837887003664	0.649891549659665	0.71490499773654	0.86311196312508	0.911035684408479	0.636194709646798	0.87101062393443	0.831865428815352	0.420006513588666	0.80120384635819	0.411317109516577	0.525997817358202	0.506297259339375	0.637639286959947	0.327850477054049	0.813192589674033	0.810346874605368	0.780539567186606	0.293727303317602	0.238165802888564	0.6548957062488	0.650153142619258	0.726791065166715	0.396397937295194	0.76035493039549	0.73270337716787	0.790526620533129	0.0371064169361665	0.301304264772303	0.723910221376196	0.479728232767477	0.663004011147555	0.635941475231643	0.711513287296128	0.811231869721634	0.795235744670276	0.914434606340033	0.865210209768142	0.942191354470427	0.230171567519475	0.871559145090533	0.872483066408475	0.933457922357778	0.795254624424129	0.587343886444517	0.779551986281395	0.467434646714793	0.430964028939986	0.554128834769459	0.559225533006425	0.768614787728556	0.957795916040689	0.293080036485995	0.333572231757173	0.432158053987564	0.506145905403189	0.316919555382071	0.904241836188598	0.326531816536938	0.283955425467568	0.443017301477898	0.317574909539268
