""	SIGLEC10	FPR1	CCR1	CD40	ITGB2	CCRL2	TNFRSF1A	LILRB1	PILRA	ITGAM	ITGB1	LILRB2	C5AR1	TFRC	SIRPA	TLR2	IL6R	AXL	TREM2	CD4	LILRA1	ENG	APLP2	PECAM1	ITGAL	CD163	HAVCR2	IGF2R	KCNQ3	ADRB2	GPNMB	CD81	PLXNB2	LPP	TLR4	SORL1	KCNQ1	P2RY12	PLD1	ITGA5	TSPAN14	CANX	LTBR	TLR7	TLR1	LILRA4	TREM1	RYR1	SMAD3	CD74	RACK1	ITGB5	ADCY7	CD226	ADGRE2	NECTIN2	TNFRSF10D	TLR6	CD300LF	PDE1B	TNFRSF11B	TNFRSF14	UNC5B	TNFRSF10B	TSPAN15	PLD2	CD9	FAS	P2RY6	NOTCH1	ERAP1	NOTCH2	SORT1	SMAP1	ADGRE5	LRP1	ITGAV	RIPK1	NRP1	PTGER4	PILRB	PTPRC	RXRA	CXCR4	CADM1	AMFR	CD33	CD93	CD69	TNFRSF12A	PTPRA	MCFD2	LAMP1	CD44	SCARB1	ABCA1	CD63	EDNRB	EGFR	SLC16A1	C1QBP	CLEC2D
SIGLEC10	1	0.895195644440629	0.721519430700185	0.876787866166975	0.856159027455697	0.587472271116117	0.89824289823846	0.893696205518035	0.763816741171318	0.800390998669423	0.699547676007249	0.223203551007715	0.468679175156693	0.722472513888638	0.793412416075061	0.82149395248629	0.821053670999434	0.926485403558509	0.861143594490669	0.934401531012314	0.629185294933494	0.774244260876249	0.600341273586253	0.541602970149529	0.786686004194707	0.374212160976346	0.862126973208208	0.450242749615099	0.854507094255874	0.923788553980256	0.281718673466514	0.885973028084661	0.837916347182078	0.816059501442999	0.723745834676909	0.919863069188253	0.881207830691063	0.80425840469143	0.839844073249977	0.474162246227244	0.875739715114369	0.791952884382616	0.833996767909778	0.937806506853307	0.869694842251322	0.577883046795769	0.509803526211348	0.767164205286621	0.743980114458187	0.923575236080458	0.839258526567061	0.668360303528715	0.885976316992903	0.727093516846741	0.757205334489381	0.561324665811231	0.70481391475156	0.82944052223668	0.72278306576547	0.854353848135719	0.789591817299468	0.491239215925158	0.841835149628667	0.873251346276664	0.818397583779571	0.812754150273338	0.548414800578864	0.883231925344921	0.881832734897042	0.79249277660474	0.715392989625197	0.182187885973057	0.897702750681446	0.645778812090602	0.651325431751676	0.82263381553159	0.916487063366274	0.791322666565879	0.535231406239728	0.794888320648119	0.746540333336088	0.874434748701378	0.630785944862362	0.327558182104851	0.557829583818125	0.707063859225651	0.839409056362021	0.076902436481768	0.802610929550063	0.477644391445388	0.767383350332891	0.657702889132551	0.662645770424186	-0.119359704075168	0.842454213390463	0.404392461093024	0.606221182798561	0.559918401835859	0.221142045074535	0.824601074879797	0.819893399798826	0.634437372483487
FPR1	0.895195644440629	1	0.773164726566466	0.908676454226866	0.945197973518953	0.698659380769021	0.908795803556544	0.909090198249227	0.802806928222591	0.882047867995816	0.814824666185408	0.416350833959345	0.575542103721566	0.697057401597401	0.838746778315808	0.79987973455043	0.785115481861054	0.912434402425189	0.932940120289139	0.927645833259081	0.656401349580126	0.867870926787596	0.689281120740593	0.621831816643331	0.775261198523913	0.515573068190868	0.901677413212331	0.597596933583277	0.763936656128426	0.850570452557512	0.398337353369339	0.935393744998003	0.796834943289598	0.840994730897656	0.693127808893956	0.787061769754943	0.925095338353958	0.662483492558819	0.88097695695566	0.590978690367229	0.870622329648049	0.842006193521651	0.858561591224007	0.83209908509544	0.878374169459965	0.608558135785939	0.694734229906101	0.61404546185108	0.690543815542207	0.856771642546234	0.896753800993131	0.687125725924113	0.817067853912104	0.664825417846883	0.832608830664856	0.688172186254263	0.568297805760804	0.755898216480075	0.73153017141999	0.857979127741232	0.856497650356212	0.594975458982809	0.854706431296372	0.813220601264649	0.840303670012214	0.829651327241321	0.686292823936186	0.856579784137881	0.892148580532275	0.767505675565562	0.66612944527374	0.301144310543043	0.886107774495039	0.747305637630335	0.728539603658038	0.853793790284656	0.873919951260616	0.763211657761786	0.587782125341543	0.824454401316658	0.646436803451247	0.880159632316013	0.753119902850767	0.40735553175975	0.620829359664581	0.694290698346116	0.867314886781534	0.248699269930458	0.772191034886444	0.64529480813786	0.786285533933534	0.750076451985644	0.727293406094368	0.0664736998799112	0.800644925774247	0.491551797089142	0.749727411094436	0.603438658395637	0.174706696368885	0.787540537071966	0.921972836781923	0.431297757670253
CCR1	0.721519430700185	0.773164726566466	1	0.77503157479082	0.88871566685741	0.908424913279845	0.847171219049223	0.745596346155871	0.868805145975629	0.846402776488006	0.917433476580514	0.38699805453526	0.803280628128582	0.743317306341029	0.923751410339872	0.794393669255383	0.859660374685408	0.823567480447014	0.849209389305783	0.738731913355075	0.418910336070492	0.857334111410306	0.933845506649012	0.531331743926935	0.760943740673558	0.695338012158635	0.922415476526998	0.864402821896628	0.646956866667345	0.659559000645821	0.798579514082507	0.853025765347642	0.791136917543462	0.87243810196746	0.718070509795902	0.64591153387292	0.723591105584839	0.383451938315173	0.80549987455744	0.825193650460125	0.857490823631687	0.933512028051367	0.793829095801556	0.619699971001559	0.80135120804719	0.640914337256387	0.834040925494223	0.417012121044947	0.567538073324701	0.605232957270989	0.800425957982211	0.897701080834956	0.753488246069591	0.650904316256397	0.763614820688316	0.839844663642887	0.575101994652095	0.663101710820096	0.731326500921104	0.770626203086486	0.725848853168048	0.865375399346212	0.771854079724646	0.735708104631871	0.736294803551604	0.830371742538225	0.83822842215977	0.719945298320348	0.65934074399338	0.740402404867294	0.591243368370745	0.404395640737756	0.79682213719207	0.898719133602998	0.662802023354601	0.928445757827039	0.767099649567624	0.84333840625704	0.893493546596244	0.855131767168275	0.617063550129619	0.793177821275961	0.864681249213462	0.47558392275691	0.895550742428717	0.763038797533347	0.767531627888532	0.192058997487373	0.61980192011916	0.86235596675829	0.869962432896186	0.916981247026928	0.92029030948911	0.466074496082974	0.830331584937741	0.865678442326597	0.909553591862646	0.892975474164142	0.253079677063681	0.753797477316529	0.846195561657543	0.345688497617391
CD40	0.876787866166975	0.908676454226866	0.77503157479082	1	0.903909477150694	0.704524501351486	0.889868802716229	0.824804984975629	0.850409359463475	0.856136952102705	0.775824866887037	0.324384450554671	0.572086218758642	0.669761036692928	0.804293411291906	0.762481986066129	0.732209779278554	0.892393332789867	0.882303871859924	0.895073405862063	0.579930142450127	0.848078927751427	0.729223999810592	0.481299091724558	0.659404467770093	0.5695136607693	0.903379349024556	0.575405154957463	0.689315132352619	0.822433685418172	0.465134242259685	0.93232916866311	0.805707978236731	0.765989782254001	0.609223353703516	0.729245343695332	0.871927914488593	0.600382548499978	0.836125072371272	0.595409788146858	0.823062629233793	0.832482517901802	0.826412129551794	0.771496293565333	0.815162093781108	0.58848247162332	0.669071673787973	0.517425160426332	0.577770903944164	0.809834353867515	0.911611779310644	0.716361737684208	0.806381278962783	0.552276023424745	0.731295517983753	0.692521888815982	0.569399907617643	0.672742477764329	0.727023259571132	0.797705785733243	0.782982919063542	0.646312022602267	0.814230139694577	0.786774307404548	0.873868902055976	0.817557062875237	0.647685578285088	0.795832718807512	0.842654877486872	0.690408187649192	0.632301222835441	0.20428812751894	0.848516232527444	0.789551166409723	0.605447401507093	0.848467277248915	0.794006640061567	0.72558095302246	0.663364224822514	0.763018370842982	0.626199466942618	0.806868766266613	0.699370880674431	0.270644253380164	0.663416594917859	0.679484149951208	0.843138254814928	0.164458970954958	0.673320732045263	0.662733877828172	0.736509637704258	0.747366002623006	0.793107113945051	0.115983640993226	0.801255674877322	0.564768213386607	0.779192232457246	0.617436002997965	0.129390708759509	0.732547505487459	0.920178861343617	0.460988905517296
ITGB2	0.856159027455697	0.945197973518953	0.88871566685741	0.903909477150694	1	0.822118432057776	0.931630444717938	0.883858161780747	0.836557742944959	0.929940354089072	0.928919340621777	0.440982394387739	0.699199194389195	0.733402153614993	0.941176858611825	0.819556392992448	0.834724967370213	0.916968944591339	0.96093032664753	0.890749988874034	0.584078726136965	0.934074815645378	0.837814196052496	0.599030430596743	0.794950452197496	0.665709661584174	0.963083941459544	0.760002844337447	0.715698942498158	0.778150620513981	0.610187756162644	0.960040963551243	0.854373873919331	0.898018711217359	0.706116095119944	0.738513545543284	0.894886103763371	0.526422046669709	0.905620448595744	0.743821970855868	0.898696819636004	0.930017490485772	0.883993334830257	0.760648932713009	0.879603791926105	0.658232931587698	0.813248973991058	0.504506120346104	0.66254942161362	0.764715128801337	0.880531194789044	0.808298251834188	0.8257442305985	0.661592493763907	0.860107294825889	0.826192665464855	0.545805129657404	0.725454685101812	0.767136670085821	0.839060724569164	0.876760804987546	0.750128015235854	0.885493664424157	0.801848520120677	0.833772673123842	0.882336236687511	0.814013606526761	0.845969642918503	0.834586614945287	0.769384205370888	0.677366344221632	0.353717211256043	0.9055118765582	0.847742437500582	0.727271708377359	0.939033909342627	0.870976984774227	0.800041978795542	0.757644476972571	0.8641686134237	0.627619368926592	0.881741184521931	0.852207360750485	0.416837068003354	0.780234274960489	0.737387847473648	0.872450362301789	0.275576176673518	0.706132334105856	0.791416429078897	0.84835124125471	0.854418509444481	0.85908383056922	0.23669826570193	0.845663755967444	0.688189891791081	0.882560714112544	0.752554150623568	0.186269289722969	0.778809809781019	0.936030440879575	0.355546684201506
CCRL2	0.587472271116117	0.698659380769021	0.908424913279845	0.704524501351486	0.822118432057776	1	0.765728445329518	0.641855464475215	0.833726954509924	0.770839269002109	0.898462567508943	0.420806846573571	0.833875996497243	0.637741687485039	0.862156408512714	0.655569909024433	0.762343638728406	0.729648777128025	0.797109813067156	0.598055088854316	0.38301300076566	0.756477431311427	0.892932360161288	0.491629237458123	0.663052312250786	0.610137753307505	0.839793154290141	0.836521694404418	0.491263714920934	0.523579123212152	0.860883562371846	0.788107619456275	0.669647369977516	0.764475628304297	0.623047496875506	0.469941718743589	0.61503257288463	0.204147104894127	0.727722438502952	0.86094559330081	0.750476241206607	0.862824340087681	0.708841113062882	0.465034827060937	0.65352460620208	0.687996204194706	0.832140402595758	0.224181884461944	0.505154538532882	0.477162607744681	0.783578622665537	0.857118783768756	0.612269922640347	0.476229895652179	0.652804886396296	0.81802717669429	0.471553688401102	0.514609060108711	0.736576784439793	0.693801263807712	0.6901533083673	0.904505533290425	0.632488698082612	0.619300839160204	0.63207416796348	0.792386074014324	0.874962340506024	0.608865281262571	0.559994930008455	0.633032767947378	0.465025396083407	0.456254266872801	0.684284872677	0.88844058791859	0.657918086276666	0.859608852012073	0.639173805605657	0.751695850849152	0.812605460697587	0.798818515963098	0.465348980780737	0.662434289085109	0.855826339943489	0.497193067487574	0.894857412559939	0.713878589019108	0.646673631954561	0.217358781433473	0.526590863969934	0.878675855521285	0.773184533833852	0.877446521335763	0.875647598166299	0.571034839621548	0.757126461781188	0.863320095861775	0.909813050987472	0.84950707815238	0.232890376701306	0.640812243833651	0.777385950392352	0.242311999421667
TNFRSF1A	0.89824289823846	0.908795803556544	0.847171219049223	0.889868802716229	0.931630444717938	0.765728445329518	1	0.87333882327531	0.853755366379922	0.880664829185691	0.821931510421143	0.386565519002624	0.649853614366754	0.721339274835112	0.89318975268125	0.83312801783489	0.847663650794827	0.93792070007499	0.908729656073516	0.905028148535788	0.596469241214956	0.852437590872284	0.773715675068238	0.613764661768622	0.781851258262542	0.547314476019349	0.93522469084959	0.653358759315884	0.789519116602239	0.85039892458792	0.517523068254866	0.933103383238457	0.887114532937243	0.866628103023805	0.737666020629617	0.823779989418269	0.872869018588357	0.628177493366214	0.862844482709734	0.677432463073005	0.893594601036918	0.883506984587695	0.902028893166267	0.835901045043458	0.885688514168305	0.620233229259964	0.694589230526943	0.610516402115895	0.713123315483955	0.840844914763923	0.888321340962432	0.798365258214064	0.875790466924299	0.694546896525449	0.770979640620319	0.732323483594742	0.665710925828211	0.765617778905835	0.760079940295602	0.853321946024323	0.798169849889852	0.703453741782123	0.853707431057658	0.834636033551653	0.834985620023636	0.873689523575195	0.707575418668223	0.842982405618237	0.843930226023253	0.780491414145575	0.735394517880799	0.351675360233681	0.891120539275503	0.799513572620092	0.687256740115532	0.912307557986682	0.870761747296105	0.81419316165547	0.717511489619048	0.834853050296396	0.697369597674634	0.88363095894643	0.770387826841205	0.446782732274106	0.729328192335271	0.801281247990688	0.890243865416832	0.208441441091996	0.748275322486476	0.691031173316107	0.851074566169314	0.787539874368902	0.812321818415053	0.161281971508577	0.866367765734292	0.627593462021551	0.781085421572871	0.721280921933962	0.233929572787393	0.81127386358778	0.888335946042596	0.504703225430649
LILRB1	0.893696205518035	0.909090198249227	0.745596346155871	0.824804984975629	0.883858161780747	0.641855464475215	0.87333882327531	1	0.725467085858396	0.887330540852647	0.785613371082873	0.436977450322633	0.61755553730624	0.774182621314368	0.798942532454644	0.87503309572599	0.853294826698159	0.867472773764273	0.824103249376544	0.929103127113956	0.65866829437901	0.844325381146388	0.688556626367457	0.639016727965255	0.840639789086549	0.504211471921334	0.862252459332451	0.546151023372545	0.854072748056752	0.851741368781248	0.31014002593593	0.836111727716721	0.845861004115639	0.891299733042938	0.803543029424029	0.859183653971101	0.892386575840186	0.724694984441944	0.885972223185375	0.565714857566727	0.920890876636127	0.824537534023917	0.826546246235973	0.873892545711363	0.891011622642372	0.433189980241675	0.656890758845462	0.689736435046821	0.743007411819819	0.846407982068322	0.796299079688079	0.667599261089981	0.867190320833402	0.726933127677778	0.878905832647844	0.670601522931754	0.684877117737662	0.84304062046587	0.69312441276151	0.850544921161178	0.853636554119346	0.537429800978879	0.899858684310901	0.872787892797302	0.76116654998866	0.807287098798397	0.586230100980098	0.838959834167033	0.831776128945301	0.804194621694206	0.700881916451031	0.329767085249772	0.906983995051492	0.725819157613868	0.786256298889781	0.8501337734151	0.876947941593213	0.795836735456643	0.582917798628213	0.87750239272528	0.737928585967185	0.946451157877405	0.763613142824558	0.421760632307751	0.570923497982038	0.732738747699577	0.811876122079697	0.326818712297174	0.817393017336276	0.554365288616378	0.801939008856014	0.709557024409629	0.648439188147442	0.0286408465266304	0.801294663258294	0.452401513714584	0.636520850367116	0.601627803319016	0.241402047132487	0.799891085826063	0.836765310382545	0.526375436888349
PILRA	0.763816741171318	0.802806928222591	0.868805145975629	0.850409359463475	0.836557742944959	0.833726954509924	0.853755366379922	0.725467085858396	1	0.801561350030205	0.782991521381234	0.338526324447878	0.698114932338845	0.606327508778468	0.836447850618559	0.767690346327602	0.779813582279622	0.832263696510143	0.834693428882781	0.748922697295532	0.487804437189878	0.743919458828359	0.815681423623751	0.501023618609569	0.653869862972089	0.497654723291266	0.870671628389637	0.676168708528528	0.662776354310858	0.737819453220422	0.669066828046458	0.861988859043884	0.75945414478595	0.749041246866133	0.676297120959844	0.670372019060928	0.724616365651304	0.52243241594117	0.777623849425174	0.693377974635912	0.787461662159194	0.838792815749555	0.813739111828054	0.669831360600489	0.781395288862149	0.647053740402297	0.684169295810101	0.479458905711393	0.588954522245742	0.734865148790414	0.923033809775112	0.803377226139355	0.70987856417884	0.537928169138359	0.653495184149107	0.687780947278341	0.576414907479512	0.680586410201411	0.749243073097079	0.736573666994517	0.659015188394166	0.810383405418998	0.690669971779816	0.697546289916856	0.790123633703831	0.798146525265967	0.746278628249501	0.686329242443476	0.740139578763036	0.646322834651969	0.587209484335963	0.365006774439137	0.775340115835064	0.861463377916571	0.6067562397901	0.829199099594633	0.69513058293524	0.803735156912211	0.722937631996025	0.76511153736752	0.600227030782157	0.757746759768648	0.76564963504194	0.446834075039435	0.776982018892641	0.712500247410863	0.802104081759804	0.109886758246026	0.630994917264706	0.766136288567828	0.742913440148102	0.802969884539955	0.85345966915139	0.37219925350621	0.766901012049194	0.72210674307624	0.821084651106538	0.718333132953673	0.105006538976388	0.699416397591518	0.85490451453746	0.462946928897799
ITGAM	0.800390998669423	0.882047867995816	0.846402776488006	0.856136952102705	0.929940354089072	0.770839269002109	0.880664829185691	0.887330540852647	0.801561350030205	1	0.869823922715129	0.583707764982896	0.793836505720677	0.812910714259788	0.87108267883727	0.827159346954393	0.826664102638173	0.845663713732914	0.836499349126429	0.886535585683924	0.590567842724597	0.926931269550243	0.853178584136149	0.609394804687264	0.78346372110618	0.730831804899366	0.921281074958818	0.721963309830226	0.713095870804835	0.744193976848553	0.539786307509059	0.864807607136595	0.854723888735899	0.888573393758923	0.774442230783756	0.699919050587796	0.879894057739665	0.50741672567748	0.898274160456381	0.762354954752515	0.908303470795737	0.892509526163572	0.847676805618912	0.695980953043926	0.851630461379679	0.46004578186896	0.84739051587565	0.488432879809498	0.629882285865127	0.725108137617151	0.818443073734603	0.742756665433505	0.840317986910707	0.611984141518866	0.863103261981718	0.819632322252145	0.652579788857661	0.716734459861204	0.759694727001524	0.840154563270456	0.836583685851695	0.714079956183812	0.854799696275048	0.839700944728408	0.80264072993708	0.840738244542406	0.71300323366486	0.750866645151777	0.769420692443427	0.70374257784659	0.644531117132863	0.452079307925674	0.865967813010047	0.838369392245993	0.760607324583155	0.916025595861247	0.786331226455801	0.81145758239271	0.756956012369153	0.864037156082224	0.699972494172084	0.897205900064073	0.844200171478452	0.470539281381703	0.709471429906501	0.739963469269497	0.829290043673048	0.427573205520855	0.714865403300882	0.728380874438758	0.824354226773556	0.786182830120284	0.802513334444772	0.306726308868015	0.795221349523058	0.65532036233993	0.806438093793742	0.728904119635761	0.183658290867017	0.759113832182958	0.885227156580132	0.385547589048091
