	NefAC	NefMES	NefNPC	NefOPC	VerCL	VerMES	VerNL	VerPN
NefAC	0.0	3.766021959879042e-09	0.0011147144602609987	6.779289519512323e-12	3.0692346734081854e-40	0.006340434975300665	7.450101615329725e-08	0.45523195407614037
NefMES	3.766021959879042e-09	0.0	1.0316276683863271e-32	7.829890748351141e-24	2.5099151557041763e-29	1.1743433327102174e-102	2.0094387171622755e-12	1.2726105845962132e-58
NefNPC	0.0011147144602609987	1.0316276683863271e-32	0.0	2.7063169692444336e-97	4.9125309697630994e-08	2.7212712346540988e-58	1.9029849318435705e-21	5.061084614533918e-188
NefOPC	6.779289519512323e-12	7.829890748351141e-24	2.7063169692444336e-97	0.0	1.3441205324364783e-06	1.1935027169288654e-30	1.7195986793190284e-47	3.1370755964721307e-88
VerCL	3.0692346734081854e-40	2.5099151557041763e-29	4.9125309697630994e-08	1.3441205324364783e-06	0.0	1.9678628837880487e-16	6.130754543755994e-11	1.2550463264686687e-17
VerMES	0.006340434975300665	1.1743433327102174e-102	2.7212712346540988e-58	1.1935027169288654e-30	1.9678628837880487e-16	0.0	4.3424856410186363e-11	2.144201733470655e-84
VerNL	7.450101615329725e-08	2.0094387171622755e-12	1.9029849318435705e-21	1.7195986793190284e-47	6.130754543755994e-11	4.3424856410186363e-11	0.0	9.289295970080948e-19
VerPN	0.45523195407614037	1.2726105845962132e-58	5.061084614533918e-188	3.1370755964721307e-88	1.2550463264686687e-17	2.144201733470655e-84	9.289295970080948e-19	0.0
