	NefAC	NefMES	NefNPC	NefOPC	VerCL	VerMES	VerNL	VerPN
NefAC	1.0	0.314616177424896	0.10417223346184677	0.3535519334274917	0.7541703248463565	0.19677825705233423	0.156735504065351	0.010382868267358857
NefMES	0.314616177424896	1.0	-0.21563537809672864	-0.14719242661373438	0.36542352177730275	0.7127915410161468	-0.12734282551437187	-0.33202275069664466
NefNPC	0.10417223346184677	-0.21563537809672864	1.0	0.7573004542504866	-0.18028781921594075	-0.3661869679734321	0.5412070084360805	0.9580486315226935
NefOPC	0.3535519334274917	-0.14719242661373438	0.7573004542504866	1.0	-0.08249036149177387	-0.13841279535824713	0.740390121006222	0.7593617589800359
VerCL	0.7541703248463565	0.36542352177730275	-0.18028781921594075	-0.08249036149177387	1.0	0.17826468679619803	-0.2866740466465626	-0.28354391724243233
VerMES	0.19677825705233423	0.7127915410161468	-0.3661869679734321	-0.13841279535824713	0.17826468679619803	1.0	0.002824750925678513	-0.47520708478070006
VerNL	0.156735504065351	-0.12734282551437187	0.5412070084360805	0.740390121006222	-0.2866740466465626	0.002824750925678513	1.0	0.5383440852005955
VerPN	0.010382868267358857	-0.33202275069664466	0.9580486315226935	0.7593617589800359	-0.28354391724243233	-0.47520708478070006	0.5383440852005955	1.0
