""	PC1	PC2
ACSL1	-0.0409452162226076	-0.0524863378632989
ADAM12	-0.0476998924252008	0.00521479335209812
ALDH3B1	-0.0330451822535194	-0.0495922966098491
ALOX5	-0.0187750752867936	-0.0799999680389643
AMPD3	-0.0373144499359234	-0.0517343972013605
ANXA1	-0.0359838063256584	-0.0369167868012102
ANXA2	-0.050225362742564	0.00480243693837873
ANXA4	-0.0320598407231798	-0.0441591387658879
ARHGAP29	-0.036777776299631	-0.041413088909706
ARPC1B	-0.0305425364200805	-0.0710679385052114
ARSJ	-0.0329647245914257	-0.0533798689677581
ASL	-0.0421914601463541	-0.0122259399953429
BATF	-0.0177267497883217	-0.0583219581469364
BLVRB	-0.0432805064284815	-0.042785185790981
BNC2	-0.0294833729582662	-0.0720765222810028
C1orf54	-0.0346127276706195	-0.0700386086306982
C5AR1	-0.0310710141444122	-0.072491444529808
CASP1	-0.0280581028237128	-0.0552153172035382
CASP4	-0.0470739365813159	-0.00452371658406177
CASP5	-0.0284514563014304	-0.00718413917283521
CASP8	-0.0347244428906992	-0.0642858419563709
CAST	-0.0524476993774632	-0.0241132911710661
CAVIN1	-0.0452884376421831	-0.0246369015838413
CCR5	-0.0068856114999829	-0.0571084979354727
CD14	-0.0237389407775874	-0.0750492494732653
CD2AP	-0.0429013187914959	-0.0475879072534002
CD4	-0.027247631956963	-0.0732830727526164
CDCP1	-0.0208906251795337	-0.0760659779671697
CEBPB	-0.0284368328505351	-0.0758702702556467
CHI3L1	-0.0447983745741069	-0.0269469812903046
CLCF1	-0.033241643235178	0.0108683725666707
CLEC2B	-0.0465135296523057	-0.00858953750771731
CLIC1	-0.0534919632740666	-0.00683517021478011
CNN2	-0.0324476003232245	-0.000980931991102776
COL1A1	-0.0167188373701418	-0.0503334905651944
COL1A2	-0.0336383503389036	-0.0589736073946104
COL5A1	-0.0309921566568462	-0.0594515265798037
COL8A2	-0.0222210968544623	-0.02143861197662
COLGALT1	-0.0477242608941596	-0.0313858476575941
COPZ2	-0.0359009338900405	-0.0360617108783713
CPQ	-0.0513606354242439	-0.0208933403995817
CRYBG1	-0.0409388786431517	-0.0331535526355357
CSTA	-0.016475412641526	-0.0590146640732246
CTSB	-0.042161852392445	-0.0625771501716065
CTSC	-0.0468640346364223	-0.0485555704220943
CTSZ	-0.0365976885282968	-0.06906912823024
CYBRD1	-0.0408444337310876	-0.0233302469887244
CYTH4	-0.01510042005085	-0.0783715361759967
CYTIP	-0.0219372910381587	-0.0677575941626511
DAB2	-0.0359743608732151	-0.0661057896858129
DCBLD2	-0.0487025673595661	0.0148417071030696
DOK3	-0.0102375194864273	-0.0368271655046767
DRAM1	-0.0492171016547387	-0.0268519788742959
DSC2	-0.0250965854862433	-0.070827992639108
DSE	-0.0469371456929359	-0.0268030778332215
EFEMP2	-0.0467691736487792	0.00785541590593853
EHD2	-0.0374803402770703	-0.0138956212801678
ELF4	-0.000591071787140227	-0.0218947482648858
EMP3	-0.0480404689381481	-0.0161266649248827
ENG	-0.0380494858111111	-0.0552564060785271
FCGR2A	-0.0319006720181662	-0.0733295476669161
FCGR2B	-0.014347342367541	0.00377414177014596
FES	-0.0360064660720597	-0.0414469460336588
FHL2	-0.0306526209335863	0.0205109699392457
FHOD1	-0.032408055785499	-0.0612055423068939
FMNL1	-0.0293736433825014	-0.0723731187218206
FNDC3B	-0.0496185545035442	-0.0241748826594769
FOLR2	-0.0202093787274482	-0.0763640151896551
FPR3	-0.00134934644627842	-0.0649427098378967
FURIN	-0.0445020532515479	-0.0340826226304152
FXYD5	-0.0420902302030292	-0.036519167320026
GCNT1	-0.00109179183293216	-0.0362982990371943
GNA15	-0.013344877822536	-0.055504927498573
GRN	-0.0475287725409374	-0.0500598313005428
HEXA	-0.0529966130997622	-0.0112634416989058
HEXB	-0.0532993118897275	-0.0164140543619388
HFE	-0.0294674624030939	-0.0141369312089635
HK3	-0.00727127841143452	-0.0509219319429973
ICAM3	-0.0418656125912906	-0.0378400520234034
IFI30	-0.0271869342767213	-0.0773323695081473
IGFBP6	-0.036562795692197	-0.0406207075862213
IL15RA	-0.0282274594784204	-0.039314509912596
IL1R1	-0.0289947647392144	-0.0381586593904991
IL4R	-0.00916227408085734	-0.0788056877621686
IQGAP1	-0.0529620524985323	-0.0173494592949827
ITGA4	-0.0159538279803672	0.0293546018374923
ITGA5	-0.0294478192135619	-0.0562839050341704
ITGAM	-0.019492466247918	-0.0846046054588862
ITGB2	-0.0234023090237555	-0.0788909435102002
KYNU	0.0034611132503571	-0.05042646848874
LAIR1	-0.0220270467694916	-0.0735639635787762
LAMB1	-0.0379277951753273	-0.0246206808126281
LAPTM5	-0.0275214909233456	-0.0763373581087062
LCP1	-0.0237902834286024	-0.0764587885700808
LCP2	-0.02975435927812	-0.0748938714985184
LGALS1	-0.0469208758670867	-0.0097691900063077
LGALS3	-0.0464063616285333	-0.0211460869008009
LHFPL2	-0.0306257940216312	-0.0752494013794421
LILRB2	-0.0160130157607804	-0.0260393880876515
LILRB3	-0.0109402208136943	-0.0485338463602519
LOX	-0.0356582876647285	-0.0493532651531466
LRRFIP1	-0.0510904113717513	-0.022065166682087
LTBP1	-0.0257460207189661	-0.0539369760869541
LTBP2	-0.031193161944314	-0.0593468145763804
LY75	-0.0162175225643089	-0.0564458498888666
LY96	-0.042193267891204	-0.0571239618370797
MAFB	-0.0226001482124476	-0.082723498881129
MAN1A1	-0.0280767491865705	-0.0705832543453116
MAN2A1	-0.0514147148423745	-0.009895610474197
MAN2B1	-0.0444428895005125	-0.0308119480092077
MAPK13	-0.0344387256289479	-0.0167863675889266
MCUB	-0.0476687689869463	-0.0335220620994975
MFSD1	-0.0419510321194502	-0.0470332762479577
MGAT1	-0.0436249633784788	-0.0463241505671799
MGST2	-0.0234109292900694	-0.0778577452661711
MRC2	-0.0462948937137691	-0.0301497537147818
MS4A4A	-0.0293053638623023	-0.0715814433277895
MSR1	-0.0264899852537195	-0.0745368887648894
MVP	-0.0340498629022766	0.00275406005737528
MYH9	-0.0456001073252131	-0.0500000311980391
MYO1F	-0.0361179020537644	-0.0577765342078492
MYOF	-0.0263632097692077	-0.0636395040821826
NCF2	-0.0141986632521526	-0.0752809533598762
NCF4	-0.0270307174060947	-0.0679904181811799
NOD2	-0.000312592374923677	0.00122438967857355
NPC2	-0.0300363442830941	-0.0735948699594742
NRP1	-0.0357867778875973	-0.0384682452928496
P4HA2	-0.0425793080885117	0.00287988680421807
PDPN	-0.0392779952810393	-0.0431759280994562
PHF11	-0.049546663231873	0.00877691445512751
