Cellname,NefMES,NefAC,NefOPC,NefNPC,VerPN,VerNL,VerCL,VerMES
P2775_193,0.192584722794389,0.408594930334061,0.387274057568552,0.230184389423186,0.13905777516737,0.12217972450163,0.0604146390730301,0.0251438112905475
P2775_194,0.18364302595347,0.369273914030947,0.357367344563247,0.212109224018371,0.130942821351712,0.128320767347503,0.0621643813336341,0.0249737786786747
P2775_195,0.184796513518788,0.436352684434526,0.408234531153865,0.236777845985949,0.143781747433821,0.122550575604912,0.0571591216136454,0.0247846412789509
P2775_196,0.189479846490753,0.390771114556281,0.363087616608743,0.220012277470841,0.131566872083366,0.12405597965976,0.0656113998200415,0.0246107877095079
P2775_197,0.186492053511416,0.404398187006883,0.382842509603073,0.229470477229839,0.135815923388595,0.124326260972321,0.0635730943680335,0.0249833310726001
P2775_198,0.183248411786388,0.432738547828062,0.407527811497082,0.236473182820635,0.143850576558636,0.123348848318756,0.0571643682171254,0.0245190847278236
P2775_199,0.188122547212766,0.397584650781582,0.373222807921912,0.231243889684651,0.141058408395318,0.117066379204682,0.0555536609487433,0.0242382443464157
P2775_200,0.194163179462718,0.390178633145385,0.361649234248466,0.221599254257327,0.134655005483387,0.122977997215474,0.0644020577178849,0.0253138439024204
P2775_201,0.189904815593764,0.391136478093,0.369722467033607,0.22248141327331,0.134911967549362,0.12585995028081,0.0644519004509456,0.0247368793093237
P2775_202,0.187771297239869,0.392953421086413,0.36395230889469,0.219512084214356,0.134402632025733,0.124882537627244,0.064556832520547,0.0253425010841967
P2775_203,0.190138982242362,0.409533025901312,0.38971016179723,0.230639110565446,0.139064658079851,0.124329403778281,0.0616292277786668,0.0247789098425957
P2775_204,0.186270896121073,0.423772329143173,0.398947403428837,0.23705977309415,0.141514974923256,0.124357689031921,0.0592761261178545,0.0245553838247403
P2775_205,0.18865592680124,0.423308218704638,0.398398656401217,0.234731600845781,0.141689342039453,0.124433116374962,0.0597771767502013,0.0243662464250166
P2775_206,0.190264738405499,0.403450216749449,0.382110846899579,0.224786849464566,0.137451762255026,0.125611668609968,0.0632976476853297,0.023986061146784
P2775_207,0.190628997636651,0.414549368513563,0.389618703959293,0.230948320942182,0.139587759428443,0.125463956729848,0.0623952318867573,0.0255774899747626
P2775_208,0.186600463996878,0.426882856550376,0.399496150456458,0.239365209285406,0.142005956013601,0.124753682582884,0.0594571339379169,0.0241790195040779
P2775_209,0.183660371631144,0.42672486150747,0.410770407569383,0.23886501602892,0.144582459585832,0.124197405927961,0.0596643747753798,0.024331857806885
P2775_210,0.184640402419722,0.432333685530616,0.406139315230224,0.238101084509924,0.144167190532783,0.123367705154516,0.0571617449153854,0.0248687023454948
P2775_211,0.188387068797294,0.404269816034522,0.38300879658114,0.227942614191847,0.138823756142999,0.125416814640447,0.062151264824934,0.0248878071333457
P2775_212,0.188538843476941,0.433982758790943,0.40505844987279,0.235090830548166,0.143577554363537,0.121353166534145,0.0562409660046327,0.0256462672110258
P2775_213,0.189696667461677,0.373628652401031,0.348720421703776,0.215428688356865,0.131316792929872,0.124624827538523,0.0644177975283251,0.0247177745214728
P2775_214,0.189271698358665,0.390672367654465,0.369148776959276,0.222354091353477,0.134072252226622,0.124580828255083,0.0637645953950561,0.024960405327179
P2775_215,0.189770386591791,0.379987952877978,0.352919167899962,0.216228997567242,0.131330558754835,0.12413769261472,0.0647273471336494,0.0248152089395123
P2775_216,0.18813989289044,0.429618145730678,0.401990455127459,0.235804742741514,0.142299626946144,0.121579448563266,0.0578149470486544,0.023856148589398
P2775_217,0.184644738839141,0.43260030216552,0.410753778871577,0.233717572698543,0.143602791709302,0.123059710170434,0.0559182998906083,0.0253692477871879
P2775_218,0.187901389822424,0.414894982669919,0.393534762292765,0.231580383329923,0.139459278395455,0.124882537627244,0.0618574550300499,0.0246967592548369
P2775_219,0.182463519871642,0.427011227522736,0.405981342601061,0.23691880954005,0.14382304490871,0.12401198037632,0.0583632171123219,0.0245439209520298
P2775_220,0.190334121116194,0.390218131906111,0.365241032974708,0.220139599390674,0.13298934066287,0.125278531178207,0.065068376359854,0.0253654268296178
P2775_221,0.184887578326576,0.407567962555175,0.388113806807789,0.231866857649546,0.138098756028284,0.123518559840597,0.0622771833084557,0.0250941388421352
P2775_222,0.188959476160534,0.427267969467458,0.40378635449058,0.238073801241389,0.14382304490871,0.123223136080355,0.057856919876495,0.0255851318899029
P2775_223,0.188183257084625,0.392380689055881,0.367851738530356,0.228961189550508,0.139964025310763,0.116268106490837,0.0562147329872324,0.0242420653039858
P2775_224,0.189098241581926,0.392548558788968,0.368924289538886,0.222049428188164,0.134145669959758,0.124847966761684,0.0640741450003804,0.0251648265571835
P2775_225,0.190949892673619,0.404042698160345,0.378435904684304,0.227128663347202,0.138222648452951,0.123669414526678,0.0623821153780571,0.024159914716227
P2775_226,0.188703627414844,0.371841333478162,0.34940219831385,0.214355546461133,0.131218137850971,0.125247103118606,0.0639692129307789,0.0245802200489465
P2775_227,0.190351466793868,0.39534309611036,0.373330894457655,0.224382147647955,0.135201049873584,0.123989980734599,0.0630667971322065,0.0247655364911
P2775_228,0.190325448277357,0.397466154499403,0.376964264928413,0.226382920673897,0.13770643001684,0.124753682582884,0.0619020511596305,0.0243490521159508
P2775_229,0.184427917868216,0.426586615844928,0.404268586726973,0.237650910579087,0.143249468868587,0.125291102402047,0.0591502076343327,0.0240624802981875
P2775_230,0.186383643025953,0.43328165578805,0.408658562947936,0.2355000795762,0.143676209442438,0.1240528368538,0.0577310013929732,0.024851508036429
P2775_231,0.188907439127512,0.432126317036803,0.40313783527612,0.23537730486779,0.140849626716713,0.122764286410193,0.0582845180601208,0.0241045108314595
P2775_232,0.180672578651807,0.426606365225291,0.412117332091724,0.235836573221472,0.145357934392078,0.125218817864966,0.0567603797491599,0.0251247065026966
P2775_233,0.189323735391687,0.415270220896819,0.392952757869531,0.232421617443103,0.140156746860245,0.124615399120643,0.061424610242944,0.0244885170672622
P2775_234,0.186470371414323,0.381311161362312,0.355122470359346,0.217061137257577,0.132213865856624,0.122585146470472,0.0629959679852256,0.025176289429894
P2775_235,0.18879902864205,0.370962486052,0.348171674676156,0.214300979924062,0.130497726344577,0.12585680747485,0.0647089840214691,0.0246012353155824
P2775_236,0.191591682747555,0.400882797302235,0.378901508222891,0.22687856671896,0.137139736889199,0.125771951713929,0.0634839021088723,0.024201945249499
P2775_237,0.191019275384315,0.388509810504695,0.364609142458054,0.222495054907578,0.135056508711473,0.123131994707515,0.0621276551092736,0.0245630257398807
P2775_238,0.18960126623447,0.379355972706356,0.353235113158289,0.216524566309711,0.131881191753353,0.124929679716645,0.0641056246212608,0.0248228508546527
P2775_239,0.189896142754927,0.390405751019562,0.367161647571379,0.222381374622013,0.133962125626919,0.12400255195844,0.0638564109559574,0.0249432110181133
P2775_240,0.184883241907157,0.421333280668319,0.398756173404061,0.232999113293773,0.141827000289082,0.125432528670247,0.0605877769878725,0.0243910826492227
P2775_241,0.190104290887015,0.415773830096081,0.387124399288292,0.228188163608667,0.137665132541951,0.123788841153158,0.0636990128515552,0.023747251298648
P2775_242,0.186986405325123,0.43161283314736,0.402796946971083,0.235304549485028,0.142659832699341,0.121610876622866,0.0567236535247994,0.0257035815745784
P2775_243,0.187190217037792,0.42090866899051,0.398199112027537,0.229720573858082,0.141939421192946,0.124464544434562,0.0605694138756922,0.0251247065026966
P2775_244,0.182645649487218,0.384905548588413,0.373048206594942,0.217865993679376,0.13368680912766,0.128305053317703,0.0599817942859242,0.0247349688305386
P2775_245,0.184571019709026,0.436718047971245,0.405881570414221,0.237127981265489,0.143884991121043,0.123072281394274,0.057715261582533,0.0244006350431482
P2775_246,0.185642115305392,0.416721800353514,0.395496948633952,0.229038492144692,0.140652316558911,0.125407386222567,0.0611596567672003,0.0250941388421352
P2775_247,0.189015849612975,0.408486308742063,0.390524967989757,0.233085510310802,0.140115449385356,0.126934789919136,0.0613616510011831,0.0240319126376261
P2775_248,0.19029075692201,0.398177132192477,0.372699003941001,0.224664074756156,0.13593063859662,0.125762523296049,0.0633711001340507,0.0246031457943675
P2775_249,0.187229244812558,0.383592214794261,0.359337845253338,0.218961871632222,0.133957537018598,0.12585680747485,0.0630484340200263,0.0248610604303545
P2775_250,0.189375772424709,0.398127758741569,0.377072351464157,0.22631925971398,0.13658451528236,0.123458846527357,0.0629959679852256,0.0250482873512931
P2775_251,0.189020186032393,0.376887300160957,0.352362106523438,0.216165336607326,0.130761571323033,0.124945393746445,0.0647063607197291,0.0245076218551131
P2775_252,0.189020186032393,0.382851613030641,0.357683289821574,0.217906918582179,0.132603897563908,0.125174818581526,0.0641974401821621,0.0247789098425957
P2775_253,0.181539862535504,0.416247815224797,0.402614031295209,0.236059386581179,0.142519880145551,0.126554510397974,0.0601024661659658,0.0244980694611877
P2775_254,0.187190217037792,0.425757141869674,0.401707767264745,0.235691062455949,0.142884674507069,0.124257119241201,0.0589167337794695,0.0245305476005342
P2775_255,0.186687192385248,0.42653724239402,0.403744782746063,0.239037810062979,0.144041003803956,0.124502258106082,0.0585311084236842,0.0242917377523981
P2775_256,0.184180741961362,0.420819796778876,0.397251276252557,0.23656867426051,0.14144155719012,0.123744841869718,0.0600027806998444,0.0243987245643631
P2775_257,0.184367207996357,0.43117834677937,0.408750020785872,0.23823295364118,0.142689658653427,0.124517972135882,0.0602231380460075,0.0241083317890296
P2775_258,0.183148674139763,0.428798546445605,0.41116118196784,0.236400427437874,0.144942665339029,0.124624827538523,0.0586098074758853,0.0246031457943675
P2775_259,0.190282084083173,0.406777987340647,0.37578362738414,0.225009662824273,0.134471461150548,0.121868586711588,0.0642735159326231,0.0241618251950121
P2775_260,0.188252639795321,0.406007761506483,0.385361757320784,0.229179455698793,0.140902395712404,0.123663128914758,0.061936154082251,0.0250349139997975
P2775_261,0.186752238676525,0.388371564842153,0.366280326587625,0.228142691494441,0.13980801262785,0.118175789708568,0.0571774847258256,0.0234912471414461
P2775_262,0.194765941761887,0.395738083717623,0.372557660009645,0.223327194597913,0.135985701896472,0.125781380131809,0.0639560964220788,0.0257933740774776
P2775_263,0.190858827865831,0.403736582764716,0.380913580657499,0.23131209785599,0.141001050791306,0.118226074603928,0.0562357194011527,0.0249451214968983
P2775_264,0.190078272370504,0.378032764222023,0.352071104311821,0.215633312870882,0.131468217004465,0.125313102043767,0.0647666966597499,0.0252393352298019
P2775_265,0.186583118319204,0.436569927618521,0.405316194688794,0.233849441829798,0.143189816960414,0.122082297516869,0.0568233389909207,0.0250635711815738
P2775_266,0.18504802584506,0.411754831192171,0.395255832515756,0.229670554532433,0.14045959500943,0.126221372966212,0.0600919729590057,0.0247368793093237
P2775_267,0.188638581123566,0.412169568179798,0.386791825332158,0.22917490848737,0.138298360490247,0.124722254523283,0.0638773973698777,0.0251992151753151
P2775_268,0.188222284859392,0.381972765604479,0.357275886725311,0.220285110156197,0.13214733103597,0.123735413451838,0.0643469683813441,0.0243184844553894
P2775_269,0.191517963617441,0.403776081525442,0.376166087433693,0.224213900825319,0.134551761796165,0.123788841153158,0.0650132870233133,0.0245859514853017
P2775_270,0.18934541748878,0.381893768083026,0.355671217386966,0.220808039469795,0.135343296731534,0.120036330836898,0.0597220874136606,0.0239707773165033
P2775_271,0.189822423624813,0.384313067177517,0.355421786919866,0.218211581747493,0.134535701667041,0.125457671117928,0.0641974401821621,0.0250272720846571
P2775_272,0.1875674855272,0.374695118940643,0.352503450454795,0.222795170861469,0.136366556387113,0.11853721239397,0.057932995626956,0.0223755275309545
P2775_273,0.19172177533011,0.406926107693371,0.386001962186341,0.229356796944274,0.138413075698271,0.123571987541917,0.0621407716179738,0.0248457766000737
P2775_274,0.183222393269877,0.370044139865112,0.360235794934899,0.213655275902053,0.131612758166576,0.127965630274021,0.0613668976046632,0.0245496523883851
P2775_275,0.190962901931875,0.374981484955909,0.349343997871527,0.214973967214606,0.129871381308763,0.123707128198198,0.0645463393135869,0.0247674469698851
P2775_276,0.188525834218686,0.430536491917566,0.4030879491827,0.234158652206534,0.142907617548674,0.121852872681788,0.0562147329872324,0.0253558744356923
P2775_277,0.188443442249734,0.417176036101867,0.393692734921928,0.232739922242685,0.139931905052517,0.12410626455512,0.0612567189315817,0.0247120430851176
P2775_278,0.192827562281824,0.418736237150559,0.393867336248898,0.234995339108292,0.141177712211663,0.127887060125021,0.0633081408922899,0.0240128078497752
P2775_279,0.185941328245268,0.435088724091282,0.411776443786687,0.24026555714708,0.144731589356264,0.123279706587636,0.0587226094507068,0.0245229056853938
P2775_280,0.186934368292101,0.421985010220304,0.398831002544191,0.240324670895573,0.142132142742428,0.126054804250331,0.0604671051078308,0.0238542381106129
P2775_281,0.185386266559702,0.431128973328462,0.410396261868733,0.233567514721597,0.1427493105616,0.123276563781676,0.057059436147524,0.0258354046107495
P2775_282,0.188690618156588,0.399055979618639,0.374885677702579,0.224582224950549,0.134687125741634,0.126787078039015,0.063759348791576,0.0250100777755913
