G1	G2	Consistency
NefNPC	NefMES	0.013886784021768218
NefNPC	VerPN	0.004195920008288841
NefNPC	VerMES	0.021095974580546645
NefMES	VerPN	0.014708184031205631
NefMES	VerMES	0.013155983119778274
VerPN	VerMES	0.020075508613076658
