	BIOCARTA_CC	FAO	G2M	GLYC	KEGG_CC	NefAC	NefMES	NefNPC	NefOPC	OXPHOS	PD-L1	VerCL	VerMES	VerNL	VerPN	WP_CC
BIOCARTA_CC	0.0	0.0011592426715854576	2.3456228893895135e-12	0.7225987434937076	5.383540819715739e-16	0.08644245779650221	0.38203938243530755	7.481063050034837e-05	0.16168956491939104	0.022098262324249825	1.2549279771034513e-05	0.5529258538639422	0.007994761583623963	0.005379138521671321	2.5158547630719037e-05	2.5138733094476794e-16
FAO	0.0011592426715854576	0.0	0.0004882894096422382	0.19917547599808835	0.0013099608236553063	0.1299210487419083	0.8028917459557479	0.20816954282418346	0.41177730106797517	1.5942024710842033e-05	0.00016207769109013442	0.46516179099341015	0.0012424246316260997	6.204259370869418e-06	0.14063452530741372	0.0014099604763480097
G2M	2.3456228893895135e-12	0.0004882894096422382	0.0	0.46818958902565355	2.3041950658703667e-25	0.3594462741331872	0.6328408551404183	0.00036207614219864557	0.3854308476604029	0.0969156320423148	2.3522395931643804e-07	0.41177730106797517	0.002738135371754468	2.7631210396136443e-05	0.0001300874475021331	1.0162299107491893e-24
GLYC	0.7225987434937076	0.19917547599808835	0.46818958902565355	0.0	0.41673980031904434	0.5061150574741584	1.237255571744083e-08	0.26267309595528926	0.02711083300339471	0.04275639775294063	0.37799287483669375	0.27296413515495815	0.0020899846596489605	0.16283745897263188	0.11589907682942949	0.4124841642731877
KEGG_CC	5.383540819715739e-16	0.0013099608236553063	2.3041950658703667e-25	0.41673980031904434	0.0	0.2418570317891353	0.575389132205101	0.0001400533488320567	0.3065851151865893	0.12448268386484389	8.437549139345555e-07	0.6495479874452131	0.00637994540273743	0.0001847586125176169	4.497054064941265e-05	8.27192692323677e-59
NefAC	0.08644245779650221	0.1299210487419083	0.3594462741331872	0.5061150574741584	0.2418570317891353	0.0	0.5948442649808501	0.8678699282598992	0.36271730132943925	0.006435332572977029	0.7052152155892482	0.0008220051984522326	0.5939924304336718	0.6102677931840466	0.8784737848180866	0.24135132249940397
NefMES	0.38203938243530755	0.8028917459557479	0.6328408551404183	1.237255571744083e-08	0.575389132205101	0.5948442649808501	0.0	0.0035393061470445435	6.437903920207538e-05	0.1195214386132048	0.127660703828756	0.009669097204544636	0.0015404120223353008	0.03258974090633201	0.000605614684980612	0.558709882116865
NefNPC	7.481063050034837e-05	0.20816954282418346	0.00036207614219864557	0.26267309595528926	0.0001400533488320567	0.8678699282598992	0.0035393061470445435	0.0	1.3898592964343855e-07	0.17464190705530386	0.0002576943834490528	0.03920007547927707	0.0005884162126824525	0.7512547770813107	1.0650926288930643e-22	0.00011053061053879003
NefOPC	0.16168956491939104	0.41177730106797517	0.3854308476604029	0.02711083300339471	0.3065851151865893	0.36271730132943925	6.437903920207538e-05	1.3898592964343855e-07	0.0	0.9366342156425476	0.05369512221292322	0.001588933569893189	0.006864111216852401	0.002859460196130335	2.717774809173407e-08	0.28071391658571093
OXPHOS	0.022098262324249825	1.5942024710842033e-05	0.0969156320423148	0.04275639775294063	0.12448268386484389	0.006435332572977029	0.1195214386132048	0.17464190705530386	0.9366342156425476	0.0	0.03483666556913981	0.13688074519808432	0.015388248997685141	0.11177825586779963	0.10861897081061855	0.12105560042468176
PD-L1	1.2549279771034513e-05	0.00016207769109013442	2.3522395931643804e-07	0.37799287483669375	8.437549139345555e-07	0.7052152155892482	0.127660703828756	0.0002576943834490528	0.05369512221292322	0.03483666556913981	0.0	0.9756075715947339	4.8680514176517156e-11	0.01196127935351082	2.4380254672182916e-05	8.614698713174034e-07
VerCL	0.5529258538639422	0.46516179099341015	0.41177730106797517	0.27296413515495815	0.6495479874452131	0.0008220051984522326	0.009669097204544636	0.03920007547927707	0.001588933569893189	0.13688074519808432	0.9756075715947339	0.0	0.697031506523565	0.002558360407016718	0.01975282730539773	0.6682120983649154
VerMES	0.007994761583623963	0.0012424246316260997	0.002738135371754468	0.0020899846596489605	0.00637994540273743	0.5939924304336718	0.0015404120223353008	0.0005884162126824525	0.006864111216852401	0.015388248997685141	4.8680514176517156e-11	0.697031506523565	0.0	0.331432968633525	2.2889105905220544e-05	0.00660398881403956
VerNL	0.005379138521671321	6.204259370869418e-06	2.7631210396136443e-05	0.16283745897263188	0.0001847586125176169	0.6102677931840466	0.03258974090633201	0.7512547770813107	0.002859460196130335	0.11177825586779963	0.01196127935351082	0.002558360407016718	0.331432968633525	0.0	0.8958699017842942	0.00021572384723706717
VerPN	2.5158547630719037e-05	0.14063452530741372	0.0001300874475021331	0.11589907682942949	4.497054064941265e-05	0.8784737848180866	0.000605614684980612	1.0650926288930643e-22	2.717774809173407e-08	0.10861897081061855	2.4380254672182916e-05	0.01975282730539773	2.2889105905220544e-05	0.8958699017842942	0.0	3.5886721514423343e-05
WP_CC	2.5138733094476794e-16	0.0014099604763480097	1.0162299107491893e-24	0.4124841642731877	8.27192692323677e-59	0.24135132249940397	0.558709882116865	0.00011053061053879003	0.28071391658571093	0.12105560042468176	8.614698713174034e-07	0.6682120983649154	0.00660398881403956	0.00021572384723706717	3.5886721514423343e-05	0.0
