	NefAC	NefMES	NefNPC	NefOPC	VerCL	VerMES	VerNL	VerPN
NefAC	0.0	0.13867554266987714	0.903693217741266	0.004211057389435814	1.959333013839184e-08	0.03832022472876961	0.0005287469295676012	0.13408706839947862
NefMES	0.13867554266987714	0.0	5.122345587687935e-07	0.3953708419767238	0.018565115014353994	2.864147586194329e-10	0.8275237958648594	4.011400713518216e-09
NefNPC	0.903693217741266	5.122345587687935e-07	0.0	0.07115916006574712	0.26401496121383244	1.890394343040655e-05	0.13522381083434734	1.260185034238605e-07
NefOPC	0.004211057389435814	0.3953708419767238	0.07115916006574712	0.0	0.15311364746090095	0.3595479632342291	0.04055960072223449	0.2900074275938717
VerCL	1.959333013839184e-08	0.018565115014353994	0.26401496121383244	0.15311364746090095	0.0	0.0021731439845524927	0.015596440710648222	0.016914299258078327
VerMES	0.03832022472876961	2.864147586194329e-10	1.890394343040655e-05	0.3595479632342291	0.0021731439845524927	0.0	0.5035926462175362	1.568835871188163e-08
VerNL	0.0005287469295676012	0.8275237958648594	0.13522381083434734	0.04055960072223449	0.015596440710648222	0.5035926462175362	0.0	0.7589874525518234
VerPN	0.13408706839947862	4.011400713518216e-09	1.260185034238605e-07	0.2900074275938717	0.016914299258078327	1.568835871188163e-08	0.7589874525518234	0.0
