Cellname,NefMES,NefAC,NefOPC,NefNPC,VerPN,VerNL,VerCL,VerMES
P3142_001,0.188538843476941,0.34577215139875,0.330620084141211,0.212518473046404,0.121116316632329,0.132079563275684,0.0560599581845703,0.0241751985465077
P3142_002,0.17542117473602,0.396972419990323,0.373364151853268,0.219371120660255,0.132323992456328,0.131997850320723,0.0539009808525206,0.0268479583668463
P3142_003,0.187628195399059,0.342029643819925,0.341736368624973,0.211640861241843,0.122490604824463,0.133999817717254,0.0535179787984753,0.0252374247510169
P3142_004,0.177524338153986,0.385112917082227,0.368275770324426,0.216520019098288,0.130564261165231,0.132755266557087,0.0539770566029816,0.0260952297255215
P3142_005,0.176323149975066,0.378842488816913,0.361532833363819,0.214983061637451,0.129591476201183,0.131479287337321,0.055018507393776,0.0260856773315961
P3142_006,0.18060753236053,0.389447906071947,0.368300713371136,0.22008048564218,0.130720273848145,0.131479287337321,0.053423539935834,0.026494519791605
P3142_007,0.180260618807051,0.37213757418361,0.357109599747244,0.211654502876111,0.127987757593,0.132522698916046,0.0550316239024761,0.0241350784920209
P3142_008,0.166188937794063,0.409562649971857,0.390175765335817,0.222435941159084,0.135347885339855,0.129703601969911,0.0527257416729845,0.029415641854005
P3142_009,0.181691637215151,0.314202766888189,0.28739378419276,0.198940499738535,0.114914812486521,0.128125913377982,0.0588983706672893,0.0177216012104794
P3142_010,0.180932763816916,0.256623448439305,0.253995044648054,0.197694563808744,0.106701203591963,0.118986633646252,0.0637514788863559,0.0152131425656584
P3142_011,0.182793087747447,0.371179729235995,0.358140579011258,0.216388149967033,0.127439418898642,0.131551571874401,0.0547378141075921,0.0254112783204599
P3142_012,0.184050649378808,0.319564723656795,0.295974192261004,0.203505900006821,0.115644401209557,0.129012184658707,0.0599870408894042,0.0200619377222126
P3142_013,0.182120942737582,0.369876270132025,0.350757437185094,0.210613191460337,0.126152314264607,0.131903566141923,0.0549345617380948,0.0244216503097841
P3142_014,0.187966436113701,0.357216917319219,0.334810515988493,0.212800400154605,0.122112044637982,0.131598713963801,0.0557740182949063,0.0250750340542843
P3142_015,0.172086468203205,0.399441092535722,0.378909822571794,0.220048655162222,0.133402315411759,0.131557857486321,0.0533841904097335,0.0270867682149824
P3142_016,0.172515773725635,0.398295628474657,0.374220529790312,0.219571197962849,0.131975258223933,0.131073865368478,0.0539219672664409,0.0266110589974954
P3142_017,0.188040155243815,0.348359320226328,0.343665297570547,0.213518859559375,0.122545668124315,0.133349256883531,0.0534891224793349,0.0265422817612322
P3142_018,0.175629322868108,0.395688710266715,0.372233400402414,0.218620830775527,0.131626523991539,0.132054420828004,0.0541423246126039,0.027295010402557
P3142_019,0.182133951995837,0.259467359211605,0.255940602291435,0.198754064070209,0.10692375109553,0.119640337285936,0.0632346884435688,0.0157614499769787
P3142_020,0.18075063420134,0.377548904403124,0.359595590069342,0.211681786144647,0.129506586947245,0.132723838497487,0.0549450549450549,0.0248037460668018
P3142_021,0.166683289607771,0.408318439008976,0.386251392653441,0.222417752313394,0.136380322212076,0.129791600536791,0.0531717029687906,0.0290602927999786
P3142_022,0.186132130699681,0.290217144437093,0.269966908891365,0.204401700657072,0.109378656547256,0.124778825030564,0.0604907148234911,0.0191047878508833
P3142_023,0.166119555083368,0.413956887102667,0.392969386567338,0.224295750630926,0.135485543589485,0.129071897971947,0.0526890154486239,0.0297977376110227
P3142_024,0.17728583508597,0.384875924517868,0.367036932337829,0.21683832389787,0.13060326433596,0.132431557543206,0.0543521887518068,0.0259710486044908
P3142_025,0.186409661542464,0.336608438910229,0.317001180637544,0.210426755792011,0.11869353143885,0.130401304893035,0.0577205081860131,0.0228092062151696
