Cellname,NefMES,NefAC,NefOPC,NefNPC,VerPN,VerNL,VerCL,VerMES,OXPHOS,GLYC,FAO,G2M,KEGG_CC,WP_CC,BIOCARTA_CC,PD-L1
GBM_6_wk5_batch_1,0.112275614471141,0.115728742441071,0.0237767584097859,0.0445976812097031,0.0157598104617972,0.0554857923922344,0.033314653964696,0.0430040448352887,0.131433998100665,0.0505481493579405,0.0797619047619048,0.0446455567466535,0.0749428035533937,0.0774341937132635,0.106600812882647,0.0148185998978028
GBM_3_wk2_batch_1.1,0.164181165423916,0.319326175490559,0.189092762487258,0.0961199294532628,0.0339211928615902,0.0612088412770734,0.0333520127019707,0.0278174659073377,0.240149024764409,0.0896297354864613,0.103934481594056,0.0221475495450922,0.0799719685883299,0.0826305477468268,0.0555641302670165,0
GBM_6_wk5_batch_1.1,0.212178956089478,0.106318647414538,0.0412334352701325,0.0538352560210484,0.0282851806030614,0.0772000400057786,0.0311291678341272,0.078562372970036,0.164489736284608,0.0859141606952072,0.118566362715299,0.0354855556471785,0.0688109322505513,0.0710984751682426,0.173226320934301,0.0148486579097658
GBM_6_wk5_batch_1.2,0.25171223418945,0.0761137850178946,0.0290010193679918,0.0335530690721948,0.0120240318915816,0.0626423816773534,0.0125618754086112,0.0735784382776917,0.170143911169552,0.104628136292183,0.0874113475177305,0.0415395398697122,0.0596595007935363,0.0616428145497913,0.0531975099037917,0.000180348071778533
GBM_6_wk5_batch_1.3,0.232104391052196,0.145378254967296,0.0683231396534149,0.0743198311504322,0.0205306099345834,0.0614977719003856,0.0442794433548146,0.0701976804244729,0.154978449850245,0.082300662134482,0.0483029381965552,0.0260300706412688,0.080920089865408,0.0836101882613511,0.136286463960488,0.0139769755628363
GBM_2_wk1_S13_comb_batch_1,0.182587682960508,0.186906084166358,0.161187563710499,0.105993581403417,0.0355303269210554,0.0571860379832642,0.0462314373774166,0.0402739487117569,0.205478851632698,0.0744680127118932,0.0833417764268828,0.0322421043951513,0.0673372220046582,0.0695757730641452,0.163245356793744,0.00949833178033605
GBM_9_wk8_batch_1,0.266197183098592,0.229421202023942,0.164678899082569,0.0521438690837598,0.0246626074440644,0.0541411537222043,0.0400485663584571,0.0897913186967983,0.187420556651326,0.0844510680576254,0.0649527186761229,0.0196874742310547,0.0373683451161449,0.0386106141920095,0.0140968256418172,0
GBM_9_wk8_batch_1.1,0.141494062413698,0.426662964334197,0.329994903160041,0.143854627461185,0.0444654683065279,0.0766888550568415,0.034276641449519,0.0432589432448568,0.226283877565929,0.0743183009071174,0.0975599459642013,0.0161897693851186,0.0495702537254983,0.051218161683278,0.0879250913206771,0
GBM_6_wk5_batch_1.4,0.219152167909417,0.29954954954955,0.121610601427115,0.0927660681759042,0.0247919850568857,0.0582973096113883,0.0338096572335855,0.071592913824214,0.209598948060487,0.0860842877460888,0.0724248564674097,0.0293422390808389,0.0530844858503205,0.054849220546895,0.108247157483151,0.0113318705100845
GBM_2_wk1_S90_comb_batch_1,0.0272024302678818,0.0171232876712329,0.0141437308868502,0.0577529129441698,0.0376569714318059,0.0262704612888528,0.030456710563183,0.0207943439384487,0.036898239462342,0.0343112236218008,0.025371496116177,0.012142327038839,0.0223632953397778,0.0231067382230173,0.0243864793949684,0.0262406444437765
