Name,BIOCARTA_CC,FAO,G2M,GLYC,KEGG_CC,NefAC,NefMES,NefNPC,NefOPC,OXPHOS,VerCL,VerMES,VerNL,VerPN,WP_CC
GSM4426556,1.1014224168875453,0.967342888719946,1.165082735883952,0.9855980743788187,1.117970414382006,1.4917455767598768,1.2892798084926005,1.1754027233229531,1.2822963473725706,1.2792047892759897,1.1222917174809561,0.9609661314948457,0.9564681370460736,0.9785728183187792,1.1228031697663616
GSM4426557,1.1508396922735837,0.9761539970026776,1.2082655408894991,1.0617812350343585,1.1544496951770196,1.4776058676960366,1.410374731803653,1.1050697421537392,1.2137501275559426,1.2887139874896218,1.2030705729753441,0.9917626063079101,0.776979350061437,0.9280742618974653,1.158124902216817
GSM4426558,1.072525821268855,0.9875218764567828,1.132045854200669,1.0254197455332226,1.0928896723138382,1.4675159571081908,1.3624361396266862,1.129466974239844,1.1986927256267985,1.276453915769303,1.0867245042649332,1.0350063083422112,0.887453183860711,0.9267064083140593,1.0979306231207726
GSM4426559,1.1103364700425773,0.9695980974648037,1.1634675069889846,1.0651453374340851,1.0851581787836584,1.4346832098187534,1.4446513886708232,0.9066275574250617,1.0486391557246217,1.281560899950254,1.0555400258667251,1.1554508309807534,0.7581702339843537,0.7149310537491287,1.0888366917346226
GSM4426560,1.084486625022503,0.9223309766066252,1.0901387260482371,0.9769997830453548,1.0544178629053942,1.4564221344533317,1.3681226212991662,0.9501964307055991,1.0693511012019288,1.231468430641623,1.0941236185966987,1.0753187561409803,0.7544646476226025,0.7679387244761697,1.0615987617212879
GSM4426561,1.023079553462156,0.9274041720566794,1.0494722637243525,0.9366462041510756,1.023991506026447,1.448959250005508,1.2677885951017933,1.1039332688305457,1.2211475209361589,1.231837786507682,1.005413726464209,0.8683385258426956,0.9916920697008855,0.914167580711952,1.0306044358535587
GSM4426562,1.1269917865102717,0.9168217928405359,1.1215954726647055,0.9914349149615986,1.0775103901503238,1.4326044851217397,1.3388827778515007,1.0232407732607207,1.0103754368081703,1.22091618412894,1.1175538791931383,1.0123759266169683,0.6974603044540586,0.7820650714065549,1.0839025197590668
GSM4426563,1.0955655928902686,0.9192484253801317,1.090309087101706,0.9901214184635586,1.036734912207937,1.3967579801934809,1.4162348833339298,0.769135532619709,0.9362323167219984,1.2403706010419395,0.9491165389163732,1.2056955277788697,0.6502436308073232,0.5361784506073033,1.0398709388873273
GSM4426564,1.1606386184860946,0.9930250444010311,1.2070606566413458,1.024955431233351,1.1520406959334069,1.4882344718211247,1.3441993180034302,1.2121677342632202,1.3077813770630138,1.30404821446956,1.1318312893929863,0.9423368520347714,0.8300667826244092,1.0289221064653504,1.1564617309810932
GSM4426565,0.9604589930787868,0.9754957858047303,0.9321202031844886,0.9542985143155284,0.9440056401006341,1.4830073216231787,1.2976786477011648,1.1030241814170685,1.227989328198187,1.2694893497929827,1.052603996503717,0.917714129987859,1.0401527856349941,0.898300527069118,0.953205704981185
