""	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES	OXPHOS	GLYC	FAO	G2M	KEGG_CC	WP_CC	BIOCARTA_CC	PD.L1
CTLA4	0.0330151231386517	0.0962053709056575	0.0578652012892699	-0.0252050940090782	-0.0564452034385127	-0.0521852274078073	-0.0358551607491769	-0.0294651061974626	0.0479251727308127	0.043665190280002	0.0571552131755153	0.0656752202091089	0.0741952860490126	0.0706452634902332	0.0614152753426496	-0.0169927697085774
CD274	0.0222897056791962	0.0208497273116747	-0.0482260177606259	-0.0213297183551932	-0.0295996054393959	0.0825039623981917	-0.0342862397756386	-0.0411594513474843	0.0246230051104524	0.0568042856072878	0.0959154001673205	0.043094414730109	0.0520759855779845	0.0521076452863818	-0.0786356875896451	0.124701495534203
LAG3	0.0190182998270819	0.0741052787884415	0.0237488581916217	0.0742766394474466	0.030002922545981	0.0759913284164616	0.0307543408766844	-0.0862348624921893	0.131150736559738	0.0846888304371896	0.107479099517877	0.0148112557465015	-0.00359500335968933	0.00530493619297848	0.0169694057706082	-0.0643000631234298
HAVCR2	0.0841856218678288	-0.00427922876662823	-0.0628384093468385	-0.0685172156253729	-0.0718039165766467	-0.0069538276827458	0.0441404552125388	0.0407242210274308	0.142123392795755	-0.00203212355661139	0.153020046824801	0.000577419893874617	0.0294657767686171	0.0228725275468164	-0.0159273899251038	-0.0266839439619468
CD47	0.22228464234757	0.383638492563227	0.30290435971118	0.295223148040566	0.0623305428933279	-0.0162563766982845	0.156363714623478	-0.135378655287726	0.474037754087329	0.398388034386961	0.40387241071501	0.0248171270448822	0.248202056905681	0.228606846554725	0.0203911233371931	-0.234688923849114
LGALS9	0.39499539087495	0.131849087506588	-0.0772096795576557	-0.079024895932504	-0.177435515263611	0.117850313491709	-0.0610034951921414	0.118980859775258	0.305793696332789	0.179954185832988	0.361737033881036	0.0421074427135866	0.198092115505577	0.191785516587501	-0.139096402845226	0.126873867216187
CD276	0.170251010061905	0.302347722071922	0.191773734842447	0.105748197243724	0.0242659394689831	0.0242475603041503	0.0594499732807505	-0.117549860473131	0.350294709598389	0.288237866082329	0.332594466595406	0.148032981165907	0.210211666438473	0.197876715081151	0.0316215967203767	-0.0910397629036156
