G1	G2	Consistency
VerMES	VerCL	0.10778136898800698
VerMES	VerNL	0.07601684953623802
VerMES	VerPN	0.1620223451173347
VerCL	VerNL	0.010927509106771038
VerCL	VerPN	0.00849028330563531
VerNL	VerPN	0.019171131270852335
