	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES	OXPHOS	GLYC	FAO	G2M	KEGG_CC	WP_CC	BIOCARTA_CC	PD-L1
NefMES	0.0	0.0	0.0	0.0	0.0	0.0	1.1745965353071589e-09	0.0	0.0	0.0	0.0	1.2517847230835782e-286	1.5675457140458157e-281	3.158216599703751e-297	1.6277863995260678e-85	0.0
NefAC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.097240622351364e-07	0.024396011287733735	0.0	5.82684188534044e-83	0.0	0.0	0.0	0.0	1.4750856740164448e-193
NefOPC	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.619683693230145e-163	0.0	2.9252199753390256e-112	0.13420402216587657	0.0032244846418419374	0.022377651068835488	1.4086967779460353e-136	0.0
NefNPC	0.0	0.0	0.0	0.0	0.0	7.171498025200263e-194	0.0	0.0	0.0	1.602175212932592e-11	2.1184287678247496e-253	0.0	0.0	0.0	1.9921313059442276e-05	0.0
VerPN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.2115846772526587e-265	1.1892884000914136e-252	0.0	2.8951544887944115e-271	3.747895104093545e-243	5.279877162303663e-35	0.0
VerNL	0.0	0.0	0.0	7.171498025200263e-194	0.0	0.0	0.0	0.0	3.7638664810858055e-28	0.0	0.0	0.0	0.0	0.0	0.0	2.1667136988745338e-212
VerCL	1.1745965353071589e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.96981141436666e-243	0.0	4.0184139447679765e-11	0.0	0.0	0.0	0.0	0.0
VerMES	0.0	8.097240622351364e-07	0.0	0.0	0.0	0.0	0.0	0.0	2.7602177904542953e-149	0.0	0.0	6.68674255572483e-31	9.67422671994784e-277	1.695603328253293e-276	0.0	0.0
OXPHOS	0.0	0.024396011287733735	4.619683693230145e-163	0.0	0.0	3.7638664810858055e-28	9.96981141436666e-243	2.7602177904542953e-149	0.0	0.0	0.0	3.1927439011928135e-14	2.9735366427725746e-17	9.253047227041324e-23	0.00016867092145092988	4.676398470557171e-118
GLYC	0.0	0.0	0.0	1.602175212932592e-11	3.2115846772526587e-265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.3012653231806616e-272	3.5279788699734333e-07
FAO	0.0	5.82684188534044e-83	2.9252199753390256e-112	2.1184287678247496e-253	1.1892884000914136e-252	0.0	4.0184139447679765e-11	0.0	0.0	0.0	0.0	6.571922134291665e-13	9.274568962913934e-15	8.290873404221859e-17	7.866528499533588e-50	3.2466033917782055e-35
G2M	1.2517847230835782e-286	0.0	0.13420402216587657	0.0	0.0	0.0	0.0	6.68674255572483e-31	3.1927439011928135e-14	0.0	6.571922134291665e-13	0.0	0.0	0.0	0.0	2.020737884966373e-99
KEGG_CC	1.5675457140458157e-281	0.0	0.0032244846418419374	0.0	2.8951544887944115e-271	0.0	0.0	9.67422671994784e-277	2.9735366427725746e-17	0.0	9.274568962913934e-15	0.0	0.0	0.0	0.0	8.063896328874349e-16
WP_CC	3.158216599703751e-297	0.0	0.022377651068835488	0.0	3.747895104093545e-243	0.0	0.0	1.695603328253293e-276	9.253047227041324e-23	0.0	8.290873404221859e-17	0.0	0.0	0.0	0.0	1.1814758478943458e-16
BIOCARTA_CC	1.6277863995260678e-85	0.0	1.4086967779460353e-136	1.9921313059442276e-05	5.279877162303663e-35	0.0	0.0	0.0	0.00016867092145092988	4.3012653231806616e-272	7.866528499533588e-50	0.0	0.0	0.0	0.0	0.0
PD-L1	0.0	1.4750856740164448e-193	0.0	0.0	0.0	2.1667136988745338e-212	0.0	0.0	4.676398470557171e-118	3.5279788699734333e-07	3.2466033917782055e-35	2.020737884966373e-99	8.063896328874349e-16	1.1814758478943458e-16	0.0	0.0
