	NefAC	NefMES	NefNPC	NefOPC	VerCL	VerMES	VerNL	VerPN
NefAC	1.0	0.29104413899086484	0.562708102108768	0.7655596345940409	0.616238367625715	-0.067446427046871	0.37752924101425767	0.38077349953043627
NefMES	0.29104413899086484	1.0	0.2551011696405703	0.24127038333475626	0.11064629044651242	0.7062238538376163	0.2537351660548109	-0.1188423119610689
NefNPC	0.562708102108768	0.2551011696405703	1.0	0.6797575343635277	0.7867326901733117	0.0025612567232988987	0.1253308289934261	0.6443268163578929
NefOPC	0.7655596345940409	0.24127038333475626	0.6797575343635277	1.0	0.7122001195253137	-0.12370869973533681	0.31409544950055496	0.5555365832835312
VerCL	0.616238367625715	0.11064629044651242	0.7867326901733117	0.7122001195253137	1.0	-0.0639460428583625	-0.034918466660974985	0.4778451293434645
VerMES	-0.067446427046871	0.7062238538376163	0.0025612567232988987	-0.12370869973533681	-0.0639460428583625	1.0	-0.020916929906941006	-0.36523520874242293
VerNL	0.37752924101425767	0.2537351660548109	0.1253308289934261	0.31409544950055496	-0.034918466660974985	-0.020916929906941006	1.0	0.26406556817211646
VerPN	0.38077349953043627	-0.1188423119610689	0.6443268163578929	0.5555365832835312	0.4778451293434645	-0.36523520874242293	0.26406556817211646	1.0
