	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES
NefMES	1.0	0.20893235727413792	-0.23627569903074558	-0.551261871246312	-0.619643320642108	0.19768425251600494	-0.14367021034793778	0.9511187308845832
NefAC	0.20893235727413792	1.0	0.3677915792811941	-0.057177623331228	-0.02392990020518485	0.4168050121427001	0.6191543380049239	0.09443075742875791
NefOPC	-0.23627569903074558	0.3677915792811941	1.0	0.684937468815329	0.7193467210298065	0.5018071626512625	0.048803651560407765	-0.36556159202029903
NefNPC	-0.551261871246312	-0.057177623331228	0.684937468815329	1.0	0.9737430087098973	-0.05996132700749685	0.14703147676279735	-0.6347882953681341
VerPN	-0.619643320642108	-0.02392990020518485	0.7193467210298065	0.9737430087098973	1.0	-0.007728354145560466	0.14625790100727978	-0.6967321238243174
VerNL	0.19768425251600494	0.4168050121427001	0.5018071626512625	-0.05996132700749685	-0.007728354145560466	1.0	-0.22808373718827668	0.13014991098234024
VerCL	-0.14367021034793778	0.6191543380049239	0.048803651560407765	0.14703147676279735	0.14625790100727978	-0.22808373718827668	1.0	-0.2054113660033012
VerMES	0.9511187308845832	0.09443075742875791	-0.36556159202029903	-0.6347882953681341	-0.6967321238243174	0.13014991098234024	-0.2054113660033012	1.0
