""	NefAC	NefMES	NefNPC	NefOPC
DUSP23	-0.0220455419788594	0.025015724134562	-0.00783214562685865	-0.00768803317029085
CSTA	-0.0899444922783813	0.0988648090815274	-0.0632348361331453	-0.122494366790628
TMSB4XP8	-0.114712294135966	0.0234671258724605	0.0361294813783502	0.0581664743131759
FUOM	-0.0367376847967465	0.0120553733794982	-0.0687795018349913	-0.0319209091297684
BLVRB	-0.0401670727462583	0.182176464481775	-0.126756675887421	-0.12955587716245
NENF	-0.0809875367150909	-0.0959727896141328	0.152582116621174	0.185635163439403
NPC2	-0.122643364415215	0.0591288524129677	-0.0739064856711916	-0.115381562154603
LY96	-0.158857114941897	-0.00165729325052974	-0.0456213628397482	-0.134951545239709
SERPINB1	-0.0455090039753055	0.115103107577506	-0.108903829361081	-0.166773529717088
BOLA3	0.0277538608093502	-0.104050414933959	0.128251537301311	0.114607263023553
ATP6V0B	-0.0889234921623586	-0.117680033707659	0.0741287608160673	0.0643975061217262
S100A11	-0.119783098539945	0.111876454100793	-0.0919791647583979	-0.126038556188592
TNFAIP8L2	-0.118556921367114	0.0306654209488218	0.00837195669298551	-0.0243049321877614
OST4	-0.0912195211314049	-0.111568688515581	0.118830490776192	0.132389274613614
ATP5F1E	-0.130425437069876	-0.033423098295687	0.0743168397848084	0.0759387155671986
CLIC1	-0.111417248306984	0.0678855160874689	-0.136522126757897	-0.104214068062603
ORMDL2	-0.1290356067684	-0.0839723743748512	0.032988318341974	0.0133816964967239
NDUFA1	-0.0777901942464934	-0.0834936279089649	0.218336478160246	0.145840584754612
LRMDA	0.0278393512496871	0.052257863593896	0.0225023051886591	0.00917068166413249
CD63	-0.0556383998632153	0.0534986962707849	-0.0166742997416967	-0.00557764058597591
HCST	-0.0209268385024517	0.00504027210385867	0.0291217078547395	-0.0403746923870763
ARPC4	-0.0242511953395497	-0.149199137767845	0.00064606347054549	0.0930514591386228
ETHE1	-0.0686085209543176	0.102333278375193	-0.0714468035735004	-0.0708556982431715
RILP	-0.0222702597077448	0.188583362339019	-0.0532031436056204	-0.0516618730955478
PCED1B-AS1	-0.155886932786195	0.0221530156752829	-0.00770513125835822	-0.0412247116224254
SERF2	-0.0588674959239379	-0.0185917281892514	0.0231080660230458	0.0693510664932432
S100A6	-0.00856247824573617	0.0919547389183017	-0.0753989045010717	0.00140082192951924
LY86	-0.0968960863697706	0.0654575875819029	-0.0109977345033311	-0.0299863825941464
POLR2L	0.032209134042904	0.0169576394868131	-0.0104457105171561	0.0624116853219021
ATOX1	0.0365129670678611	-0.0480175377531891	0.136825007175091	0.144807371718541
CYBA	-0.0960924762306044	0.0351280219344044	-0.077545935845531	-0.0206972356055471
FTL	-0.0251158700789565	0.00726302355261631	-0.0401035655620081	-0.0559534932004568
PYCARD	-0.0986156655125457	0.0905820067048931	-0.0672284609888802	-0.107931680925251
OAZ1	-0.0315545215283248	-0.00972270565030746	0.0153846153846154	0.0616178455187743
CIB1	-0.0396150487600833	0.0391411874622163	0.0471333223417053	0.0279883488742741
TSPO	-0.15883513168581	0.0233767502641044	-0.0739675502714322	-0.0869425565305537
ARPC3	-0.118857359200298	-0.107616587588009	0.149338365056393	0.0964295528239325
MGST2	-0.0301256098826949	0.0308022056533607	0.0357093569286949	0.00777352361062768
TMSB10	-0.0350376463260483	-0.0604722736182608	0.033994662953939	0.0717912079188574
LST1	-0.0749885503874549	0.0505236289470631	-0.0245785015968393	-0.0209610346785865
MYL6	-0.0922747174235624	-0.0335769810882933	-0.0278320234976582	0.0785815914656115
TYROBP	-0.106598030055996	0.0452647455743431	-0.0492021909978567	-0.0629417260519904
VAMP5	0.0308901386777072	0.0790163714193245	0.0025781474221579	-0.00236075744530138
SQOR	-0.0756603071917797	0.0970549135966092	-0.0409670440257794	-0.0922198155970248
GSTO1	-0.0810266180592449	-0.0403185129548549	0.0268989564059819	-0.00932212187272916
VAMP8	-0.122584742398984	0.0144173521168044	-0.040123106234085	-0.0603159482416448
GMFG	-0.128180702365032	0.0274583081441857	-0.0492730259341357	-0.0516960692716825
TMSB4X	-0.0752376939564365	0.024690860461282	0.0333498207753983	0.0066450497981815
ATP6V0E1	-0.116739638863954	-0.0656285684625766	0.0755063781974952	0.0147471009581036
GPX1	-0.0673579179413902	-0.0195028120248411	-0.00595135593944834	0.00174766885888582
