	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES
NefMES	1.0	-0.2720185026314743	-0.45237013273285903	-0.3373813488355215	-0.4949453500979705	0.4440751768528001	0.37989948385433975	0.8385965626422218
NefAC	-0.2720185026314743	1.0	0.8553261190308173	0.9527665866330254	0.8625422211370203	0.08270567050037894	-0.7201511138583923	0.04863077575271712
NefOPC	-0.45237013273285903	0.8553261190308173	1.0	0.847661906494699	0.965751821951653	0.1876437034977177	-0.7987506697685144	-0.07125028825839762
NefNPC	-0.3373813488355215	0.9527665866330254	0.847661906494699	1.0	0.902799820941684	0.06640056701645972	-0.824438664261363	-0.05628147520168015
VerPN	-0.4949453500979705	0.8625422211370203	0.965751821951653	0.902799820941684	1.0	0.14685445117879323	-0.8450845606860927	-0.1313641373470886
VerNL	0.4440751768528001	0.08270567050037894	0.1876437034977177	0.06640056701645972	0.14685445117879323	1.0	-0.31773818324866554	0.6567302866440615
VerCL	0.37989948385433975	-0.7201511138583923	-0.7987506697685144	-0.824438664261363	-0.8450845606860927	-0.31773818324866554	1.0	0.10213784777565062
VerMES	0.8385965626422218	0.04863077575271712	-0.07125028825839762	-0.05628147520168015	-0.1313641373470886	0.6567302866440615	0.10213784777565062	1.0
