	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES
NefMES	0.0	7.055479641332684e-12	1.1800255107578838e-11	2.5760996882959903e-07	3.385937071829378e-12	0.1322930070319178	1.9622973791173534e-05	3.8332237233925183e-07
NefAC	7.055479641332684e-12	0.0	4.286875010727084e-84	1.7129697022689104e-48	1.5735450168587906e-91	2.1189112660135988e-05	4.4464967532456174e-32	4.205808182493708e-47
NefOPC	1.1800255107578838e-11	4.286875010727084e-84	0.0	2.212474492608167e-49	8.119335947183528e-91	3.4526817598755826e-06	4.486219148084153e-39	7.087539981642107e-52
NefNPC	2.5760996882959903e-07	1.7129697022689104e-48	2.212474492608167e-49	0.0	2.470083742569841e-46	3.537171083918564e-05	1.6663994096503308e-34	2.3215725489223324e-57
VerPN	3.385937071829378e-12	1.5735450168587906e-91	8.119335947183528e-91	2.470083742569841e-46	0.0	5.723568488761265e-06	4.880097068747047e-35	2.326362268132796e-47
VerNL	0.1322930070319178	2.1189112660135988e-05	3.4526817598755826e-06	3.537171083918564e-05	5.723568488761265e-06	0.0	1.17880646821895e-08	8.786728934174638e-06
VerCL	1.9622973791173534e-05	4.4464967532456174e-32	4.486219148084153e-39	1.6663994096503308e-34	4.880097068747047e-35	1.17880646821895e-08	0.0	3.909780779643484e-43
VerMES	3.8332237233925183e-07	4.205808182493708e-47	7.087539981642107e-52	2.3215725489223324e-57	2.326362268132796e-47	8.786728934174638e-06	3.909780779643484e-43	0.0
