	NefMES	NefAC	NefOPC	NefNPC	VerPN	VerNL	VerCL	VerMES
NefMES	1.0	0.7594411285946826	0.8879408572978839	-0.44123711340206184	0.19073521432447096	0.7253933803581117	0.5656266956049919	0.7241318502441672
NefAC	0.7594411285946826	1.0	0.9360553445469344	-0.763781877373847	0.21044492674986434	0.9491589799240369	0.8408030385241454	0.9503798155181769
NefOPC	0.8879408572978839	0.9360553445469344	1.0	-0.7021025501899077	0.20933260987520347	0.9024823657080846	0.769872490504612	0.8892837764514379
NefNPC	-0.44123711340206184	-0.763781877373847	-0.7021025501899077	1.0	0.10945469343461747	-0.7663185024416712	-0.6074877916440586	-0.750854584915898
VerPN	0.19073521432447096	0.21044492674986434	0.20933260987520347	0.10945469343461747	1.0	0.3359875203472599	0.5572843190450353	-0.03373575691806837
VerNL	0.7253933803581117	0.9491589799240369	0.9024823657080846	-0.7663185024416712	0.3359875203472599	1.0	0.8675935973955508	0.8578811720021704
VerCL	0.5656266956049919	0.8408030385241454	0.769872490504612	-0.6074877916440586	0.5572843190450353	0.8675935973955508	1.0	0.704747693977211
VerMES	0.7241318502441672	0.9503798155181769	0.8892837764514379	-0.750854584915898	-0.03373575691806837	0.8578811720021704	0.704747693977211	1.0
