G1	G2	Consistency
NefNPC	NefMES	0.019270318567167353
NefNPC	VerPN	0.007274610818962468
NefNPC	VerMES	0.02363571768392581
NefMES	VerPN	0.012155154845678405
NefMES	VerMES	0.005575193520869213
VerPN	VerMES	0.012652905037389353
