Name,Term,ES,NES
ACH-000623,MES1,8421.42774681527,0.9546735772597547
ACH-002680,MES1,8312.533325134164,0.9423290401794183
ACH-000464,MES1,7914.718282207272,0.8972317572083235
ACH-000504,MES1,7871.24391847617,0.8923033973636453
ACH-001329,MES1,7866.843839236029,0.8918045936554498
ACH-000075,MES1,7831.162558156448,0.8877596766563891
ACH-000543,MES1,7801.649359578354,0.8844139885248746
ACH-000036,MES1,7780.738797472541,0.882043516233449
ACH-000137,MES1,7750.420908831928,0.8786066064749531
ACH-000863,MES1,7705.646089450391,0.8735308238077806
ACH-000469,MES1,7681.095891903773,0.8707477535708927
ACH-000075,MES,7657.14284968293,0.8680323783173469
ACH-001609,MES1,7654.945879720277,0.8677833244470965
ACH-000075,MES2,7637.573566748872,0.865813956702303
ACH-000445,MES1,7634.713664915922,0.8654897512592881
ACH-000479,MES1,7628.84800419515,0.8648248056619802
ACH-002680,MES,7628.15547554988,0.8647462989266603
ACH-000102,MES1,7601.593807792864,0.8617352035236077
ACH-000368,MES1,7584.618037684173,0.8598107888443353
ACH-001611,MES1,7558.624631090943,0.8568641129119898
ACH-000036,MES,7543.5564808316485,0.8551559506688158
ACH-001623,MES1,7508.548216000396,0.8511873284321947
ACH-000370,MES1,7489.415109825657,0.8490183528778018
ACH-000036,MES2,7450.767917197216,0.8446372129159238
ACH-000863,MES,7437.832768800319,0.843170852963228
ACH-000609,MES1,7409.30866722153,0.8399372912785551
ACH-000623,MES,7395.473168444974,0.8383688654121475
ACH-000543,MES,7393.609905789854,0.8381576414157164
ACH-000027,MES1,7384.909128224432,0.8371713000620826
ACH-000504,MES,7383.857014708898,0.8370520299093537
ACH-000244,MES1,7366.933304316575,0.8351335168464283
ACH-001605,MES1,7341.825645858968,0.8322872514818167
ACH-000455,MES1,7321.219240524897,0.8299512591434414
ACH-000595,MES1,7313.4406555694,0.8290694597919844
ACH-000368,MES,7293.378427635436,0.8267951567301597
ACH-000863,MES2,7291.865998136864,0.8266237040355378
ACH-000231,MES1,7268.278782188259,0.8239497997399428
ACH-001622,MES1,7259.750476651645,0.8229830102359085
