""	HILPDA	ADM	DDIT3	NDRG1	HERPUD1	DNAJB9	TRIB3	ENO2	AKAP12	SQSTM1	MT1X	ATF3	NAMPT	NRN1	SLC2A1	BNIP3	LGALS3	INSIG2	IGFBP3	PPP1R15A	VIM	PLOD2	GBE1	SLC2A3	FTL	WARS	XPOT	HSPA5	GDF15	ANXA2	EPAS1	LDHA	P4HA1	SERTAD1	PFKP	PGK1	EGLN3	SLC6A6	CA9	BNIP3L	RPL21	TRAM1	UFM1	ASNS	GOLT1B	ANGPTL4	SLC39A14	CDKN1A	HSPA9	CHI3L1	ANXA2.1	ANXA1	CD44	VIM.1	MT2A	C1S	NAMPT.1	EFEMP1	C1R	SOD2	IFITM3	TIMP1	SPP1	A2M	S100A11	MT1X.1	S100A10	FN1	LGALS1	S100A16	CLIC1	MGST1	RCAN1	TAGLN2	NPC2	SERPING1	EMP1	APOE	CTSB	C3	LGALS3.1	MT1E	EMP3	SERPINA3	ACTN1	PRDX6	IGFBP7	SERPINE1	PLP2	MGP	CLIC4	GFPT2	GSN	NNMT	TUBA1C	GJA1	TNFRSF1A	WWTR1	CST3	S100B	SLC1A3	HEPN1	HOPX	MT3	SPARCL1	MLC1	GFAP	FABP7	BCAN	PON2	METTL7B	SPARC	GATM	RAMP1	PMP2	AQP4	DBI	EDNRB	PTPRZ1	CLU	PMP22	ATP1A2	S100A16.1	HEY1	PCDHGC3	TTYH1	NDRG2	PRCP	ATP1B2	AGT	PLTP	GPM6B	F3	RAB31	ANXA5	TSPAN7	BCAN.1	PLP1	FIBIN	LHFPL3	OLIG1	PSAT1	SCRG1	OMG	APOD	SIRT2	TNR	THY1	PHYHIPL	SOX2.OT	PTPRZ1.1	VCAN	DBI.1	PMP2.1	CNP	TNS3	LIMA1	PCDHGC3.1	CNTN1	SCD5	P2RX7	CADM2	TTYH1.1	FGF12	NEU4	FXYD6	RNF13	RTKN	GPM6B.1	LMF1	ALCAM	PGRMC1	BCAS1	RAB31.1	PLLP	FABP5	NLGN3	SERINC5	EPB41L2	GPR37L1	DLL3	DLL1	SOX4	TUBB3	HES6	TAGLN3	NEU4.1	MARCKSL1	CD24	STMN1	TCF12	BEX1	OLIG1.1	MAP2	FXYD6.1	PTPRS	MLLT11	BCAN.2	MEST	ASCL1	BTG2	DCX	PFN2	SCG3	MYT1	CHD7	TUBA1A	PCBP4	ETV1	SHD	TNR.1	AMOTL2	DBN1	HIP1	ABAT	ELAVL4	LMF1.1	GRIK2	SERINC5.1	TSPAN13	ELMO1	GLCCI1	SEZ6L	LRRN1	SEZ6	SOX11	STMN2	CD24.1	RND3	TUBB3.1	MIAT	DCX.1	NSG1	ELAVL4.1	MLLT11.1	SOX11.1	NREP	FNBP1L	TAGLN3.1	STMN4	DLX5	SOX4.1	MAP1B	RBFOX2	IGFBPL1	STMN1.1	TMEM161B.AS1	DPYSL3	PKIA	ATP1B1	DYNC1I1	CD200	SNAP25	PAK3	NDRG4	KIF5A	UCHL1	ENO2.1	KIF5C	DDAH2	TUBB2A	LBH	TCF4	GNG3	NFIB	DPYSL5	CRABP1	DBN1.1	NFIX	CEP170	BLCAP
HILPDA	1	0.842522983231666	0.720262716448738	0.740064661054311	0.07435992487078	0.763548725428929	0.802358011842256	0.872639234512507	0.83167592169467	0.71286856786578	0.776239650823405	0.366403054863829	0.282529753028938	0.915788783475483	0.565815859788698	0.687306400046704	0.806046027144184	0.831533853731542	-0.0467607891987725	0.175156281949115	0.39928603658854	0.895655538680591	0.63224916880176	0.428392570018081	0.241972081632137	0.253514672255824	0.693592619828144	0.324398677214973	0.519902168664581	0.173162153899866	0.843497327885669	0.599882549481495	0.555402335608817	0.294960843596114	0.429612082563918	0.562098798202811	0.329160398469002	0.486727717545882	0.63680176532392	0.654325063578289	0.30135332676293	0.281216774717884	0.534454644515185	0.629337494525063	0.586813015841153	0.674895584360906	0.781731842980966	0.26263204196239	0.728753577941389	0.651449337672829	0.173162153899866	0.21001728685276	0.427965071987332	0.39928603658854	0.692541058072724	0.471846385995205	0.282529753028938	0.401675596721393	0.52193583992219	0.374641846377368	0.414829105756945	0.434641115906464	-0.0142778302943539	0.0583319840711329	-0.0241672272216022	0.776239650823405	0.364932766480243	-0.065257941067103	0.0103434967527117	0.61295855382866	0.0957722127142774	0.526130295878102	0.22069438449055	0.370282315500736	-0.0171345754598012	0.358993807964951	0.385613433072329	-0.0312489125617701	0.0714752837692529	-0.0748801696993192	0.806046027144184	0.715482877215606	0.358035999561717	0.49205267788045	0.37053208478409	0.46216663996901	0.330815461480745	0.620328257519177	0.314662132762224	0.487043919419281	0.682451931994884	0.504855103257373	0.0683716451901511	0.421972766089125	0.335946875784573	0.344097390468095	0.488213679419327	0.514594319754723	0.137181572922421	0.547362841865416	0.686727631269791	0.599739762550942	0.433509461179929	0.829429579872823	0.538710644082654	0.392481004507599	0.492933988149691	0.357097747072436	0.389322442223059	0.479472473469383	0.432050388688169	0.497908236174472	0.638939735862872	0.554484645587884	0.622234240162153	0.445599617394295	0.614087620272466	0.475833347952338	0.632668758190836	0.525997286904526	0.525190605453972	0.177909872066861	0.61295855382866	0.447354329291107	0.508733002735322	0.183471427803161	0.179412281516584	0.577404751914538	0.623634069738115	0.474801054523901	0.202309956059587	0.500748588882635	0.548584942693982	0.38341554965491	0.480856629555485	0.573025952710924	0.389322442223059	0.36950928172566	0.596244718105814	0.0676911126657082	0.655391579856143	0.527761489171344	0.635394363698012	0.553537621696021	0.267998414820622	0.569445494935737	0.662572391116876	0.383786968226529	0.556382144415248	0.503486273042547	0.632668758190836	0.477535575227143	0.614087620272466	0.622234240162153	0.468358531224324	0.127576168127944	0.417286392621209	0.508733002735322	0.674612047859794	0.612769465395954	-0.0324905693042897	0.643678018778854	0.183471427803161	0.516158792870949	0.0999016380312688	0.495265168127656	0.514225201878863	0.649757319735454	0.500748588882635	0.49804972896366	-0.00241256709044524	0.531954507192406	0.25507828261114	0.38341554965491	0.552941597700915	-0.0947374747965969	0.608312967681587	0.632348673893344	0.282502863647253	0.454538970766497	0.654611676757965	0.193145422089958	0.392264025544625	0.544681668545089	0.58440778221844	0.284134344527464	0.0999016380312688	0.605278687591111	0.516358953401996	0.385612426517934	0.518668995737674	0.53217666812665	0.655391579856143	0.574817188152912	0.495265168127656	0.459230020149091	0.734363105582667	0.389322442223059	0.4663517493484	0.840276296404835	0.466245485963024	0.220368407460817	0.549766781346764	0.54737837156179	-0.0384782634087034	0.675860151057932	0.525406439474878	0.558418835336041	0.649718783081489	0.307604835640622	0.662572391116876	0.0529080165939747	0.479055616156521	0.449266495053935	0.293368905924263	0.181485218478223	0.49804972896366	0.634779872212655	0.632348673893344	0.373702731127177	0.0346090787180178	0.40039108952036	0.287552245796555	0.43849767945481	0.208610267602551	0.497337519832716	-0.0991034928937517	0.516358953401996	0.326797583924349	0.544681668545089	0.713472212915588	0.220368407460817	0.367806599924488	0.181485218478223	0.734363105582667	0.497337519832716	0.639676389886256	0.597969233370787	0.284134344527464	0.210063092772938	-0.0151521212016073	0.392264025544625	0.424110543829836	0.445866210515387	0.623705218090026	0.385612426517934	0.627346673725968	0.547103869799026	0.684437432435036	0.220932362708137	-0.271799766661985	0.400005507330177	0.650392024178012	0.399921580611655	0.569644361325419	0.614115947589	0.478101115003441	0.872639234512507	0.538461306179755	0.259875952236406	0.39417403440518	0.131090193313085	0.601410499052545	0.330208412195122	0.582989259489435	0.475535877496448	-0.114007541323445	0.479055616156521	0.701667342975358	0.363735254337602	0.571042465379562
ADM	0.842522983231666	1	0.720658148532343	0.885369271734889	0.365300302627768	0.673769681373768	0.770635587334555	0.832035117820068	0.756627944998417	0.778492607145558	0.843419966990768	0.603528720879303	0.566522317180244	0.84733977739043	0.707984622149546	0.821995744288019	0.842057955101347	0.88493041401883	-0.099332083418971	0.431571268796325	0.610513920791071	0.840038375605263	0.769535567174708	0.672992908968083	0.522370671420671	0.310423388412948	0.743392186089476	0.518273276067099	0.492266642586051	0.350306812158832	0.836530821126944	0.743964484159566	0.747812829197209	0.401537554975844	0.638646684740549	0.736284042748078	0.484914625494182	0.707349917706989	0.540078786610137	0.820746897871253	0.550870396343734	0.539633798256015	0.631033682473501	0.58207703362093	0.66527220538081	0.676317701927034	0.692657818382502	0.320717995380778	0.773009186390579	0.561023941902831	0.350306812158832	0.404177028185536	0.633834635766789	0.610513920791071	0.793035017452215	0.463593071339686	0.566522317180244	0.319672760538696	0.395216537171047	0.543953066956861	0.467884300310968	0.49997296682483	0.25969937383689	0.204691319963799	0.232615151979648	0.843419966990768	0.604489405152236	0.190245395085541	0.263370421507594	0.536980520871768	0.347194258383663	0.483405656663146	0.158703862781904	0.526243317557271	0.26438991731587	0.531486315605418	0.410761188067787	0.190393502375037	0.317000933794891	0.148540539265831	0.842057955101347	0.81534184456557	0.52286388307404	0.369668317320012	0.549785186912837	0.515941520915194	0.293535850160287	0.67057430255127	0.487652309654093	0.408219638221344	0.628090948804055	0.57248694416469	0.267549060180162	0.370983452533339	0.491938937233856	0.224736355534581	0.651450056640254	0.508354257681951	0.399550616600843	0.481082385326853	0.725918833179139	0.533761416124254	0.366961404965879	0.73442364263983	0.458210737404625	0.359030877228696	0.46163417269425	0.26640820267059	0.285048439711274	0.374491582185598	0.403624286029399	0.513880241308475	0.609765619495406	0.547505485002483	0.572800628320012	0.412836271849061	0.578353069947766	0.554271112262737	0.557081987306486	0.443297052319835	0.577911192568523	0.0411265751924592	0.536980520871768	0.385967740219239	0.482915712790797	0.162493540077689	0.361974790701393	0.586646934366039	0.613355136260144	0.397251502570021	0.409505151976772	0.453828630950857	0.463642104918054	0.531476825235412	0.549825449088622	0.493312596395557	0.285048439711274	0.353644258944458	0.533628263357192	0.164840678336563	0.60183267672435	0.500094616113095	0.557847256233376	0.505024575744512	0.09115701702141	0.600737401749506	0.534118801588586	0.298782874426012	0.483437291229834	0.432465520479212	0.557081987306486	0.633045353327913	0.578353069947766	0.572800628320012	0.520854081534932	0.320314510862016	0.372396654903401	0.482915712790797	0.674673950957289	0.526125694486584	0.0459609991806647	0.612690954153173	0.162493540077689	0.411018003231902	0.18740359991434	0.465040496559166	0.659065215809576	0.560479395975335	0.453828630950857	0.520843009436591	0.304978791898905	0.430772639780928	0.281185715325136	0.531476825235412	0.384404561244377	0.152378531172558	0.559848378392282	0.644169361116919	0.477563471163223	0.411851861651112	0.45751966639043	0.292893380869542	0.581889814503528	0.635761180878112	0.519297229473408	0.356905638976547	0.18740359991434	0.517896249549567	0.500825805984052	0.377526487478895	0.561826309548836	0.490052366711348	0.60183267672435	0.525045374034175	0.465040496559166	0.362164766188011	0.656062664050392	0.285048439711274	0.446056736882943	0.790124418076595	0.597427419519505	0.156677091463571	0.49807647455186	0.556234468506207	-0.130326335291179	0.736257584746847	0.481007756508165	0.48192199548546	0.606423571318261	0.0684315275285571	0.534118801588586	0.0967148287973608	0.528801691241453	0.438290594554426	0.209748680622879	0.274695052958227	0.520843009436591	0.51874793660842	0.644169361116919	0.374658526421621	0.312834948948999	0.499115238687119	0.188087155576616	0.430492661615638	0.132303378945585	0.471547583133484	0.0580574041916526	0.500825805984052	0.586128702646289	0.635761180878112	0.821066982168745	0.156677091463571	0.197626744342097	0.274695052958227	0.656062664050392	0.471547583133484	0.66784682772879	0.602749072603919	0.356905638976547	-0.0630901780671675	0.132735077097143	0.581889814503528	0.39480039882561	0.481414404483596	0.495979125344436	0.377526487478895	0.573001220231513	0.475188577965834	0.658343372515141	0.204469159029555	-0.407209586218748	0.369545337049105	0.53645797534747	0.416647346501271	0.468956999708674	0.600371591123801	0.41601367648594	0.832035117820068	0.449425386854802	0.508119874301487	0.360911437880208	0.25397495520114	0.553462273909909	0.165455026378575	0.519804964268757	0.444813547939629	0.00935180377314762	0.528801691241453	0.654387757537726	0.505794014682465	0.711288565053179
DDIT3	0.720262716448738	0.720658148532343	1	0.608055195991958	0.371442585130776	0.818151137880984	0.776108942545588	0.881974019968314	0.850005133427412	0.878247611805905	0.600947627824499	0.571835055068591	0.492797959512931	0.787615009624098	0.731180668173814	0.826869912047277	0.813194720248337	0.868379064933974	-0.208229296092143	0.343340736780562	0.657958149768967	0.827411150724618	0.790878834145431	0.499304039532855	0.3925365141986	0.564763579065854	0.876839154620847	0.667046041811119	0.771497629276814	0.518967798599394	0.791687384911289	0.79214953717191	0.651959373163937	0.66086795473036	0.545136055957522	0.757904255970809	0.559723761211938	0.432793513418377	0.667264703792061	0.786455027581028	0.561416785703707	0.5154074719121	0.726758874718201	0.639903583592473	0.861765283593825	0.398193925070365	0.692640419370823	0.416208948038499	0.914833994735433	0.727745441818424	0.518967798599394	0.603770725314469	0.701393991560473	0.657958149768967	0.740638540852736	0.638048216256199	0.492797959512931	0.6618352535036	0.701818326134552	0.526127995182343	0.627656836272999	0.733011446824163	0.229171010428191	0.255384418940593	0.237772592904252	0.600947627824499	0.569856312922232	0.154123033731938	0.373556205566016	0.781450007750469	0.423261011920768	0.784946346336962	0.492811044720061	0.665508601870063	0.277464052347731	0.554113514603235	0.70234345994158	0.256307573113954	0.319963367171775	0.254089127228188	0.813194720248337	0.630547516700894	0.611412486278507	0.616754989418237	0.556578853902656	0.756332880767305	0.636825540253692	0.791736562283141	0.589621158808688	0.61911895431077	0.801403798276146	0.674113692691253	0.415404567283704	0.664951258322407	0.679489211031031	0.497386571291321	0.677079951190739	0.759328961819666	0.423912396407579	0.670594433639163	0.703804401748644	0.619983872122728	0.652014733655642	0.75379823300814	0.696524568986218	0.446083659397393	0.614040599802888	0.628768359911642	0.387250953278909	0.701297074751618	0.682679557081556	0.686015134551878	0.681602975259756	0.651972314577582	0.757950845059932	0.65865756127975	0.696250642397394	0.67826351536534	0.69962878273926	0.680006148609416	0.707268243007539	0.104914215167904	0.781450007750469	0.668332418327457	0.731382108408996	0.473282882909828	0.464002595184816	0.75633273697382	0.696198589155843	0.666698492958002	0.433770877735563	0.732859600904058	0.643974520944815	0.563669023058436	0.74651768127829	0.760855329662381	0.387250953278909	0.388513460076745	0.695621402107265	0.276006225594462	0.661845606634516	0.759979914926023	0.652733125906438	0.644973022904289	0.308739279117246	0.817042058731586	0.591871669158518	0.629154157831755	0.646717525463669	0.689263716963806	0.69962878273926	0.599483666354251	0.696250642397394	0.757950845059932	0.719869153680437	0.310027381155404	0.685956466810019	0.731382108408996	0.591999955711605	0.705106739341811	0.179311338490151	0.700647847167081	0.473282882909828	0.710631860207425	-0.00767210414735839	0.574564111619405	0.634307428745295	0.818153150989774	0.732859600904058	0.428848970539303	0.343293860104469	0.751074209229298	0.415188014295373	0.563669023058436	0.734915560151834	0.221131948065244	0.613534396894694	0.63906756827099	0.570438964123238	0.601692334283041	0.590621122851413	0.271054026375751	0.536656122769727	0.767716292003155	0.559082010888618	0.617386242817156	-0.00767210414735839	0.705099837254534	0.713660007206929	0.69481558341762	0.745734294372297	0.763294642341027	0.661845606634516	0.717590314530993	0.574564111619405	0.735339310093672	0.820044754284255	0.387250953278909	0.594460384751104	0.674329136647113	0.599799293053711	0.3985479234442	0.68722113051013	0.643018581856886	0.071234254139691	0.70965075725963	0.734835323387234	0.645911706774025	0.668246142236489	0.291103014889437	0.591871669158518	0.1123808611063	0.661418108603768	0.693676451429868	0.546639273049161	0.442578981726961	0.428848970539303	0.477766919000029	0.63906756827099	0.730135577125217	0.258129580361721	0.634903165153432	0.238134768309654	0.497749190875201	0.295466709076158	0.759235208467481	-0.060803337151565	0.713660007206929	0.459090609739018	0.767716292003155	0.614577237088711	0.3985479234442	0.38823636157368	0.442578981726961	0.820044754284255	0.759235208467481	0.677132435812745	0.668690176518006	0.617386242817156	0.0902499625083747	0.216418140610086	0.536656122769727	0.713355452605811	0.743361558077182	0.392764137352388	0.69481558341762	0.734847402039969	0.724175624761123	0.601895226890302	0.520375968197483	-0.271123066786844	0.411750125566662	0.784810749080656	0.198706739297125	0.681491966689376	0.697593529753316	0.742416691087593	0.881974019968314	0.643978690955879	0.512559498149234	0.714490270789015	0.258178901527058	0.725699116734139	0.253109265616947	0.769060042119988	0.636795646150489	-0.0683736865058995	0.661418108603768	0.795535729948933	0.633414758790743	0.653548434966089
NDRG1	0.740064661054311	0.885369271734889	0.608055195991958	1	0.47890822783445	0.593756228055317	0.715328299219288	0.717281302331841	0.613183015458662	0.655363971507033	0.856329170895393	0.674556950703855	0.540519709916775	0.746800810650151	0.739768302681835	0.773886614235727	0.735557166681669	0.811260841669281	-0.0436311193026475	0.537790078192021	0.584285557756235	0.663463139546688	0.680038789730499	0.783639263558791	0.601649483824527	0.311170251773765	0.589285257227851	0.445869949145996	0.414803798103594	0.301224775387387	0.740238363584127	0.663808387704047	0.781862407465298	0.337807132099336	0.573225250481061	0.665557204067975	0.414658854270767	0.815937868560676	0.38639884697752	0.808812470001084	0.588724175049587	0.517086260848859	0.565627490323417	0.438339484339308	0.521584840025434	0.772997539118299	0.554910418096813	0.310443807087811	0.63447235987253	0.378028326741361	0.301224775387387	0.333379586904325	0.590701766848067	0.584285557756235	0.756366672236268	0.252680957630099	0.540519709916775	0.159262931851378	0.223562489341308	0.463188148886075	0.332477138992796	0.373534924130243	0.370350042232146	0.263108573571505	0.33681466946623	0.856329170895393	0.604811358765033	0.345329975851322	0.328378161910889	0.348885988734068	0.397311752040214	0.314684276958906	-0.0304597739163795	0.428571449113355	0.368123831498193	0.460281076000896	0.314814410062783	0.270798649146485	0.361539096442003	0.182698537821569	0.735557166681669	0.804784814487711	0.447747892059407	0.193125866176005	0.416258844377775	0.365404840491325	0.125776161283374	0.590840239974071	0.506632762080163	0.25550146683734	0.44772704200409	0.431920511437025	0.254757191759253	0.191903765347438	0.430084012781515	0.0231668567796348	0.551084792429791	0.308252394377215	0.360835083539701	0.309791703633575	0.580658223304955	0.350660400338317	0.182023139822772	0.564418187115011	0.23529503115861	0.214150928338651	0.274291536689339	0.079409952062128	0.172896854920139	0.159293272276702	0.217543294061415	0.346406413879637	0.433244593580656	0.383139466163811	0.361003753297544	0.214795975738013	0.400833973453997	0.452467769409316	0.387693118245121	0.235098177877717	0.473047061594514	0.107125403388411	0.348885988734068	0.162546887460604	0.25611097017355	0.00307487988211235	0.245959043589269	0.37098172701152	0.436924125066972	0.221672467775161	0.402405061070531	0.283980773085541	0.298903660953368	0.44667663059655	0.424922833226303	0.27036137315876	0.172896854920139	0.424861289614746	0.309746840066272	0.243647339132414	0.392193566737001	0.311924161015343	0.344799521685352	0.507091175710174	0.128492132627058	0.51475177362074	0.56859388121464	0.102587017346383	0.327305750100152	0.259252032305219	0.387693118245121	0.554687825782114	0.400833973453997	0.361003753297544	0.43597566324026	0.387729210409843	0.244897703876874	0.25611097017355	0.531177538191461	0.331627750877212	0.115941837260861	0.440392567717385	0.00307487988211235	0.196897281699202	0.0801827989713925	0.263703591012217	0.619871569410984	0.38357861146684	0.283980773085541	0.412176115959668	0.320391296582978	0.240753000466754	0.21468194750445	0.44667663059655	0.272980859074045	0.269001805758584	0.3824644413977	0.493480259599006	0.389084607798956	0.261580048826516	0.464656002233771	0.17639606937633	0.368624232825809	0.512349128280756	0.31220369555008	0.199617279260464	0.0801827989713925	0.387711667604679	0.295600868397614	0.220900152967509	0.373843361155455	0.335036950611827	0.392193566737001	0.308538112031805	0.263703591012217	0.183240438431346	0.512984983071193	0.172896854920139	0.260769772538838	0.619895446281615	0.518244517370109	0.1160586664546	0.311478688798976	0.413339261459406	-0.349837674837383	0.622579919699966	0.276722509345858	0.310213449924925	0.387109316696235	-0.022847042927353	0.56859388121464	0.192713205654536	0.417903985639057	0.268583510510872	0.00830335478827991	0.318940503363127	0.412176115959668	0.43884634485561	0.493480259599006	0.204681110626367	0.433778211203295	0.354558354128268	0.136067271409875	0.204881867392682	-0.0950003292870805	0.217697296883794	0.134864750303956	0.295600868397614	0.585059022911766	0.512349128280756	0.731616937607144	0.1160586664546	0.0559033523030773	0.318940503363127	0.512984983071193	0.217697296883794	0.521196022442137	0.475396790932038	0.199617279260464	-0.0798403822201062	0.125067859416312	0.368624232825809	0.188455166197948	0.293794678433192	0.434780932112058	0.220900152967509	0.396168018660943	0.284938581488774	0.494755995397458	0.0826161153959972	-0.252872475474564	0.195788429210993	0.329471423776943	0.266092999324592	0.274459775066727	0.414188793368474	0.221234329026527	0.717281302331841	0.287019273215961	0.503155548027168	0.155320545874579	0.233207724931116	0.370349898438662	0.0783982492849378	0.318393142316151	0.263530737717978	0.0237306200632077	0.417903985639057	0.484665862765224	0.38131558960074	0.574722572039817
HERPUD1	0.07435992487078	0.365300302627768	0.371442585130776	0.47890822783445	1	0.19609908406426	0.228170639153413	0.289809010617423	0.162842958246111	0.461439620109116	0.416176882091355	0.772201354592146	0.830276523499163	0.167540260018883	0.620460259938359	0.506116112088747	0.436880555641033	0.381646170822634	-0.124015618740388	0.894245499767198	0.759156265844244	0.166917202848606	0.531853851752943	0.758650544157685	0.852110270047041	0.589712036291175	0.326788668728282	0.670632682706159	0.168649914342221	0.705998258948484	0.281232160620774	0.613743091082532	0.708975503054317	0.632023988204333	0.58859490470662	0.643298835359048	0.30003085808187	0.701682153704307	-0.00156238816685984	0.648601651496933	0.867015758903189	0.749498088840792	0.58837691378344	-0.0225528577660992	0.435629408528507	0.170376155129013	0.0727715820360525	0.461032253166261	0.443034773003291	0.123137407041107	0.705998258948484	0.647051989109657	0.760543585387016	0.759156265844244	0.534851083153184	0.121024361779807	0.830276523499163	0.182851534089553	0.126206822770791	0.554779566025511	0.377459192127939	0.525760027654363	0.888101347948887	0.682143351176188	0.884068803457025	0.416176882091355	0.793988080670446	0.877640371918973	0.837534787238846	0.22363841230136	0.87460676076704	0.264712158515637	0.00855082337587416	0.657200358103295	0.911594039932601	0.501763339505908	0.437955987114953	0.827476720553754	0.836768080377107	0.813265754229901	0.436880555641033	0.446749102512964	0.669855047539564	0.0753099684258266	0.571343568937041	0.467088978545724	0.221940642624588	0.496321618861564	0.75133030542599	0.0499705367149343	0.242315172887221	0.294057327730838	0.759928724445381	0.195918479447166	0.683639809974034	0.00479982670008571	0.635388899545584	0.256696534490737	0.792649363325587	0.154672324844437	0.342325986157289	0.0775426498666028	0.205535531513924	0.0874794986438836	0.116574816181598	0.0858157259282925	0.1605685766947	0.187307981775039	0.113974454799812	0.15053207903235	0.222956399802255	0.30914980951677	0.181207830763121	0.236424097602416	0.175355579719252	0.226963061466826	0.214925677461435	0.40868020875363	0.159319155103993	0.0913855048689912	0.458731844994074	-0.0129448414654393	0.22363841230136	0.13368235846623	0.20948091313452	0.0645530654038915	0.438031478694551	0.268240994429728	0.228931306688784	0.184384228845606	0.760321999626712	0.239365105750043	0.129627525984202	0.609474150101418	0.518436337879029	0.170804659714156	0.113974454799812	0.181309780343948	0.131554358682495	0.259328229919458	0.102097831910593	0.223981934936899	0.0659044365754259	0.37678810793369	-0.0666085932712126	0.474820610437854	0.20672493622384	0.158291750654045	0.118550682458259	0.184286593069327	0.159319155103993	0.540306032798144	0.214925677461435	0.175355579719252	0.3956029102651	0.782897145382978	0.263294354754057	0.20948091313452	0.149540196948911	0.129033802684854	0.574921294636014	0.198452839619361	0.0645530654038915	0.109787188518148	-0.22136518877828	0.0241981428208658	0.608973748773801	0.228097448269575	0.239365105750043	0.24771663135578	0.85677579345964	0.182984686856614	0.133046503675793	0.609474150101418	0.164717593909368	0.871607228671041	0.110653907726495	0.200545178618829	0.731229270371726	0.192161299478979	0.10067555342685	-0.00965199388360032	0.326878395862889	0.460488857586645	0.0110738238627589	0.273471194857715	-0.22136518877828	0.18197281210304	0.117265600083285	0.365344734814617	0.389707233588778	0.274987209569514	0.102097831910593	0.182003440115334	0.0241981428208658	0.220162194222494	0.247370808024482	0.113974454799812	0.116221371795598	0.0450334035980479	0.579046298338696	0.232806363739493	0.131708217711389	0.248631157920044	-0.404931990051217	0.329290531572879	0.246270787864635	0.102947795200116	0.0877217906660198	-0.207499696519318	0.20672493622384	0.0530177311610317	0.285001419241696	0.33495973351041	0.0723773003003271	0.681206573563001	0.24771663135578	-0.13050213447007	0.200545178618829	0.325262588472536	0.817799994190743	0.467388931755324	-0.027437691339601	-0.00151185122258031	-0.164943637267705	0.16789010956776	0.23318208323436	0.117265600083285	0.71718884312102	0.460488857586645	0.289403081609417	0.232806363739493	-0.0694615059531444	0.681206573563001	0.247370808024482	0.16789010956776	0.31472683983045	0.262144294461449	0.273471194857715	-0.382153333106586	0.399695714353482	0.326878395862889	0.242655244479121	0.31224611462814	-0.0265441021325566	0.365344734814617	0.205618787941708	0.209788942798664	0.0817615507149556	0.253173594109529	-0.201080957471624	-0.0381722201065207	0.0852072739947469	-0.111274518875854	0.100823965427445	0.189430804993315	0.199667750773681	0.289809010617423	0.114982590922777	0.814172947326433	0.256670507869961	0.487543601779473	0.236273258236707	-0.270355431020784	0.210765156767971	0.245939973440641	0.223165792794716	0.285001419241696	0.254529566672581	0.592924670331867	0.465741202211314
