G1	G2	Consistency
VerMES	VerCL	0.07026792123595943
VerMES	VerNL	0.06828464739720302
VerMES	VerPN	0.19747977220501547
VerCL	VerNL	0.003153600180414745
VerCL	VerPN	0.04146761325183601
VerNL	VerPN	0.04057788298737813
