G1	G2	Consistency
NefNPC	NefMES	0.021347176417993552
NefNPC	VerPN	0.0026482172720777575
NefNPC	VerMES	0.05544384355576076
NefMES	VerPN	0.022903633562204817
NefMES	VerMES	0.031554224494101335
VerPN	VerMES	0.04169543157943001
