""	HILPDA	ADM	DDIT3	NDRG1	HERPUD1	DNAJB9	TRIB3	ENO2	AKAP12	SQSTM1	MT1X	ATF3	NAMPT	NRN1	SLC2A1	BNIP3	LGALS3	INSIG2	IGFBP3	PPP1R15A	VIM	PLOD2	GBE1	SLC2A3	FTL	WARS	XPOT	HSPA5	GDF15	ANXA2	EPAS1	LDHA	P4HA1	SERTAD1	PFKP	PGK1	EGLN3	SLC6A6	CA9	BNIP3L	RPL21	TRAM1	UFM1	ASNS	GOLT1B	ANGPTL4	SLC39A14	CDKN1A	HSPA9	CHI3L1	ANXA2.1	ANXA1	CD44	VIM.1	MT2A	C1S	NAMPT.1	EFEMP1	C1R	SOD2	IFITM3	TIMP1	SPP1	A2M	S100A11	MT1X.1	S100A10	FN1	LGALS1	S100A16	CLIC1	MGST1	RCAN1	TAGLN2	NPC2	SERPING1	EMP1	APOE	CTSB	C3	LGALS3.1	MT1E	EMP3	SERPINA3	ACTN1	PRDX6	IGFBP7	SERPINE1	PLP2	MGP	CLIC4	GFPT2	GSN	NNMT	TUBA1C	GJA1	TNFRSF1A	WWTR1	CST3	S100B	SLC1A3	HEPN1	HOPX	MT3	SPARCL1	MLC1	GFAP	FABP7	BCAN	PON2	METTL7B	SPARC	GATM	RAMP1	PMP2	AQP4	DBI	EDNRB	PTPRZ1	CLU	PMP22	ATP1A2	S100A16.1	HEY1	PCDHGC3	TTYH1	NDRG2	PRCP	ATP1B2	AGT	PLTP	GPM6B	F3	RAB31	ANXA5	TSPAN7	BCAN.1	PLP1	FIBIN	LHFPL3	OLIG1	PSAT1	SCRG1	OMG	APOD	SIRT2	TNR	THY1	PHYHIPL	NKAIN4	PTPRZ1.1	VCAN	DBI.1	PMP2.1	CNP	TNS3	LIMA1	PCDHGC3.1	CNTN1	SCD5	P2RX7	CADM2	TTYH1.1	FGF12	TMEM206	NEU4	FXYD6	RNF13	RTKN	GPM6B.1	LMF1	ALCAM	PGRMC1	HRASLS	BCAS1	RAB31.1	PLLP	FABP5	NLGN3	SERINC5	EPB41L2	GPR37L1	DLL3	DLL1	SOX4	TUBB3	HES6	TAGLN3	NEU4.1	MARCKSL1	CD24	STMN1	TCF12	BEX1	OLIG1.1	MAP2	FXYD6.1	PTPRS	MLLT11	NPPA	BCAN.2	MEST	ASCL1	BTG2	NXPH1	PFN2	SCG3	MYT1	CHD7	TUBA1A	PCBP4	ETV1	SHD	TNR.1	AMOTL2	DBN1	HIP1	ABAT	ELAVL4	LMF1.1	GRIK2	SERINC5.1	TSPAN13	ELMO1	GLCCI1	SEZ6L	LRRN1	SEZ6	SOX11	STMN2	CD24.1	RND3	TUBB3.1	MIAT	NSG1	ELAVL4.1	MLLT11.1	DLX6.AS1	SOX11.1	NREP	FNBP1L	TAGLN3.1	STMN4	DLX5	SOX4.1	MAP1B	RBFOX2	IGFBPL1	STMN1.1	TMEM161B.AS1	DPYSL3	SEPT3	PKIA	ATP1B1	DYNC1I1	CD200	SNAP25	PAK3	NDRG4	KIF5A	UCHL1	ENO2.1	KIF5C	DDAH2	TUBB2A	LBH	TCF4	GNG3	NFIB	DPYSL5	DBN1.1	NFIX	CEP170	BLCAP
HILPDA	1	0.953402787442591	0.901588985667559	0.88950765784573	0.858314279844391	0.836581554053769	0.735017736163417	0.936973167265232	0.959845788742144	0.820069032371953	0.863040147583957	0.688234493171169	0.721468356748791	0.926506189597428	0.942798202917096	0.856292591702258	0.746793380652259	0.929729588065075	0.878791614175434	0.827221094577	0.704349075581952	0.939636076854996	0.943101974272819	0.740852246745242	0.843173308125492	0.862418446548713	0.885383970729021	0.813420464260475	0.85038527883073	0.691444817782373	0.911838648127095	0.788245217348345	0.930855988157616	0.792773531284774	0.896948730600837	0.841020760922544	0.975883132977989	0.75150436708979	0.836259949234878	0.896680565923264	0.720934798810219	0.726965100033076	0.853078712448058	0.891182677923438	0.898600494878603	0.943396407159653	0.920007277980914	0.525983958317895	0.867151001836967	0.673613824789839	0.691444817782373	0.712987581041342	0.738058116605545	0.704349075581952	0.75265824035532	0.532212656818498	0.721468356748791	0.649778919280082	0.535819354247889	0.602604770089908	0.577960249451591	0.687367943506481	0.531920513362746	0.4846038169636	0.738681625086381	0.863040147583957	0.840466658352417	0.683422771766013	0.552528586258232	0.545886103213578	0.756983819144584	0.603316843404721	0.6689422406662	0.655726981728533	0.691804137965937	0.512468241674755	0.58997120739173	0.513578736246092	0.565289935359721	0.429999198699121	0.746793380652259	0.862230652951769	0.662027255074554	0.276766431638492	0.639977804568138	0.634828392078327	0.361785539350802	0.750268315298039	0.73329344903395	0.261619736341887	0.718590843119145	0.730466828882911	0.621075719318159	0.471524297189844	0.606425770318249	0.678669069364339	0.65023602227014	0.662816747308864	0.257190590920237	0.317141211506681	0.550309404561149	0.530574689375413	0.344330254048527	0.491786906984633	0.559041535702171	0.42344684694129	0.315346177041706	0.359976045321096	0.330338877973926	0.433045286754255	0.45820446493421	0.65136127764714	0.51367344639508	0.318141572393317	0.408286535554563	0.375978325112468	0.435630355687218	0.509000235570409	0.526020890456145	0.412301474694858	0.614656034066734	-0.00190618844309837	0.545886103213578	0.425553304281658	0.456340248017684	0.423948955326572	0.417629944794587	0.661711795570674	0.516350213067711	0.455906099586637	0.623027881053211	0.50584955666372	0.53881242389901	0.609819791649722	0.773358613472338	0.38177528510948	0.330338877973926	0.359787829986848	0.546283801491866	0.451708456970661	0.487982776248478	0.73676705821963	0.430763205950593	0.434313874142802	0.538478108185961	0.72748299344319	0.566303354043507	0.409550903993912	0.423038819569161	-0.0951754335966523	0.526020890456145	0.596846007443061	0.435630355687218	0.408286535554563	0.565854400617905	0.463546834831404	0.590728346349954	0.456340248017684	0.291235228742043	0.466418564635158	0.541840979731908	0.483412626982508	0.423948955326572	0.495143393695991	0.606236350020273	0.393462037162152	0.475525439495458	0.722313458059129	0.639527087885837	0.50584955666372	0.628175787338362	0.555516354068952	0.611621573911571	0.697899114984031	0.138042648404175	0.609819791649722	0.589806428601983	0.496250936106196	0.36823595117728	0.458484902708216	0.644630892498558	0.393967469594247	0.768577303458507	0.639049037249587	0.824380513085605	0.388387965991212	0.538248440626316	0.278163607651728	0.393462037162152	0.557260659560996	0.729880690516514	0.353224693803655	0.617793217379674	0.453305125132471	0.487982776248478	0.498800097120076	0.475525439495458	0.627753929537336	0.578814448238072	0.539028307160432	0.330338877973926	0.545859955500689	0.476834994074591	0.631881291793414	0.468079728979735	0.579001338112219	0.42771143905059	0.198269153309865	0.722321832557035	0.497754489845469	0.50462314458179	0.52844967559364	0.441467582355725	0.566303354043507	0.638194940236811	0.720010712127538	0.591630803933724	0.602347088596765	0.407190203362449	0.628175787338362	0.628297062235686	0.458484902708216	0.566926818335451	0.519839607278222	0.5991971929165	0.405351424116946	0.469135275855359	0.544979066767643	0.514670493631465	0.581543989643109	0.729880690516514	0.666027011671881	0.388387965991212	0.724250256506653	0.35436824240116	0.407190203362449	0.578814448238072	0.0475254417742952	0.514670493631465	0.701650679810411	0.742225001671887	0.278163607651728	0.403703082344533	0.351537964220385	0.824380513085605	0.659463453751383	0.763870307344073	0.261967988383765	0.353224693803655	0.623409191824803	0.753640044800551	0.48266270972621	0.440186022300264	0.462103348533951	0.655182631466922	0.371156446511033	0.556052562927724	0.56954176956115	0.670019578702802	0.70075560513713	0.46480361199927	0.936973167265232	0.702072236370505	0.791537479493024	0.471752698064407	0.448074558335608	0.56534584567668	0.504788405747944	0.52894467469293	0.495318083030321	0.720010712127538	0.613767975799509	0.600393480905241	0.660920977876263
ADM	0.953402787442591	1	0.909561688419274	0.904722734833875	0.825457630161688	0.801433665843074	0.765563146760556	0.918065840423039	0.925270137805677	0.763514903292624	0.844360378141717	0.665282705577355	0.637718136089808	0.939032329779293	0.933288448434481	0.831614332079568	0.679810109766171	0.88479649066364	0.829910935106076	0.785475788965063	0.633461420977575	0.886542242112157	0.936698375287158	0.707052712945709	0.810215863226977	0.802399384022542	0.818091084413131	0.749222467030686	0.820473287875754	0.627735493592304	0.889998801061091	0.740710784003625	0.899791240034197	0.75936850260965	0.868682872223839	0.801556813136033	0.947453700774972	0.750800849017442	0.839949728913285	0.835974553576001	0.677288843662584	0.654346394537658	0.790973194979398	0.859464959956043	0.86786590681654	0.932471724019928	0.887581342582635	0.435460154560697	0.805776596110016	0.594027235795134	0.627735493592304	0.632823934917499	0.665129072702089	0.633461420977575	0.719329064146846	0.43692761963633	0.637718136089808	0.54689303115253	0.455961708662665	0.520876659310363	0.516188988920961	0.64869463266982	0.466705285754136	0.417969865062137	0.696948549856278	0.844360378141717	0.808449868387837	0.664329278027908	0.512737912556987	0.472166301863898	0.726207117600242	0.516301894022235	0.577181541642643	0.598647247471233	0.648790487534349	0.436908340216689	0.490888787270281	0.464883561342595	0.488649964664439	0.35391809018069	0.679810109766171	0.835484253835249	0.599997047838867	0.172224200371008	0.560172996642369	0.575196183156896	0.281490371436094	0.716978360658898	0.699111881484587	0.217565418986975	0.627451182400782	0.658961987549231	0.545773077615931	0.430300319134643	0.529741456957792	0.574239682949944	0.572892593750697	0.580186660931039	0.172250950565761	0.238331703619892	0.456853683062006	0.44589273051408	0.269431395691411	0.435659154320307	0.45669770050747	0.321531858337234	0.209339011122418	0.275084663763909	0.234297605556329	0.345177283300829	0.385515247163758	0.588130143312361	0.426775498990542	0.2376487301791	0.312936068841988	0.274296376493327	0.356210593920596	0.412780387528384	0.425669101295878	0.308283402648872	0.530622767428143	-0.061273802992754	0.472166301863898	0.325027277366383	0.35260166730831	0.335308811116513	0.326163618409677	0.581481153463578	0.425612407752496	0.37962526833036	0.529839360260658	0.421145787958918	0.442238798506568	0.527854845249521	0.713211282557367	0.282654607389681	0.234297605556329	0.264013216042164	0.452312596510064	0.353056023835459	0.405717733631923	0.681560379828666	0.348920262127809	0.36503941840321	0.532671101439016	0.672864939833149	0.472200787490349	0.34549057387	0.351770265195992	-0.0120476608086296	0.425669101295878	0.524574331501186	0.356210593920596	0.312936068841988	0.473572253541238	0.378479649066364	0.498990240396288	0.35260166730831	0.249053002253022	0.387792813716825	0.461691190690932	0.389223069632694	0.335308811116513	0.401514579157381	0.542384056883928	0.337879290709516	0.398128209345578	0.63751395498617	0.577584481513145	0.421145787958918	0.532153372603101	0.490806548495874	0.545210299306965	0.64734364160033	0.143277587588557	0.527854845249521	0.520872803426435	0.410852927549748	0.283484767149797	0.380485190694547	0.542504191767567	0.311743998226293	0.707461961250896	0.534239702260231	0.760080515676277	0.299265829654588	0.476047369534059	0.176694387494916	0.337879290709516	0.486987054472193	0.65275042008048	0.284619360995686	0.530867555809401	0.377651417248212	0.405717733631923	0.399696951622514	0.398128209345578	0.549372123525652	0.507993307631457	0.43670284457214	0.234297605556329	0.454163059306507	0.380573454287592	0.535610413537527	0.369613337204228	0.500999457163841	0.399931889389448	0.126138265143965	0.637174275711365	0.412672904763884	0.426435759467551	0.421136449490029	0.365031033667019	0.472200787490349	0.556741259946222	0.656911400824557	0.503033435935995	0.492758167997248	0.317212347246237	0.532153372603101	0.574561101944974	0.380485190694547	0.495352816391845	0.441558837475095	0.518708266834398	0.325571658877629	0.384285405298587	0.466582379453922	0.426536494435176	0.56254950749232	0.65275042008048	0.60111609765267	0.299265829654588	0.733850021779719	0.299426315732885	0.317212347246237	0.507993307631457	-0.0178157774403567	0.426536494435176	0.623268753302354	0.646447254821512	0.176694387494916	0.390925761730285	0.34589783042106	0.760080515676277	0.579816315329368	0.688735818330029	0.252759953969333	0.284619360995686	0.537923702901733	0.679169852289521	0.41294043159032	0.338469069484836	0.395547418033849	0.635871362273168	0.311216945927314	0.467615455105763	0.511400039493708	0.590765588627275	0.648709615133859	0.389007296657852	0.918065840423039	0.613521379972659	0.711189232926116	0.395782928194404	0.418407086150689	0.468089909573497	0.391676399522732	0.433253865975499	0.424467055054616	0.656911400824557	0.522338340560103	0.50392167494778	0.59039764405492
DDIT3	0.901588985667559	0.909561688419274	1	0.878681962476225	0.900026147712888	0.843928338397193	0.804729651610625	0.90185600562959	0.890774014475229	0.858207821299059	0.818044753557806	0.744508287439277	0.709611332924851	0.902072176122318	0.890260519182721	0.847425986609238	0.701759367538639	0.911819127714708	0.757276504834013	0.828966725529145	0.70421833701751	0.906532650600885	0.917390940239221	0.712984869872955	0.859807832384725	0.858063647389054	0.863533158493097	0.796491748107153	0.848316139836979	0.708884980789866	0.836603544641797	0.761299215990351	0.91174538393458	0.81498089228769	0.878097796061094	0.825268149615526	0.905955231982629	0.674640815374855	0.832649456169746	0.871281015013246	0.72048787776366	0.725187838783083	0.84674843550522	0.907040362067501	0.886848604139894	0.879979286673523	0.912207547772293	0.519721520832919	0.848954904834977	0.633405872149734	0.708884980789866	0.709386305948725	0.713096991747806	0.70421833701751	0.747513888713165	0.511749239818508	0.709611332924851	0.61775134489014	0.521015832620899	0.591270519779178	0.580453259155766	0.706183934098124	0.45864823554149	0.473828127588789	0.747396043260608	0.818044753557806	0.833807004574645	0.690903186586826	0.598801061091058	0.523052763554185	0.767392476567974	0.614777012424983	0.611568676003931	0.689198223160487	0.729028479920183	0.522868102862934	0.543262053704028	0.448590523803757	0.505590489462291	0.432657408930348	0.701759367538639	0.836394965420553	0.656422908529396	0.29314646755846	0.634096195869264	0.629112465891995	0.367418021798999	0.693365951701439	0.763098889565677	0.346660834642225	0.677382710336962	0.689903168506537	0.61455927547941	0.551021959861453	0.631937864840424	0.595777746850375	0.616431186630204	0.658555634079025	0.194463432664518	0.268145337904966	0.481993383544172	0.477114425163016	0.310766350905922	0.455029006489332	0.505123927506972	0.363871331563242	0.260584732748082	0.297378541162465	0.255369047253255	0.402415048551001	0.37535655640544	0.62850010332564	0.467746133422019	0.290330889064412	0.363824036736934	0.316781288841253	0.393078206363293	0.443357426583066	0.456984120385516	0.395357094013077	0.559334040647041	0.0477760583456705	0.523052763554185	0.405619107350821	0.381684370596234	0.348061665223723	0.353810486919817	0.616281590383426	0.470731792546215	0.429439975033152	0.543662402902517	0.455869107200201	0.494201835039261	0.557030752481773	0.77098411195077	0.371578520557585	0.255369047253255	0.351880918254658	0.490470062374947	0.369041876097454	0.426816347260907	0.713539936414064	0.386583692864386	0.407680369666665	0.556810547715665	0.733682652317959	0.462983022027004	0.389505850400138	0.401327960600095	-0.0172804709144768	0.456984120385516	0.532999377636235	0.393078206363293	0.363824036736934	0.515496134777603	0.392896799074106	0.554539550223189	0.381684370596234	0.209547111693547	0.405724180187866	0.454020210856603	0.432287797588545	0.348061665223723	0.505160859645223	0.58966888199248	0.323171479930027	0.440019978298603	0.669040505458184	0.596616281108398	0.455869107200201	0.556238669575449	0.482485008745024	0.612466253484604	0.70398352091113	0.125518199073617	0.557030752481773	0.549332299474455	0.479486577005316	0.32734056673059	0.407815876722571	0.591371857228668	0.347318684589297	0.726331212376136	0.55221883683583	0.840443764041593	0.386113162746265	0.555260600517773	0.23464300404122	0.323171479930027	0.535683554835791	0.781871441214941	0.392476085988621	0.574628765737579	0.44286519890035	0.426816347260907	0.446238193614777	0.440019978298603	0.596804315698087	0.579209013610668	0.461875272793073	0.255369047253255	0.526067040566911	0.435020463296504	0.602119290204067	0.391228445931163	0.598771238238801	0.482336660867592	0.227455572439736	0.664211191582605	0.487536819172901	0.476464889465665	0.458863683055981	0.370035252464587	0.462983022027004	0.648088596163034	0.702201709723033	0.552205475234682	0.522184948677582	0.412595435837559	0.556238669575449	0.611058185222863	0.407815876722571	0.55461473995979	0.482292515789543	0.56917835330862	0.339347303218792	0.422403227856833	0.499375587796368	0.481346318022462	0.640652265456293	0.781871441214941	0.644961534545406	0.386113162746265	0.708561749269943	0.385182353515936	0.412595435837559	0.579209013610668	0.125428806103657	0.481346318022462	0.666164377536825	0.709898716773878	0.23464300404122	0.535843472140842	0.482979486216701	0.840443764041593	0.648424299057538	0.719188203887092	0.36857881625537	0.392476085988621	0.600797083505794	0.742481056463998	0.470437508498761	0.423505769667569	0.465976101954391	0.665070229822722	0.428855272156498	0.487185752990871	0.561541813536499	0.622957520554535	0.694964952011457	0.455194146768197	0.90185600562959	0.674855238670178	0.781791793112548	0.470178232209765	0.429977147862906	0.517096808593319	0.420507096447289	0.490684063932965	0.469327375349659	0.702201709723033	0.590061459174925	0.55097942464187	0.647830733925332
NDRG1	0.88950765784573	0.904722734833875	0.878681962476225	1	0.803983549835191	0.724371656602207	0.801223688937632	0.908972641901047	0.931883460728123	0.726847013587773	0.824068728721094	0.636446116130789	0.6218447271691	0.946271450613658	0.916309726286464	0.768519479142379	0.592221597649357	0.781798601157608	0.732244347364533	0.771577556586603	0.549692342636256	0.851971290534227	0.92405264245533	0.728706634108547	0.743485634723681	0.754152395377518	0.778219678142139	0.682457535572035	0.743531176822084	0.568997367756737	0.942421049270364	0.639502446377608	0.85597809616936	0.726578848910201	0.880533750732768	0.786176354876277	0.903541629388101	0.787615021318821	0.889370894462649	0.779969104730025	0.553443213975651	0.57364792526333	0.724860329641927	0.831179279925726	0.792216416305328	0.909655374349094	0.919809483185032	0.352011777315473	0.732114753515632	0.548602874681965	0.568997367756737	0.569835480277455	0.654328922563609	0.549692342636256	0.681350113658203	0.382789382582611	0.6218447271691	0.562067802103987	0.382646052147215	0.499593083749196	0.435088543747112	0.571638527751218	0.455821631629334	0.480784563932664	0.646657219751042	0.824068728721094	0.807000598264491	0.71596438368214	0.415166697694483	0.363770114610125	0.648543771211127	0.457021895998376	0.486991814078917	0.542949847602213	0.646579499590614	0.382991334503353	0.415758636125656	0.434867432903101	0.483072669554965	0.383993322091022	0.592221597649357	0.815906786415962	0.515158443692949	0.118713990412104	0.504023916120065	0.454424054449901	0.209948361279455	0.664873680640029	0.66818070359037	0.143390563085575	0.553194268469533	0.575257068483335	0.529177654429658	0.389158640102036	0.441612639105531	0.485969703596997	0.507910827864304	0.560282467597019	0.000760211615729837	0.0967088825708624	0.364954533706149	0.30701740750849	0.156345549858085	0.326925456726439	0.36623101203096	0.190830527274053	0.0982967837710665	0.140975273541828	0.0671661843799347	0.226355388386921	0.230503786449045	0.52452052987075	0.313092533382014	0.0829723563246437	0.215740380925183	0.146325131747722	0.216643501239004	0.287628818153502	0.32204505238881	0.222760559850247	0.412209053976953	-0.159503030816748	0.363770114610125	0.230433166385609	0.226557280059477	0.200665380970369	0.14343490575075	0.464795538742295	0.31596372095209	0.26402526567944	0.456269637143248	0.296897640138788	0.392226839241572	0.453249636552816	0.637224462450619	0.202725748448157	0.0671661843799347	0.182207806839495	0.331354541899902	0.258572017369299	0.259347475992604	0.55022620181576	0.211466434831645	0.267305585627463	0.587000957683837	0.573472362048221	0.397712662097053	0.227881836437019	0.192949424802949	0.0226126708371557	0.32204505238881	0.460610579220039	0.216643501239004	0.215740380925183	0.378596651044312	0.346850315188387	0.403659414592472	0.226557280059477	0.127215688120815	0.26460461223966	0.384242629086258	0.258629724936189	0.200665380970369	0.365236675962962	0.448367605514155	0.177723359222512	0.275352828441482	0.536586554653239	0.417484385176295	0.296897640138788	0.456818377624788	0.501720386962051	0.454843622819844	0.503118055453073	0.106855286244913	0.453249636552816	0.395693459637631	0.317374371987967	0.154361637328812	0.214492761481647	0.473466156485024	0.165442303023073	0.561160016240503	0.42645569014869	0.701905409142421	0.307451855866792	0.334585652135407	0.060383670576044	0.177723359222512	0.341900022954559	0.71756433451962	0.16115980168707	0.422552522862681	0.243331459614737	0.259347475992604	0.276736126800743	0.275352828441482	0.426268630998535	0.412843648124082	0.393096288478131	0.0671661843799347	0.34055196978433	0.232327489861736	0.508753097509882	0.229232697712853	0.405123264776922	0.322676502991632	0.160937472408841	0.565627927685307	0.308975654310366	0.291107307442278	0.293909149349832	0.373222638570731	0.397712662097053	0.449251325911962	0.530046614021801	0.418554272470013	0.371376508388656	0.270657579702963	0.456818377624788	0.520718086101568	0.214492761481647	0.364877235283025	0.456480505795574	0.405274306980174	0.23742029628975	0.233201389805163	0.350576966756858	0.286211901306241	0.45003721922235	0.71756433451962	0.530245011299547	0.307451855866792	0.789317755562263	0.314353553866707	0.270657579702963	0.412843648124082	-0.0628676146497613	0.286211901306241	0.523041075406028	0.577866864762703	0.060383670576044	0.361302952961174	0.324256797448122	0.701905409142421	0.56265142628544	0.624661691371435	0.186159808954431	0.16115980168707	0.40709645312902	0.611067170100512	0.336822988829564	0.246901044161318	0.344654570035805	0.555053296312579	0.3120880316562	0.3496859563285	0.473531120734358	0.531462062793402	0.551617533608825	0.248247289885956	0.908972641901047	0.545611552228249	0.650674207329674	0.268970256072867	0.4346484909938	0.356040272297703	0.324341502997289	0.319990830226033	0.342675738999781	0.530046614021801	0.41213422572947	0.410924924132471	0.493798714424199
HERPUD1	0.858314279844391	0.825457630161688	0.900026147712888	0.803983549835191	1	0.887635686446749	0.650760100202381	0.898976443561608	0.882538569382715	0.913293461083587	0.779953982435244	0.843964909046325	0.822783152920139	0.786662256499424	0.865206853110704	0.83953052203246	0.75587959038463	0.889968435975156	0.792970783846979	0.947887969702392	0.771861265296261	0.926451966229686	0.871283123699769	0.795289977533451	0.919074334814836	0.927055894049949	0.931026611021442	0.900545848568593	0.876003247562149	0.793537237295314	0.84372108463605	0.785792272688111	0.950517019811411	0.880088215394496	0.886840109145614	0.841770790594776	0.840952499727377	0.706930650120105	0.78484956931584	0.906356484903913	0.763198359321388	0.830346710238155	0.919672539057393	0.915531379966634	0.925044207106756	0.817870214561866	0.90677382409096	0.656352839888637	0.929113369614791	0.730938166683837	0.793537237295314	0.802931074267337	0.852711861241197	0.771861265296261	0.732193015909739	0.647961894227079	0.822783152920139	0.774758299338294	0.643922373826742	0.729111923658318	0.670534479735824	0.753789882040076	0.675281916326114	0.688256845248316	0.836248020093975	0.779953982435244	0.836888458315184	0.832325079934281	0.654271385545617	0.596422763933749	0.85025132530948	0.705527590355711	0.734920812796233	0.770413923114879	0.873393436924065	0.67576932415392	0.704174295593267	0.683510071388076	0.743772054601726	0.650573833851166	0.75587959038463	0.800057476769806	0.722825989380655	0.341005337386831	0.757818678263238	0.692142311036082	0.52132062819579	0.829419791890715	0.769774268120094	0.396025607889139	0.791107548435023	0.793114041569686	0.822321531316104	0.636596073866686	0.708988185933133	0.747864352413331	0.741676200942161	0.789572906631578	0.303673693412644	0.366119191397041	0.64612167362232	0.575603280152259	0.39260555934115	0.508342265126964	0.638978588397043	0.508386547543953	0.413831537636138	0.384912709415165	0.380363368861689	0.533228682233593	0.470045827796796	0.777953682399275	0.581771007488247	0.394576518510351	0.485501514940647	0.465679259140102	0.481199131703138	0.594517897025005	0.591975483807999	0.524619939378275	0.678290289016575	0.147475371570403	0.596422763933749	0.542787297995362	0.516174348611671	0.456366696971504	0.471416513184412	0.720337859779576	0.595554467071655	0.545957678058996	0.729507633746455	0.56681252752589	0.640909964507793	0.719536257659804	0.848726925697719	0.49721888346856	0.380363368861689	0.498591758891578	0.614764119313098	0.471984497640423	0.509980172321863	0.766962304517228	0.48018997458129	0.547100038335633	0.622585774459101	0.819804181344631	0.621301112819822	0.488476148646735	0.504096500739628	-0.162639261965704	0.591975483807999	0.752247648965147	0.481199131703138	0.485501514940647	0.64937447320492	0.632340563718181	0.679468803790334	0.516174348611671	0.297442519006142	0.516284361799999	0.690575978686602	0.590483224152654	0.456366696971504	0.654073108764243	0.69943945087393	0.420430991107053	0.543433821283395	0.82133460577503	0.659423027218323	0.56681252752589	0.679853428212177	0.724288875594122	0.704844797659478	0.73082939787044	0.136476493393498	0.719536257659804	0.631198981082672	0.593724368162207	0.441644691140685	0.569622322194046	0.78358387541639	0.470972664795358	0.804674584764957	0.687088117690686	0.87364226193381	0.534080748323524	0.616939500578684	0.347746314327876	0.420430991107053	0.616593073507005	0.83266385548629	0.47280818604158	0.722894792809499	0.532365265474596	0.509980172321863	0.573688773533695	0.543433821283395	0.719507459026715	0.683301070429527	0.645591867990476	0.380363368861689	0.64447430746216	0.542202227857436	0.789464761137028	0.521069457822151	0.693019343885201	0.608410696438609	0.254700203112426	0.814543189213647	0.595421981309808	0.599674599545367	0.588223407504876	0.439477037498366	0.621301112819822	0.740812784183164	0.812185737928824	0.701553740478527	0.643733736755189	0.507476952112599	0.679853428212177	0.676579238710909	0.569622322194046	0.651522923531194	0.686279921508663	0.704684055498219	0.494554591195191	0.531067579788179	0.638908339011725	0.60336178855176	0.647787597228431	0.83266385548629	0.819158923268512	0.534080748323524	0.709609404982887	0.430678913940834	0.507476952112599	0.683301070429527	0.111173314071852	0.60336178855176	0.765802767922179	0.828275016101328	0.347746314327876	0.509523155660541	0.450008569940118	0.87364226193381	0.777976938199218	0.835730247180234	0.400767516066811	0.47280818604158	0.679527485523867	0.834624331471062	0.582240978420967	0.548387668160219	0.630042215904196	0.698514413836246	0.536825016740317	0.620982515373831	0.68696568773759	0.757405899222345	0.77628906694052	0.558043223253872	0.898976443561608	0.809398958067865	0.860131485641954	0.571989413188689	0.534283627977089	0.679062008035903	0.605255448279412	0.629765797225089	0.590218682252794	0.812185737928824	0.707683933194401	0.733828452928996	0.769864821144222
