""	BIOCARTA_CC	FAO	G2M	GLYC	KEGG_CC	NefAC	NefMES	NefNPC	NefOPC	OXPHOS	PD.L1	VerCL	VerMES	VerNL	VerPN	WP_CC
CTLA4	0.733324470469922	0.437534713644511	0.491148075103992	0.517883744783511	0.677477523255246	0.602004502529118	0.895881889569659	0.483976833319522	0.368407172853266	0.790499469762593	0.810774484291381	0.385072496522481	0.696856527793778	0.895881889569659	0.460454983040154	0.677477523255246
CD274	0.0775480642751463	0.0839929152407259	0.256857361162604	0.228463369831314	0.137777905842957	0.392517388418802	0.200163382932088	0.036846446536571	0.0155945610468304	0.0932078249122299	0.741110003211744	0.845620813276661	0.636864334941789	0.0862290020280557	0.0796529614964403	0.137777905842957
LAG3	0.00669770645627637	0.565666623367059	0.0134024148726574	0.452298826194225	0.00977181533109304	0.379875365330604	0.806026613675654	0.0153055155123169	0.126917433430475	0.0515593637583268	0.343389265135509	0.340447204150044	0.215086703786329	0.0630861218073934	0.0334785315010229	0.00977181533109304
HAVCR2	0.00977181533109304	0.766895705648341	0.0386285247772619	0.452298826194225	0.019424486124635	0.0313731626178811	0.561819313443933	0.00119253963935289	0.0734658355799872	0.0754858625933569	0.178175072060321	0.00977181533109304	0.0523236057619172	0.0131471264414028	0.018071209906134	0.019424486124635
CD47	0.036846446536571	0.196033400681282	0.323115566450156	0.535227487205541	0.056278546894682	0.00297153934137431	0.264300265898148	0.0128958385108021	0.137777905842957	0.0329419149185581	0.00745733088989332	0.00699347093002665	0.00436889636670267	0.0345726871948111	0.0993410281926721	0.056278546894682
LGALS9	0.370550453842787	0.608751944253079	0.728317273411297	0.392517388418802	0.42515266999996	0.306335919668528	0.129954443358142	0.242385597762125	0.367472141221078	0.546550467664176	0.019424486124635	0.494688259210203	0.494688259210203	0.29011027976395	0.600816567634793	0.42515266999996
CD276	0.0818010730130714	0.0980908803969598	0.0515593637583268	0.264300265898148	0.0411102479327088	0.180101079605903	0.398927298497342	0.0554695073151801	0.0313731626178811	0.0248236884755645	0.516607066146182	0.358327562291079	0.600816567634793	0.0724714742782299	0.00778048663284909	0.0411102479327088
