Name,BIOCARTA_CC,FAO,G2M,GLYC,KEGG_CC,NefAC,NefMES,NefNPC,NefOPC,OXPHOS,PD-L1,VerCL,VerMES,VerNL,VerPN,WP_CC
X1,1.3584527265663933,1.201260931070954,1.3235070369968023,1.2435761677898831,1.303527198898719,1.5876351728527278,1.545137180872969,1.3607149466445014,1.5158602922241329,1.468127106470737,0.9947198301928218,1.3595933045123265,1.2878708269424965,1.167235904875803,1.1942237240344666,1.3066874539573392
X10,1.3294054628381586,1.188210891816365,1.383930284505468,1.2166382327172736,1.3082231642670021,1.3138556607494707,1.4184261674332737,1.1452825625131653,1.174769024472133,1.4566757544283837,0.6079403306096819,1.2029037970946759,1.132455078083761,1.0447166629902276,1.0669549050627605,1.3105769334642117
X100,1.3056861781037445,1.1766106025778165,1.2953743948675012,1.1876359053008332,1.2635634437975063,1.5918272800437807,1.5107095720997963,1.300436651703632,1.4429311362219535,1.462091201587405,0.9808592269739699,1.4190621525200275,1.194067309632921,1.0516225009686477,1.160400127180363,1.2686672731174027
X101,1.3555828796308986,1.2005428656656507,1.2682000992231102,1.2394961334899641,1.2597071305807446,1.587334948833059,1.5777312181481,1.300281014315676,1.410239305591421,1.4678513728945586,0.9778341683113838,1.3809862743900674,1.3372754715999056,1.1487278426100709,1.1134043151693498,1.2658199441641143
X102,1.327398582163188,1.2229295052901592,1.263780878821846,1.2078321177303109,1.2637395368853623,1.5874762556443254,1.5577866416596644,1.3175999205179272,1.428002880366648,1.482502640636586,1.0320288193164946,1.3463611925740142,1.2783709774461096,1.1963293803233341,1.1231059535405379,1.2675021242260043
X103,1.3450683753243398,1.1882089370201194,1.3456798077050467,1.2674778797960766,1.3003536528958441,1.5381809043796306,1.5734182019712883,1.319214954738039,1.3938215852061648,1.4677654169278005,1.0001759094474647,1.2437835660479721,1.3713015065124419,1.2227565216762775,1.1508760604168518,1.3032059620443512
X104,1.3426341005089897,1.1988291454812705,1.3237053538411159,1.187257111984699,1.2974245762159016,1.5768315479324218,1.5002668279957818,1.3735067324264134,1.4395890074638886,1.4811512621839393,0.8553081917229183,1.3730369660928032,1.1565495227852165,1.1385042537871621,1.1770524957742716,1.3020368244882563
X105,1.354342210904917,1.2092193890607041,1.273153248630327,1.2461536352926579,1.2760076084573477,1.5782232973760566,1.5863323272075385,1.3825216587031717,1.4460740854172571,1.4687761938007002,1.155948345124658,1.3272585540408053,1.392949032172879,1.1733649989376926,1.1764802286861145,1.281886536927769
X106,1.2671363571388838,1.2361921425311488,1.2320406074529,1.2547276842886494,1.230461955499112,1.5703233939819006,1.5713981343747139,1.230126758691607,1.4329736957663508,1.482520558169612,1.202881040427319,1.2561250813632998,1.4530695105540141,1.247571419584455,1.070688066400511,1.2344388401085091
X107,1.3531332191555239,1.1575824349514185,1.396646053024983,1.248355761663678,1.3420419525607534,1.468118639786364,1.4763829370119859,1.2676906394657432,1.2653615793122586,1.4571433607687914,0.7070326579482319,1.2662132796913028,1.1592015066410235,1.0140243286492587,1.1248204592932374,1.343861338018108
X108,1.3297079960692124,1.1914402984135797,1.299600816653273,1.2405012480990687,1.284620388766346,1.5665462858251005,1.5775313998155114,1.2359476945860763,1.3798558258331621,1.469848199775488,0.7956308062710723,1.3215192609188533,1.2474900921190148,1.078935649050114,1.0896948875633496,1.2922105537356152
X109,1.4173868175766802,1.20525355016766,1.3527087705401124,1.2412168443553797,1.3335217620611308,1.569494737182989,1.5334700055789459,1.4684734943275073,1.572218101318025,1.4728796434193447,0.8515248106505877,1.2570867030739787,1.20056270832207,1.220644413621976,1.3351087044241672,1.3380982485559394
X11,1.4207402837657515,1.2120269656204101,1.3240709887659454,1.21952435292095,1.307522677665148,1.5659237452070958,1.4984478625728817,1.5052674420841172,1.5711188609723397,1.4920113123130554,1.0250714022575693,1.2030409238287276,1.2125300724932586,1.2977920865542758,1.3344358620369625,1.3104560890450432
X110,1.3600799407031123,1.2179901908031,1.3081289823524431,1.2614309751207409,1.2805272735947517,1.5446376051993504,1.5687570880634594,1.1766565946517984,1.3416501989251013,1.473866767846381,1.062832528187845,1.2657949050934971,1.357037359980474,1.095310044378795,1.0239212914220557,1.2852257188144984
X111,1.3527003151798498,1.2273871846802724,1.3391662431247606,1.221366493770255,1.3057239402480707,1.5614706643562664,1.4844791753938147,1.3979848875672112,1.4327815264993702,1.477736481935822,1.079863272830548,1.2853570630917976,1.22560027813063,1.1850282390432563,1.2125716724999878,1.308444629991033
