""	TFCP2L1	MEOX2	ZNF385A	SLC2A4RG	ZFHX4	ARNTL	DMRTA2	MAF	ZFP92	OTX1	ZNF729	ZNF32	PAX2	ZBTB18	HES6	ZNF706	GTF2B	SOHLH2	LHX3	ASCL1	SALL4	ZNF521	ZNF600	ZFHX3	RREB1	TBPL1	GTF3A	THAP3	ZFP42
TFCP2L1	1	0.300040913282161	0.249777419532123	0.356984874298521	0.226768278161467	0.333787653959123	0.436407935955447	0.152352513724269	0.316235438373932	0.171573312066588	-0.2585705715653	-0.346239947240186	-0.130685304579682	-0.155466808336539	-0.26940358204945	0.0230054774946416	-0.241856119588913	-0.00621272760360572	-0.0841755797510046	-0.176416851387082	0.330013861664255	0.300541643004134	0.325888337272	0.295412396976379	0.422990821990584	-0.421356733288146	-0.311904543816904	-0.224687196585268	-0.0847542903934084
MEOX2	0.300040913282161	1	0.0161979958598201	0.581162792117782	0.403137499160362	0.617933451798658	0.594237944321298	0.021100261967135	0.152557783939907	0.382703075032023	-0.168062930973739	-0.0420674031057456	-0.0817865835101708	-0.230324680479479	-0.185815914656115	0.0106191339818394	0.0601229841048846	0.124754061722178	-0.155404270186237	-0.035890108145407	0.449121585725539	0.608854367034886	0.247090577121537	0.209717948545754	0.282820696014314	-0.274327831412852	0.070748224546748	0.0370234671258725	-0.111214730066333
ZNF385A	0.249777419532123	0.0161979958598201	1	-0.0518621649843369	0.0791555987078731	0.254088580309109	0.171245901038709	0.24259377995982	0.285484508206835	0.136899589584597	-0.218607138514029	-0.253028498848932	0.0557044965480189	0.104917532257375	0.0673969992855442	0.0915541551407234	-0.279164147751907	-0.00802268677571968	0.0599885588774928	0.0776827205500699	-0.118559363951124	0.231846410317475	0.122465055782512	0.245511596480036	0.205148967092287	-0.420118343195266	-0.247596192011529	-0.203190014716569	0.0362540451442042
SLC2A4RG	0.356984874298521	0.581162792117782	-0.0518621649843369	1	0.333064649092275	0.312087737617626	0.541666208682165	0.10858385085582	0.168187888561953	0.168744798056222	-0.22126325038388	-0.274474386453429	-0.15093893079727	-0.219650588357423	-0.239037377641807	-0.0280078895463511	-0.161331452543646	0.0172141528548895	-0.0726234602159903	-0.174186772186296	0.531737104683044	0.43405328497017	0.217803994846148	0.259554020526316	0.50131472084318	-0.415179438327807	-0.131825037707391	-0.0671942648127454	-0.113943148412661
ZFHX4	0.226768278161467	0.403137499160362	0.0791555987078731	0.333064649092275	1	0.33958879098198	0.32803292603245	0.208627206721991	0.441549844926435	0.437288754519628	0.0502146749764673	-0.372729770824555	0.12354357716138	0.110086040021739	-0.111397707634907	-0.0709582867715757	-0.310351060386783	0.0349620116195048	0.117170449441776	0.0608923980679161	0.348330799152423	0.563151177630816	0.195525186094369	0.636568313926093	0.540801533942758	-0.205564206373923	-0.377282747418494	-0.16578184060918	-0.0878889896137113
ARNTL	0.333787653959123	0.617933451798658	0.254088580309109	0.312087737617626	0.33958879098198	1	0.622183547975403	0.0256825495691893	0.314001693933104	0.457703884138485	-0.206843223012729	0.00457373855802053	0.0344784421701552	-0.0113787776088324	0.0115595288255445	0.0944999114563297	0.118236942861854	0.266546409820984	-0.0585509672175011	0.165605974560488	0.382629563815561	0.545098039215686	0.318255262241926	0.0657885978887635	0.197283846581298	-0.204912036443353	-0.0122092561721045	0.138051184347922	-0.107800479785956
DMRTA2	0.436407935955447	0.594237944321298	0.171245901038709	0.541666208682165	0.32803292603245	0.622183547975403	1	0.054536794474875	0.207149569891264	0.33686063034589	-0.297008096800957	-0.305991047929605	-0.0823399879782671	-0.256729013623512	-0.202103064832286	-0.126231520325352	-0.0819279315587961	0.0900985951446442	-0.122033791440472	-0.06820305200872	0.423686958433327	0.421500845744713	0.315392553782647	0.135283819275567	0.341559956277746	-0.397558637282381	-0.0639456280799458	-0.0137041175859942	-0.0811760368244539
MAF	0.152352513724269	0.021100261967135	0.24259377995982	0.10858385085582	0.208627206721991	0.0256825495691893	0.054536794474875	1	0.198184059809186	0.236927129736141	-0.134567070771478	-0.359574013348722	0.0258084388366474	-0.00192597749158835	-0.320282606969914	0.00791763606719549	-0.283057626663247	-0.0581031090508241	-0.237573339024572	-0.187613656487198	0.213668700117855	0.128918362735938	0.192278991945579	0.540553941752986	0.523676577451286	-0.339698707262413	-0.315614828927523	-0.332341644225426	-0.0430974550948297
ZFP92	0.316235438373932	0.152557783939907	0.285484508206835	0.168187888561953	0.441549844926435	0.314001693933104	0.207149569891264	0.198184059809186	1	0.243466079794432	-0.0147323644198722	-0.344758730563953	0.0927093539180351	0.245290542492179	0.0298715993866723	-0.156614918457365	-0.259407465396245	0.112237077928016	0.162272998706726	0.108186997018234	0.261041555096534	0.391877426174453	0.125932380684302	0.416672366036316	0.427419487802113	-0.231100342023078	-0.405801384823926	-0.193544368649695	0.054942998897789
OTX1	0.171573312066588	0.382703075032023	0.136899589584597	0.168744798056222	0.437288754519628	0.457703884138485	0.33686063034589	0.236927129736141	0.243466079794432	1	-0.0411161604201032	-0.218091131643797	0.143411251632595	0.000190521669091986	-0.126045960910106	-0.11279859844446	-0.139883207774287	0.119198463610167	0.0349151464246426	0.0169503220854338	0.341164465998968	0.421061437742543	0.224647031128962	0.329611237854236	0.297853761184807	-0.107374837339092	-0.213474645046568	-0.22748043031033	-0.191990194276094
