Name,NefAC,NefMES,NefNPC,NefOPC,VerCL,VerMES,VerNL,VerPN
BL6_WT_1,0.8414229665612417,0.889590743099279,0.5078964153522548,0.373467707009285,0.569009890520981,0.16182079642568076,0.25961597656257407,0.3133792435529083
BL6_WT_2,0.9189109991627211,0.848531938349507,0.5402744270113916,0.44076265265484227,0.5949490496206052,0.10729534783616258,0.2168885797953371,0.34803396707515294
BL6_WT_3,0.8852368342050877,0.8368286767577167,0.5085500423650208,0.41131421676180624,0.578968602062473,0.09093985885781852,0.2345941633958619,0.3208252392326422
EGFRVIII_1,0.9096813307107585,0.7962848132794904,0.49638037668829454,0.40001510117149436,0.56684308541199,0.034614582728972706,0.24294762092230018,0.3319013075411909
EGFRVIII_2,0.896750395978219,0.8086422861702792,0.46641465678298233,0.38899695996797345,0.5375541093251621,0.024339090255939663,0.26511360571186243,0.3131271898079032
EGFRVIII_3,0.8886355225477456,0.8156670358372884,0.46417843518913543,0.39016148581645915,0.5369164600761062,0.04205493432926597,0.26256005612406746,0.2999879778187116
NF1_KO_1,0.8513409023125613,0.9428839064276319,0.4512733450137353,0.3333562546977459,0.6010026171290453,0.2003723883959891,0.231919264385869,0.2623600814163753
NF1_KO_2,0.9018274613933511,0.9534033954728416,0.439588453916212,0.37081496206849424,0.5964663870727059,0.1852167176691562,0.23148588473794926,0.26516587921887597
NF1_KO_3,0.830584349177488,0.9418486564706767,0.4418159750453925,0.34369043018717355,0.5869046449841111,0.14213199816492322,0.24551669764529757,0.25233409563678905
NPE_1,0.7895192169779336,0.9073732886266129,0.39844629537569126,0.28791045157867134,0.5356901294902842,0.14978394379595594,0.27539602826092546,0.23266467838617258
NPE_2,0.8163849581573591,0.9170908572345577,0.41789179413610755,0.3055960232104968,0.5297604004662764,0.1488119025506591,0.2677460267486136,0.2380723793146113
NPE_3,0.860091062411129,0.9713575901542258,0.4149567969386837,0.31012228651626333,0.5299895578157789,0.16438070972298438,0.26474142101530246,0.2215562873733693
NPE_BL6_TD_1,0.8222332957298182,0.9116273307254358,0.4485183890298785,0.3761006623178523,0.5623596462131447,0.15647635309779218,0.2596251866905156,0.27228829033767493
NPE_BL6_TD_2,0.8301519319977746,0.9005159487177328,0.4407112222721083,0.38139576868880865,0.5585681988528343,0.1587692333200297,0.2560741188362535,0.2689981129994562
NPE_BL6_TD_3,0.8944727578224263,1.0147889614360157,0.462570983642607,0.40405859656422,0.5802695052564684,0.2081467999950111,0.2576058995975237,0.24737972855195223
NPE_IE_1,0.9076172503933615,1.0218560853054215,0.45183748494246123,0.4049456786490079,0.5453512244891698,0.2024550179885484,0.27718784312385136,0.2273873771778223
NPE_IE_2,0.8772223703097061,0.9311138414833552,0.40320666509599346,0.3598651400522603,0.5025027395008891,0.19075530889947712,0.2827954551179922,0.21796319224996247
NPE_IE_3,0.8293555866274358,0.8982264602199366,0.3785159417513708,0.34153356751559555,0.46727048690631146,0.15136838255813714,0.2882208897632181,0.2126855114526849
NPE_NSG_TD_1,0.8328777268180081,0.9303839866786856,0.44119091918408093,0.3479088744248772,0.5825986710288138,0.1740923831188243,0.2326208796415917,0.25483164886938975
NPE_NSG_TD_2,0.8155890505624063,0.926773851858682,0.4211716533611149,0.33428871132294097,0.5756641547917386,0.1781842041265406,0.2462974392218484,0.2448757787595373
NPE_NSG_TD_3,0.7935519969219657,0.916604071490282,0.42285160691017504,0.31907711450923126,0.5820679003074803,0.18220515238764337,0.22355625461741638,0.24566237695697027
NP_1,0.8376073696598818,0.9688700662298556,0.4183847841804927,0.29786187767128464,0.4890941389278241,0.15061809897526465,0.2906526614792372,0.2231095365942097
NP_2,0.8328821960296358,0.9391126908385787,0.411816864409338,0.3013155218744844,0.5103698371440486,0.15831509529457974,0.2880558686421757,0.22643209556792965
NP_3,0.8186498762532671,0.9453691142037557,0.4251361578231505,0.31345049003004405,0.5335141109870113,0.15857099906223668,0.2728282980129772,0.2382593488377048
P53_KO_1,0.8339023832673831,0.881402503485997,0.4993375775566655,0.36257773695820816,0.578375876909653,0.14892583981943436,0.21618911375346545,0.30657790926889456
P53_KO_2,0.845050522830543,0.8099004068665578,0.5257260184276816,0.406781860567714,0.5935087853315693,0.08235467017733228,0.24249250944894565,0.3391255387432371
P53_KO_3,0.8154481068672462,0.7599080267787263,0.5009044632504753,0.3993862930198369,0.5864091196452104,0.035996656415777546,0.21825643320266638,0.3369406151601723
PDGFRA_1,0.9008810803374367,0.8482578437254205,0.5230879554868516,0.435770468248238,0.5552433278907409,0.06096538188566044,0.2680042524156695,0.34764508478090633
PDGFRA_2,0.9575160107253776,0.8351815445744561,0.5022405407788967,0.447510284400507,0.5574168905189565,0.03534428567556651,0.2609534812583332,0.34542501723950086
PDGFRA_3,0.8192011203434622,0.7927592559495399,0.4504947049661266,0.39254774783150004,0.5322804384857757,0.021856085305421415,0.270146394674111,0.3053139516031525
PTEN_KO_1,0.8997510711365575,0.8475377271979906,0.4902295842304333,0.4014772084376152,0.5639880270787628,0.04188732749868374,0.2421389544611185,0.32908373689001635
PTEN_KO_2,0.9065938451823224,0.8202081043236067,0.4830813257923514,0.42937818157404056,0.5110762756150651,0.024656446173294284,0.2534220146512761,0.32373286136107665
PTEN_KO_3,0.8128633288860924,0.7851857380916513,0.44822232448287064,0.33887971832139524,0.5499733829101199,0.023794144597227073,0.21780836528422928,0.30879146015342346
