	NefAC	NefMES	NefNPC	NefOPC	VerCL	VerMES	VerNL	VerPN
NefAC	0.0	5.332682869541091e-24	0.00371194157174403	3.471595746179227e-12	1.1266624047839504e-32	0.00019494993776504078	1.229622980588904e-18	0.7242165415513928
NefMES	5.332682869541091e-24	0.0	3.786340592482615e-43	2.4111591126037714e-25	2.4121451088229116e-40	5.091599254657734e-192	2.3959081408819386e-17	1.8360338087785928e-53
NefNPC	0.00371194157174403	3.786340592482615e-43	0.0	4.7183672256178596e-153	7.799281300321604e-18	8.351540323554943e-105	2.8614409242072957e-39	8e-323
NefOPC	3.471595746179227e-12	2.4111591126037714e-25	4.7183672256178596e-153	0.0	3.8400465981690155e-15	6.82347719636237e-49	3.777747218923448e-45	4.470613204842733e-185
VerCL	1.1266624047839504e-32	2.4121451088229116e-40	7.799281300321604e-18	3.8400465981690155e-15	0.0	1.52266833831543e-39	1.0829996514252467e-18	1.0719332938604735e-24
VerMES	0.00019494993776504078	5.091599254657734e-192	8.351540323554943e-105	6.82347719636237e-49	1.52266833831543e-39	0.0	3.024887662572981e-39	1.875122362673144e-99
VerNL	1.229622980588904e-18	2.3959081408819386e-17	2.8614409242072957e-39	3.777747218923448e-45	1.0829996514252467e-18	3.024887662572981e-39	0.0	5.589518286278736e-22
VerPN	0.7242165415513928	1.8360338087785928e-53	8e-323	4.470613204842733e-185	1.0719332938604735e-24	1.875122362673144e-99	5.589518286278736e-22	0.0
