""	CEBPB	PLSCR1	FOSL2	TGIF1	BHLHE40	CEBPD	SP100	EPAS1	ATF3	RUNX1	SOX4	NFIB	TCF4	SOX2	TSC22D1	ZNF428	NFIX	SOX11	ZBTB20	NFIA	SPI1	NR4A2	IRF8	ETS2	CREM	KLF6	ZNF331
CEBPB	1	0.347472141248566	0.351800426353779	0.350150469094802	0.324881013163547	0.588241291126581	0.320433779685907	0.154543526716852	0.386558463024489	0.373401809352738	-0.0400570247447391	-0.0899940942263055	0.00414922949984161	0.0339913536938259	-0.00466978515970434	0.0578355185360498	-0.00913047916132126	-0.0581475049044676	0.00222541117451438	-0.0374393543696816	0.478758492710216	0.390734320082473	0.400302041741701	0.424261197065513	0.388296310438308	0.374654781748831	0.382114742372557
PLSCR1	0.347472141248566	1	0.217343100267181	0.244827248734553	0.205507067250156	0.305044221020911	0.2833912233975	0.0765424703186482	0.234431682231537	0.204787841182074	-0.159107811654079	-0.148385899681838	-0.0841258177262042	-0.0946540367671736	-0.126172951396248	-0.0604976454715166	-0.116589678829597	-0.130311327879551	-0.106613355755898	-0.0807568134367666	0.368668116550757	0.292593760300978	0.303238625228692	0.300975208505351	0.332886168084404	0.266295218064691	0.281053647203043
FOSL2	0.351800426353779	0.217343100267181	1	0.288912210185323	0.298229908243919	0.244443104215427	0.157459962406354	0.159828806166062	0.212156079862665	0.28546877246996	0.0580095622207332	0.0181925287109073	0.0741360827783074	0.111556601266942	0.0915192666703663	0.114757280670553	0.0910198112402082	0.042899933614931	0.0661723717135367	0.0282673308700042	0.150677083353456	0.156849304233359	0.122453973879461	0.203405898234201	0.27466018364917	0.16330479646445	0.187881480100649
TGIF1	0.350150469094802	0.244827248734553	0.288912210185323	1	0.251417141898084	0.230487562610463	0.181671254786279	0.133117749770194	0.235983923893732	0.267633616473614	0.0656444229791795	0.0158521501291811	0.0782261427978156	0.122465010162033	0.094554621230283	0.122670305965299	0.0761519037120469	0.0515071181146473	0.0697335979732547	0.0618159338192814	0.163335574581113	0.197642341874903	0.162234756187498	0.18823943752718	0.300838598980531	0.205270396892113	0.241570699326098
BHLHE40	0.324881013163547	0.205507067250156	0.298229908243919	0.251417141898084	1	0.235157886250758	0.161256550753136	0.147119233348614	0.19846777045451	0.250271331884024	-0.0084874857412182	-0.0240578889237932	0.027100790724931	0.0687399750352721	0.0331218651758926	0.0839164333753648	0.0462470830428686	-0.0183050608715461	0.0312339347055573	-0.00261071170449552	0.17499429931194	0.180208341397069	0.163189534394246	0.159922122156015	0.251612216156416	0.170091561666983	0.207626828742174
CEBPD	0.588241291126581	0.305044221020911	0.244443104215427	0.230487562610463	0.235157886250758	1	0.25872538338663	0.147787667967769	0.379595910767186	0.234111246474034	-0.0550746448646347	-0.0625684018137587	0.00835752567707079	0.0550550785342496	-0.0324365511015842	0.0402615759521103	-0.01426701567532	-0.094987466505508	0.032687081107551	0.00563609817339283	0.426095216936839	0.355820591502797	0.367003294942532	0.333232029327099	0.283806527710377	0.367231416692421	0.319288109482073
SP100	0.320433779685907	0.2833912233975	0.157459962406354	0.181671254786279	0.161256550753136	0.25872538338663	1	0.0687612598642969	0.200953698373409	0.161053939831594	-0.191828032346006	-0.196844842435508	-0.136855717516308	-0.165235751093287	-0.171554567272816	-0.121568064865396	-0.165174472400277	-0.164439776389672	-0.137212722658897	-0.133751188697524	0.337094397382376	0.291992795694356	0.288867974897508	0.274102337048168	0.255869146836562	0.245838278982862	0.264132333945374
EPAS1	0.154543526716852	0.0765424703186482	0.159828806166062	0.133117749770194	0.147119233348614	0.147787667967769	0.0687612598642969	1	0.0972826700905912	0.147233090539008	0.0517070569535921	0.0764907951906196	0.0769585756015234	0.158787406781804	0.13202060433435	0.12538429910498	0.110969604417837	0.0361598380677766	0.0963338635736123	0.0641188214609212	-0.022670062108314	-0.0502396337737896	-0.0302725109613381	0.025770571000317	0.0669326659492309	0.0565235220424705	-0.00306293396972703
ATF3	0.386558463024489	0.234431682231537	0.212156079862665	0.235983923893732	0.19846777045451	0.379595910767186	0.200953698373409	0.0972826700905912	1	0.158957835208054	-0.0491075469235549	-0.036656975254871	-0.00773783363892302	-0.0141117124723763	-0.0210609651734269	0.0161268827097862	-0.0382751557537126	-0.0368372488960932	-0.00374881361982474	0.00010189165927683	0.28399906411127	0.36948716769106	0.275753925802827	0.279006078082567	0.233695915478323	0.365417691100986	0.298845508332004
RUNX1	0.373401809352738	0.204787841182074	0.28546877246996	0.267633616473614	0.250271331884024	0.234111246474034	0.161053939831594	0.147233090539008	0.158957835208054	1	0.0606728143815068	0.00492977351785318	0.0808747212212082	0.115074648606763	0.100165920760059	0.117019345275357	0.101008088559296	0.0217682104886193	0.0729217479925407	0.0198605105470516	0.179346135732378	0.118403225793425	0.139456000330404	0.190167888329504	0.258132853025444	0.14720524754985	0.153085105478551
SOX4	-0.0400570247447391	-0.159107811654079	0.0580095622207332	0.0656444229791795	-0.0084874857412182	-0.0550746448646347	-0.191828032346006	0.0517070569535921	-0.0491075469235549	0.0606728143815068	1	0.710251254523328	0.660453535285005	0.645400325048877	0.648704677928898	0.625371508140601	0.602061705183026	0.659085754712471	0.569772256030227	0.52381037090748	-0.230309450549813	-0.188886789187076	-0.199633318533853	-0.128631125238952	-0.115832931174975	-0.152117688038311	-0.131986042062199
NFIB	-0.0899940942263055	-0.148385899681838	0.0181925287109073	0.0158521501291811	-0.0240578889237932	-0.0625684018137587	-0.196844842435508	0.0764907951906196	-0.036656975254871	0.00492977351785318	0.710251254523328	1	0.650514909015183	0.644780726518292	0.613729334113473	0.607655737004041	0.575508709035609	0.63235041327354	0.557417299105223	0.570938741065614	-0.269689310900852	-0.205648051763386	-0.225604798347334	-0.158982111172276	-0.146684219367957	-0.156372895601345	-0.123589419958258
