""	EPAS1	FOSL2	BHLHE40	CEBPD	ATF3	CEBPB	RUNX1	RREB1	PLSCR1	MAF	SOX11	SOX4	MYT1	NFIB	TCF4	ZNF462	ASCL1	TCF12	CXXC4	TSC22D1	IRF8	STAT6	SPI1	PRDM1	BHLHE41	SOX6
EPAS1	1	0.19169464467146	0.263425407843009	0.235107090917717	0.155112263015426	0.133552253030234	0.197867420129226	0.129864241533525	0.149669487206962	0.160618109510622	-0.275983958607209	-0.296045940399462	-0.217251393838262	-0.152148784818799	-0.0766261299419511	-0.12345437101125	-0.122766228375183	-0.109135910684819	-0.164204400199151	-0.0549893718557366	-0.0805928646072925	-0.0214002297062736	-0.0522056123010912	0.0831503649725837	0.119276424576069	-0.0978118297959221
FOSL2	0.19169464467146	1	0.31187656110856	0.307074118475467	0.327546378851627	0.287094998804394	0.217981875318225	0.20780561399754	0.224157933702059	0.158134221085314	-0.24636920258219	-0.243540038601084	-0.24045805251386	-0.191760394525276	-0.177736161113359	-0.216818564749668	-0.243263115106843	-0.202932894187404	-0.207988757752282	-0.153670804350674	0.166567985539846	0.226021773136731	0.159465330436683	0.179270460260294	0.137091937140199	-0.168668400628945
BHLHE40	0.263425407843009	0.31187656110856	1	0.322278217981121	0.237062549687902	0.305085510137505	0.2316405808077	0.238554943002877	0.230185222465799	0.234099912034716	-0.307518839530193	-0.293123514986446	-0.248991305162109	-0.246409428504444	-0.194275548938135	-0.228943474024058	-0.204793684502495	-0.212352979467283	-0.210607070688679	-0.199451599086623	0.272357432574872	0.197332085385315	0.248263874745992	0.216981646083039	0.205544987707733	-0.199803888116614
CEBPD	0.235107090917717	0.307074118475467	0.322278217981121	1	0.299758511871123	0.292848931843038	0.259450342835669	0.221187061641088	0.266245060536024	0.208172426143399	-0.302549843327041	-0.290336957900636	-0.27767476210128	-0.232087355338319	-0.160847917732874	-0.212196459656502	-0.184673364723654	-0.177286855043747	-0.232129738891708	-0.161371143801097	0.23622065390562	0.156449204725658	0.20508125130387	0.244478175810099	0.227896246287427	-0.20045953369734
ATF3	0.155112263015426	0.327546378851627	0.237062549687902	0.299758511871123	1	0.284996736294907	0.243088139301499	0.180752889273711	0.225995782853443	0.149505327205646	-0.177598472321363	-0.192677802744299	-0.197788067030811	-0.175203364457808	-0.142989322746346	-0.138363177097338	-0.156726797809626	-0.125408349062987	-0.163238873248221	-0.0582488538542056	0.150724632864442	0.151368165783266	0.118727493757359	0.184434686888346	0.124573680268794	-0.0975966963320651
CEBPB	0.133552253030234	0.287094998804394	0.305085510137505	0.292848931843038	0.284996736294907	1	0.256033236057321	0.236465290541132	0.247049987121134	0.226284942458043	-0.293236983420295	-0.291031581796472	-0.219056281826708	-0.287287509180515	-0.240458057040752	-0.246563541407767	-0.22588716475409	-0.237475000320468	-0.196511423238409	-0.212077941923517	0.388787989739691	0.28012756284089	0.34910224703386	0.221888960261137	0.261795250302788	-0.214053374584661
RUNX1	0.197867420129226	0.217981875318225	0.2316405808077	0.259450342835669	0.243088139301499	0.256033236057321	1	0.189255285676728	0.274929146916545	0.187151590646299	-0.248881678048867	-0.2731564694296	-0.168858852985332	-0.27189101751243	-0.196362513457133	-0.157622553416917	-0.177462950939783	-0.128319231843251	-0.169990677443098	-0.176255765636783	0.260797524764665	0.16889614260999	0.223935354981353	0.228632103915198	0.178791262852655	-0.116338525691842
RREB1	0.129864241533525	0.20780561399754	0.238554943002877	0.221187061641088	0.180752889273711	0.236465290541132	0.189255285676728	1	0.236752112381879	0.194675376927629	-0.275106370558798	-0.229490186329361	-0.275890049311522	-0.175639414648712	-0.150904286264527	-0.179440401329595	-0.158277832673014	-0.133326103265679	-0.177016562097216	-0.179730533786675	0.235186513206032	0.242453758899124	0.229416384919607	0.213479885572095	0.165189542139046	-0.165418895741756
PLSCR1	0.149669487206962	0.224157933702059	0.230185222465799	0.266245060536024	0.225995782853443	0.247049987121134	0.274929146916545	0.236752112381879	1	0.172717425697942	-0.299055829402698	-0.283512538648254	-0.233747447049214	-0.227194019754144	-0.165144349556266	-0.176648512758663	-0.14067484682758	-0.101242095588522	-0.156141367574161	-0.191484669489098	0.291803800409439	0.208035665831788	0.262793485239969	0.294533945286965	0.147310764814896	-0.131173207063588
MAF	0.160618109510622	0.158134221085314	0.234099912034716	0.208172426143399	0.149505327205646	0.226284942458043	0.187151590646299	0.194675376927629	0.172717425697942	1	-0.269349517884754	-0.233976393865929	-0.219779811935116	-0.166892693257078	-0.0965597143150605	-0.20305306432225	-0.118873493063683	-0.122446845428357	-0.152489723011986	-0.154285891997823	0.268270682724688	0.224677708825326	0.245228284402774	0.230911874658832	0.221612360550325	-0.197692741743209
SOX11	-0.275983958607209	-0.24636920258219	-0.307518839530193	-0.302549843327041	-0.177598472321363	-0.293236983420295	-0.248881678048867	-0.275106370558798	-0.299055829402698	-0.269349517884754	1	0.632491275168552	0.501257912835115	0.528312542335481	0.355928852661939	0.394194191571691	0.298340216535621	0.315386078260829	0.33259139935008	0.363515837297165	-0.343212592519737	-0.289399148371768	-0.302622079747386	-0.318803281290866	-0.319717593412167	0.343204848966437
SOX4	-0.296045940399462	-0.243540038601084	-0.293123514986446	-0.290336957900636	-0.192677802744299	-0.291031581796472	-0.2731564694296	-0.229490186329361	-0.283512538648254	-0.233976393865929	0.632491275168552	1	0.426732212596647	0.525675171379101	0.415284968936385	0.401123923859604	0.388399238225967	0.389611802677141	0.322796235776621	0.374924056411226	-0.321500062279639	-0.225894110930169	-0.278826595823447	-0.282131519202802	-0.322296099429113	0.357290609910193
MYT1	-0.217251393838262	-0.24045805251386	-0.248991305162109	-0.27767476210128	-0.197788067030811	-0.219056281826708	-0.168858852985332	-0.275890049311522	-0.233747447049214	-0.219779811935116	0.501257912835115	0.426732212596647	1	0.287066099851777	0.224835119211808	0.407738715471034	0.301085017695352	0.256392434649704	0.377133779974722	0.276229170704535	-0.183195598448984	-0.202746996920117	-0.175255133598224	-0.247656586174835	-0.23266561703563	0.399446168643496
NFIB	-0.152148784818799	-0.191760394525276	-0.246409428504444	-0.232087355338319	-0.175203364457808	-0.287287509180515	-0.27189101751243	-0.175639414648712	-0.227194019754144	-0.166892693257078	0.528312542335481	0.525675171379101	0.287066099851777	1	0.430080406291126	0.315146981702098	0.314102018509618	0.316765037006185	0.233372441567102	0.296461649054042	-0.378053682023578	-0.270433128638737	-0.313598755229896	-0.233807099275476	-0.261218840272959	0.235640755091481
TCF4	-0.0766261299419511	-0.177736161113359	-0.194275548938135	-0.160847917732874	-0.142989322746346	-0.240458057040752	-0.196362513457133	-0.150904286264527	-0.165144349556266	-0.0965597143150605	0.355928852661939	0.415284968936385	0.224835119211808	0.430080406291126	1	0.222701016877244	0.274400201764939	0.296273920417085	0.217079245058797	0.263328881127868	-0.29856465176865	-0.257923020117786	-0.251507349196881	-0.184148029453406	-0.200253879332399	0.144365907298351
ZNF462	-0.12345437101125	-0.216818564749668	-0.228943474024058	-0.212196459656502	-0.138363177097338	-0.246563541407767	-0.157622553416917	-0.179440401329595	-0.176648512758663	-0.20305306432225	0.394194191571691	0.401123923859604	0.407738715471034	0.315146981702098	0.222701016877244	1	0.314983957506373	0.290814105888047	0.341322287146408	0.294526776342869	-0.308961107138786	-0.234821923193397	-0.270054659929629	-0.234454159621906	-0.222165110373167	0.40621756774975
ASCL1	-0.122766228375183	-0.243263115106843	-0.204793684502495	-0.184673364723654	-0.156726797809626	-0.22588716475409	-0.177462950939783	-0.158277832673014	-0.14067484682758	-0.118873493063683	0.298340216535621	0.388399238225967	0.301085017695352	0.314102018509618	0.274400201764939	0.314983957506373	1	0.371009276517531	0.302999426577723	0.260589688130189	-0.227916539466712	-0.243385844277233	-0.198797524888114	-0.170205847399053	-0.209360644524281	0.264944682527088
TCF12	-0.109135910684819	-0.202932894187404	-0.212352979467283	-0.177286855043747	-0.125408349062987	-0.237475000320468	-0.128319231843251	-0.133326103265679	-0.101242095588522	-0.122446845428357	0.315386078260829	0.389611802677141	0.256392434649704	0.316765037006185	0.296273920417085	0.290814105888047	0.371009276517531	1	0.226124054277897	0.254380031599355	-0.255369780961409	-0.238424142001228	-0.237285222075014	-0.137464061957568	-0.21480549948302	0.314963277569143
CXXC4	-0.164204400199151	-0.207988757752282	-0.210607070688679	-0.232129738891708	-0.163238873248221	-0.196511423238409	-0.169990677443098	-0.177016562097216	-0.156141367574161	-0.152489723011986	0.33259139935008	0.322796235776621	0.377133779974722	0.233372441567102	0.217079245058797	0.341322287146408	0.302999426577723	0.226124054277897	1	0.244239888162784	-0.184079697728158	-0.162579012731247	-0.166753817038166	-0.177564962647202	-0.170460105459801	0.305695177660996
