""	MES	NPC	OPC	AC
KTN1	-0.216368526127565	-0.161341418781524	-0.0280791359358974	0.0379001022467618
ZFR	-0.22181726887034	-0.157288466044957	-0.0378040942663467	0.0185041510621214
HADHA	-0.200159978568855	-0.179988970435005	-0.0470007744851261	0.0282020727023731
UBXN4	-0.162297466789118	-0.152858145845688	0.00262043712360202	0.096399539322018
TCF25	-0.230454460448709	-0.157531149576116	-0.00880585014002138	0.0606841438444762
ACTR2	-0.181272624767459	-0.167663189067132	-0.0668572126548645	0.00892264373614844
AP3D1	-0.203147164558255	-0.155849267602381	-0.0346536760559582	0.0421876487615754
PHAX	-0.168988044829912	-0.192976527674787	-0.0616197842153074	0.0306250158527924
MTDH	-0.219707562206536	-0.220416026300428	-0.118551268899472	-0.0522964843278579
SRSF11	-0.25785220592282	-0.154484044209782	-0.0852544960015726	-0.0322280486954336
DHX36	-0.270753499920475	-0.104754320967752	-0.0411895734841438	-0.00932140450699809
PRRC2C	-0.233858538146424	-0.0678739156184267	-0.00513664819465012	0.0391377099335162
HDLBP	-0.166511693128766	-0.180039987253313	-0.0455838885009261	0.0529659521580243
EIF4G2	-0.192181397748442	-0.193282912749408	-0.102212172934537	-0.0400687388373701
NCOR1	-0.218584913015724	-0.0785038635238084	0.0136134506029789	0.0643807186068584
ZRANB2	-0.245173837843207	-0.0741783287231893	0.0328262023322918	0.0815211059895268
SRRM2	-0.206391471957586	-0.130735449218559	-0.0742502335416178	-0.00393761226269777
USP11	-0.147026517422849	-0.201381542437542	-0.105479329947192	-0.00262857998808222
SEC63	-0.210621852527347	-0.129135722977326	-0.0545300738065407	-0.00346457090348434
SON	-0.223852519305343	-0.136282084656112	-0.0517995782826509	0.0156390999838696
GDI1	-0.195830096549141	-0.199454702220489	-0.0525341245506516	0.0361236478370317
CIAO1	-0.299422296382802	-0.0980144780096833	-0.0141903725196296	0.00173557923843121
PHF20	-0.240270577716545	-0.145085728385204	-0.0208467244213314	0.0344955765363888
MPHOSPH8	-0.135139689736206	-0.136789264359227	-0.0410861052387374	0.0654874872613684
VPS35	-0.184381456768597	-0.209403987622311	-0.0863983382571094	-0.00976620668238523
NEMF	-0.257134861446376	-0.0965693232070605	0.00475303225613835	0.0402074194542765
GRB2	-0.158163118628778	-0.162173487105407	-0.0326975173544807	0.0632108705362078
YY1	-0.222234995002887	-0.183440249543135	-0.103028887119463	-0.0506849629403917
ZFP91	-0.248276024291912	-0.128568987831087	-0.0184532968494319	0.0248227288231064
ABCF1	-0.279675722494266	-0.163129947009816	-0.0650921886834276	-0.0389613091796706
UBE2V1	-0.19869647038312	-0.207245122066609	-0.0405496400942005	0.0465633479483249
RSF1	-0.235596795715535	-0.0315689745503332	0.03788426755721	0.0661926923737918
GNB1	-0.186645113257777	-0.212947791998975	-0.130872433162789	-0.0625925554624311
VCP	-0.226160774742362	-0.147705663366266	-0.0398193765879051	0.0176975246312968
RAD50	-0.259234890503152	-0.0593460174548955	0.0367615543775102	0.0758919421642466
SGCE	-0.133695145366795	-0.20657276967891	-0.102891593817987	0.0209389642871557
KIF3B	-0.203913415474347	-0.133165835402345	-0.0421972960634999	0.0124028926460795
SCAF11	-0.203939837479994	-0.0734448614968721	0.0155145985874135	0.0864546481386122
C5orf24	-0.192673587750848	-0.0755200252964307	0.051699909192222	0.117691458402694
CSDE1	-0.230190388721697	-0.171227328107676	-0.0884767841503291	-0.0501219080017237
ERGIC2	-0.185932079629011	-0.214093685258722	-0.0897740809076396	-0.00506122160363789
ACTN4	-0.118592609781609	-0.150743483194308	-0.0550512195063138	0.0639761783561963
FAM120A	-0.180812447908698	-0.103883307149249	0.0322906753858395	0.114220538140993
TOX4	-0.143189889990845	-0.147716616410706	-0.0229781614688339	0.0765584948273357
HSPA4	-0.197525829408007	-0.146042844078302	-0.0676024425683658	-0.0140383526954106
IK	-0.203627882389105	-0.172262248053674	-0.0503228205774318	0.00997056059665088
TOP1	-0.279115766887411	-0.204485204441281	-0.0997919028401333	-0.0718841330975546
SAR1B	-0.146386133480479	-0.210048069074221	-0.0355950947434629	0.0790034749969988
IARS2	-0.240203181877371	-0.160898267225497	-0.0862962740045883	-0.0383198562063089
UBLCP1	-0.214941855381303	-0.174440126163607	-0.0232426479863191	0.0423452203467725
