""	PC1	PC2
AL627309.1	0.0018475677481015	-0.00299882518840364
AL627309.3	-0.00478167171066817	-0.00918083805168424
AL669831.2	-2.73060440362302e-06	0.00337052271344266
AL669831.5	-0.00406174370944299	-0.00953465732046643
FAM87B	-0.00244268884735654	-0.00285052313755778
LINC00115	-0.00421571703051537	-0.00956179434579673
FAM41C	-0.00700690538382642	0.00221389666759041
AL645608.3	-0.00324786837209616	0.00482660004865245
AL645608.5	-7.75531036498212e-05	0.000210441503600572
AL645608.1	0.00143993031901002	-0.00199496975705197
SAMD11	-0.00358618630839213	-0.00869430297503591
NOC2L	-0.00947825267472115	0.00310257080299918
KLHL17	-0.00604825989435116	-8.49889610006001e-05
PLEKHN1	0.00116862249767487	-0.00428793350439041
AL645608.8	-0.0026460583195101	0.00766727714465874
HES4	-0.00756291486460268	-0.0112818941855507
ISG15	-0.00832572836003343	0.00413216396666038
AL645608.2	-0.000475011119225867	-0.00354138121293918
AGRN	-0.00901599246776042	-0.00298273254522352
C1orf159	-0.000969042774160034	0.00376085159289942
AL390719.2	-0.000659699469663201	-0.00944977802858494
TTLL10	0.000796346809755057	-0.00145417219257634
TNFRSF18	-0.00237056602633414	0.00146584556028275
TNFRSF4	-0.00682170220306155	-0.0121200017617217
SDF4	-0.00909736723512274	0.00315246338360111
B3GALT6	-0.00864852721723247	0.0011098139303196
C1QTNF12	-0.00453238996992057	-0.0112306945495969
AL162741.1	0.000969108678434308	-0.001837240470236
UBE2J2	-0.00943544942543362	0.00372557708473837
LINC01786	8.37654790634239e-05	0.00505948956009915
SCNN1D	-0.00215967342338048	0.00962738967148893
ACAP3	-0.0078512183310607	0.00570138057476169
PUSL1	-0.00898523715170059	-2.31891654066046e-05
INTS11	-0.00926857079516463	0.000582092827290647
CPTP	-0.00797702270705536	0.00401435695211627
TAS1R3	0.00183979925537159	-0.00258365781636535
DVL1	-0.00809545616877809	0.0007645286608187
MXRA8	-0.00864048525313022	-0.00794525397680467
AURKAIP1	-0.00953971477412614	0.00308479996969488
CCNL2	-0.00929855102232467	-0.000234599996019604
MRPL20	-0.00942570333812567	0.00287611197699597
AL391244.3	-0.00210116860103976	0.000702219441038226
ANKRD65	-0.00800748049606446	0.00915955155068322
VWA1	-0.00869503486098696	-0.00556285792063149
ATAD3C	-0.00852484114077449	-0.00327814180331137
ATAD3B	-0.00551303199226841	-0.00357450853985858
ATAD3A	-0.00824160351870714	0.00784226702652098
TMEM240	-0.000153700760440886	-0.000488963470668454
SSU72	-0.00930084723750769	0.00325557529029821
AL645728.1	-0.00520313173777886	0.000456653891361071
FNDC10	-0.00408949846632569	-0.010860829931452
AL691432.2	-0.00378924369282546	0.0145813583714578
MIB2	-0.00903996879511586	-0.00213312940619436
MMP23B	-0.00480664831286345	0.00258797176857264
CDK11B	-0.00956730935157855	0.00375430134922212
FO704657.1	-0.00519162390240362	0.00121702986429734
SLC35E2B	-0.00905226772903981	-0.00143847308496406
CDK11A	-0.00928157288232595	-0.00276980641667954
SLC35E2A	-0.00773501365910064	-0.0058792982311524
NADK	-0.00905982106476309	-0.00440770826106527
