""	PC1	PC2
MIR1302-2HG	-0.00138114931545949	-0.00372138269052469
OR4F5	-0.00340129773632837	0.00729293622644909
AL627309.1	-0.00488181831055736	0.00736716853028985
AL627309.5	-0.00754953829825349	0.00416045767339541
AP006222.2	-0.0019949029430848	0.00526363302904409
LINC01409	-0.00822270647192338	-0.00181182503018767
FAM87B	-0.00497215575859777	0.00584346659655406
LINC01128	-0.00833818398203497	-0.000937686145838217
LINC00115	-0.00739217045329647	-0.00118471761903507
FAM41C	-0.00546733212001737	0.00793715382729487
AL645608.6	-0.0028853596748573	0.00511595875896965
AL645608.2	-0.00501754009009411	-0.00216212710829549
SAMD11	-0.00336328858431992	0.00138534942793614
NOC2L	-0.00897618072831204	0.00213404044473527
KLHL17	-0.00751281022027152	0.00206416661767025
PLEKHN1	-0.00628111299324768	0.0108991425250603
PERM1	-0.00359304214034454	0.00676727188830446
AL645608.7	-0.00677565559891636	0.00848700587470002
HES4	-0.00590399466765076	0.0103381332683167
ISG15	-0.00710503285422003	0.00525621265319547
AGRN	-0.00849361537017776	-0.000984022481255967
AL645608.8	-0.00332260162676442	0.00455807329383508
C1orf159	-0.00752628491114908	0.00370512174407428
AL390719.3	-0.0028721586165602	0.00365799418179858
LINC01342	-7.0158513756491e-06	-0.00309804105584391
TNFRSF18	0.000510555783203825	0.003954689853462
TNFRSF4	-0.00284384950713528	0.00430245176887581
SDF4	-0.00843314083870453	0.00706093170959415
B3GALT6	-0.00869748920606176	0.0043562573816022
C1QTNF12	-0.00574648184190963	0.00492429578354758
AL162741.1	-0.00454631936606624	-0.00846725913418189
UBE2J2	-0.00890043925319554	0.00243187815986421
LINC01786	-0.00112914682388819	-0.00394100880882713
SCNN1D	-0.0054205660148619	-0.0126988993864753
ACAP3	-0.00726256863275945	-0.0095680859524225
PUSL1	-0.00822282193302818	3.93175134055711e-05
INTS11	-0.00851181378823765	0.00299648578627082
AL139287.1	-0.00296264862351069	0.00356508684835209
CPTP	-0.00718248632430942	0.00931739211351428
TAS1R3	-4.62818381703447e-05	0.000388157126630329
DVL1	-0.00885443596441178	0.000435016467850589
MXRA8	-0.00663751526746461	0.00984956576750458
AURKAIP1	-0.00795950395472735	0.00673244295819513
CCNL2	-0.00893019630556584	-0.000401446532031065
MRPL20-AS1	-0.00806544540386331	0.00393504976404952
MRPL20	-0.00825285847612622	0.00521913740204609
AL391244.2	-0.00642565302711713	-0.00751758009308682
ANKRD65	-0.00148810832860899	-0.00327001298419109
TMEM88B	0.00049754648682382	-0.000322034289046307
LINC01770	-0.0016265679772003	-0.00411155277743822
VWA1	-0.00829031411495005	-0.000636311465825074
ATAD3C	-0.00651175411960945	0.00403138857485161
ATAD3B	-0.00814875575199646	0.00472161890210306
ATAD3A	-0.00795070087256647	0.00567172612634576
TMEM240	-0.00699471002594381	-0.00976593150548596
SSU72	-0.00836919951180667	0.00607909259019688
AL645728.1	-0.00768856121637872	-0.00160786454200022
FNDC10	-0.00680441405705354	0.00103844991647806
AL691432.4	-0.00129215895885052	-0.000655331781980957
AL691432.2	-0.00724553303553014	-0.0100552514930468
MIB2	-0.00824567936437568	0.00428286974271045
MMP23B	-0.00667772944253786	0.00731403942540984
CDK11B	-0.00855086581583561	-0.000902146922981636
FO704657.1	-0.00509093998878581	0.00636127481967049
SLC35E2B	-0.00833837455934882	-0.00581621235669475
CDK11A	-0.00878135246819976	-0.000116391395635922
SLC35E2A	-0.00855441383460371	-0.00515286416862951
NADK	-0.00866318035689238	0.000691298238326114
GNB1	-0.00903914934297746	0.00202730369842163
AL109917.1	-0.00562774059815553	0.0037513960890529
CALML6	-0.00247325018587039	-0.00199243246271425
TMEM52	-0.00543074201843286	0.01078097792798
CFAP74	-0.00137417173971435	0.00340365638745351
AL391845.2	-0.00109014624674876	-0.00410906444327266
GABRD	-0.00320166562834405	-0.0121961684395101
PRKCZ	-0.00514694037728074	-0.013170204216644
AL590822.2	-0.00414059440864543	-0.0105361001299867
PRKCZ-AS1	-0.00651984728734391	-0.00363374137289573
FAAP20	-0.0084184490183888	0.00327559140169641
AL590822.1	-0.00430585088907804	0.00501691260832361
SKI	-0.00879831899749776	-0.00394605374714968
AL590822.3	-0.00604648550789398	0.00762255483766976
MORN1	-0.0065341083099036	0.0093888198778445
AL589739.1	0.000817747975526072	0.00129623773870078
AL513477.2	-0.005513244748661	0.000880679380548682
RER1	-0.00785603554190214	0.00892478882522039
PEX10	-0.00851313803600149	0.00508226666475548
PLCH2	-0.00205839002534758	-0.00261577846110599
PANK4	-0.00755653401249661	-0.00378611075252105
HES5	-0.00408166827831973	-0.00678365914650729
AL139246.5	-0.00220718549526831	0.00054195240271608
TNFRSF14-AS1	-0.00499973888299512	0.00719852808612298
TNFRSF14	-0.00565582615855377	0.0119117995545894
AL139246.3	-0.00547800505455496	0.0104470452803031
PRXL2B	-0.00843226786693298	-0.00109344439661787
MMEL1	-0.00269122035071039	0.00245804594396959
TTC34	-0.007134541166025	0.000240974454001005
AC242022.2	0.00081672844579949	-0.000134471919025834
PRDM16-DT	-0.00163645026333698	0.00275042491787199
PRDM16	-0.00512689508442984	0.00775340227406673
AL590438.1	-0.00466701473809895	0.00563493092895288
ARHGEF16	-0.00379790639632157	0.00727499031118071
AL512413.1	-0.000757468980765993	0.00128007693542624
MEGF6	-0.00506094943259396	0.00740761470711351
AL513320.1	-0.00252512652765498	-0.00631599679148702
TPRG1L	-0.00725730040781276	0.00873559646281244
WRAP73	-0.00870373744847693	0.00197715737191052
TP73	-0.00481939583131693	0.0103058071711717
AL136528.1	-0.00336650712964022	0.0033198154236279
AL136528.2	-0.00249787646832743	0.00338846142740664
CCDC27	0.000934304336537116	0.0012295166580885
SMIM1	-0.0030246000732025	0.0107333683609184
LRRC47	-0.00891237735627043	0.00282672263527752
CEP104	-0.0086542401168936	0.00413900674905304
DFFB	-0.00715947139820791	-0.00605543612908258
C1orf174	-0.00795071302625387	0.00788214148119805
LINC01134	-0.00297532365511922	0.0076463076496616
LINC01346	-0.00369231257925284	0.00398070125131477
LINC02780	0.00069055269645331	0.00118778742083847
AL805961.1	-0.000164547670667517	-0.00272287245873569
AJAP1	-0.00532162147579983	-0.0133752574763159
Z98886.1	-0.00483839403940779	-0.00168779781044136
NPHP4	-0.00819816716705559	0.0015659290944994
KCNAB2	-0.00726371597221444	5.18661999023412e-05
CHD5	-0.00474693895856527	-0.0102332662450491
