Name,BIOCARTA_CC,FAO,G2M,GLYC,KEGG_CC,NefAC,NefMES,NefNPC,NefOPC,OXPHOS,VerCL,VerMES,VerNL,VerPN,WP_CC
T02_NMR,0.01586902222998664,0.3037181509754178,0.019742168311722052,0.17445697253792658,0.049813692796156224,0.6567670917782481,0.3862878186750608,0.2641554059320382,0.3983499729927411,0.4616123790107423,0.15179968529875984,-0.045811400798257906,0.2550481869859439,0.11094265605928043,0.059297683359656544
T03_NMR,-0.0011867551726600736,0.2838497210874075,0.022415380596114438,0.1659121378994994,0.048426735168379496,0.5992027591321647,0.32147383250446393,0.29408225533119986,0.3721714075341757,0.47857802537602245,0.1146159209882064,-0.14130098917486983,0.28936685180696364,0.13555099683990912,0.057259481952744135
T05_NMR,0.2976984722993008,0.25360396246921535,0.2549234730146381,0.19955906741288051,0.24194064729859405,0.7058391264667222,0.4496141437140367,0.2695685101246503,0.34348174125740166,0.4103664763558794,0.37242143243722475,0.003218897119011169,-0.08738546787878333,0.08149215326804796,0.24895844873729744
T06_NMR,0.2918123466278805,0.25662915042075896,0.2511142610411271,0.18716593497012313,0.24986095251761392,0.6979553812505908,0.43591773193262123,0.28809797257142905,0.34826043504640464,0.40975649310929724,0.35239470857107,-0.031025111928745852,-0.035834314601189944,0.09650775425321433,0.2572416790063041
T07_NMR,0.295098443256955,0.2674082939276925,0.2818442042353749,0.23504524332710058,0.25803283233561075,0.5717102428882089,0.48488370870671743,0.31253911395134926,0.18413836075304382,0.4110137858178652,0.14436949809532987,0.09981595619901208,0.011530700013947718,0.0897522053777515,0.2650174854652488
T08_NMR,0.26993823021943175,0.2651132499080337,0.17071466140159594,0.26106984090475094,0.190730247015637,0.6296036339422629,0.6006482527754433,0.2664011876270276,0.2601307027945458,0.4239506747543827,0.177523471115869,0.1783635801857069,0.051428307345519335,0.043201723719871125,0.19992473978962705
T09_NMR,0.1595251218097171,0.296390961874793,0.10374137014550777,0.21782823699830797,0.1330009877064848,0.6717176761464738,0.5224402630230217,0.1667061123085981,0.3806183498721482,0.45049313849344974,0.18533460541643115,0.26185273378544033,0.08462059071947285,0.009079825356134752,0.143382534683666
T10_NMR,0.10288554769001844,0.2774590463040673,0.04517428488988989,0.2353635213514753,0.08813886998806139,0.6226398654970123,0.5947370724783396,0.12044612315441992,0.3216432055332963,0.4214283148351399,0.13987416053641222,0.304999873325773,0.09819224457012865,-0.05279099784194974,0.09908037639874663
T11_NMR,0.2410144139379923,0.25064804390982,0.2692446595186861,0.1964651685511855,0.23469432554347366,0.7096270479357678,0.4155695003537568,0.3762911775877368,0.39393033838956243,0.4112736416809278,0.26164435749653947,0.01667516064527609,-0.010595582878743237,0.172095475773888,0.2403752629322388
T12_NMR,0.057673789653398234,0.25300506451733024,0.06439729378221161,0.2071988063248845,0.10692729399020813,0.3334267176887286,0.47592165719771845,-0.01015539338483208,0.058633055751989724,0.3899253126871732,0.1662064056226119,0.2018662439539432,-0.026160309686435075,-0.13605913105486703,0.11603969543441887
T13_NMR,0.23423462916703416,0.28926168463384083,0.18382493714655737,0.25015144732871825,0.19492478735512755,0.6535288295483822,0.5744367300188187,0.2134494934944802,0.40906567596704235,0.421176431779876,0.17224142333229187,0.1803014227447476,0.0019727855159481725,0.07095835376086997,0.2049249305347304
T14_NMR,0.11272381121413962,0.29161453614833366,0.07901874875824845,0.2431556531883127,0.11553632346464765,0.6237980560798102,0.5825047800597064,0.12525572173269084,0.3431502415426143,0.4284301314624909,0.1509918045559286,0.27841563216199083,0.11965031796305076,-0.03498088017239189,0.1276578355832787
T15_NMR,0.2578420651615989,0.2647892708033766,0.2714600734622891,0.21813513937888515,0.24012638598358815,0.616745165293719,0.46992200523151867,0.288483157956848,0.4303137102868258,0.42582102292471635,0.2105733367469573,0.06929940945838985,0.006796488396391836,0.17975451730162317,0.24870167353907968
T16_NMR,0.24396159569843326,0.25417623734161576,0.24340178431549334,0.24924851411125765,0.22864651608040593,0.664237136869205,0.5849230407277354,0.2552173866173986,0.35331292125653374,0.41855922043346344,0.2897993040589154,0.1300740503914098,-0.062130890173950244,0.09245513871071324,0.23690207326992477
X1201_NMR,0.2397859446846775,0.24461639298211973,0.2220804005911547,0.22239765424016056,0.2093404704494525,0.693651582270638,0.4981073436552194,0.263275054262036,0.31689645114148546,0.4199569615572524,0.3476910741625514,0.08746351053524763,-0.03282405214781802,0.04283625690536885,0.2185063650810024
X1202_NMR,0.17343441320146372,0.27016580789019207,0.22922346590992865,0.2543721743038299,0.20021995267523404,0.6951351826822524,0.6092864673562646,0.2164015046650849,0.35534806698883703,0.42060762643464017,0.27126355008008013,0.12379233480066397,-0.06679667376319748,0.04906879070575666,0.20676629594595242
X1204_NMR,0.17007569820454277,0.2535999364087683,0.14709183195460665,0.23134236373550224,0.15646061965615513,0.7414047730724064,0.5581539703734841,0.1220229928493539,0.3343309374728151,0.40928323285393015,0.3910846271317409,0.030871330434851248,-0.09897224902188759,-0.013251995730243027,0.16478721687221037
X1206_NMR,0.09943318294889604,0.2828922637600595,0.056486832677400345,0.17672117329327763,0.09431629884244525,0.6542035884520875,0.4220471786207841,0.2866612113080051,0.4346286117055688,0.4461825939777069,0.1491271166088975,0.10030735980261744,0.19866777021948243,0.11680729145693264,0.1059444969770298
X1207_NMR,0.1026003178943154,0.2721707151546308,0.04218649006111231,0.19472578123086312,0.07556537847549577,0.6803003211439094,0.5107787890159071,0.25916304155813824,0.4075188163751328,0.42790070224945315,0.1894284556146862,0.14798006214560647,0.15671699017859503,0.06622815106181298,0.08599588569169257
X1208_NMR,0.22860440825589717,0.3143663999712221,0.15400496774785483,0.20777482601064784,0.1762866139067966,0.706226454481072,0.4428324827937654,0.21900083662942746,0.37218736277504316,0.4617137075862549,0.2828113414182303,0.13098758695150173,0.09266079781573931,0.05139818867968207,0.18740090908044024
X1209_NMR,0.14601326847086482,0.2776446586372449,0.13096991962824361,0.18376672270909852,0.1388122598437406,0.7029833963081794,0.47792839104414825,0.303886206766553,0.37974988809518134,0.4398199144856881,0.28140888925477453,-0.05275649965336278,0.11752019945293173,0.0972062190955757,0.1482363184734297
X1210_NMR,0.05629357677084676,0.28838775855736914,0.14181964084367688,0.18742900068316667,0.12652611362800315,0.7231792239591645,0.3857206710358461,0.22972885267611728,0.3960164103098663,0.44201304908002215,0.24167999782465927,-0.07262086422003633,0.07214919315723388,0.05049694837286367,0.13349722893584548
X1211_NMR,0.17633568477699474,0.2577069489309549,0.1619422410477991,0.21546333395985048,0.15986868583241248,0.7259623269540033,0.5556940691208719,0.30185878721620996,0.3892688916975986,0.41177137567475874,0.3200927850610512,0.06122006974555384,0.02704564879549153,0.08405576197245264,0.16859718931087486
X1214_NMR,0.19486842137330646,0.27162146547639776,0.16030986426440466,0.2076943813860778,0.16641637872901438,0.734499284684789,0.5227764489217575,0.1263279515962199,0.31279715671373554,0.4315871726237443,0.3035831834942458,0.10196763814304356,-0.04058120557613354,0.00138129773502056,0.17435232808146323
X1215_NMR,0.14138542045546784,0.2950952283431589,0.14366307490014557,0.2613916964879063,0.1478152565243018,0.6917281505642277,0.6300968282723033,0.13349745566674537,0.3083460164614363,0.4486239066116018,0.2376133349011147,0.2562081962472571,-0.019089314918887504,-0.0269018425747783,0.15605174494891202
