G1	G2	Consistency
NefMES	NefAC	0.006116733750080927
NefMES	NefOPC	0.002163782393607483
NefMES	NefNPC	0.003178171331541635
NefAC	NefOPC	0.004496937837002946
NefAC	NefNPC	0.002553098687109623
NefOPC	NefNPC	0.0020768697710876194
