""	PC1	PC2
AL627309.1	-0.00123324837131183	0.00443147921850271
AL627309.3	-0.00260096268746733	0.00200547805566603
AL627309.5	-0.00287344700609601	-0.000655666123142629
AP006222.2	-0.00234744746680109	0.00408256955288056
AL732372.1	0.000478671950425065	0.00510270688095839
AL669831.2	-0.00181887032004845	0.00273308748716981
LINC01409	-0.00665016635473467	0.00507328692447929
FAM87B	-0.000810791613137556	0.00531706493588568
LINC01128	-0.00874320381350304	0.00250779104588767
LINC00115	-0.00384923743172826	0.00616426036098503
FAM41C	-0.00692082351693146	0.00232825048452374
AL645608.2	0.000136201162002538	0.00374424643164646
AL645608.4	0.00100147225836078	-0.00325526304472732
LINC02593	-0.00112106133474671	0.00268924215066889
SAMD11	-0.00528927363561432	-0.00602434949110912
NOC2L	-0.00980431255801168	-0.00344263557405051
KLHL17	-0.00498921716924649	-0.00289139038982791
PLEKHN1	-0.000363663051226962	0.0048991679546096
PERM1	-0.000209368536456535	0.00816036459102031
AL645608.7	-0.00386479444408933	0.00552351018494797
HES4	-0.00928986909226836	0.00113564360554385
ISG15	-0.00707478024464808	-0.00690052203875529
AL645608.1	-0.000945093098143826	-0.00026919068568062
AGRN	-0.0096129349854623	-0.00446791881272877
AL645608.5	-0.00100600544284295	0.00298501747776656
RNF223	-0.000732989456478101	-0.00442170654308226
C1orf159	-0.00770900657449284	-0.00830746404483146
AL390719.3	-0.00186221907915621	-0.00456657051348696
LINC01342	-0.000629698487215529	0.00362256567948409
AL390719.2	0.000343547920224334	-0.00399606382659817
TTLL10	-0.00158943463562084	0.00214871585842607
TNFRSF18	-0.00234214628468085	0.00192052571066908
TNFRSF4	-0.00622779146031444	0.00297841873740384
SDF4	-0.010037270667033	-0.00426662052044693
B3GALT6	-0.00979382135147577	-0.00593552584980688
C1QTNF12	-0.00360334777530133	0.0118133165475783
AL162741.1	-0.00237061472943147	0.00408261447559778
UBE2J2	-0.00951756413188486	-0.00813469408220224
LINC01786	-0.0026787210398621	0.00373057945968466
SCNN1D	-0.00560537698316756	0.000485781914699525
ACAP3	-0.00914739549051921	-0.0117996545622108
PUSL1	-0.00918582822910386	-0.00949376034669545
INTS11	-0.00956167522578322	-0.00464898500685741
AL139287.1	-0.000606864313260476	0.00234466088151071
CPTP	-0.00867979860070471	0.00293567335649988
TAS1R3	-0.00164179151566074	-0.00510796500533929
DVL1	-0.00864642068941216	0.00323499178283703
MXRA8	-0.00157561728277746	0.0143710210123141
AURKAIP1	-0.00993615772867433	-0.00712895953343344
CCNL2	-0.00949490390537074	0.00221928621494743
MRPL20-AS1	-0.00961476910969797	-0.00136001873441729
MRPL20	-0.00977745937295654	-0.00839960786155274
AL391244.2	-0.00470872011354829	-0.000204911434582649
ANKRD65	-0.00783147099301722	-0.00526359819021974
LINC01770	-0.00205780122705089	0.00296597264485805
VWA1	-0.00885260554353809	-0.00627584827508086
