""	VerPN	VerNL	VerCL	VerMES
THRAP3	-0.564291509066577	0.126460044340665	-0.660153388444669	-0.115607187091748
CD164	-0.546735721854282	0.102861045767267	-0.615766987112419	-0.0394379307180464
RFC1	-0.518835998269417	0.0959403555793662	-0.592793835973947	-0.103311196415676
CRTAP	-0.539346811086846	0.0889351814405157	-0.620432266355898	-0.127182481996844
ZNF24	-0.5476107510132	0.123112989199752	-0.62416990323735	-0.0900297981366688
SNX27	-0.475104475037233	0.0805248798766756	-0.545618631257627	-0.106654368053869
KRIT1	-0.46329113961239	0.049038896007624	-0.523769342839615	-0.0933810332795056
TTC19	-0.535327832873625	0.122127507296855	-0.598444292692584	-0.0916066383253371
LUC7L2	-0.545951825561074	0.0987286378696971	-0.624191216280766	-0.0874689078078457
SPPL2A	-0.484174806039847	0.0967411544199896	-0.537788032840013	-0.0693666237857245
EMC10	-0.535857357562618	0.136559454920836	-0.603391094988615	-0.0894361426507185
DHX36	-0.554125192190702	0.108538742440504	-0.619863624011859	-0.0733122260940281
CUL5	-0.468094494612305	0.0446713164296016	-0.532575466579337	-0.102803248340123
SRRM2	-0.403473925073024	-0.0243170904656218	-0.469123778024012	-0.124728070126031
LMAN1	-0.557682720384657	0.129060717225525	-0.603845717053291	-0.0246268223477251
JPX	-0.473995388440428	0.05963632857556	-0.538749168617918	-0.122704629075429
NSRP1	-0.558948768003925	0.0900037733572865	-0.631236744911201	-0.0780300089146154
ACTR2	-0.504756909813115	0.0407126017451006	-0.54623903949821	-0.0678852864852414
PRPF6	-0.488878028393769	0.0556101355689594	-0.546176461125502	-0.0842955486132649
EIF4G2	-0.541585299545056	0.113158232997102	-0.6211353112382	-0.100025392955781
PHF14	-0.482470997004751	0.0403966154372567	-0.574341897855799	-0.159909342419258
SRSF5	-0.578243175592544	0.160870877758734	-0.643758245230383	-0.040297455064307
YY1	-0.562523470407916	0.108512214801699	-0.638345895271618	-0.0741113449939311
NFIC	-0.462415267530612	0.0525793632690717	-0.531444674868312	-0.108281984599142
EEF2	-0.565389749140708	0.089849513501212	-0.630084368334734	-0.0698676296911802
RAB10	-0.517118387813989	0.105050587476305	-0.563032971983803	-0.0767926947687944
ABCF1	-0.510917052117055	0.0799661701766779	-0.600455985458065	-0.145531051611596
EPRS	-0.524686534183639	0.0966092377900411	-0.571758097152726	-0.0477009878819524
SEC63	-0.474282588457894	0.0641179921565839	-0.520003085020751	-0.0714257734658875
DYNC1I2	-0.516635636282922	0.1430127879468	-0.558015310902261	-0.0319039787850797
SLTM	-0.532662873223676	0.0915455152666168	-0.597370350773701	-0.0786717714098487
VKORC1L1	-0.530272108966346	0.0981872792047934	-0.611356742826002	-0.0945350089851711
U2SURP	-0.490578894063052	0.0462641460639659	-0.562822045230036	-0.106309046435701
UBXN4	-0.561696851379589	0.123110535662239	-0.609619508486064	-0.030498063039268
RSBN1L	-0.53630007931863	0.11690355087201	-0.622078149275209	-0.119287407073731
PURA	-0.486852380977635	0.0790630591512416	-0.522061201144403	-0.0272413341038122
DHX29	-0.52445031864358	0.0893709781365864	-0.610626701897957	-0.115302612969839
BCAP29	-0.513121245421325	0.182754288550058	-0.568925244871985	-0.0664175693908109
HNRNPK	-0.582456211121908	0.13599510999211	-0.647926740341774	-0.048251297911927
SEPT2	-0.495198384798357	0.134276588728077	-0.562204347521821	-0.0967820755549147
TCF25	-0.575957541662599	0.144176522535006	-0.643903101659389	-0.0732739282909184
SYAP1	-0.549816994789102	0.118343514905391	-0.604657573665621	-0.0404860863790811
ABCD3	-0.499875282698858	0.0936483292569613	-0.555387669973972	-0.0758676816295074
NCOR1	-0.480770950645504	0.044526517080303	-0.526741558547886	-0.0829939834256751
SF3B2	-0.523741868064746	0.0743340737172013	-0.594893762169215	-0.09878661426577
HSPA9	-0.560244881336183	0.10685673923783	-0.620313414783224	-0.058100420190578
KTN1	-0.523065874683623	0.116502899947629	-0.579006240274273	-0.0628884346868945
TROVE2	-0.481324947005035	0.110679427012999	-0.540573515602277	-0.102257926656388
MTDH	-0.573851560128647	0.139622778327072	-0.635805759619566	-0.0435379175100763
SRSF11	-0.486718445203033	0.0314635247753304	-0.554899485302357	-0.0956929994199601
