GSE,Bulk/SC,Tum/CL,Comments,preprocess,GSEA,GeneExpr
GSE131928,SC,Tum,,Y,Y,Y
GSE168004,SC,CL,"mgg23,mgg75,OSM",Y,Y,Y
GSE182109,SC,Tum,GBMAtlas thingy,Y,Y,Y
GSE189577,SC,Mouse XG,PDGFB overexpression,Y,Y,Y
GSE57872,SC,Tum+CL,,Y,Y,Y
GSE195682,SC,CL,,Y,Y,Y
GSE174470,SC,Mouse XG?,,Y,Y,Y
GSE212246,SC,Tum,ICBs,Y,Y,Y
GSE84465,SC,Tum,,Y,Y,Y
GSE76184,SC,Tum,radiation treated,Y,Y,Y
