	BIOCARTA_CC	FAO	G2M	GLYC	KEGG_CC	NefAC	NefMES	NefNPC	NefOPC	OXPHOS	VerCL	VerMES	VerNL	VerPN	WP_CC
BIOCARTA_CC	0.0	0.017558290460475377	7.840987404990576e-216	2.0691700537351437e-71	5.25064307467561e-269	0.3051111916650961	9.854344450781863e-38	0.790183170967446	0.05098268146170809	0.48338726187707226	4.0234403317454106e-12	4.715575366097366e-24	1.4507230588445788e-46	0.2535141100601287	1.0696222943675303e-270
FAO	0.017558290460475377	0.0	1.3710959028277304e-06	2.238735412872214e-18	0.0806716064690031	6.02901675966231e-84	6.528814367293678e-24	0.5510621363563895	1.414025152584632e-05	1.897164869579841e-144	0.020397455675729478	3.6539016133820556e-06	2.317243967010295e-57	0.0007591527948511301	0.061642986290914976
G2M	7.840987404990576e-216	1.3710959028277304e-06	0.0	1.2412934501620243e-56	0.0	0.6550254879034343	1.8141042036023787e-19	0.0004775215998816788	0.18088053595851233	0.5347841814315506	1.357589456239095e-10	3.6227374329455594e-10	2.3738285974330323e-49	5.321763157861006e-09	0.0
GLYC	2.0691700537351437e-71	2.238735412872214e-18	1.2412934501620243e-56	0.0	1.3360432830201096e-79	1.0679054643594196e-19	8.110733812763605e-216	8.286158591275284e-18	3.911932701683669e-08	6.682870115670804e-14	1.1036657055856345e-49	6.014009561827543e-118	5.530926460112955e-23	1.6650318860365873e-17	7.767635272053735e-82
KEGG_CC	5.25064307467561e-269	0.0806716064690031	0.0	1.3360432830201096e-79	0.0	0.004693104200187836	3.8590433957188734e-33	0.009229983906659385	0.18349617891733533	0.053337555668601815	4.660528039393947e-11	2.0406634190391325e-16	1.0848606052437362e-40	4.019978334254693e-06	0.0
NefAC	0.3051111916650961	6.02901675966231e-84	0.6550254879034343	1.0679054643594196e-19	0.004693104200187836	0.0	5.332682869541091e-24	0.00371194157174403	3.471595746179227e-12	7.177425610645749e-53	1.1266624047839504e-32	0.00019494993776504078	1.229622980588904e-18	0.7242165415513928	0.005593604655793511
NefMES	9.854344450781863e-38	6.528814367293678e-24	1.8141042036023787e-19	8.110733812763605e-216	3.8590433957188734e-33	5.332682869541091e-24	0.0	3.786340592482615e-43	2.4111591126037714e-25	4.494946387688814e-13	2.4121451088229116e-40	5.091599254657734e-192	2.3959081408819386e-17	1.8360338087785928e-53	3.839329976442645e-34
NefNPC	0.790183170967446	0.5510621363563895	0.0004775215998816788	8.286158591275284e-18	0.009229983906659385	0.00371194157174403	3.786340592482615e-43	0.0	4.7183672256178596e-153	1.9038273817112611e-07	7.799281300321604e-18	8.351540323554943e-105	2.8614409242072957e-39	8e-323	0.013491250308431027
NefOPC	0.05098268146170809	1.414025152584632e-05	0.18088053595851233	3.911932701683669e-08	0.18349617891733533	3.471595746179227e-12	2.4111591126037714e-25	4.7183672256178596e-153	0.0	7.636539466608064e-12	3.8400465981690155e-15	6.82347719636237e-49	3.777747218923448e-45	4.470613204842733e-185	0.22697985030951567
OXPHOS	0.48338726187707226	1.897164869579841e-144	0.5347841814315506	6.682870115670804e-14	0.053337555668601815	7.177425610645749e-53	4.494946387688814e-13	1.9038273817112611e-07	7.636539466608064e-12	0.0	0.008486141582630263	0.30806668659945674	6.33090291510478e-47	0.0032221944888620306	0.0777984862850483
VerCL	4.0234403317454106e-12	0.020397455675729478	1.357589456239095e-10	1.1036657055856345e-49	4.660528039393947e-11	1.1266624047839504e-32	2.4121451088229116e-40	7.799281300321604e-18	3.8400465981690155e-15	0.008486141582630263	0.0	1.52266833831543e-39	1.0829996514252467e-18	1.0719332938604735e-24	5.1692698035776896e-12
VerMES	4.715575366097366e-24	3.6539016133820556e-06	3.6227374329455594e-10	6.014009561827543e-118	2.0406634190391325e-16	0.00019494993776504078	5.091599254657734e-192	8.351540323554943e-105	6.82347719636237e-49	0.30806668659945674	1.52266833831543e-39	0.0	3.024887662572981e-39	1.875122362673144e-99	2.5069513344461312e-17
VerNL	1.4507230588445788e-46	2.317243967010295e-57	2.3738285974330323e-49	5.530926460112955e-23	1.0848606052437362e-40	1.229622980588904e-18	2.3959081408819386e-17	2.8614409242072957e-39	3.777747218923448e-45	6.33090291510478e-47	1.0829996514252467e-18	3.024887662572981e-39	0.0	5.589518286278736e-22	2.1959650699152157e-41
VerPN	0.2535141100601287	0.0007591527948511301	5.321763157861006e-09	1.6650318860365873e-17	4.019978334254693e-06	0.7242165415513928	1.8360338087785928e-53	8e-323	4.470613204842733e-185	0.0032221944888620306	1.0719332938604735e-24	1.875122362673144e-99	5.589518286278736e-22	0.0	7.653411824117816e-06
WP_CC	1.0696222943675303e-270	0.061642986290914976	0.0	7.767635272053735e-82	0.0	0.005593604655793511	3.839329976442645e-34	0.013491250308431027	0.22697985030951567	0.0777984862850483	5.1692698035776896e-12	2.5069513344461312e-17	2.1959650699152157e-41	7.653411824117816e-06	0.0
