G1	G2	Consistency
NefNPC	NefMES	0.11491454605239189
NefNPC	VerPN	0.010781792609483087
NefNPC	VerMES	0.18864680145170595
NefMES	VerPN	0.15927110380038687
NefMES	VerMES	0.04800299120766437
VerPN	VerMES	0.2320808299288869
