G1	G2	Consistency
NefMES	NefAC	0.04932659499673808
NefMES	NefOPC	0.043290993866041794
NefMES	NefNPC	0.036003939758091755
NefAC	NefOPC	0.03370080943041717
NefAC	NefNPC	0.03483095216483559
NefOPC	NefNPC	0.004848656075662455
