""	NefAC	NefMES	NefNPC	NefOPC
CRAMP1	0.015666688014497	-0.0568611129027519	-0.0129346225296801	-0.129943864621604
STRIP1	0.149419399451751	0.132257514143292	0.119023224477566	-0.0526810111209886
TNRC18	0.167893961746639	0.0605323258979746	0.145567864112901	0.0396576380530454
HTT	0.0577625037977361	0.117104617824974	-0.00593421140272381	-0.118513459381016
ZC3H18	-0.0926767838677736	0.0341508185602113	-0.0782907515492845	-0.21164969802691
KLHL11	-0.0513991761817127	0.171444428194151	-0.121710175493408	-0.272150953619949
GAPVD1	-0.0701799321412343	0.00307357367041902	-0.153251798288948	-0.280719728564937
MARK2	0.217844183763066	0.211696905208905	0.1787406618491	-0.0172038420647689
PHC3	0.102283884831728	-0.021131270029927	0.166232657568759	0.0370544290625791
MED13	-0.0505432114691128	-0.0289855072529794	-0.0801690465700961	-0.276920450000114
NPIPA1	-0.0893878596431316	-0.0410654827968923	0.032613335610006	-0.160249295654401
INPP4A	0.0533617930048663	0.249946638434794	-0.0204482390794648	-0.0606189968535281
PDPK1	-0.0506275078972082	-0.0129770340647144	-0.0563476479125758	-0.181336976009562
SLC41A1	0.0110987791342952	0.106377529241014	-0.172799453598566	-0.216596943566977
CCDC93	0.123794074959447	0.154870656535473	-0.0427729872790916	-0.174848458977205
INO80	0.0409382937490534	0.0828584235317128	-0.0166058355249028	-0.173230027146672
POLR2A	0.127294459147955	0.198497396055665	0.0241611884231196	-0.0315888329206864
CCAR2	0.0233928114061299	0.0611286604627337	-0.0583966532912149	-0.105523776999915
USP37	0.120733452135992	0.16427946386821	0.125984588844877	-0.0623305658127824
SPPL2B	-0.141552121574319	-0.0840092205242039	-0.153333902501494	-0.221804832237685
BRD8	-0.0211730555792709	-0.0618970374797234	-0.067531802270981	-0.165371809100999
EDC3	0.111841543584052	0.0932297447280799	0.058055152394775	0.00392726030905831
AP1G1	-0.16383505506702	-0.0467002475881499	-0.00426876120549816	-0.184239733629301
GON4L	-0.0349192119778161	0.036199867673824	-0.0795287187220922	-0.154873962170558
MAP2K7	0.0658242977887817	0.165457184325109	0.0649705455476821	-0.09297361905575
KAT6A	0.121062067787928	0.0316742081447964	0.109536412533083	-0.0433706138478614
GPATCH8	-0.038462359403438	0.18902478073077	-0.0121662291120753	-0.173144650100272
TNRC6A	-0.149406642192436	0.147869888158456	-0.141637496798429	-0.297105779902672
SMG7	0.0934858704004098	0.196875266797575	-0.0941688721932895	-0.0412362332451123
SAFB2	-0.0157944164603432	0.132160846922223	-0.135490480662512	-0.259796806966618
ZNF646	-0.0657417289819952	0.0181003201872506	-0.0649306297283213	-0.143778015072312
ADAR	0.107743532826774	0.237684623922138	-0.0259540681294288	-0.0343208400922052
CHERP	-0.0455049944506104	0.0984376333987877	-0.174250832408435	-0.267395201912405
RANBP3	-0.055750021343806	0.103304021173056	-0.0538717664133868	-0.250747033210962
NUP153	0.0989498847434474	0.119013062409289	0.00102450268931956	-0.124391701528217
MAPKBP1	0.184072912039539	0.176474354909892	0.07594288277327	-0.0453779001618808
SART3	-0.0221975582685905	0.144967130538718	-0.060360283445744	-0.262016562793477
DOT1L	-0.0823888497765099	0.00499455721443091	-0.236707861145465	-0.305948645776293
PROSER3	0.14701927390171	0.186079272629952	0.169985699383452	-0.0144287208416893
NFATC2IP	-0.0112695295825152	0.184068983181081	-0.146930760693247	-0.246392896781354
STRN	0.00264663194740886	0.0212584308033809	-0.0925467429352002	-0.178434218389823
NR2C2	0.00725689404934688	0.0130624092888244	-0.0677879279433109	-0.213352685050798
ZZEF1	-0.0501173959901704	0.19859124884691	0.0151974386477859	-0.133191035340146
SMG5	0.0745341615076613	0.19547074773401	-0.0546839982195384	-0.0835841284261173
SMC1A	0.136941859472381	0.081362588576795	-0.112439170152822	-0.176214462562964
SIN3B	-0.0630069153931529	0.0804234611115854	-0.0569452744813455	-0.252966789037821
KMT2D	0.0434559890719713	-0.0016221292580893	-0.105694527448135	-0.217450695808076
HCFC1	-0.0282171138353746	0.0811508826037022	-0.0759001942500697	-0.19060425608918
MAU2	-0.0445241296978755	0.160081962000991	-0.0169473437105049	-0.159527011199387
SRCAP	-0.00221980320641374	0.0674478666564174	0.0110990160320687	-0.115472455256715
